en,gu,translated
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે.,The POSHAN calculator is designed to measure the development of a child based on the standards set by the World Health Organization (WHO).
How to use Poshan Calculator?,પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?,How to use a calculator?
Select Gender,જાતિ પસંદ કરો,Choose the race
Enter Date of Birth,જન્મ તારીખ દાખલ કરો,Enter Date of Birth
Enter Height in centimeter,સેન્ટીમીટરમાં ઊંચાઈ દાખલ કરો,Enter the height in centimeters
Enter Weight in kilogram,કિલોગ્રામમાં વજન દાખલ કરો,Put on weight in kilograms
Click on Show Results,પરિણામો બતાવો પર ક્લિક કરો,Click on view results
Gender ,લિંગ ,sex (a)
*,*,* in Hindi
Boy,છોકરો,The boy
Girl,છોકરી,The girl
Date of Birth ,જન્મ તારીખ ,Date of Birth
Height (CM) ,ઊંચાઈ (સે.મી) ,Height (cm)
*Height should be between 38 to 150,*ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ,Height should be between 38 to 150 feet
CM,સે.મી,Sp.. Sp.
Weight (KG) ,વજન (કિલો) ,Weight (kg)
*Weight should be between 0.90 to 58,*વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ,Weight should be between 0.90 to 58
KG,કિલો,% 1 decaseconds
Show Results,પરિણામો દર્શાવો,View results
ABHA (Health ID) and its Benefits,ABHA (હેલ્થ ID) અને તેના ફાયદા,ABHA (Health ID) and its benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (અગાઉ હેલ્થ ID તરીકે ઓળખાતું) એ આયુષ્માન ભારત હેલ્થ એકાઉન્ટનું ટૂંકું નામ છે.,ABHA (formerly known as Health ID) is the short name for Ayushman Bharat Health Account.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (હેલ્થ ID) નો ઉપયોગ કરવો એ તમારા અને તમારા પરિવાર માટે સુરક્ષિત અને કાર્યક્ષમ ડિજિટલ હેલ્થ રેકોર્ડ બનાવવા તરફનું પ્રથમ પગલું છે.,Using ABHA (Health ID) is the first step towards creating a safe and efficient digital health record for yourself and your family.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે.","It enables your interaction with participatory healthcare providers, and allows you to obtain your digital lab reports, prescriptions, and diagnostics in an integrated manner from verified healthcare professionals and healthcare providers."
Know More,વધુ જાણો,Learn more
×,×,e - mail
Frequently Asked Questions,વારંવાર પૂછાતા પ્રશ્નો,Frequently Asked Questions
ALL,બધા,All of them
BENEFICIARY REGISTRATION,લાભાર્થી નોંધણી,Beneficiary registration
Take Home Ration,ઘરે રાશન લો,Eat at home
Hot Cooked Meal,ગરમ રાંધેલું ભોજન,Hot cooked food
What is Poshan Abhiyaan?,પોશણ અભિયાન એટલે શું?,What is POSHAN Abhiyaan?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે.","POSHAN Abhiyaan is India's flagship programme to improve nutrition outcomes for children, adolescents and pregnant women."
What is the purpose of Launching Poshan Tracker?,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?,What is the purpose of starting a Passion Tracker?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે. સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ.","The objective of POSHAN tracker application is to provide 360 degree view of Anganwadi Centre (AWC) activities, service delivery of Anganwadi Workers (AWWs) and overall beneficiary management for pregnant women, lactating mothers and children."
How can one Download Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?,How to download the POSHAN tracker app
Poshan Tracker App is available over Google playstore ,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર ,POSHAN TRACKER App on Google Play Store
Is poshan trackers app available over Apple I Store also?, પર ઉપલબ્ધ છે.,available on.
"No, Poshan Tracker is available only for Android version","ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે.","No, the nutrition tracker is available only for the Android version."
What is the minimum requirement to install Poshan Tracker App in mobile?,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?,What is the minimum requirement to install the POSHAN tracker app on mobile?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.,The POSHAN Tracker app can be installed on a hair phone only with Android 6.0 and above.
View All FAQs,તમામ FAQs જુઓ,View all FAQs
Can a beneficiary register directly using application.,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.,Can the beneficiary register directly using the application?
Currently a beneficiary can register by the help of an AWW,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે,"At present, the beneficiary can enrol through AWW"
Who is a beneficiary?,લાભાર્થી કોણ છે?,Who is the beneficiary?
There are 6 categories for beneficiaries,લાભાર્થીઓ માટે 6 શ્રેણીઓ છે,There are 6 categories of beneficiaries
Pregnant Women,સગર્ભા સ્ત્રીઓ,pregnant women
Lactating Mother,સ્તનપાન કરાવતી માતા,mother's breast milk
Children from 0 to 6 months,0 થી 6 મહિનાના બાળકો,Children of 0-6 months age
Children from 6 months to 3 years,6 મહિનાથી 3 વર્ષ સુધીના બાળકો,Children 6 months to 3 years
Children from 3 years to 6 years,3 વર્ષથી 6 વર્ષ સુધીના બાળકો,Children aged 3 to 6 years
Adolescent girls,કિશોરવયની છોકરીઓ,Young Girls
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?,Can the beneficiary change his AWC?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.,AWW can use the 'Migrate Beneficiary' option to transfer the beneficiary from one AWC to another based on their Aadhaar number.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?,What are the eligibility criteria?
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.,A beneficiary is eligible for THR for a minimum period of 21 days in a month.
Who is eligible for Take Home Ration?,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?,Who is eligible for Take Home Ration?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ.","Pregnant women, lactating mothers, children and adolescent girls between the age of 6 months and 3 years."
Where can I enquire about take home ration?,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?,Where can I enquire about taking home ration?
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.,Please contact your respective Anganwadi worker.
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.,Who is eligible for additional supplementary food.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,Children who are known to be deficient in nutrition are eligible for additional food supplements.
A beneficiary is eligible for HCM for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.,A beneficiary is eligible for HCM for a minimum period of 21 days in a month.
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?,Who is eligible for hot cooked meals?
Children in the age group of 3 years to 6 years,3 વર્ષથી 6 વર્ષની વયના બાળકો,Children aged 3 to 6 years
Where can I enquire about Hot Cooked Meal?,હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?,Where can I ask about hot cooked food?
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.,Please contact your respective Anganwadi Centre.
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?,Who is eligible for additional supplements?
We are now available on Video Conference,અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ,We are now available through video conference
State Video Conference,સ્ટેટ વીડિયો કોન્ફરન્સ,State video conference
Monday to Friday ,સોમવાર થી શુક્રવાર ,Monday to Friday
Join Now,હવે જોડાઓ,Join Now
Anganwadi Worker Training,આંગણવાડી કાર્યકર્તા તાલીમ,Training of Anganwadi Workers
Support,મદદ,Help me
 14408, 14408,14408 MEDITERRANGEMENT
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,Support-Poshantrackr @ gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો,Download the app
Terms of Service,સેવાની શરતો,Conditions of Service
Privacy Policy,પ્રાઇવસી પોલિસી,Privacy Policy
Careers,કારકિર્દ,A career
About Poshan Tracker,પોશન ટ્રેકર વિશે,About the Potion Tracker
Poshan Tracker App,પોશન ટ્રેકર એપ,Poshan Tracker App
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘પોશન ટ્રેકર’ એ મોબાઈલ આધારિત એપ્લિકેશન છે જે 1લી માર્ચ 2021ના રોજ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા નેશનલ ઈ-ગવર્નન્સ ડિવિઝન (NeGD), MyGov દ્વારા એક મહત્વપૂર્ણ ગવર્નન્સ ટૂલ તરીકે બહાર પાડવામાં આવી છે. પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે.","POSHAN tracker is a mobile based application launched by the Ministry of Women and Child Development, Government of India on March 1, 2021, as an important governance tool by the National e-Governance Division (NeGD), MyGov, which leverages technology under POSHAN tracker to provide last mile tracking of child stunting, wedding, weight loss dynamic identification and nutrition service delivery."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે. પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે.,POSHAN tracker is an important and beneficiary-oriented service delivery application under POSHAN Abhiyaan which will promote real-time data with analytics.
WHAT ARE,શું છે,Whats what
Poshan Tracker Features,પોશન ટ્રેકરની વિશેષતાઓ,Features of Potion Tracker
Real time recording and Monitoring,રીઅલ ટાઇમ રેકોર્ડિંગ અને મોનીટરીંગ,Real-time recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","પોશન ટ્રેકર નિર્ધારિત સૂચકાંકો પર તમામ AWC અને લાભાર્થીઓનું રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગ સક્ષમ કરે છે. તે કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ ટેક્નોલોજી સિસ્ટમ્સ સાથે પણ ગોઠવે છે. ઉદ્દેશ્ય આંગણવાડી કેન્દ્ર (AWC) ની પ્રવૃત્તિઓ, આંગણવાડી કાર્યકરો (AWWs) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી વ્યવસ્થાપનનો 360-ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે. સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે.","The POSHAN tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on the assigned indices it is built using central data architecture which is also aligned with the digital technology systems of other Ministries and programs aimed at providing a 360-degree view of Anganwadi Centre (AWC) activities, service delivery of Anganwadi Workers (AWWs) and overall beneficiary management for pregnant women, lactating mothers and children."
Services Delivered,સેવાઓ વિતરિત,Delivery of services
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","એક બટનના ક્લિક પર અંતિમ લાભાર્થી સુધીની સેવાઓનું ટ્રેકિંગ. ટેક હોમ રાશન (THR) અને હોટ કૂક મીલ(HCM), શિશુઓ અને સગર્ભા સ્ત્રીઓ માટે રસીકરણ જેવી સેવાઓ.",Services like tracking of last mile delivery at click of a button services like Take Home Ration (THR) and Hot Cooked Meal (HCM) vaccination for infants and pregnant women etc.
Growth Measurement,વૃદ્ધિ માપન,Growth measurement
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWWs દ્વારા વિવિધ વય જૂથોના બાળકોનું માસિક ધોરણે નિરીક્ષણ કરવામાં આવે છે. સ્વાસ્થ્ય સૂચકાંકો જેમ કે સ્ટંટિંગ, વેસ્ટિંગ અને ઓછા વજનનો વ્યાપ WHO ના ધોરણો મુજબ માપવામાં આવે છે. નિયમિત વૃદ્ધિની દેખરેખ AWW ને બાળકોને સંબંધિત અને સમયસર સહાય પૂરી પાડવામાં મદદ કરે છે.","Health indicators such as stunting, wasting and underweight prevalence are measured as per WHO standards and regular growth monitoring helps AWW to provide relevant and timely support to children."
Home Visit Alerts,હોમ વિઝિટ એલર્ટ,Home visit alert
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","પોશન ટ્રેકર છેલ્લા માઈલના મહત્ત્વના લાભાર્થીઓને સ્વયંસંચાલિત ચેતવણીઓ જનરેટ કરે છે. તે લાભાર્થીઓ અને ફરજ ધારકોની વાસ્તવિક સમયની હાજરીનું દસ્તાવેજીકરણ કરીને ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ઓડિટ પણ સુનિશ્ચિત કરે છે. આ વ્યવસ્થાપન માહિતી પ્રણાલી પોષણ કાર્યક્રમને કાર્યક્ષમ રીતે માપવામાં મદદ કરશે, જેનાથી હકારાત્મક અસર પેદા થશે અને તેનું દસ્તાવેજીકરણ થશે.",The POSHAN tracker generates automated alerts to key beneficiaries of the last mile and also ensures an efficient audit of the delivery system by documenting the real time attendance of the beneficiaries and the duty holders.
Learning Videos,શીખવાના વિડિયો,Learning videos
❮,❮,The Floss
How to take care of weak newborn with the help of Kangaroo Mother Care,કાંગારુ મધર કેરની મદદથી નબળા નવજાતની સંભાળ કેવી રીતે રાખવી,How to take care of a weak newborn with the help of Kangaroo Mother Care
Preventing illnesses to avert Malnutrition and Death,કુપોષણ અને મૃત્યુને ટાળવા માટે બિમારીઓને અટકાવવી,Preventing Malnutrition and Diseases
Prevention of Anemia in children and adolescents girls,બાળકો અને કિશોરીઓમાં એનિમિયાનું નિવારણ,Preventing pneumonia in children and adolescents
Birth Preparedness- For Institutional and Home Delivery,જન્મની તૈયારી- સંસ્થાકીય અને ઘરે પ્રસૂતિ માટે,Birth Preparations for institutional and home delivery
Care of the weak newborn baby - How many weak babies are we missing?,નબળા નવજાત બાળકની સંભાળ - આપણાથી કેટલા નબળા બાળકો છુટી જાય છે?,Care for Weak Newborns - How many of us are left out of it?
Feeding During Illness,માંદગી દરમિયાન ખોરાક આપવો,Feeding during illness
Preparation During Pregnancy - For NewBorn Care & Family Planning,ગર્ભાવસ્થા દરમિયાન તૈયારી - નવજાત શિશુની સંભાળ અને કુટુંબ નિયોજન માટે,Preparation during pregnancy - for newborn care and family planning
Ensuring Exclusive Breastfeeding,માત્ર ને માત્ર સ્તનપાનની ખાત્રી કરવી,Ensure only breastfeeding
Assessment of growth in children,બાળકોમાં વૃદ્ધિનું મૂલ્યાંકન,Assessing the Growth of Children
Preventing anemia in women,સ્ત્રીઓમાં એનિમિયા અટકાયત,Detention of Women in Anaemia
Complementary Feeding - Diet Diversity,પૂરક ખોરાક - આહારલક્ષી વિવિધતા,Supplementary Dietary Diversity
Identification and care of a Weak Newborn baby,નબળા નવજાત શિશુની ઓળખ અને સંભાળ,Identification and Care of a Vulnerable Newborn
Observing Breastfeeding In Newborn Babies,નવજાત શિશુમાં સ્તનપાનનું અવલોકન,Breastfeeding in Newborn
Planning And Organising Community Based Events At AWC,AWC ખાતે સમુદાય આધારિત કાર્યક્રમોનું આયોજન,Community Based Programmes at AWC
Making or Updating Home Visit Planner and Initiating home visits,ગૃહ મુલાકાતનું આયોજન બનાવવું અથવા અપડેટ કરવું અને ગૃહ મુલાકાત શરૂ કરવી,Planning or updating a home visit and starting a home visit
Ensuring that complementary feeding improves over time,સુનિશ્ચિત કરવું કે પૂરક ખોરાકની માત્રા સમયની સાથે સુધરે છે,Ensure that the quantity of supplementary food improves over time
How to ensure timely initiation of complementary feeding,સમયસર પૂરક ખોરાક શરૂઆત કર્યાની ખાત્રી કેવી રીતે કરવી,How to ensure you start on time
Identifying and preventing Severe Acute Malnutrition,ગંભીર તીવ્ર કુપોષણની ઓળખ અને અટકાયત,Identification and Detention of Severe Acute Malnutrition
Identification & Referral of Sick Newborn,બિમાર નવજાત શિશુની ઓળખ અને રેફરલ સેવા,Identification and Referral of Sick Newborn
Supporting mothers with issues in Breastfeeding,સ્તનપાનને લગતી સમસ્યાઓ ધરાવતી માતાઓને મદદ કરવી,Helping Mothers With Lactating Mothers
Why this Monthly Meeting?,આ માસિક મિટિંગ શા માટે?,Why this date?
❯,❯,The Floss
Awareness,જાગૃતિ,The Letdown
ALL ,બધા ,All of them
GENERAL ,સામાન્ય ,Default Aggregation
Pregnant Women ,સ્ત્રીઓ નોંધણી ,Registration of women
Lactating Mothers ,સ્તનપાન કરાવતી માતાઓ ,Breastfeeding mothers
CHILD CARE ,બાળ સંભાળ ,child care
Download PDF,PDF ડાઉનલોડ કરો,Download the PDF
General Awareness about Growth Monitoring of Children,બાળકોના વૃધ્ધિ-વિકાસ વિશે સામાન્ય જાગૃતિ,General Awareness on Child Development
General Awareness about preventing illness in Children,બાળકોમાં બિમારી અટકાવવા અંગે સામાન્ય જાગૃતિ,General Awareness on Preventive Disease in Children
General Awareness for Pregnancy,ગર્ભાવસ્થા માટે સામાન્ય જાગૃતિ,General Awareness for Pregnancy
General Awareness on Module,મોડ્યુલ પર સામાન્ય જાગૃતિ,General Awareness on Module
General Awareness on Anaemia,એનિમિયા પર સામાન્ય જાગૃતિ,General Awareness on Anaemia
General Awareness on SAM and MAM,SAM અને MAM પર સામાન્ય જાગૃતિ,General Awareness on SAM and MAM
General Awareness on Mother Care,માતાની સંભાળ અંગે સામાન્ય જાગૃતિ,General Awareness on Maternal Care
General Awareness on the Delivery of the child,બાળકના જન્મ અંગે સામાન્ય જાગૃતિ,General Awareness on Childbirth
Pregnant Women,સ્ત્રીઓ નોંધણી,Registration of women
Awareness for Pregnancy in Preventing Anemia,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ,Awareness for prevention of Anaemia During Pregnancy
Lactating Mothers,સ્તનપાન કરાવતી માતાઓ,Breastfeeding mothers
Awareness for Lactating Mother Complimentary Feeding for Children,સ્તનપાન કરાવતી માતાઓ માટે બાળકોના ઉપરી આહાર અંગે જાગૃતિ,Awareness for lactating mothers about nutritious food for children
Awareness to Lactating Mother,સ્તનપાન કરાવતી માતા માટે જાગૃતિ,Awareness for lactating mothers
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ","Awareness on child stunting, wasting to prevent malnutrition in children"
Growth Monitoring Assessment Charts,ગ્રોથ મોનિટરિંગ એસેસમેન્ટ ચાર્ટ,Growth Monitoring Assessment Chart
