en,bn,translated
Enter Height in centimeter,সেন্টিমিটারে উচ্চতা লিখুন,Enter the height in centimeters
Enter Weight in kilogram,কিলোগ্রামে ওজন লিখুন,Write Weight in Kgs
Click on Show Results,রেজাল্ট দেখান-এ ক্লিক করুন,Click on view result
Gender ,লিঙ্গ ,gender
Boy,ছেলে,son of the soil
Girl,মেয়ে,girl child
Date of Birth ,জন্ম তারিখ ,Date of birth
Height (CM) ,উচ্চতা (সেমি) ,Height (cm)
*Height should be between 38 to 150,*উচ্চতা 38 থেকে 150-এর মধ্যে হওয়া উচিত,Height should be between 38 and 150
CM,সেন্টিমিটার,centimeter (cm)
Weight (KG) ,ওজন (কেজি) ,Weight (kg)
*Weight should be between 0.90 to 58,*ওজন 0.90 থেকে 58-এর মধ্যে হওয়া উচিত,Weight should be between 0.90 to 58
KG,কেজি,kilo's
Show Results,ফলাফল প্রদর্শন করুন,Show results
ABHA (Health ID) and its Benefits,ABHA (স্বাস্থ্য আইডি) এবং এর সুবিধা,ABHA (Health ID) and its benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (যা আগে স্বাস্থ্য আইডি নামে পরিচিত ছিল) হল আয়ুষ্মান ভারত স্বাস্থ্য অ্যাকাউন্টের সংক্ষিপ্ত রূপ।,ABHA (formerly known as Health ID) is an acronym for Ayushman Bharat Health Account.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (স্বাস্থ্য আইডি) ব্যবহার করা আপনার এবং আপনার পরিবারের জন্য নিরাপদ এবং এটি দক্ষ ডিজিটাল স্বাস্থ্য রেকর্ড তৈরি করার জন্য প্রথম পদক্ষেপ।,Using ABHA (Health ID) is safe for you and your family and is the first step towards creating an efficient digital health record.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","এটি অংশগ্রহণকারী স্বাস্থ্যসেবা প্রদানকারীদের সাথে আপনার মিথস্ক্রিয়াকে সক্ষম করে এবং আপনাকে আপনার ডিজিটাল ল্যাব রিপোর্ট, প্রেসক্রিপশন এবং নির্ণয়ের যাচাইকৃত স্বাস্থ্যসেবা পেশাদার এবং স্বাস্থ্য পরিষেবা প্রদানকারীদের কাছ থেকে নির্বিঘ্নে পেতে অনুমতি দেয়।","It enables your interaction with participating healthcare providers and allows you to receive your digital lab reports, prescriptions and diagnostics verified from healthcare professionals and health care providers without any hassle."
Know More,আরও জানুন,Learn more
Frequently Asked Questions,সচরাচর জিজ্ঞাস্য প্রশ্ন,Frequently Asked Questions
ALL,সব,all of them
BENEFICIARY REGISTRATION,সুবিধাভোগীর নিবন্ধন,Beneficiary Registration
Take Home Ration,বাড়িতে নিয়ে যাওয়ার জন্য রেশন,Ration for taking home
Hot Cooked Meal,গরম রান্না করা খাবার,Hot cooked food
What is Poshan Abhiyaan?,পশান অভিযান কি?,What is the Poshan Abhiyan?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পশান অভিযান হ'ল শিশু, কিশোর, গর্ভবতীদের পুষ্টির ফলাফল উন্নত করার জন্য ভারতের এক নিজস্ব কর্মসূচি।","POSHAN Abhiyaan is India's own programme to improve the nutritional outcomes of children, adolescents and pregnant women."
What is the purpose of Launching Poshan Tracker?,পশান ট্র্যাকার চালু করার উদ্দেশ্য কী?,What is the purpose of launching Passion Tracker?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","পশান ট্র্যাকার অ্যাপ্লিকেশনটির উদ্দেশ্য হ'ল অঙ্গনবাদী কেন্দ্রের (AWC) কার্যক্রমের ৩৬০ ডিগ্রি ভিউ, অঙ্গনওয়াড়ি কর্মীদের সেবা সরবরাহ এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা ও শিশুদের জন্য সম্পূর্ণ উপকারভোগী ব্যবস্থাপনার ব্যবস্থা করা। প্রস্তাবিত সিস্টেমে নির্ধারিত সূচকগুলিতে সমস্ত AWC, AWW এবং সুবিধাভোগীদের রিয়েল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।","The objective of the POSHAN Tracker application is to provide 360 degree view of the activities of the Anganwadi Centres (AWCs), provision of services to Anganwadi workers and full beneficiary management for pregnant women, lactating mothers and children and to enable real time monitoring and tracking of all AWCs, AWWs and beneficiaries on the indicators prescribed in the proposed system."
How can one Download Poshan Tracker App?,কীভাবে একজন পশান ট্র্যাকার অ্যাপ্লিকেশন ডাউনলোড করতে পারেন?,How can one download the Passion Tracker App?
Poshan Tracker App is available over Google playstore ,পশান ট্র্যাকার অ্যাপ্লিকেশন গুগল প্লেস্টোর ,Passion Tracker App on Google Play Store
Is poshan trackers app available over Apple I Store also?,অ্যাপল আই স্টোরের উপরেও কি পশান ট্র্যাকস অ্যাপ পাওয়া যায়?,Is the Passion Tracks app also available on Apple iStore?
"No, Poshan Tracker is available only for Android version","না , পশান ট্র্যাকারস অ্যাপটি শুধুমাত্র অ্যান্ড্রয়েড ভার্সানের জন্য উপলব্ধ।","No, the Passion Trackers app is available only for Android version."
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলে পশান ট্র্যাকার অ্যাপটি ইনস্টল করার জন্য ন্যূনতম প্রয়োজনীয়তা কী?,What is the minimum requirement to install the Pashan Tracker App on mobile?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পশান ট্র্যাকার অ্যাপটি কেবল ৬.০ এবং তারপরের অ্যান্ড্রয়েড ভার্সানের অ্যান্ড্রয়েড ফোনে ইনস্টল করা যেতে পারে।,The Passion Tracker app can be installed only on Android phones with Android version 6.0 and above.
View All FAQs,সব প্রায়শ জিজ্ঞাসিত প্রশ্ন (FAQ) দেখুন,View all Frequently Asked Questions (FAQ)
Can a beneficiary register directly using application.,একজন সুবিধাভোগী কি অ্যাপ্লিকেশনটি ব্যবহার করে সরাসরি নিবন্ধন করতে পারেন।,A beneficiary can register directly using the app.
Currently a beneficiary can register by the help of an AWW,বর্তমানে একজন সুবিধাভোগী AWW এর সাহায্যে নিবন্ধন করতে পারেন,"Currently, a beneficiary can register with AWW"
Who is a beneficiary?,একজন সুবিধাভোগী কে?,Who is a beneficiary?
There are 6 categories for beneficiaries,সুবিধাভোগীদের 6টি বিভাগ রয়েছে,Beneficiaries have 6 categories
Pregnant Women,গর্ভবতী মহিলা,pregnant woman
Lactating Mother,স্তন্যদানকারী মা,Breastfeeding mother
Children from 0 to 6 months,0 থেকে 6 মাস পর্যন্ত বয়সী শিশুরা,Children (0-6 months age)
Children from 6 months to 3 years,6 মাস থেকে 3 বছর পর্যন্ত বয়সী শিশুরা,Children (6 months to 3 years)
Children from 3 years to 6 years,3 বছর থেকে 6 বছর পর্যন্ত বয়সী শিশুরা,Children aged 3 to 6 years
Adolescent girls,কিশোরী মেয়েরা,Young Girls
Can a beneficiary change his/her AWC?,একজন সুবিধাভোগী কি তার AWC পরিবর্তন করতে পারেন?,Can a beneficiary change his AWC?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,একটি AWW একটি AWC থেকে অন্য AWC-তে তাদের আধার নম্বরের ভিত্তিতে স্থানান্তর করতে 'মাইগ্রেট বেনিফিশিয়ারি' বিকল্প ব্যবহার করতে পারেন।,An AWW can use the 'Migrate Beneficiary' option to move from one AWC to another based on their Aadhaar number.
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,What is the eligibility of a beneficiary?
A beneficiary is eligible for THR for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য THR পাওয়ার যোগ্য।,A beneficiary is eligible to receive THR for a minimum period of 21 days in a month.
Who is eligible for Take Home Ration?,কে বাড়িতে নিয়ে যাওয়ার জন্য রেশনের পাওয়ার যোগ্য?,Who is eligible for ration to take home?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গর্ভবতী মহিলা, স্তন্যদানকারী মা, 6 মাস থেকে 3 বছর বয়সী শিশু এবং কিশোরী মেয়েরা।","Pregnant women, lactating mothers, children between the age of 6 months and 3 years and adolescent girls."
Where can I enquire about take home ration?,বাড়িতে নিয়ে যাওয়ার জন্য রেশনের ব্যাপারে আমি কোথায় জিজ্ঞাসা করতে পারি?,Where can I ask for rations to be taken home?
Please contact your respective Anganwadi worker.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কর্মীর সাথে যোগাযোগ করুন।,Please get in touch with your Anganwadi worker.
Who is eligible for additional supplementary food.,কারা অতিরিক্ত সম্পূরক খাদ্য পাওয়ার জন্য যোগ্য।,Who are eligible for additional supplementary food.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হয়েছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওয়ার যোগ্য।,Children who have been identified as undernourished are eligible for supplementary nutrition.
A beneficiary is eligible for HCM for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওয়ার যোগ্য।,A beneficiary is entitled to get HCM for at least 21 days in a month.
Who is eligible for Hot Cooked Meal?,কারা গরম রান্না করা খাবারের জন্য যোগ্য?,Who are eligible for hot cooked meals?
Children in the age group of 3 years to 6 years,3 বছর থেকে 6 বছর বয়সী শিশুরা,Children aged 3 to 6 years
Where can I enquire about Hot Cooked Meal?,আমি কোথায় গরম রান্না করা খাবার সম্পর্কে জিজ্ঞাসা করতে পারি?,Where can I ask about the hot cooked food?
Please contact your respective Anganwadi Centre.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কেন্দ্রে যোগাযোগ করুন।,Please contact your respective Anganwadi Centres.
Who is eligible for additional supplementary food?,কে অতিরিক্ত সম্পূরক খাদ্য পাওয়ার যোগ্য?,Who is eligible for additional supplementary food?
We are now available on Video Conference,আমরা এখন ভিডিও কনফারেন্সে উপলব্ধ,We are now available through video conference
State Video Conference,রাজ্য ভিডিও কনফারেন্স,the State Video Conference
Monday to Friday ,সোম থেকে শুক্র ,Monday to Friday
Join Now,এখনি যোগদান করুন,Join Now
Anganwadi Worker Training,অঙ্গনওয়াড়ি কর্মীদের প্রশিক্ষণ,Training of Anganwadi Workers
×,×,e - mail
Support,সহায়তা,Help and Help
 14408, 14408,14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,Support-Poshantrackr @ gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন,Download Mobile App
Terms of Service,পরিষেবা পাওয়ার শর্ত,Conditions of Service
Privacy Policy,গোপনীয়তা নীতি,Privacy Policy
Careers,কেরিয়ার,of career
About Poshan Tracker,পোশান ট্র্যাকার সম্পর্কে,About Poshan Tracker
Poshan Tracker App,পোশান ট্র্যাকার অ্যাপ,Poshan Tracker App
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘পোশান ট্র্যাকার’ হল একটি মোবাইল ভিত্তিক অ্যাপ্লিকেশন, যা ভারত সরকারের মহিলা ও শিশু উন্নয়ন মন্ত্রক, 1লা মার্চ 2021 থেকে ন্যাশনাল ই-গভর্নেন্স ডিভিশন (NeGD), MyGov-এর মাধ্যমে একটি গুরুত্বপূর্ণ গভর্নেন্স টুল হিসাবে চালু করেছে। পোশান ট্র্যাকারের অধীনে প্রযুক্তিটি বৃদ্ধিতে বাধা, অপুষ্টি, শিশুদের মধ্যে কম ওজনের প্রাদুর্ভাব এবং পুষ্টি পরিষেবা সরবরাহের শেষ মাইল ট্র্যাকিংয়ের গতিশীল সনাক্তকরণের জন্য ব্যবহার করা হচ্ছে.","POSHAN tracker is a mobile based application launched by the Ministry of Women and Child Development, Government of India, through the National e-Governance Division (NeGD), MyGov as an important governance tool from 1st March 2021"
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,পোশান ট্র্যাকার হল অঙ্গনওয়াড়ি কর্মীদের তাদের প্রচেষ্টার প্রতিফলন সহ দক্ষতার সাথে পরিষেবা প্রদানের জন্য একটি জব এড। এটি পোশান অভিযানের অধীনে একটি গুরুত্বপূর্ণ এবং সুবিধাভোগী-কেন্দ্রিক পরিষেবা সরবরাহের অ্যাপ্লিকেশন যা বিশ্লেষণ করে রিয়েল টাইম ডেটা প্রোমোট করবে.,Poshan Tracker is a job ad for Anganwadi Workers to serve them efficiently with their efforts reflecting. It is an important and beneficiary-centric service delivery application under POSHAN Abhiyaan which will promote real time data analytics.
WHAT ARE,গুলি কি,What is the shot
Poshan Tracker Features,পোশান ট্র্যাকার বৈশিষ্ট্য,Poshan Tracker Properties
Real time recording and Monitoring,রিয়েল টাইম রেকর্ডিং এবং মনিটরিং,Real time recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","পোশান ট্র্যাকার সমস্ত AWC এবং সংজ্ঞায়িত সূচকে সুবিধাভোগীদের রিয়েল-টাইম পর্যবেক্ষণ এবং ট্র্যাকিং সক্ষম করে। এটি কেন্দ্রীভূত ডেটা আর্কিটেকচার ব্যবহার করে তৈরি করা হয়েছে যা অন্যান্য মন্ত্রণালয় এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমের সাথে সারিবদ্ধ। উদ্দেশ্য হল অঙ্গনওয়াড়ি কেন্দ্রের (AWC), অঙ্গনওয়াড়ি কর্মীদের (AWWs) পরিষেবা প্রদান এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা এবং শিশুদের জন্য সম্পূর্ণ সুবিধাভোগী ব্যবস্থাপনার 360-ডিগ্রি ভিউ প্রদান করা। পাবলিক ড্যাশবোর্ড সুবিধাভোগীদের প্রদান করা পরিষেবাগুলিতে স্বচ্ছতা প্রদানে সহায়তা করে.","POSHAN tracker enables real-time monitoring and tracking of beneficiaries across all AWCs and defined indicators. It is built using centralized data architecture that is aligned with the digital technology systems of other Ministries and programs. The objective is to provide services of Anganwadi Centres (AWCs), Anganwadi Workers (AWWs) and provide 360-degree view of full beneficiary management for pregnant women, lactating mothers and children. Public dashboards help in providing transparency in services provided to the beneficiaries."
Services Delivered,সেবা প্রদান করা হয়েছে,Service provided
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ব্যাস একটি বোতামের ক্লিকেই শেষ সুবিধাভোগী পর্যন্ত পরিষেবার ট্র্যাকিং। টেক হোম রেশন (THR) এবং গরম রান্না করা খাবার (HCM), শিশু এবং গর্ভবতী মহিলাদের জন্য টিকা প্রদানের মতো পরিষেবা.","The diameter is the tracking of the service to the last beneficiary at the click of a button. Services such as Take Home Ration (THR) and Hot Cooked Meals (HCM), vaccination for children and pregnant women."
Growth Measurement,বৃদ্ধির পরিমাপ,Scale of Growth
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWWs দ্বারা মাসিক ভিত্তিতে বিভিন্ন বয়সের শিশুদের পর্যবেক্ষণ করা হয়। স্বাস্থ্য সূচক যেমন স্টান্টিং, ওয়েস্টিং এবং কম ওজনের প্রাদুর্ভাব WHO-এর মান অনুযায়ী পরিমাপ করা হয়। নিয়মিত বৃদ্ধি পর্যবেক্ষণ AWW-কে শিশুদের প্রাসঙ্গিক এবং সময়মত সহায়তা প্রদান করতে সাহায্য করে.","Children of different ages are monitored on a monthly basis by AWWs. Health indicators such as stunting, wasting and underweight prevalence are measured as per WHO standards. Regular incremental observations help AWW to provide relevant and timely support to children."
Home Visit Alerts,হোম ভিজিট সতর্কতা,Home visit
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","পোশান ট্র্যাকার শেষ-মাইলের গুরুত্বপূর্ণ সুবিধাভোগীদের জন্য স্বয়ংক্রিয় অ্যালার্ট তৈরী করে। এটি সুবিধাভোগী এবং দায়িত্ব বহনকারীদের রিয়েল-টাইম উপস্থিতি নথিভুক্ত করে বিতরণ ব্যবস্থার একটি দক্ষ নিরীক্ষা নিশ্চিত করে। এই ম্যানেজমেন্ট ইনফরমেশন সিস্টেম পুষ্টি প্রোগ্রামকে দক্ষতার সাথে মাপতে সাহায্য করবে, যার ফলে একটি ইতিবাচক প্রভাব তৈরি এবং নথিভুক্ত করবে.","The Poshan Tracker generates automated alerts for the important beneficiaries of the last-mile. It ensures an efficient audit of the distribution system by recording real-time attendance of the beneficiaries and the stakeholders. This Management Information System will help to efficiently measure the nutrition program, thereby creating and documenting a positive impact."
Learning Videos,লার্নিং ভিডিও,Learning videos
How to take care of weak newborn with the help of Kangaroo Mother Care,ক্যাঙ্গারু মাদার কেয়ারের সাহায্যে কীভাবে দুর্বল নবজাতকের যত্ন নেওয়া যায়,How to take care of a weak newborn with the help of Kangaroo Mother Care
Preventing illnesses to avert Malnutrition and Death,অপুষ্টি এবং মৃত্যু এড়াতে অসুস্থতা প্রতিরোধ করা,Preventing Illness to Avoid Malnutrition and Death
Prevention of Anemia in children and adolescents girls,শিশু এবং কিশোরী মেয়েদের মধ্যে রক্তাল্পতা প্রতিরোধ,Prevention of Anaemia among Children and Adolescent Girls
Birth Preparedness- For Institutional and Home Delivery,জন্মের প্রস্তুতি- প্রাতিষ্ঠানিক এবং হোম ডেলিভারির জন্য,Birth preparedness - for institutional and home delivery
Care of the weak newborn baby - How many weak babies are we missing?,দুর্বল নবজাতক শিশুর যত্ন - আমরা কতগুলি দুর্বল শিশুকে হারাচ্ছি?,Care of Weak Newborn - How Many Weaker Children Are We Losing?
Feeding During Illness,অসুস্থতার সময় খাওয়ানো,Feeding During Illness
Preparation During Pregnancy - For NewBorn Care & Family Planning,গর্ভাবস্থায় প্রস্তুতি - নবজাতকের যত্ন ও পরিবার পরিকল্পনার জন্য,Preparation of Pregnancy - for newborn care and family planning
Ensuring Exclusive Breastfeeding,শুধুমাত্র বুকের দুধ খাওয়ানো নিশ্চিত করুন,Ensure breastfeeding
Assessment of growth in children,শিশুদের বৃদ্ধির মূল্যায়ন,Assessment of Child Growth
Preventing anemia in women,মহিলাদের মধ্যে অ্যানিমিয়া প্রতিরোধ,Preventing Anaemia in Women
Complementary Feeding - Diet Diversity,পরিপূরক খাওয়ানো - খাদ্য বৈচিত্র্য,Supplementary Nutrition - Food Diversity
Identification and care of a Weak Newborn baby,একটি দুর্বল নবজাতক শিশুর সনাক্তকরণ এবং যত্ন,Identification and Care of a Weaker Newborn
Observing Breastfeeding In Newborn Babies,নবজাতক শিশুদের বুকের দুধ খাওয়ানো পর্যবেক্ষণ করা,Breastfeeding monitoring of newborns
Planning And Organising Community Based Events At AWC,AWC-তে কমিউনিটি ভিত্তিক ইভেন্টের পরিকল্পনা ও আয়োজন,Planning and hosting of Community Based Events at AWC
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিট প্ল্যানার তৈরি বা আপডেট করা এবং হোম ভিজিট শুরু করা,Create or update the Home Visit Planner and start the Home Visit
Ensuring that complementary feeding improves over time,পরিপূরক খাওয়ানো যাতে সময়ের সাথে সাথে উন্নত হয় তা নিশ্চিত করা,Ensure that the supplementary feeding improves over time
How to ensure timely initiation of complementary feeding,কিভাবে পরিপূরক খাওয়ানোর সময়মত সূচনা নিশ্চিত করা যায়,How to ensure timely launch of complementary feeding
Identifying and preventing Severe Acute Malnutrition,গুরুতর তীব্র অপুষ্টি সনাক্তকরণ এবং প্রতিরোধ করা,Acute Malnutrition Detection and Prevention
Identification & Referral of Sick Newborn,অসুস্থ নবজাতকের সনাক্তকরণ ও রেফারেল,Identification and Referral of Sick Newborn
Supporting mothers with issues in Breastfeeding,স্তন্যপান করানোয়ে সমস্যা আছে এমন মায়েদের জন্য সহায়তা,Support to lactating mothers
Why this Monthly Meeting?,কেন এই মাসিক মিটিংটি কেন?,Why this meeting?
Awareness,সচেতনতা,awareness (a)
ALL ,সব ,all of them
Pregnant Women ,গর্ভবতী মহিলাদের ,pregnant women
Lactating Mothers ,স্তন্যদানকারী মায়েরা ,Breastfeeding mothers
CHILD CARE ,চাইল্ড কেয়ার ,Child Care
General,সাধারণ,ordinary (a)
Download PDF,PDF ডাউনলোড করুন,Download PDF
General Awareness about Growth Monitoring of Children,শিশুদের বৃদ্ধি পর্যবেক্ষণ সম্পর্কে সাধারণ সচেতনতা,General Awareness on Observation of Child Growth
General Awareness about preventing illness in Children,শিশুদের অসুস্থতা প্রতিরোধ সম্পর্কে সাধারণ সচেতনতা,General Awareness on Preventing Child Illness
General Awareness for Pregnancy,গর্ভাবস্থার জন্য সাধারণ সচেতনতা,General Awareness for Pregnancy
General Awareness on Module,মডিউলে সাধারণ সচেতনতা,General Awareness in Modules
General Awareness on Anaemia,অ্যানিমিয়া সম্পর্কে সাধারণ সচেতনতা,General Awareness about Anaemia
General Awareness on SAM and MAM,SAM এবং MAM সম্পর্কে সাধারণ সচেতনতা,General Awareness about SAM and MAM
General Awareness on Mother Care,মায়ের তত্ত্বাবধান সম্বন্ধে সাধারণ সচেতনতা,General Awareness of Mother's Care
General Awareness on the Delivery of the child,সন্তান প্রসবের বিষয়ে সাধারণ সচেতনতা,General Awareness on Childbirth
Pregnant Women,গর্ভবতী মহিলাদের,pregnant women
Awareness for Pregnancy in Preventing Anemia,অ্যানিমিয়া প্রতিরোধে গর্ভাবস্থার জন্য সচেতনতা,Awareness for pregnancy to prevent anemia
Lactating Mothers,স্তন্যদানকারী মায়েরা,Breastfeeding mothers
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুদের জন্য স্তন্যদানকারী মায়েদের পরিপূরক খাওয়ানোর বিষয়ে সচেতনতা,Awareness on supplementary feeding to lactating mothers for children
