en,mr,translated
Migrated from one category to another,एका श्रेणीतून दुसऱ्यात स्थलांतरित झाले,Migrating from one category to another
Beneficiary record becoming inactive,लाभार्थी रेकॉर्ड निष्क्रिय होत आहे,Beneficiary records are being disabled
Beneficiary migration from one AWC to another AWC,एका एडब्ल्यूसी मधून दुसऱ्या एडब्ल्यूसी मध्ये लाभार्थी स्थलांतर,Beneficiary migration from one AWC to another AWC
Beneficiary deletion by AWW,एडब्ल्यूसी द्वारे लाभार्थी हटवणे,Removal of Beneficiaries through AWC
Default language selection,डीफॉल्ट भाषा निवड,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","लाभार्थी एडब्ल्यूडब्ल्यू च्या प्रवेशयोग्यतेशी संबंधित आहे, निराकरण झाल्यानंतर स्थिती अपडेट सह","Beneficiaries are related to the accessibility of AWW, with status update after resolution"
Growth monitoring report for all health indicators,सर्व आरोग्य निर्देशकांसाठी वाढ निरीक्षण अहवाल,Enhancement Monitoring Report for all Health Indicators
Application downloaded status by AWW,सर्व आरोग्य निर्देशकांसाठी(इंडिकेटर)ग्रोथ मॉनिटरिंग अहवाल,Growth Monitoring Report for all Health Indicators
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणना अहवाल : निष्क्रीय होणाऱ्या नोंदींची संख्या आणि एका श्रेणीतून दुसऱ्यात स्थलांतरित होणाऱ्या नोंदींची संख्या,Beneficiary Enumeration Report: Number of Inactive Entries and Number of Entries Migrating from one Category to another
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,पोषण कॅल्क्युलेटर हे मुलांची वाढ मोजण्यासाठी डिझाइन केलेले आहे जे जागतिक आरोग्य संघटनेने (डब्ल्यूएचओ) परिभाषित केलेल्या मानकांच्या आधारे मूल्यमापन करते.,The POSHAN calculator is designed to measure the growth of children which is evaluated on the basis of standards defined by the World Health Organization (WHO).
How to use Poshan Calculator?,पोषण कॅल्क्युलेटर कसे वापरावे?,How to use a calculator?
Select Gender,लिंग निवडा,Choose the right sex
Enter Date of Birth,जन्मतारीख प्रविष्ट करा,Enter Date of Birth
Enter Height in centimeter,सेंटीमीटरमध्ये उंची प्रविष्ट करा,Enter height in centimeters
Enter Weight in kilogram,किलोग्रॅममध्ये वजन प्रविष्ट करा,Enter weight in kilograms
Click on Show Results,परिणाम दर्शवा वर क्लिक करा,Click on show result
Gender ,लिंग ,sex (a)
*,*,* in Hindi
Boy,मुलगा,The son
Girl,मुलगी,The daughter
Date of Birth ,जन्मतारीख ,Date of birth
Height (CM) ,उंची (सेमी) ,Height (cm)
*Height should be between 38 to 150,*उंची 38 ते 150 च्या दरम्यान असावी,Height between 38 and 150
CM,सेमी,Semi / s
Weight (KG) ,वजन (किग्रॅ) ,Weight (kg)
*Weight should be between 0.90 to 58,*वजन 0.90 ते 58 च्या दरम्यान असावे,Weight should be in the range of 0.90 to 58
KG,किग्रॅ,Kg / m
Show Results,परिणाम दर्शवा,Show results
ABHA (Health ID) and its Benefits,एबीएचए (आरोग्य आयडी) आणि त्याचे फायदे,ABHA (Health ID) and its benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,एबीएचए (पूर्वी आरोग्य आयडी म्हणून ओळखले जाणारे) हे आयुष्मान भारत आरोग्य खात्याचे संक्षिप्त रूप आहे.,ABHA (formerly known as Arogya ID) is the acronym for Ayushman Bharat Health Department.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,एबीएचए (आरोग्य आयडी) याचा वापर हे तुमच्यासाठी आणि तुमच्या कुटुंबासाठी सुरक्षित आणि कार्यक्षम डिजिटल आरोग्य नोंदी तयार करण्याच्या दिशेने पहिले पाऊल आहे.,The use of ABHA (Health ID) is the first step towards creating a safe and efficient digital health record for you and your family.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","हे सहभागी आरोग्य सेवा प्रदात्यांशी तुमचं एकमेकांशी असलेले संभाषण सक्षम करते आणि तुम्हाला तुमचे डिजिटल लॅब रिपोर्ट्स, प्रिस्क्रिप्शन आणि निदान सत्यापित आरोग्यसेवा व्यावसायिक आणि आरोग्य सेवा प्रदात्यांकडून अखंडपणे प्राप्त करण्यास अनुमती देते.","It enables you to interact with participating healthcare providers and allow you to receive your digital lab reports, prescription and diagnostics verified from healthcare professionals and healthcare providers in a seamless manner."
Know More,अधिक जाणून घ्या,Learn more
×,×,% s (% s)
Frequently Asked Questions,सतत विचारले जाणारे प्रश्न,Frequently Asked Questions
ALL,सर्व,All of them
BENEFICIARY REGISTRATION,लाभार्थी नोंदणी,Beneficiary Registration
Take Home Ration,होम रेशन घ्या,Take Home Ration
Hot Cooked Meal,गरम शिजवलेले जेवण,Hot cooked meals
What is Poshan Abhiyaan?,पोषण अभियान म्हणजे काय?,What is POSHAN Abhiyaan?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","मुले, किशोरवयीन मुले, गर्भवती महिला आणि स्तनपान करणार्‍या मातांना तंत्रज्ञानाचा लाभ देऊन, लक्ष्यित दृष्टिकोन आणि अभिसरण देऊन पौष्टिक परिणाम सुधारण्यासाठी पोषण अभियान हा भारताचा प्रमुख कार्यक्रम आहे.","POSHAN Abhiyaan is India's flagship programme to improve the nutritional outcomes of children, adolescents, pregnant women and lactating mothers by providing them access to technology, targeted approach and convergence."
What is the purpose of Launching Poshan Tracker?,पोषण ट्रॅकर लॉन्च करण्याचा हेतू काय आहे ?,What is the purpose of launching POSHAN tracker?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्रॅकर अँप्लिकेशनचा उद्देश आहे की त्यातून अंगणवाडी सेंटर (एडब्ल्यूसी), अंगणवाडी सेविकांची सेवा पुरवठा (एडब्ल्यूडब्ल्यू ), गर्भवती महिला, स्तनपान करणारी माता व मुले यांचे संपूर्ण लाभार्थी व्यवस्थापन, अशा सगळ्याचा एक ३६०°आढावा घेऊ शकतो. प्रस्तावित प्रणाली आपल्याला परिभाषित निर्देशकांवर सर्व एडब्ल्यूसी, एडब्ल्यूडब्ल्यू आणि लाभार्थ्यांचे वास्तविक-वेळ देखरेख आणि ट्रॅक करण्यास सक्षम करेल.","The POSHAN tracker application aims to capture a 360 degree view of Anganwadi Centres (AWCs), Anganwadi Workers Service Delivery (AWWs), Comprehensive Beneficiary Management of Pregnant Women Lactating Mothers and Children The proposed system will enable real time monitoring and tracking of all AWCs, AWWs and beneficiaries on defined indicators."
How can one Download Poshan Tracker App?,आपण पोशन ट्रॅकर अ‍ॅप डाउनलोड कसे करू शकतो?,How to download the Poshan Tracker App?
Poshan Tracker App is available over Google playstore ,पोषण ट्रॅकर अॅप गुगल प्लेस्टोअरवर उपलब्ध आहे ,The POSHAN tracker app is available on Google Play Store
Is poshan trackers app available over Apple I Store also?,अँपल आय स्टोअरमध्येही पोषण ट्रॅक अॅप उपलब्ध आहे का?,Is POSHAN TRACK APP also available on Apple iStore?
"No, Poshan Tracker is available only for Android version",पोषण ट्रॅकर केवळ अँड्रॉइड आवृत्तीसाठी उपलब्ध आहे.,The POSHAN tracker is available only for the Android version.
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइलमध्ये पोषण ट्रॅकर अॅप स्थापित करण्यासाठी किमान आवश्यक काय आहे?,What is the minimum requirement to install the POSHAN tracker app on mobile?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पॉशन ट्रॅकर अॅप केवळ अँड्रॉइड फोन ६.० आणि त्यावरील आवृत्तीसह स्थापित केला जाऊ शकतो.,The POSHAN Tracker app can be installed with Android Phone 6.0 and above only.
View All FAQs,सर्व एफएक्यू पहा,View all FAQs
Can a beneficiary register directly using application.,अर्ज वापरून लाभार्थी थेट नोंदणी करू शकतो,The beneficiary can directly register using the application
Currently a beneficiary can register by the help of an AWW,सध्या एक लाभार्थी अंगणवाडी सेविका च्या मदतीने नोंदणी करू शकतो,"At present, a beneficiary can register with the help of an Anganwadi worker"
Who is a beneficiary?,लाभार्थी कोण आहे?,Who is the beneficiary?
There are 6 categories for beneficiaries,लाभार्थ्यांसाठी 6 श्रेणी आहेत,There are 6 categories of beneficiaries
Pregnant Women,गर्भवती महिला,pregnant women
Lactating Mother,स्तनपान करणारी आई,mother's breast milk
Children from 0 to 6 months,मुले 0 महिने - 6 महिने,Children 0 months - 6 months
Children from 6 months to 3 years,मुले 6 महिने - 3 वर्षे,Children 6 Months - 3 Years
Children from 3 years to 6 years,मुले 3 वर्षे - 6 वर्षे,Children 3 years 6 years
Adolescent girls,किशोरवयीन मुली,Adolescent girls
Can a beneficiary change his/her AWC?,लाभार्थी त्याचे/तिचे अंगणवाडी केंद्र बदलू शकतो का?,Can the beneficiary change his / her Anganwadi Centre?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एक अंगणवाडी सेविका लाभार्थी एका अंगणवाडी केंद्र मधून दुसर्‍या अंगणवाडी केंद्र मध्ये त्यांच्या आधार क्रमांकाच्या आधारे स्थलांतरित करण्यासाठी ‘माइग्रेट लाभार्थी’ पर्याय वापरू शकतो.,One Anganwadi Worker can use the option of Migrate Beneficiary to migrate from one Anganwadi Centre to another based on their Aadhaar number.
What is the eligibility of a beneficiary?,लाभार्थीची पात्रता काय आहे?,What is the eligibility of the beneficiary
A beneficiary is eligible for THR for at least 21 days in a month.,एक लाभार्थी महिन्यातून किमान 21 दिवस टीएचआर साठी पात्र आहे.,A beneficiary is eligible for a minimum period of 21 days in a month.
Who is eligible for Take Home Ration?,होम रेशनसाठी कोण पात्र आहे?,Who is eligible for home rations?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गरोदर महिला, स्तनपान करणार्‍या माता, 6 महिने ते 3 वर्षे वयोगटातील मुले आणि किशोरवयीन मुली.","Pregnant women, lactating mothers, children in the age group of 6 months to 3 years and adolescent girls."
Where can I enquire about take home ration?,होम रेशनबद्दल मी कुठे चौकशी करू शकतो?,Where can I enquire about home rations?
Please contact your respective Anganwadi worker.,कृपया तुमच्या संबंधित अंगणवाडी सेविकेशी संपर्क साधा.,Please contact your respective Anganwadi Worker.
Who is eligible for additional supplementary food.,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे.,Who is eligible for additional supplementary diet.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.,Children who are known to be deficient in nutrition are eligible for additional dietary supplements.
A beneficiary is eligible for HCM for at least 21 days in a month.,एक लाभार्थी एका महिन्यात किमान 21 दिवस एचसीएम साठी पात्र असतो.,A beneficiary is eligible for HCM for a minimum period of 21 days in a month.
Who is eligible for Hot Cooked Meal?,गरम शिजवलेल्या जेवणासाठी कोण पात्र आहे?,Who is eligible for hot cooked meals?
Children in the age group of 3 years to 6 years,3 वर्षे ते 6 वर्षे वयोगटातील मुले,Children aged 3 to 6 years
Where can I enquire about Hot Cooked Meal?,मी गरम शिजवलेल्या जेवणाबद्दल कुठे चौकशी करू शकतो?,Where can I inquire about hot cooked food?
Please contact your respective Anganwadi Centre.,कृपया तुमच्या संबंधित अंगणवाडी केंद्राशी संपर्क साधा.,Please contact your respective Anganwadi Centre.
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे?,Who is eligible for additional supplementary diet
We are now available on Video Conference,आम्ही आता व्हिडिओ कॉन्फरन्सवर उपलब्ध आहोत,We are now available through video conference
State Video Conference,राज्य व्हिडिओ कॉन्फरन्स,the State Video Conference
Monday to Friday ,सोमवार ते शुक्रवार ,Monday to Friday
Join Now,आत्ताच सहभागी व्हा,Join Now
Anganwadi Worker Training,अंगणवाडी सेविका प्रशिक्षण,Training of Anganwadi Workers
Support,सपोर्ट,Support (s)
 14408, 14408,14408 MEDICAL ENGINEERS
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,Support-Poshantrackr @ gov.in
Download Mobile App,मोबाइल ॲप डाउनलोड करा,Download the app
Terms of Service,सेवा अटी,Conditions of Service
Privacy Policy,गोपनीयता धोरण,Privacy Policy
Careers,करिअर,The career
About Poshan Tracker,पोषण ट्रॅकर बद्दल,About Nutrition Tracker
Poshan Tracker App,पोषण ट्रॅकर ॲप,POSHAN Tracker App
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","पोषण ट्रॅकर’ हे मोबाईलवर आधारित ऍप्लिकेशन आहे जे भारत सरकारच्या महिला आणि बाल विकास मंत्रालयाने 1 मार्च 2021 रोजी नॅशनल ई-गव्हर्नन्स डिव्हिजन (NeGD), MyGov मार्फत एक महत्त्वाचे प्रशासन साधन म्हणून आणले आहे. मुलांमध्ये खुंटणे, अशक्तपणा, कमी वजनाचे प्रमाण आणि पोषण सेवा वितरणाचा शेवटचा माइल ट्रॅकिंग यासाठी पोषण ट्रॅकर अंतर्गत तंत्रज्ञानाचा वापर केला जात आहे.","POSHAN tracker is a mobile application developed by the Ministry of Women and Child Development, Government of India through the National e-Governance Division (NeGD), MyGov as an important governance tool on March 1, 2021."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,पोषण ट्रॅकर अंगणवाडी कर्मचार्‍यांना त्यांच्या प्रयत्नांचे प्रतिबिंब देऊन कार्यक्षमतेने सेवा पुरवण्यासाठी नोकरी-सहाय्य आहे. पोषण अभियानांतर्गत हा एक गंभीर आणि लाभार्थी-केंद्रित सेवा वितरण अनुप्रयोग आहे जो विश्लेषणासह वास्तविक वेळेच्या डेटाला प्रोत्साहन देईल.,POSHAN tracker is a job-oriented service delivery application under POSHAN Abhiyaan which will promote real-time data with analytics.
WHAT ARE,काय आहेत,What are
Poshan Tracker Features,पोषण ट्रॅकरची वैशिष्ट्ये,Features of POSHAN tracker
Real time recording and Monitoring,रिअल टाइम रेकॉर्डिंग आणि मॉनिटरिंग,Real-time recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","पोषण ट्रॅकर सर्व अंगणवाडी केंद्रस् आणि लाभार्थ्यांचे रिअल-टाइम मॉनिटरिंग आणि परिभाषित निर्देशकांवर मागोवा ठेवण्यास सक्षम करते. हे केंद्रीकृत डेटा आर्किटेक्चर वापरून तयार केले गेले आहे जे इतर मंत्रालये आणि कार्यक्रमांच्या डिजिटल तंत्रज्ञान प्रणालींशी देखील संरेखित होते. अंगणवाडी केंद्र (अंगणवाडी केंद्र), अंगणवाडी सेविकांच्या सेवा वितरण (अंगणवाडी सेविकाs) आणि गरोदर महिला, स्तनदा माता आणि मुलांसाठी संपूर्ण लाभार्थी व्यवस्थापनाचे 360-अंश दृश्य प्रदान करणे हे उद्दिष्ट आहे. सार्वजनिक डॅशबोर्ड लाभार्थ्यांना दिल्या जाणाऱ्या सेवांमध्ये पारदर्शकता आणण्यास मदत करतो.","The POSHAN tracker enables real time monitoring and tracking of all Anganwadi Centres and beneficiaries on defined indicators. This is built on a centralized data architecture that is also aligned with the digital technology systems of other Ministries and programs. The goal is to provide a 360-degree view of the Anganwadi Centre (Anganwadi Centre), the service delivery of Anganwadi workers (Anganwadi Sevikas) and the entire beneficiary management for pregnant women, lactating mothers and children."
Services Delivered,सेवा वितरीत केल्या,Service Offered
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","एका बटणाच्या क्लिकवर अंतिम लाभार्थीपर्यंत सेवांचा पाठपुरवठा करणे. होम रेशन(टीएचआर) आणि गरम शिजवलेले जेवण (एचसीएम), नवजात बालकांसाठी आणि गर्भवती महिलांसाठी लसीकरण यासारख्या सेवा.","Services such as home ration (THR) and hot cooked meals (HCM), immunization for newborns and pregnant women etc."
Growth Measurement,वाढ मोजमाप,Growth Measurement
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","वेगवेगळ्या वयोगटातील मुलांचे मासिक आधारावर अंगणवाडी सेविकास् द्वारे निरीक्षण केले जाते. खुंटणे, अशक्तपणा आणि कमी वजनाचे प्रमाण यासारखे आरोग्य निर्देशक डब्ल्यूएचओ मानकांनुसार मोजले जातात. नियमित वाढीचे निरीक्षण केल्याने अंगणवाडी सेविका ला मुलांना संबंधित आणि वेळेवर सहाय्य प्रदान करण्यात मदत होते.","The health indicators such as stunting, anaemia and low birth weight are measured in accordance with WHO standards. Regular monitoring of incremental progress is helpful in providing relevant and timely support to Anganwadi workers."
Home Visit Alerts,घर -भेटीचे अलर्ट,Home visit alert
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","पोषण ट्रॅकर शेवटच्या टप्प्यातील गंभीर लाभार्थ्यांना स्वयंचलित सूचना व्युत्पन्न करतो. हे लाभार्थी आणि कर्तव्य धारकांच्या वास्तविक वेळेच्या उपस्थितीचे दस्तऐवजीकरण करून वितरण प्रणालीचे कार्यक्षम ऑडिट देखील सुनिश्चित करते. ही व्यवस्थापन माहिती प्रणाली पोषण कार्यक्रमास कार्यक्षमतेने मापन करण्यास मदत करेल, ज्यामुळे सकारात्मक प्रभाव निर्माण आणि दस्तऐवजीकरण होईल.","The POSHAN tracker generates automated notifications to critical beneficiaries in the last stage. It also ensures an efficient audit of the delivery system by documenting the real time presence of the beneficiary and the duty holder. This Management Information System will help in measuring the effectiveness of the POSHAN program, which will create positive impact and document."
Learning Videos,शिकण्यासाठीचे व्हिडिओ,Video to learn
❮,❮,The Floss
How to take care of weak newborn with the help of Kangaroo Mother Care,कांगारू मदर केअरच्या मदतीने कमकुवत नवजात बाळाची काळजी कशी घ्यावी,How to take care of a weak newborn with Kangaroo Mother Care?
Preventing illnesses to avert Malnutrition and Death,कुपोषण आणि मृत्यू टाळण्यासाठी आजारांना प्रतिबंध करणे,Preventing Malnutrition and Infectious Diseases
Prevention of Anemia in children and adolescents girls,मुले आणि किशोरवयीन मुलींमध्ये रक्तशय प्रतिबंध,Blood donation & contraception in children and adolescents
Birth Preparedness- For Institutional and Home Delivery,जन्माची तयारी- दवाखान्यात आणि घरी प्रसूतीसाठी,Birth Preparations - Hospital and Home delivery
Care of the weak newborn baby - How many weak babies are we missing?,अशक्त नवजात बाळाची काळजी - आपण किती अशक्त नवजात  बालके गमावत आहोत?,Care for a Disabled Newborn - How many of our disabled newborns are we losing?
Feeding During Illness,आजारपणा दरम्यान आहार,Diet during illness
Ensuring Exclusive Breastfeeding,निव्वळ स्तनपान सुनिश्चित करणे,Ensuring exclusive breastfeeding
Assessment of growth in children,मुलांच्या वाढीचे मूल्यांकन,Assessment of Child Growth
Preventing anemia in women,महिलांमध्ये रक्तशय रोखणे,Preventing female infertility
Complementary Feeding - Diet Diversity,पूरक आहार - आहारातील विविधता,Diversity in Supplementary Diet
Identification and care of a Weak Newborn baby,अशक्त नवजात बाळाची ओळख आणि काळजी,Identification and Care of a Disabled Newborn
Observing Breastfeeding In Newborn Babies,नवजात मुलांमध्ये स्तनपानाचे निरीक्षण करणे,Monitoring of Breastfeeding in Newborn
Planning And Organising Community Based Events At AWC,अंगणवाडी केंद्रामध्ये समुदाय आधारित कार्यक्रमांचे नियोजन आणि आयोजन,Planning and Management of Community Based Programmes at Anganwadi Centres
Making or Updating Home Visit Planner and Initiating home visits,गृह- भेटीचे नियोजन बनवणे किंवा अपडेट करणे आणि गृह- भेटी सुरू करणे,Planning or updating a home visit and starting home visits
Ensuring that complementary feeding improves over time,कालांतराने पूरक आहार सुधारत आहे याची खात्री करणे,Ensure that the supplements are improved over time
How to ensure timely initiation of complementary feeding,पूरक आहार वेळेवर सुरू करण्याची खात्री कशी करावी,How to ensure timely delivery of supplements
Identifying and preventing Severe Acute Malnutrition,गंभीर तीव्र कुपोषण ओळखणे आणि प्रतिबंध करणे,To identify and prevent severe acute malnutrition
Identification & Referral of Sick Newborn,आजारी नवजात बाळाची ओळख आणि संदर्भ,Identification and Reference of Sick Newborn
Supporting mothers with issues in Breastfeeding,स्तनपानाच्या समस्या असलेल्या मातांना आधार देणे,Support to lactating mothers
Why this Monthly Meeting?,ही मासिक सभा कशासाठी?,Why this date?
❯,❯,The Floss
Awareness,जागरूकता,Spread awareness
ALL ,सर्व ,All of them
GENERAL ,सामान्य ,Default Aggregation
Pregnant Women ,गर्भवती महिला ,pregnant women
Lactating Mothers ,स्तनपान करणारी माता ,mother's breast milk
CHILD CARE ,बाल संगोपन ,child care
Download PDF,पीडीएफ डाउनलोड करा,Download PDF
General Awareness about Growth Monitoring of Children,मुलांच्या ग्रोथ मॉनिटरिंग बद्दल सामान्य जागरूकता,General Awareness on Child Growth Monitoring
General Awareness about preventing illness in Children,मुलांमध्ये आजार टाळण्यासाठी सामान्य जागरूकता,General Awareness to Prevent Disease in Children
General Awareness for Pregnancy,गरोदरपणा विषयी सामान्य जागरूकता,General Awareness on Pregnancy
General Awareness on Module,मॉड्यूलवर सामान्य जागरूकता,General Awareness on Modules
General Awareness on Anaemia,रक्तशायाबद्दल सामान्य जागरूकता,General Awareness on Anaemia
General Awareness on SAM and MAM,गंभीर तीव्र कुपोषण आणि मध्यम तीव्र कुपोषण वर सामान्य जागरूकता,General Awareness on Severe and Medium Severe Malnutrition
General Awareness on Mother Care,आईच्या काळजीबद्दल सामान्य जागरूकता,General Awareness about Mothers Concern
General Awareness on the Delivery of the child,्रसूतीबद्दल आणि बाळाच्या जन्माबद्दल सामान्य जागरूकता,General Awareness about Maternity and Childbirth
Awareness for Pregnancy in Preventing Anemia,गरोदरपणात रक्तशय टाळण्यासाठी जागरूकता,Awareness to avoid bleeding during pregnancy
Lactating Mothers,स्तनपान करणारी माता,mother's breast milk
Awareness for Lactating Mother Complimentary Feeding for Children,स्तनपान करणाऱ्या मातेला मुलांसाठी पूरक आहार देण्यासाठी जागरूकता,Awareness to provide Supplementary Nutrition to Lactating Mothers
Awareness to Lactating Mother,स्तनपान करणा-या मातेबद्दल जागरूकता,Awareness for lactating mothers
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","मुलांमधील कुपोषण टाळण्यासाठी बुटकेपणा, लूकडेपणा याबाबत जनजागृती",Awareness on Stunting and Malnutrition among Children
Growth Monitoring Assessment Charts,ग्रोथ मॉनिटरिंग असेसमेंट चार्ट,Growth Monitoring Assessment Chart
Stunted Assessment Parameters,वयानुसार उंची याबद्दलचे मूल्यांकन मापदंड,Age-wise Altitude Assessment Criteria
Wasted Assessment Parameters,उंचीनुसार वजन याबद्दलचे मूल्यांकन मापदंड,Height wise Weight Assessment Criteria
Underweight Assessment Parameters,वयानुसार वजन याबद्दलचे मूल्यांकन मापदंड,Age wise Weight Assessment Criteria
Manuals,नियमावली,Rules and Regulations
Poshan Tracker Process Flow,पोषण ट्रेकर प्रकिया प्रवाह,Nutrition Tracker Process Stream
Circulars/Notifications,परिपत्रके/सूचना,Circulars / Notices
Clarification regarding Cost of Smart phones,स्मार्ट फोनच्या किमतीबाबत स्पष्टीकरण,Clarification regarding price of Smartphones
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रॅकरमध्ये अंगणवाडी सेवा योजनांचा डेटा अपलोड करणे,Uploading of Anganwadi Services data in POSHAN tracker
Data Plan for Mobile Application,मोबाईल ॲप्लिकेशनसाठी डेटा प्लॅन,Data Plan for Mobile Application
Specifications of Smart phone and Technical Compatibility Testing,स्मार्टफोनचे तपशील आणि तांत्रिक सुसंगतता चाचणी,Details and technical compatibility test of the smartphone
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियान अंतर्गत आयसीटी प्लॅटफॉर्मवर प्रशिक्षण,Training on ICT Platform under POSHAN Abhiyaan
New Poshan Tracker App - CSC-SPV Nodal Person,नवीन पोषण ट्रॅकर ॲप - सीएससी-एसपीव्ही नोडल व्यक्ती,New POSHAN Tracker App - CSC - SPV Nodal Person
New Poshan Tracker App,नवीन पोषण ट्रॅकर ॲप,New POSHAN Tracker App
Birth,जन्म,Date of birth
Bacillus Calmette Guerin (BCG),बॅसिलस कॅल्मेट ग्वेरिन (बीसीजी),Bacillus Calmett Guerin (BCG)
Oral Polio Vaccine (OPV)-0 dose ,ओरल पोलिओ व्हॅक्सिन (ओपीव्ही)-0 डोस ,Oral Polio Vaccine (OPV) - 0 dose
