en,ta,translated_helsinki
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,உங்களுக்கும் உங்கள் குடும்பத்துக்கும் பாதுகாப்பான மற்றும் திறமையான டிஜிட்டல் ஹெல்த் ரெக்கார்டுகளை உருவாக்குவதற்கான முதல் படி ABHA (ஹெல்த் ஐடி) ஐப் பயன்படுத்துவது தான்.,The first step is to use ABHA (HHD) to create secure and capable digital health records for you and your family.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","இது சுகாதார வழங்குநர்களுடன் உங்கள் தொடர்புகளை செயல்படுத்துகிறது, மேலும் சுகாதார நிபுணர்கள் மற்றும் சுகாதார சேவை வழங்குநர்களிடமிருந்து உங்கள் டிஜிட்டல் ஆய்வக அறிக்கைகள், மருந்துச்சீட்டுகள் மற்றும் நோயறிதல் ஆகியவற்றை தடையின்றி பெற அனுமதிக்கிறது.","This enables your contacts with health providers, and allows you to receive your digital research reports, medications, and disease from health professionals and health services providers."
Know More,மேலும் அறிக,More info
×,×,x
Frequently Asked Questions,அடிக்கடி கேட்கப்படும் கேள்விகள்,Frequently Asked Questions
ALL,அனைத்து,All
BENEFICIARY REGISTRATION,பயனாளிகளின் பதிவு,User Log
Take Home Ration,வீட்டு ரேஷன் எடுத்துக் கொள்ளுங்கள்,Take Home Reaction
Hot Cooked Meal,சூடான சமைத்த உணவு,An Unusual Food
What is Poshan Abhiyaan?,போஷன் அபியான் என்றால் என்ன?,What's Posson Aby?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","போஷன் அபியான் என்பது குழந்தைகள், இளம் பருவத்தினர், முன்னுரிமைக்கான ஊட்டச்சத்து விளைவுகளை மேம்படுத்துவதற்கான இந்தியாவின் முதன்மை திட்டமாகும்.","Posson Aby is India’s main goal for children, young people, and nutrition for the top priority."
What is the purpose of Launching Poshan Tracker?,போஷன் டிராக்கரைத் தொடங்குவதன் நோக்கம் என்ன?,What is the purpose of starting the fashion market?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","போஷான் டிராக்கர் பயன்பாட்டின் நோக்கம் அங்கன்வாடி மையத்தின் (ஏ.டபிள்யூ.சி) செயல்பாடுகள், அங்கன்வாடி தொழிலாளர்களின் சேவை வழங்கல்கள் (ஏ.டபிள்யூ.டபிள்யூ) மற்றும் கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளுக்கான முழுமையான பயனாளி மேலாண்மை பற்றிய 360 டிகிரி பார்வையை வழங்குவதாகும். முன்மொழியப்பட்ட அமைப்பு வரையறுக்கப்பட்ட குறிகாட்டிகளில் அனைத்து AWC கள், AWW கள் மற்றும் பயனாளிகளின் நிகழ்நேர கண்காணிப்பு மற்றும் கண்காணிப்பை செயல்படுத்த வேண்டும்.","The purpose of the Poshan Tractor is to provide a 360 degree view of full user management for women, mothers and children. All AWCs, AWWs and users should be monitored and monitored on all of the indicators set by the pre-defined system."
How can one Download Poshan Tracker App?,போஷன் டிராக்கர் அபிபி ஐ எவ்வாறு பதிவிறக்கம் செய்யலாம்?,How Can You Download the Possian Tractor Abbey?
Poshan Tracker App is available over Google playstore ,கூகிள் பிளேஸ்டோர் மூலம் போஷன் டிராக்கர் பயன்பாடு ,Use a quick deal with no delay between each card. Use a quick deal with no delay between each card.
Is poshan trackers app available over Apple I Store also?,.,This post is part of our special coverage Awake!
"No, Poshan Tracker is available only for Android version","இல்லை, போஷன் டிராக்கர் ஆண்ட்ராய்டு பதிப்பை மட்டுமே கிடைக்கிறது","No, that's just a version of the Poston Tractor Android version."
What is the minimum requirement to install Poshan Tracker App in mobile?,போஷன் டிராக்கர் பயன்பாட்டை மொபைலில் நிறுவ குறைந்தபட்ச தேவை என்ன?,What is at least required to install the installation of the Boson Tractor application on your mobile phone?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,போஷான் டிராக்கர் பயன்பாட்டை ஆண்ட்ராய்டு பதிப்பு 6.0 மற்றும் அதற்கு மேற்பட்ட ஆண்ட்ராய்டு தொலைபேசியில் மட்டுமே நிறுவ முடியும்.,An Andrew version 6.0 and more than an Andrew can only be installed on the mobile phone.
View All FAQs,எல்லா FAQ-களையும் காணுங்கள்,View All FAQs
Can a beneficiary register directly using application.,ஒரு பயனாளி விண்ணப்பத்தைப் பயன்படுத்தி நேரடியாகப் பதிவு செய்ய முடியுமா.,Whether to log in directly using a user's request.
Currently a beneficiary can register by the help of an AWW,தற்போது ஒரு பயனாளி AWW இன் உதவியுடன் பதிவு செய்யலாம்,AWW user is currently able to log in using
Who is a beneficiary?,ஒரு பயனாளி யார்?,Who is a user?
There are 6 categories for beneficiaries,பயனாளிகளுக்கு 6 பிரிவுகள் உள்ளன,There are six categories for users
Pregnant Women,கர்ப்பிணி பெண்கள்,The women of the house are the women of the house.
Lactating Mother,பாலூட்டும் தாய்மார்கள்,The mother of a pregnant woman in her early 20 ’ s said: “I don’t know what I’m going through. ”
Children from 0 to 6 months,0 முதல் 6 மாதங்கள் வரை உள்ள குழந்தைகள்,Children aged 0 to 6 months
Children from 6 months to 3 years,6 மாதங்கள் முதல் 3 ஆண்டுகள் வரை உள்ள குழந்தைகள்,Children aged 6 months to 3 years
Children from 3 years to 6 years,3 வயது முதல் 6 வயது வரையிலான குழந்தைகள்,Children aged 3 to 6
Adolescent girls,வாலிபப் பெண்கள்,Young People Ask How Can I Make Bible Reading Enjoyable?
Can a beneficiary change his/her AWC?,ஒரு பயனாளி தனது AWCயை மாற்ற முடியுமா?,Can a user change their AWC?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW ஆனது ஒரு பயனாளியை அவர்களின் ஆதார் எண்ணின் அடிப்படையில் ஒரு AWC இலிருந்து மற்றொரு AWC க்கு நகர்த்துவதற்கு 'Migrate Beneficiary' விருப்பத்தைப் பயன்படுத்தலாம்.,AWW became an AWW user to use the 'Migrate Beneficiary' option to move from one AWC to another AWC based on their identity.
What is the eligibility of a beneficiary?,ஒரு பயனாளியின் தகுதி என்ன?,What is a user’s due?
A beneficiary is eligible for THR for at least 21 days in a month.,ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு THRக்கு தகுதியுடையவர்.,A user is suitable for THR for at least 21 days in a month.
Who is eligible for Take Home Ration?,வீட்டுக்கு ரேஷன் எடுத்துச் செல்ல யார் தகுதியானவர்?,Who deserves the credit for taking the initiative in the house - to - house ministry?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள், 6 மாதங்கள் முதல் 3 வயது வரையிலான குழந்தைகள் மற்றும் பருவப் பெண்கள்.","Pregnant women, pregnant mothers, children and young women between the ages of 6 months and 3 years of age."
Where can I enquire about take home ration?,வீட்டிற்கு எடுத்துச் செல்லும் ரேஷன் பற்றி நான் எங்கே கேட்கலாம்?,Where can I ask you about the rating that will be taken home?
Please contact your respective Anganwadi worker.,உங்கள் அங்கன்வாடி பணியாளரை தொடர்பு கொள்ளவும்.,Contact your employer.
Who is eligible for additional supplementary food.,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்.,Who is worthy of more than one mate?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ஊட்டச்சத்து குறைபாடு உள்ள குழந்தைகள் கூடுதல் உணவுப் பொருட்களுக்கு தகுதியுடையவர்கள்.,Children with eating disorders are worth more than food.
A beneficiary is eligible for HCM for at least 21 days in a month.,ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு HCM க்கு தகுதியுடையவர்.,A user is suitable for HCM for at least 21 days in a month.
Who is eligible for Hot Cooked Meal?,சூடான சமைத்த உணவுக்கு யார் தகுதியானவர்?,Who Is Qualified for Fermented Food?
Children in the age group of 3 years to 6 years,3 வயது முதல் 6 வயது வரை இருக்கும் குழந்தைகள்,Children aged 3 to 6
Where can I enquire about Hot Cooked Meal?,சூடான சமைத்த உணவைப் பற்றி நான் எங்கே கேட்கலாம்?,Where can I ask you about a tasty meal?
Please contact your respective Anganwadi Centre.,உங்கள் அங்கன்வாடி மையத்தைத் தொடர்பு கொள்ளவும்.,Contact your Internet Service Centre.
Who is eligible for additional supplementary food?,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்?,Who Is Qualified of Extraordinary Food?
We are now available on Video Conference,வீடியோ கான்பரன்ஸ் மூலம் தற்போது நாம்,We are now using videoconferencing
State Video Conference,மாநில காணொளி மாநாடு,A convention of Jehovah’s Witnesses was held in New York City.
Monday to Friday ,திங்கள் முதல் வெள்ளி வரை ,To the first white
Join Now,இப்போது சேரவும்,Add Now
Anganwadi Worker Training,அங்கண்வாடி ஊழியர் பயிற்சி,Training in the Ministerial Training
Support,ஆதரவு,Support
 14408, 14408,14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,support-posthantrackr@gov.in
Download Mobile App,மொபைல் பயன்பாட்டைப் பதிவிறக்கவும்,Load Mobile Application
Terms of Service,சேவை விதிமுறைகள்,Cannot initialise Evolution's mail component.
Privacy Policy,தனியுரிமைக் கொள்கை,"The New World Translation of the Holy Scriptures, published by Jehovah’s Witnesses, is now published by Jehovah’s Witnesses."
Careers,தொழில்,_Other Organiser
About Poshan Tracker,போஷன் டிராக்கர் பற்றி,About Possian Tractor
Poshan Tracker App,போஷன் டிராக்கர் ஆப்,Possian Tractor Off
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","போஷன் டிராக்கர்' என்பது மொபைல் பயன்பாடு ஆகும், இது இந்திய அரசின் பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகத்தால் 1 மார்ச் 2021 அன்று தேசிய மின் ஆளுமைப் பிரிவு (NeGD), MyGov மூலம் ஒரு முக்கியமான ஆளுகைக் கருவியாக வெளியிடப்பட்டது. போஷான் டிராக்கரின் கீழ் உள்ள தொழில்நுட்பம், குழந்தைகளிடையே வளர்ச்சி குன்றிய நிலை, உடல் எடை குறைதல், உடல் எடை குறைவாக இருப்பது மற்றும் ஊட்டச்சத்து சேவை விநியோகத்தின் கடைசி மைல் கண்காணிப்பு போன்றவற்றின் ஆற்றல்மிக்க அடையாளத்திற்காக பயன்படுத்தப்படுகிறது.","Posson Traker' is a mobile application, which is used by Indian government women and children to improve national governance (NeGD) on March 1, 2021. MyGov is used as an important tool for managing the national government. The industrial tools under the Poshan tractor are used to identify such things as low growth status, lack of body weight, and low nutrition and the final monthly monitoring of the distribution of food services."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,"போஷன் டிராக்கர் என்பது அங்கன்வாடி பணியாளர்களின் முயற்சியின் பிரதிபலிப்புடன் சேவைகளை திறம்பட வழங்க உதவுகிறது. இது போஷன் அபியான் கீழ் முக்கியமான மற்றும் பயனாளிகளை மையமாகக் கொண்ட சேவை வழங்கல் விண்ணப்பமாகும், இது பகுப்பாய்வுகளுடன் நிகழ் நேரத் தரவை ஊக்குவிக்கும்.","The Possoon Tracker is a service provider that allows you to provide services in response to the workers' efforts. This is a request to provide services that are important and central to users under the Possion API, which will provide you with time-consuming data."
Poshan Tracker Features,போஷன் டிராக்கர் அம்சங்கள்,Gaussian Tractor Components
Real time recording and Monitoring,நிகழ்நேர பதிவு மற்றும் கண்காணிப்பு,Event log and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","போஷன் டிராக்கர் ஆனது அனைத்து AWCகள் மற்றும் பயனாளிகளின் நிகழ்நேர கண்காணிப்பு மற்றும் வரையறுக்கப்பட்ட குறிகாட்டிகளில் கண்காணிப்பதை செயல்படுத்துகிறது. இது மற்ற அமைச்சகங்கள் மற்றும் திட்டங்களின் டிஜிட்டல் தொழில்நுட்ப அமைப்புகளுடன் இணைந்த மையப்படுத்தப்பட்ட தரவு கட்டமைப்பைப் பயன்படுத்தி கட்டமைக்கப்பட்டுள்ளது. அங்கன்வாடி மையத்தின் (AWC) செயல்பாடுகள், அங்கன்வாடி பணியாளர்களின் (AWWs) சேவை வழங்கல்கள் மற்றும் கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளுக்கான முழுமையான பயனாளிகள் மேலாண்மை ஆகியவற்றின் 360 டிகிரி பார்வையை வழங்குவதே இதன் நோக்கமாகும். public dashboard பயனாளிகளுக்கு வழங்கப்படும் சேவைகளில் வெளிப்படைத்தன்மையை வழங்க உதவுகிறது.","All AWCs and users have been temporarily monitored and monitored in their designated identifiers. This is used to configure the data-based configuration associated with other organizations and projects' digital tool systems. The AWC functions of the Network Centre, the AWWs services, and the host women, mothers, and children's services are used to provide a 360 degree view of the system."
Services Delivered,வழங்கப்பட்ட சேவைகள்,_Other Organiser
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ஒரு பொத்தானைக் கிளிக் செய்வதன் மூலம் பயனாளிக்கான சேவைகளைக் கண்காணித்தல். டேக் ஹோம் ரேஷன் (THR) மற்றும் சூடான சமைத்த உணவு (HCM), கைக்குழந்தைகள் மற்றும் கர்ப்பிணிப் பெண்களுக்கு தடுப்பூசி போடுதல் போன்ற சேவைகள்.",Monitor services for users by clicking on a button. This can also be done by clicking on a button or by clicking on a button.
Growth Measurement,வளர்ச்சி அளவீடு,Size of the expander arrow
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","வெவ்வேறு வயது குழந்தைகள் AWW களால் மாதாந்திர அடிப்படையில் கண்காணிக்கப்படுகிறார்கள். உடல் வளர்ச்சி குன்றிய நிலை, உடல் தேய்மானம் மற்றும் எடை குறைவாக இருப்பது போன்ற சுகாதார குறிகாட்டிகள் WHO தரத்தின்படி அளவிடப்படுகிறது. வளர்ச்சி கண்காணிப்பு AWW கள் குழந்தைகளுக்கு பொருத்தமான மற்றும் சரியான நேரத்தில் உதவி வழங்க உதவுகிறது.","Various ageing children are monitored on the basis of AWW. Health indicators such as poor health, physical well-being, and loss of weight are measured according to WHO type. AWW development monitoring helps children to get help at the right time and at the right time."
Home Visit Alerts,வீட்டு விசிட் எச்சரிக்கைகள்,Home Wi-Fi Warnings
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","போஷன் டிராக்கர் ஆனது முக்கியமான கடைசி மைல் பயனாளிகளுக்கு தானியங்கி விழிப்பூட்டல்களை உருவாக்குகிறது. பயனாளிகள் மற்றும் கடமை தாங்குபவர்களின் உண்மையான நேர வருகையை ஆவணப்படுத்துவதன் மூலம் திறமையான தணிக்கையையும் இது உறுதி செய்கிறது. இந்த மேலாண்மை தகவல் அமைப்பு ஊட்டச்சத்து திட்டத்தை திறம்பட அளவிடுவதற்கும், நேர்மறையான தாக்கத்தை உருவாக்கி ஆவணப்படுத்துவதற்கும் உதவும்.",This will automatically create alerts for the last important email users. This will also ensure that the user and the responsible user have the correct time to do so. This will help you to measure the system feed project and create a direct attack.
Learning Videos,கற்றல் வீடியோக்கள்,Teaching Videos
❮,❮,I'm sorry. I'm sorry.
How to take care of weak newborn with the help of Kangaroo Mother Care,கங்காரு மதர் கேரின் உதவியுடன் பலவீனமான புதிதாகப் பிறந்த குழந்தையை எவ்வாறு பராமரிப்பது,How to care for a helpless newborn with the help of the Kankar religion
Preventing illnesses to avert Malnutrition and Death,ஊட்டச்சத்து குறைபாடு மற்றும் மரணத்தைத் தவிர்க்க நோய்களைத் தடுக்கிறது,Food shortages and death - dealing diseases are preventable
Prevention of Anemia in children and adolescents girls,குழந்தைகள் மற்றும் இளம்பெண்களில் இரத்த சோகை தடுப்பு,Blood Transfusion Prevention in Children and Adolescents
Birth Preparedness- For Institutional and Home Delivery,பிறப்புத் தயார்நிலை- நிறுவன மற்றும் வீட்டுப் பிரசவத்திற்கு,Birthdays & Anniversaries
Care of the weak newborn baby - How many weak babies are we missing?,பலவீனமான புதிதாகப் பிறந்த குழந்தையின் பராமரிப்பு - எத்தனை பலவீனமான குழந்தைகளை நாம் காணவில்லை?,How many weak children have we not seen in the care of a weak newborn?
Feeding During Illness,நோயின் போது தாய்ப்பால் கொடுப்பது,Mother - in - law care during the illness
Preparation During Pregnancy - For NewBorn Care & Family Planning,கர்ப்ப காலத்தில் தயாரித்தல் - புதிதாகப் பிறந்த குழந்தை பராமரிப்பு மற்றும் குடும்பக் கட்டுப்பாடு,Preparation during pregnancy - care and family control of a newborn child
Ensuring Exclusive Breastfeeding,பிரத்தியேகமாக தாய்ப்பால் கொடுப்பதை உறுதி செய்தல்,"To make sure that you give in to your mother’s will as a matter of urgency, you need to make sure that you are giving in to her."
Assessment of growth in children,குழந்தைகளின் வளர்ச்சியின் மதிப்பீடு,The Value of Children’s Growth
Preventing anemia in women,பெண்களுக்கு ஏற்படும் இரத்த சோகையை தடுக்கும்,Women’s Blood - Constricted Reproductive System
Complementary Feeding - Diet Diversity,துணை உணவு - உணவு பன்முகத்தன்மை,Food Supplies - Food Stimulants
Identification and care of a Weak Newborn baby,புதிதாகப் பிறந்த பலவீனமான குழந்தையை அடையாளம் காணுதல் மற்றும் பராமரித்தல்,Recognizing and Caring for a New Child
Observing Breastfeeding In Newborn Babies,புதிதாகப் பிறந்த குழந்தைகளில் தாய்ப்பால் கொடுப்பதைக் கவனித்தல்,Taking care of breast - feeding in newborns
Planning And Organising Community Based Events At AWC,AWC இல் சமூக அடிப்படையிலான நிகழ்வுகளைத் திட்டமிடுதல் மற்றும் ஏற்பாடு செய்தல்,Design and organise events based on social events at AWC
Making or Updating Home Visit Planner and Initiating home visits,ஹோம் விசிட் பிளானரை உருவாக்குதல் அல்லது புதுப்பித்தல் மற்றும் வீட்டுச் சந்திப்புகளைத் தொடங்குதல்,Create or renovate a home computer program and start home meetings
Ensuring that complementary feeding improves over time,காலப்போக்கில் துணை உணவு மேம்படுவதை உறுதி செய்தல்,Making sure that your mate’s meals are wholesome in the long run
How to ensure timely initiation of complementary feeding,துணை உணவுகளை சரியான நேரத்தில் தொடங்குவதை எவ்வாறு உறுதிப்படுத்துவது,How to determine how to start eating together at the right time
Identifying and preventing Severe Acute Malnutrition,கடுமையான ஊட்டச்சத்துக் குறைபாட்டைக் கண்டறிந்து தடுப்பது,To prevent the discovery of severe malnutrition
Identification & Referral of Sick Newborn,உடம்பு சரியில்லாத புதிதாகப் பிறந்த குழந்தையை அடையாளம் கண்டு பரிந்துரைத்தல்,Impartialization of a newborn child is not wrong
Supporting mothers with issues in Breastfeeding,தாய்ப்பால் கொடுப்பதில் சிக்கல் உள்ள தாய்மார்களுக்கு ஆதரவு அளித்தல்,Providing Support to Mothers With difficulty in breast - feeding
Why this Monthly Meeting?,ஏன் இந்த மாதாந்திர கூட்டம்?,Why is this extraordinary meeting?
❯,❯,I'm sorry. I'm sorry.
Awareness,விழிப்புணர்வு,Warning
ALL ,அனைத்து ,All
GENERAL ,பொது ,General
Pregnant Women ,கர்ப்பிணி பெண்கள் ,The women of the house are the women of the house.
Lactating Mothers ,பாலூட்டும் தாய்மார்கள் ,The mother of a pregnant woman in her early 20 ’ s said: “I don’t know what I’m going through. ”
CHILD CARE ,குழந்தை பராமரிப்பு ,Caring for a Child
General,பொது,General
Download PDF,Pdf ஐ பதிவிறக்கவும்,Download Pdf
General Awareness about Growth Monitoring of Children,குழந்தைகளின் வளர்ச்சி கண்காணிப்பு பற்றிய பொது விழிப்புணர்வு,Public Warning About Child’s Development
General Awareness about preventing illness in Children,குழந்தைகளுக்கு ஏற்படும் நோய்களைத் தடுப்பது பற்றிய பொதுவான விழிப்புணர்வு,A general awareness of the prevention of children’s diseases
General Awareness for Pregnancy,கர்ப்பத்திற்கான பொது விழிப்புணர்வு,A general warning against drunkenness is a form of sexual immorality.
General Awareness on Module,மாட்யூல் பற்றிய பொது விழிப்புணர்வு,Public Warning About Modules
General Awareness on Anaemia,இரத்த சோகை குறித்த பொது விழிப்புணர்வு,Public Warning About Blood Transfusion
General Awareness on SAM and MAM,SAM மற்றும் MAM பற்றிய பொது விழிப்புணர்வு,General warning about SAM and MAM
