en,pa,translated_helsinki
Enter Height in centimeter,ਸੈਂਟੀਮੀਟਰ ਵਿੱਚ ਉਚਾਈ ਦਰਜ ਕਰੋ,Centimeter-to-centimeter-to-cubic-inch conversion factor
Enter Weight in kilogram,ਕਿਲੋਗ੍ਰਾਮ ਵਿੱਚ ਵਜ਼ਨ ਦਰਜ ਕਰੋ,Kilograms per kilogram
Click on Show Results,ਨਤੀਜਾ ਦਿਖਾਓ 'ਤੇ ਕਲਿੱਕ ਕਰੋ,Click to view your results
Gender ,ਲਿੰਗ ,Link
Boy,ਮੁੰਡਾ,Son
Girl,ਕੁੜੀ,Girl
Date of Birth ,ਜਨਮ ਤਾਰੀਖ ,_Other Organiser
Height (CM) ,ਕੱਦ (ਸੈਮੀ) ,sometimes (Semi)
*Height should be between 38 to 150,*ਕੱਦ 38 ਤੋਂ 150 ਦੇ ਵਿਚਕਾਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ,* Sometimes it should be between 38 and 150
CM,ਸੈਮੀ,Sammy
Weight (KG) ,ਭਾਰ (ਕਿਗ੍ਰਾ) ,Weight (kigra)
*Weight should be between 0.90 to 58,*ਭਾਰ 0.90 ਤੋਂ 58 ਦੇ ਵਿਚਕਾਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ,* Level must be between 0.90 and 58
KG,ਕਿਗ੍ਰਾ,KINDNESS
Show Results,ਨਤੀਜੇ ਦਿਖਾਓ,Show results
ABHA (Health ID) and its Benefits,ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ) ਅਤੇ ਇਸਦੇ ਲਾਭ,ABHA (E.D.) and similar benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ਪਹਿਲਾਂ ਸਵਾਸਥ ਆਈ ਡੀ ਵਜੋਂ ਜਾਣਿਆ ਜਾਂਦਾ ਸੀ) ਆਯੁਸ਼ਮਾਨ ਭਾਰਤ ਹੈਲਥ ਅਕਾਉਂਟ ਦਾ ਸੰਖੇਪ ਰੂਪ ਹੈ।,ABHA (formerly known as AID) is a summary form of Ausman India account.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (ਸਵਾਸਥ ਆਈ ਡੀ) ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਪਰਿਵਾਰ ਲਈ ਸੁਰੱਖਿਅਤ ਅਤੇ ਕੁਸ਼ਲ ਡਿਜੀਟਲ ਸਿਹਤ ਰਿਕਾਰਡ ਬਣਾਉਣ ਵੱਲ ਪਹਿਲਾ ਕਦਮ ਹੈ।,The first step is to create a safe and good digital health record for you and your family.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ਇਹ ਸਵਾਸਥ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਭਾਗ ਲੈਣ ਵਾਲਿਆਂ ਨਾਲ ਤੁਹਾਡੀ ਗੱਲਬਾਤ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ, ਅਤੇ ਤੁਹਾਨੂੰ ਪ੍ਰਮਾਣਿਤ ਸਵਾਸਥ ਸੇਵਾ ਪੇਸ਼ੇਵਰਾਂ ਅਤੇ ਸਿਹਤ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਤੋਂ ਤੁਹਾਡੀਆਂ ਡਿਜੀਟਲ ਲੈਬ ਰਿਪੋਰਟਾਂ, ਨੁਸਖ਼ੇ ਅਤੇ ਨਿਰਵਿਘਨ ਰੋਗ ਡੀ ਪਛਾਣ ਕਰਨ ਦੀ ਸਹੁਲਤ ਦਿੰਦਾ ਹੈ।","This enables you to communicate with those who are involved in providing services, and allows you to identify your digital lab reports, newsletters, and non-performance diseases from approved service providers and health services."
Know More,ਹੋਰ ਜਾਣੋ,Go To
Frequently Asked Questions,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ,Frequently Asked Questions
ALL,ਸਾਰੇ,All
BENEFICIARY REGISTRATION,ਲਾਭਪਾਤਰੀ ਰਜਿਸਟ੍ਰੇਸ਼ਨ,_Other Organiser
Take Home Ration,ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਉ,Move ~a onto the foundation.
Hot Cooked Meal,ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ,Heat - Packed Food
What is Poshan Abhiyaan?,ਪੋਸ਼ਣ ਅਭਿਆਨ ਕੀ ਹੈ?,What Is the Purpose of Study?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸ਼ਣ ਅਭਿਆਨ, ਬੱਚਿਆਂ, ਕਿਸ਼ੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਨਿਸ਼ਾਨਾ ਪਹੁੰਚ ਅਤੇ ਇਕਸਾਰਤਾ ਦੁਆਰਾ ਲਾਭ ਪ੍ਰਾਪਤ ਕਰਨ ਦੇ ਪੋਸ਼ਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਵਿੱਚ ਸੁਧਾਰ ਲਿਆਉਣ ਲਈ ਭਾਰਤ ਦਾ ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ |","India's main programme is to improve research, children, adolescents, pregnant women and pregnant mothers, technology, achievement of a sign, and the benefits of equality."
What is the purpose of Launching Poshan Tracker?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਨੂੰ ਸ਼ੁਰੂ ਕਰਨ ਦਾ ਉਦੇਸ਼ ਕੀ ਹੈ?,What is the purpose of starting a search engine?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ਪੋਸ਼ਣ ਟਰੈਕਰ ਐਪਲੀਕੇਸ਼ਨ ਦਾ ਉਦੇਸ਼ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ) ਦੀ ਸੇਵਾ ਸਪੁਰਦਗੀ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਪੂਰਨ ਲਾਭਪਾਤਰੀ ਪ੍ਰਬੰਧਨ ਦੇ ਕੰਮਾਂ ਦਾ ਇੱਕ 360 ਡਿਗਰੀ ਦ੍ਰਿਸ਼ ਪ੍ਰਦਾਨ ਕਰਨਾ ਹੈ| ਪ੍ਰਸਤਾਵਿਤ ਪ੍ਰਣਾਲੀ ਨੂੰ ਪਰਿਭਾਸ਼ਤ ਸੂਚਕਾਂ ਤੇ ਸਾਰੇ ਏਡਬਲਯੂਸੀ, ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ|","The purpose of the search tractor application is to provide a 360 degree picture of activities for pregnant women, pregnant women, pregnant mothers and children, and to provide a 360 degree picture of activities of full-time management for pregnant women and children, which is common to the affected list and all ADBLUSE, double-blooded and user-time monitoring and training."
How can one Download Poshan Tracker App?,ਕੋਈ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿਵੇਂ ਡਾਊਨਲੋਡ ਕਰ ਸਕਦਾ ਹੈ?,How can a query trackr upload?
Poshan Tracker App is available over Google playstore ,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਗੂਗਲ ਪਲੇਸਟੋਰ ,Search Tracker P. Google Player
Is poshan trackers app available over Apple I Store also?, ਤੇ ਉਪਲਬਧ ਹੈ|,Cannot initialise Evolution's mail component.
"No, Poshan Tracker is available only for Android version",ਕੋਈ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਕੇਵਲ ਐਂਡਰਾਇਡ ਸੰਸਕਰਣ ਲਈ ਉਪਲਬਧ ਨਹੀਂ ਹੈ|,No search tracker is available for an addrid conversion only.
What is the minimum requirement to install Poshan Tracker App in mobile?,ਮੋਬਾਈਲ ਵਿੱਚ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਨੂੰ ਸਥਾਪਤ ਕਰਨ ਲਈ ਘੱਟੋ ਘੱਟ ਲੋੜ ਕੀ ਹੈ?,What minimum is needed to install the search tracker into the mobile?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਸਿਰਫ ਐਂਡਰਾਇਡ ਫੋਨ ਵਿੱਚ ਐਂਡਰਾਇਡ ਵਰਜ਼ਨ 6.0 ਅਤੇ ਇਸਤੋਂ ਵੱਧ ਦੇ ਨਾਲ ਇੰਸਟੌਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ|,The search tracker can only be installed on the Android version 6.0 and with more than it can be installed.
View All FAQs,ਸਾਰੇ ਅਕਸਰ ਪੁੱਛੇ ਜਾਂਦੇ ਪ੍ਰਸ਼ਨ ਦੇਖੋ,"See the Questions Young People Ask — Answers That Work, Volume 2, published by the Watchtower Bible and Tract Society of New York, Inc."
Can a beneficiary register directly using application.,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਐਪਲੀਕੇਸ਼ਨ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਸਿੱਧਾ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ।,Whether or not to use useful applications to register directly.
Currently a beneficiary can register by the help of an AWW,ਵਰਤਮਾਨ ਵਿੱਚ ਇੱਕ ਲਾਭਪਾਤਰੀ ਆਂਗਨਵਾੜੀ ਵਰਕਰ ਦੀ ਮਦਦ ਨਾਲ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ,Can register with a useful logging agent in use
Who is a beneficiary?,ਲਾਭਪਾਤਰੀ ਕੌਣ ਹੈ?,Who Is Qualified?
There are 6 categories for beneficiaries,ਲਾਭਪਾਤਰੀਆਂ ਲਈ 6 ਸ਼੍ਰੇਣੀਆਂ ਹਨ,6 Questions From Readers
Pregnant Women,ਗਰਭਵਤੀ ਔਰਤਾਂ,Pregnant Women
Lactating Mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ,Mothers who are breast - feeding
Children from 0 to 6 months,0 ਤੋਂ 6 ਮਹੀਨੇ ਤੱਕ ਦੇ ਬੱਚੇ,Children aged 0 to 6 months
Children from 6 months to 3 years,6 ਮਹੀਨਿਆਂ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ,From 6 months to 3 years of age
Children from 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ,Children between 3 and 6 years of age
Adolescent girls,ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ,Eight-year-olds
Can a beneficiary change his/her AWC?,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਆਪਣਾ ਆਂਗਨਵਾੜੀ ਸੈਂਟਰ ਬਦਲ ਸਕਦਾ ਹੈ?,Can anyone benefit from changing their fire - resistant center?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ਇੱਕ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਇੱਕ ਲਾਭਪਾਤਰੀ ਨੂੰ ਇੱਕ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਤੋਂ ਦੂਜੇ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਆਧਾਰ ਨੰਬਰ ਦੇ ਆਧਾਰ 'ਤੇ ਮਾਈਗ੍ਰੇਟ ਕਰਨ ਲਈ 'ਮਾਈਗ੍ਰੇਟ ਲਾਭਪਾਤਰੀ' ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦਾ ਹੈ।,An angular operator can use the 'migrate utility' option to migrate from one angular center to another angular center based on their number.
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?,What is the potential for good?
A beneficiary is eligible for THR for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ THR ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।,THR is enabled for at least 21 days in a month of benefit.
Who is eligible for Take Home Ration?,ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਣ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,Who Is Qualified to Rule?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ, 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ ਅਤੇ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ।","Pregnant women, breast-feeding mothers, children from 6 months to 3 years of age and girls under the age of 6 years."
Where can I enquire about take home ration?,ਮੈਂ ਘਰ ਰਾਸ਼ਨ ਲਿਜਾਣ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,Where can I ask you about taking the house?
Please contact your respective Anganwadi worker.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,Please contact your connected firewall factory.
Who is eligible for additional supplementary food.,ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।,Who is able to feed more fully.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।",Children who are known to be undernourished are able to eat more fully.
A beneficiary is eligible for HCM for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ ਐਚਸੀਐਮ ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।,ACTIM is enabled for at least 21 days in a month of benefit.
Who is eligible for Hot Cooked Meal?,ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,Who Is Qualified for Healed Food?
Children in the age group of 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚੇ,Children between 3 and 6 years of age
Where can I enquire about Hot Cooked Meal?,ਮੈਂ ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,Where can I ask about warm meals?
Please contact your respective Anganwadi Centre.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,Please contact your connected firewall centre.
Who is eligible for additional supplementary food?,ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,Who Is Qualified for More Food?
We are now available on Video Conference,ਅਸੀਂ ਹੁਣ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਉਪਲਬਧ ਹਾਂ,We are now available at video conferences
State Video Conference,ਰਾਜਸੀ ਵੀਡਿਓ ਕਾਨਫਰੰਸ,Kingdom Video Conferences
Monday to Friday ,ਸੋਮਵਾਰ ਤੋਂ ਸ਼ੁੱਕਰਵਾਰ ,From Saturday to Friday
Join Now,ਹੁਣੇ ਸ਼ਾਮਲ ਹੋਵੋ,Add Now
Anganwadi Worker Training,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਸਿਖਲਾਈ,"In the early years of his life, he was a full - time minister of Jehovah’s Witnesses, a full - time minister of the Watch Tower Bible and Tract Society of New York, U.S.A."
×,×,x
Support,ਸਹਿਯੋਗ,Support
 14408, 14408,14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,support-posthantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ,Download Mobile Up
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ,The Conditions of Service
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ,Privacy Policy
Careers,ਕਰੀਅਰ,Synchronising folder
About Poshan Tracker,ਪੋਸ਼ਣ ਟਰੈਕਰ ਬਾਰੇ,About Search Tracker
Poshan Tracker App,ਪੋਸ਼ਣ ਟਰੈਕਰ ਐਪ,Search Tracker
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","ਪੋਸ਼ਣ ਟਰੈਕਰ' ਇੱਕ ਮੋਬਾਈਲ ਅਧਾਰਤ ਐਪਲੀਕੇਸ਼ਨ ਹੈ ਜੋ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ, ਭਾਰਤ ਸਰਕਾਰ ਦੁਆਰਾ 1 ਮਾਰਚ 2021 ਨੂੰ ਨੈਸ਼ਨਲ ਈ-ਗਵਰਨੈਂਸ ਡਿਵੀਜ਼ਨ (NeGD), MyGov ਦੁਆਰਾ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਗਵਰਨੈਂਸ ਟੂਲ ਵਜੋਂ ਸ਼ੁਰੂ ਕੀਤੀ ਗਈ ਹੈ। ਪੋਸ਼ਣ ਟਰੈਕਰ ਦੇ ਤਹਿਤ ਤਕਨਾਲੋਜੀ ਦਾ ਬੱਚਿਆਂ ਵਿੱਚ ਲਗਾਤਾਰ ਅਵਿਕਸਿਤਤਾ, ਦੁਰਬਲਤਾ, ਘੱਟ ਵਜ਼ਨ ਦੀ ਪਛਾਣ ਅਤੇ ਪੋਸ਼ਣ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਦੇ ਅਖੀਰ ਤੱਕ ਟਰੈਕਿੰਗ ਲਈ ਲਾਭ ਉਠਾਇਆ ਜਾ ਰਿਹਾ ਹੈ।.","The search tracker is a mobile based application that was launched by the Government of India on March 1, 2021 by the National E-Guarnance Drive (NeGD), MyGov as an important government tool. The search trainer's experience is being used to track children's consistent independence, vulnerability, knowledge of low age and service of search."
