en,bn,translated_helsinki
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","পশান ট্র্যাকার অ্যাপ্লিকেশনটির উদ্দেশ্য হ'ল অঙ্গনবাদী কেন্দ্রের (AWC) কার্যক্রমের ৩৬০ ডিগ্রি ভিউ, অঙ্গনওয়াড়ি কর্মীদের সেবা সরবরাহ এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা ও শিশুদের জন্য সম্পূর্ণ উপকারভোগী ব্যবস্থাপনার ব্যবস্থা করা। প্রস্তাবিত সিস্টেমে নির্ধারিত সূচকগুলিতে সমস্ত AWC, AWW এবং সুবিধাভোগীদের রিয়েল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।","The application was designed to provide full-time monitoring and training for pregnant women and pregnant women, mothers and children. All AWC, AWW and volunteers have to be able to live time monitoring and training in the proposed system."
How can one Download Poshan Tracker App?,কীভাবে একজন পশান ট্র্যাকার অ্যাপ্লিকেশন ডাউনলোড করতে পারেন?,How can one download a live track application?
Poshan Tracker App is available over Google playstore ,পশান ট্র্যাকার অ্যাপ্লিকেশন গুগল প্লেস্টোর ,Google Talker Application
Is poshan trackers app available over Apple I Store also?,অ্যাপল আই স্টোরের উপরেও কি পশান ট্র্যাকস অ্যাপ পাওয়া যায়?,Can animal tracks be found on the Apple I store?
"No, Poshan Tracker is available only for Android version","না , পশান ট্র্যাকারস অ্যাপটি শুধুমাত্র অ্যান্ড্রয়েড ভার্সানের জন্য উপলব্ধ।","No, it's only available for Andread's version."
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলে পশান ট্র্যাকার অ্যাপটি ইনস্টল করার জন্য ন্যূনতম প্রয়োজনীয়তা কী?,What is the minimum required to install mobile broadband access?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পশান ট্র্যাকার অ্যাপটি কেবল ৬.০ এবং তারপরের অ্যান্ড্রয়েড ভার্সানের অ্যান্ড্রয়েড ফোনে ইনস্টল করা যেতে পারে।,Only 6.0 and then Andrew Versailles can be installed on the reverse phone.
View All FAQs,সব প্রায়শ জিজ্ঞাসিত প্রশ্ন (FAQ) দেখুন,View All Accessed Questions (FAQ)
Can a beneficiary register directly using application.,একজন সুবিধাভোগী কি অ্যাপ্লিকেশনটি ব্যবহার করে সরাসরি নিবন্ধন করতে পারেন।,A simple keyboard application can be used to record directly.
Currently a beneficiary can register by the help of an AWW,বর্তমানে একজন সুবিধাভোগী AWW এর সাহায্যে নিবন্ধন করতে পারেন,AWW can now be registered with an AWW
Who is a beneficiary?,একজন সুবিধাভোগী কে?,Who's a pleasure?
There are 6 categories for beneficiaries,সুবিধাভোগীদের 6টি বিভাগ রয়েছে,There are 6 categories of volunteers
Pregnant Women,গর্ভবতী মহিলা,Pregnant woman
Lactating Mother,স্তন্যদানকারী মা,The mother appreciates it.
Children from 0 to 6 months,0 থেকে 6 মাস পর্যন্ত বয়সী শিশুরা,Children aged from 0 to 6 months
Children from 6 months to 3 years,6 মাস থেকে 3 বছর পর্যন্ত বয়সী শিশুরা,From 6 months to 3 years of age
Children from 3 years to 6 years,3 বছর থেকে 6 বছর পর্যন্ত বয়সী শিশুরা,Children between 3 and 6 years of age
Adolescent girls,কিশোরী মেয়েরা,Young People Ask...
Can a beneficiary change his/her AWC?,একজন সুবিধাভোগী কি তার AWC পরিবর্তন করতে পারেন?,Can a volunteer change his AWC?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,একটি AWW একটি AWC থেকে অন্য AWC-তে তাদের আধার নম্বরের ভিত্তিতে স্থানান্তর করতে 'মাইগ্রেট বেনিফিশিয়ারি' বিকল্প ব্যবহার করতে পারেন।,AWW can use the 'Migret Benificiary' option to move from one AWC to another AWC based on their base number.
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,Should a happy person be able to make a success of his life?
A beneficiary is eligible for THR for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য THR পাওয়ার যোগ্য।,The THR is available for at least 21 days a month.
Who is eligible for Take Home Ration?,কে বাড়িতে নিয়ে যাওয়ার জন্য রেশনের পাওয়ার যোগ্য?,Who can get a ride to the house?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গর্ভবতী মহিলা, স্তন্যদানকারী মা, 6 মাস থেকে 3 বছর বয়সী শিশু এবং কিশোরী মেয়েরা।","The pregnant woman, the appreciative mother, children from 6 months to 3 years of age and girls."
Where can I enquire about take home ration?,বাড়িতে নিয়ে যাওয়ার জন্য রেশনের ব্যাপারে আমি কোথায় জিজ্ঞাসা করতে পারি?,Where can I ask you about the rating to take home?
Please contact your respective Anganwadi worker.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কর্মীর সাথে যোগাযোগ করুন।,Please contact your own computer worker.
Who is eligible for additional supplementary food.,কারা অতিরিক্ত সম্পূরক খাদ্য পাওয়ার জন্য যোগ্য।,Who can get more food.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হয়েছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওয়ার যোগ্য।,More food is available to those children who have been marked by breast cancer.
A beneficiary is eligible for HCM for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওয়ার যোগ্য।,"In a happy month, HCM can be found for at least 21 days."
Who is eligible for Hot Cooked Meal?,কারা গরম রান্না করা খাবারের জন্য যোগ্য?,Who Is Qualified to Rule?
Children in the age group of 3 years to 6 years,3 বছর থেকে 6 বছর বয়সী শিশুরা,Children between 3 and 6 years of age
Where can I enquire about Hot Cooked Meal?,আমি কোথায় গরম রান্না করা খাবার সম্পর্কে জিজ্ঞাসা করতে পারি?,Where can I ask about hot food?
Please contact your respective Anganwadi Centre.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কেন্দ্রে যোগাযোগ করুন।,Please contact your own computer centre.
Who is eligible for additional supplementary food?,কে অতিরিক্ত সম্পূরক খাদ্য পাওয়ার যোগ্য?,Who can get more complete food?
We are now available on Video Conference,আমরা এখন ভিডিও কনফারেন্সে উপলব্ধ,We are now available at the video conference
State Video Conference,রাজ্য ভিডিও কনফারেন্স,Kingdom Video Conferences
Monday to Friday ,সোম থেকে শুক্র ,From Somme
Join Now,এখনি যোগদান করুন,Join Now
Anganwadi Worker Training,অঙ্গনওয়াড়ি কর্মীদের প্রশিক্ষণ,Training Fireworks
×,×,x
Support,সহায়তা,Help
 14408, 14408,14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,support-posthantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন,Download mobile app
Terms of Service,পরিষেবা পাওয়ার শর্ত,Could not close temporary folder: %s
Privacy Policy,গোপনীয়তা নীতি,Privacy Policy
Careers,কেরিয়ার,Keriyar
About Poshan Tracker,পোশান ট্র্যাকার সম্পর্কে,About Post-Tracker
Poshan Tracker App,পোশান ট্র্যাকার অ্যাপ,Posian Track Up
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘পোশান ট্র্যাকার’ হল একটি মোবাইল ভিত্তিক অ্যাপ্লিকেশন, যা ভারত সরকারের মহিলা ও শিশু উন্নয়ন মন্ত্রক, 1লা মার্চ 2021 থেকে ন্যাশনাল ই-গভর্নেন্স ডিভিশন (NeGD), MyGov-এর মাধ্যমে একটি গুরুত্বপূর্ণ গভর্নেন্স টুল হিসাবে চালু করেছে। পোশান ট্র্যাকারের অধীনে প্রযুক্তিটি বৃদ্ধিতে বাধা, অপুষ্টি, শিশুদের মধ্যে কম ওজনের প্রাদুর্ভাব এবং পুষ্টি পরিষেবা সরবরাহের শেষ মাইল ট্র্যাকিংয়ের গতিশীল সনাক্তকরণের জন্য ব্যবহার করা হচ্ছে.","'Posian Tractor' is a mobile basic application, which has been used by women and children of the Government of India as an important tool through the National E-Governments Division (NeGD) since March 1, 2021. Under the Posian Tractor, technology is being used for the rapid detection of disability, disability, low priority among children and post-posting know-how."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,পোশান ট্র্যাকার হল অঙ্গনওয়াড়ি কর্মীদের তাদের প্রচেষ্টার প্রতিফলন সহ দক্ষতার সাথে পরিষেবা প্রদানের জন্য একটি জব এড। এটি পোশান অভিযানের অধীনে একটি গুরুত্বপূর্ণ এবং সুবিধাভোগী-কেন্দ্রিক পরিষেবা সরবরাহের অ্যাপ্লিকেশন যা বিশ্লেষণ করে রিয়েল টাইম ডেটা প্রোমোট করবে.,Posian trucker is a JAB to identify workers with their ability to respond to their efforts. It will promote an important and positive-centred application that analyzes the real time data.
WHAT ARE,গুলি কি,Key to hold
Poshan Tracker Features,পোশান ট্র্যাকার বৈশিষ্ট্য,Cannot initialise Evolution's mail component.
Real time recording and Monitoring,রিয়েল টাইম রেকর্ডিং এবং মনিটরিং,Real time recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","পোশান ট্র্যাকার সমস্ত AWC এবং সংজ্ঞায়িত সূচকে সুবিধাভোগীদের রিয়েল-টাইম পর্যবেক্ষণ এবং ট্র্যাকিং সক্ষম করে। এটি কেন্দ্রীভূত ডেটা আর্কিটেকচার ব্যবহার করে তৈরি করা হয়েছে যা অন্যান্য মন্ত্রণালয় এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমের সাথে সারিবদ্ধ। উদ্দেশ্য হল অঙ্গনওয়াড়ি কেন্দ্রের (AWC), অঙ্গনওয়াড়ি কর্মীদের (AWWs) পরিষেবা প্রদান এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা এবং শিশুদের জন্য সম্পূর্ণ সুবিধাভোগী ব্যবস্থাপনার 360-ডিগ্রি ভিউ প্রদান করা। পাবলিক ড্যাশবোর্ড সুবিধাভোগীদের প্রদান করা পরিষেবাগুলিতে স্বচ্ছতা প্রদানে সহায়তা করে.","All AWCs and the defined information enables them to monitor and track the real-time of volunteers. It is built using central data architecture that is consistent with other ministries and programs' digital access systems. The aim is to provide access to information for women, support mothers and children."
Services Delivered,সেবা প্রদান করা হয়েছে,Service Assigned
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ব্যাস একটি বোতামের ক্লিকেই শেষ সুবিধাভোগী পর্যন্ত পরিষেবার ট্র্যাকিং। টেক হোম রেশন (THR) এবং গরম রান্না করা খাবার (HCM), শিশু এবং গর্ভবতী মহিলাদের জন্য টিকা প্রদানের মতো পরিষেবা.","By clicking a button on the bus, you will be able to track up to the last convenience. Tek Home Reaction (THR) and hot food (HCM), children and pregnant women."
Growth Measurement,বৃদ্ধির পরিমাপ,Size of the expander arrow
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWWs দ্বারা মাসিক ভিত্তিতে বিভিন্ন বয়সের শিশুদের পর্যবেক্ষণ করা হয়। স্বাস্থ্য সূচক যেমন স্টান্টিং, ওয়েস্টিং এবং কম ওজনের প্রাদুর্ভাব WHO-এর মান অনুযায়ী পরিমাপ করা হয়। নিয়মিত বৃদ্ধি পর্যবেক্ষণ AWW-কে শিশুদের প্রাসঙ্গিক এবং সময়মত সহায়তা প্রদান করতে সাহায্য করে.","AWWs monitors children of different ages on a monthly basis. Health indicators such as Stanting, Westing, and fewer people are measured according to the default WHO. Regular monitoring helps AWW to provide child care and time-consuming assistance."
Home Visit Alerts,হোম ভিজিট সতর্কতা,Home Page Warning
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","পোশান ট্র্যাকার শেষ-মাইলের গুরুত্বপূর্ণ সুবিধাভোগীদের জন্য স্বয়ংক্রিয় অ্যালার্ট তৈরী করে। এটি সুবিধাভোগী এবং দায়িত্ব বহনকারীদের রিয়েল-টাইম উপস্থিতি নথিভুক্ত করে বিতরণ ব্যবস্থার একটি দক্ষ নিরীক্ষা নিশ্চিত করে। এই ম্যানেজমেন্ট ইনফরমেশন সিস্টেম পুষ্টি প্রোগ্রামকে দক্ষতার সাথে মাপতে সাহায্য করবে, যার ফলে একটি ইতিবাচক প্রভাব তৈরি এবং নথিভুক্ত করবে.","Posian Track provides automatic alerts for key users of the end-mail. This ensures a level of security of distribution by documenting the presence of the licensee and the carrier of duties. This management information system will help to scale the program with skill, thereby creating and documenting a critical impact."
Learning Videos,লার্নিং ভিডিও,Lorning video
How to take care of weak newborn with the help of Kangaroo Mother Care,ক্যাঙ্গারু মাদার কেয়ারের সাহায্যে কীভাবে দুর্বল নবজাতকের যত্ন নেওয়া যায়,How Can a Poor Nebula Can Be Helped by the Cangary Mother’s Care?
Preventing illnesses to avert Malnutrition and Death,অপুষ্টি এবং মৃত্যু এড়াতে অসুস্থতা প্রতিরোধ করা,Preventing Sickness From Endeavoring Poverty and Death
Prevention of Anemia in children and adolescents girls,শিশু এবং কিশোরী মেয়েদের মধ্যে রক্তাল্পতা প্রতিরোধ,Children and Young People — Resist Blood Transfusion
Birth Preparedness- For Institutional and Home Delivery,জন্মের প্রস্তুতি- প্রাতিষ্ঠানিক এবং হোম ডেলিভারির জন্য,For Birthdays & Anniversaries
Care of the weak newborn baby - How many weak babies are we missing?,দুর্বল নবজাতক শিশুর যত্ন - আমরা কতগুলি দুর্বল শিশুকে হারাচ্ছি?,How many children do we lose?
Feeding During Illness,অসুস্থতার সময় খাওয়ানো,Eating Time Disorders
Preparation During Pregnancy - For NewBorn Care & Family Planning,গর্ভাবস্থায় প্রস্তুতি - নবজাতকের যত্ন ও পরিবার পরিকল্পনার জন্য,"In the early years of my life, I began to study the Bible with Jehovah’s Witnesses, and I began to study the Bible with Jehovah’s Witnesses."
Ensuring Exclusive Breastfeeding,শুধুমাত্র বুকের দুধ খাওয়ানো নিশ্চিত করুন,Just make sure you don't have to eat books.
Assessment of growth in children,শিশুদের বৃদ্ধির মূল্যায়ন,The Value of Children’s Growth
Preventing anemia in women,মহিলাদের মধ্যে অ্যানিমিয়া প্রতিরোধ,Anonymity Against Women
Complementary Feeding - Diet Diversity,পরিপূরক খাওয়ানো - খাদ্য বৈচিত্র্য,Whole Food — Food in Abundance
Identification and care of a Weak Newborn baby,একটি দুর্বল নবজাতক শিশুর সনাক্তকরণ এবং যত্ন,Finding and Caring for a Poor Nineteen - year - old Child
Observing Breastfeeding In Newborn Babies,নবজাতক শিশুদের বুকের দুধ খাওয়ানো পর্যবেক্ষণ করা,Watching the Feeding of Nineteenth - Century Children
Planning And Organising Community Based Events At AWC,AWC-তে কমিউনিটি ভিত্তিক ইভেন্টের পরিকল্পনা ও আয়োজন,Design and organise community events in AWC
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিট প্ল্যানার তৈরি বা আপডেট করা এবং হোম ভিজিট শুরু করা,Create or update a home view planner and start home view
Ensuring that complementary feeding improves over time,পরিপূরক খাওয়ানো যাতে সময়ের সাথে সাথে উন্নত হয় তা নিশ্চিত করা,Make sure you eat all the time you need to make sure that you get the most of it.
How to ensure timely initiation of complementary feeding,কিভাবে পরিপূরক খাওয়ানোর সময়মত সূচনা নিশ্চিত করা যায়,How to make sure that you have enough time to eat
Identifying and preventing Severe Acute Malnutrition,গুরুতর তীব্র অপুষ্টি সনাক্তকরণ এবং প্রতিরোধ করা,Aim to detect and counteract a major increase in blood pressure
Identification & Referral of Sick Newborn,অসুস্থ নবজাতকের সনাক্তকরণ ও রেফারেল,Diabetes mellitus and refurbishment
Supporting mothers with issues in Breastfeeding,স্তন্যপান করানোয়ে সমস্যা আছে এমন মায়েদের জন্য সহায়তা,Help for Mothers Who Have a Problem With Respect
Why this Monthly Meeting?,কেন এই মাসিক মিটিংটি কেন?,Why this monthly meeting?
Awareness,সচেতনতা,Warning
ALL ,সব ,All
Pregnant Women ,গর্ভবতী মহিলাদের ,"For example, in the United States, the number of women who are pregnant is higher than the number of women who are breast - feeding."
Lactating Mothers ,স্তন্যদানকারী মায়েরা ,How can we show that we are grateful to Jehovah for providing us with life’s necessities?
CHILD CARE ,চাইল্ড কেয়ার ,Child Carer
General,সাধারণ,General
Download PDF,PDF ডাউনলোড করুন,Download PDF
General Awareness about Growth Monitoring of Children,শিশুদের বৃদ্ধি পর্যবেক্ষণ সম্পর্কে সাধারণ সচেতনতা,Common Warning About Child’s Beverages
General Awareness about preventing illness in Children,শিশুদের অসুস্থতা প্রতিরোধ সম্পর্কে সাধারণ সচেতনতা,Common Warning About Children’s Health
General Awareness for Pregnancy,গর্ভাবস্থার জন্য সাধারণ সচেতনতা,General warning for pregnant women
General Awareness on Module,মডিউলে সাধারণ সচেতনতা,A general warning indicator for the module
General Awareness on Anaemia,অ্যানিমিয়া সম্পর্কে সাধারণ সচেতনতা,General warning about animation
General Awareness on SAM and MAM,SAM এবং MAM সম্পর্কে সাধারণ সচেতনতা,Common Warning About SAM and MAM
General Awareness on Mother Care,মায়ের তত্ত্বাবধান সম্বন্ধে সাধারণ সচেতনতা,Common Warning About Mother’s Injury
General Awareness on the Delivery of the child,সন্তান প্রসবের বিষয়ে সাধারণ সচেতনতা,A Common Warning About Childbirth
Pregnant Women,গর্ভবতী মহিলাদের,"For example, in the United States, the number of women who are pregnant is higher than the number of women who are breast - feeding."
Awareness for Pregnancy in Preventing Anemia,অ্যানিমিয়া প্রতিরোধে গর্ভাবস্থার জন্য সচেতনতা,Caution for pregnant women against animation
Lactating Mothers,স্তন্যদানকারী মায়েরা,How can we show that we are grateful to Jehovah for providing us with life’s necessities?
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুদের জন্য স্তন্যদানকারী মায়েদের পরিপূরক খাওয়ানোর বিষয়ে সচেতনতা,Be careful about eating whole - souled mothers who are grateful for their children
Awareness to Lactating Mother,স্তন্যদানকারী মায়েদের জন্য সচেতনতা,How can parents help their children to develop self - control and self - control?
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুদের মধ্যে অপুষ্টি প্রতিরোধে শিশুদের বৃদ্ধিতে বাধা, অপুষ্টির ব্যাপারে সচেতনতা",Obstacles to Children’s Growth
