en,or,translated_helsinki
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର (ଏଡବ୍ଲ୍ୟୁସି)ର କାର୍ଯ୍ୟକଳାପ, ଅଙ୍ଗନୱାଡି କର୍ମୀ (ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ)ର ସେବା ବିତରଣ ଏବଂ ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନପାନ କରାଉଥିବା ମାଆ ଏବଂ ଶିଶୁମାନଙ୍କ ପାଇଁ ସମ୍ପୂର୍ଣ୍ଣ ହିତାଧିକାରୀ ପରିଚାଳନା ବିଷୟରେ 360-ଡିଗ୍ରୀ ଦୃଶ୍ୟ ପ୍ରଦାନ କରିବା ହେୁଛି ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ଲିକେସନ୍‌ର ଉଦ୍ଦେଶ୍ୟ । ପ୍ରସ୍ତାବିତ ପ୍ରଣାଳୀ ନିର୍ଦ୍ଦିଷ୍ଟ ସଙ୍କେତ ଉପରେ ସମସ୍ତ ଏଡବ୍ଲ୍ୟୁସି, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ ଏବଂ ହିତାଧିକାରୀଙ୍କ ପ୍ରକୃତ ନୀରିକ୍ଷଣ ଏବଂ ଟ୍ରାକିଂକୁ ସକ୍ଷମ କରିବା ଉଚିତ ।","The project of Angwadi Centre (Advulce) is aimed at providing a 360-degree view of the management of complete administrative management of children and children of the former trucker application, the development of the services of Angwadi Works (Advulture), and the development of pregnant women, and the management of adult mothers and children. The aim of the previous trucker application is to provide a 360-degree view of the management of fully-fledged children and children."
How can one Download Poshan Tracker App?,ଜଣେ କିପରି ଭାବେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ ଡାଉନଲୋଡ୍ କରିପାରିବେ?,How can you download the track's last?
Poshan Tracker App is available over Google playstore,ଗୁଗଲ୍ ପ୍ଲେ ଷ୍ଟୋର,Google Play Store
Is poshan trackers app available over Apple I Store also?,ଆପଲ୍ ଆଇ ଷ୍ଟୋରରେ ପୋଷନ୍ ଟ୍ରାକ୍ ଆପ୍ ମଧ୍ୟ ଉପଲବ୍ଧ ରହିଛି କି?,Is there a track available in the Apple IO store?
"No, Poshan Tracker is available only for Android version","ନା, କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍‌ ପାଇଁ ପୋଷନ୍ ଟ୍ରାକର୍ ଉପଲବ୍ଧ ।","No, search tracker is only available for Android versions."
What is the minimum requirement to install Poshan Tracker App in mobile?,ମୋବାଇଲରେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଇନଷ୍ଟଲ୍‌ କରିବାର ସର୍ବନିମ୍ନ ଆବଶ୍ୟକତା କଣ କଣ ରହିଛି?,What is the minimum requirement for new trackrs to be installed on mobile phones?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌କୁ କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍ 6.0 ଏବଂ ତଦୁର୍ଦ୍ଧ ସହିତ ଆଣ୍ଡ୍ରଏଡ୍ ଫୋନରେ ଇନ୍‌ଷ୍ଟଲ୍‌ ହୋଇପାରିବ ।,The trackr can only be installed on Android version 6.0 and on the Android phone with certainty.
View All FAQs,ସମସ୍ତ ଏଫଏକ୍ୟୁଗୁଡ଼ିକୁ ଦେଖନ୍ତୁ,View All Effects
Can a beneficiary register directly using application.,ଆପ୍ଲିକେସନ୍ ବ୍ୟବହାର କରି ଜଣେ ହିତାଧିକାରୀ ସିଧାସଳଖ ପଞ୍ଜିକରଣ କରିପାରିବେ କି|,Whether to use a keyboard accessibility feature to register with the application.
Currently a beneficiary can register by the help of an AWW,ବର୍ତ୍ତମାନ ଜଣେ ହିତାଧିକାରୀ AWW ସାହାଯ୍ୟରେ ପଞ୍ଜିକରଣ କରିପାରିବେ,Currently you can register with an AWW agent
Who is a beneficiary?,ହିତାଧିକାରୀ କିଏ?,What is the copyright?
There are 6 categories for beneficiaries,ହିତାଧିକାରୀଙ୍କ ପାଇଁ 6 ଟି ବର୍ଗ ଅଛି,There are 6 categories for authors
Pregnant Women,ଗର୍ଭବତୀ ମହିଳା,_Other Organiser
Lactating Mother,ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତା,Embossed Math
Children from 0 to 6 months,0 ରୁ 6 ମାସ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ,Children from 0 to 6 months of age
Children from 6 months to 3 years,6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ,From 6 months to 3 years of age
Children from 3 years to 6 years,3 ବର୍ଷରୁ 6 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ,Children between 3 and 6 years of age
Adolescent girls,କିଶୋର ଝିଅମାନେ,Kisher's kine
Can a beneficiary change his/her AWC?,ଜଣେ ହିତାଧିକାରୀ ତାଙ୍କର AWC ପରିବର୍ତ୍ତନ କରିପାରିବେ କି?,Could not close temporary folder: %s
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ଜଣେ AWW ଏକ ହିତାଧିକାରୀଙ୍କୁ ଗୋଟିଏ AWC ରୁ ଅନ୍ୟ AWC ଆଧାର ନମ୍ବର ଆଧାରରେ ସ୍ଥାନାନ୍ତର କରିବା ପାଇଁ ‘ସ୍ଥାନାନ୍ତର ହିତାଧିକାରୀ’ ବିକଳ୍ପ ବ୍ୟବହାର କରିପାରିବ |,An AWW may use the 'placeholder' option to replace an AWC with another AWC based number.
What is the eligibility of a beneficiary?,ଜଣେ ହିତାଧିକାରୀଙ୍କ ଯୋଗ୍ୟତା କ’ଣ?,What is the identity of a legal entity used by Jehovah’s Witnesses?
A beneficiary is eligible for THR for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ THR ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,For at least 21 days THR is available in one month.
Who is eligible for Take Home Ration?,ଘର ରାସନ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,Is it possible for you to build a house?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା, 6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲା ଏବଂ କିଶୋର ବାଳିକା |","The pregnant woman, the expectant mother, was born from 6 months to 3 years and the baby of Kisher."
Where can I enquire about take home ration?,ଘରର ରାସନ ନେବା ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?,Where should I ask about housekeeping?
Please contact your respective Anganwadi worker.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କର୍ମୀ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,Please contact your provider's office for further information.
Who is eligible for additional supplementary food.,କିଏ ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ ଯୋଗ୍ୟ ଅଟେ |,What multiple to constrain the fill level to.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,Children who are marked as being the food of the mailbox are excluded from additional food supplements.
A beneficiary is eligible for HCM for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ ପାଇଁ HCM ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,For at least 21 days HCM is available in one month.
Who is eligible for Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,What is available for cooking?
Children in the age group of 3 years to 6 years,3 ବର୍ଷରୁ 6 ବର୍ଷ ବୟସର ପିଲାମାନେ,Children between 3 and 6 years of age
Where can I enquire about Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?,Where would I want to be about wheat stalks?
Please contact your respective Anganwadi Centre.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,Please contact your accounting centre.
Who is eligible for additional supplementary food?,ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,What is available for extra surcharge food?
We are now available on Video Conference,ଆମେ ବର୍ତ୍ତମାନ ଭିଡିଓ କନଫରେନ୍ସରେ ଉପଲବ୍ଧ,We're available at the current video conference
State Video Conference,ରାଜ୍ୟ ଭିଡିଓ ସମ୍ମିଳନୀ,Kingdom Video Conferencing
Monday to Friday,ସୋମବାରରୁ ଶୁକ୍ରବାର,Friday
Join Now,ଏବେ ଯୋଗଦିଅ,Join Now
Anganwadi Worker Training,ଅଙ୍ଗନୱାଡି କର୍ମୀ ତାଲିମ,Angwadi Workbook
Support,ସମର୍ଥନ କର,Support
support-poshantrackr@gov.in,support-poshantrackr@gov.in,support-posthantrackr@gov.in
Download Mobile App,ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ,Download Mobile
Terms of Service,ସେବାର ସର୍ତ୍ତାବଳୀ,_Other Organiser
Privacy Policy,ଗୋପନୀୟତା ନୀତି,Privacy Policy
Careers,ବୃତ୍ତି,Organisation
About Poshan Tracker,ପୁଷ୍ଟିକର ଟ୍ରାକର୍ ବିଷୟରେ,About Poster Track
Poshan Tracker App,ପୁଷ୍ଟିକର ଟ୍ରାକର୍ ଆପ୍,Poster Track Up
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘ପୋଶାନ୍ ଟ୍ରାକର୍’ ହେଉଛି ଏକ ମୋବାଇଲ୍ ଆଧାରିତ ପ୍ରୟୋଗ ଯାହାକି ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ, ଭାରତ ସରକାରଙ୍କ ଦ୍ବାରା 1 ମାର୍ଚ୍ଚ 2021 ରେ ନ୍ୟାସନାଲ ଇ-ଗଭର୍ନାନ୍ସ ଡିଭିଜନ୍ (ନେଜିଡି) ମାଧ୍ୟମରେ ମାଇଗୋଭ୍ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଶାସନ ଉପକରଣ ଭାବରେ ଗଡ଼ାଯାଇଛି। ପୋଶାନ୍ ଟ୍ରାକର୍ ଅନ୍ତର୍ଗତ ଟେକ୍ନୋଲୋଜିକୁ ଷ୍ଟଣ୍ଟିଂ, ଅପଚୟ, ପିଲାମାନଙ୍କ ମଧ୍ୟରେ କମ୍ ଓଜନ ପ୍ରାଦୁର୍ଭାବ ଏବଂ ପୁଷ୍ଟିକର ସେବା ବିତରଣର ଶେଷ ମାଇଲ୍ ଟ୍ରାକିଂର ଗତିଶୀଳ ଚିହ୍ନଟ ପାଇଁ ବ୍ୟବହାର କରାଯାଉଛି |.","A mobile-based application that was launched on March 1, 2021 by the Government of India, has been launched as an important tool of communication. The Posan Trailer technology has been suspended, disabled, and used as a tool of communication by the National E-Governmental Division (Nazide)."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,ସେମାନଙ୍କ ଉଦ୍ୟମର ପ୍ରତିଫଳନ ସହିତ ସେବାଗୁଡିକର ଦକ୍ଷତାର ସହିତ ବିତରଣ ପାଇଁ ପୋଶାନ୍ ଟ୍ରାକର୍ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କୁ ଏକ ଚାକିରି-ସାହାଯ୍ୟ | ଏହା ପୁଷ୍ଟିକର ଅଭିଯାନ ଅଧୀନରେ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଏବଂ ହିତାଧିକାରୀ-କେନ୍ଦ୍ରିକ ସେବା ବିତରଣ ପ୍ରୟୋଗ ଯାହାକି ଆନାଲିଟିକ୍ସ ସହିତ ପ୍ରକୃତ ସମୟ ତଥ୍ୟକୁ ପ୍ରୋତ୍ସାହନ ଦେବ |.,"In order to explain with their example their compassion, Posang Trailer Angwadi worked as a lawyer-assisted. This is an important and important tool for describing services that will encourage real-time data with Analytics."
WHAT ARE,କ'ଣ,Any
Poshan Tracker Features,ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ |,Peripheral Track Properties . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
Real time recording and Monitoring,ପ୍ରକୃତ ସମୟ ରେକର୍ଡିଂ ଏବଂ ମନିଟରିଂ |,Real time recording and monitoring
