en,te,translated_helsinki
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (హెల్త్ ఐడి) ఉపయోగించడం అనేది మీకు మరియు మీ కుటుంబానికి సురక్షితమైన మరియు సమర్థవంతమైన డిజిటల్ ఆరోగ్య రికార్డులను సృష్టించే దిశగా మొదటి దశ.,Using ABHA (Helth AIDS) is the first decade to create safe and effective digital health records for you and your family.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ఇది ఆరోగ్య సంరక్షణ ప్రదాతలతో మీ పరస్పర చర్యకు వీలు కల్పిస్తుంది, మరియు ధృవీకరించబడిన ఆరోగ్య సంరక్షణ నిపుణులు మరియు ఆరోగ్య సేవా ప్రదాతల నుండి మీ డిజిటల్ ల్యాబ్ రిపోర్టులు, ప్రిస్క్రిప్షన్లు మరియు రోగనిర్ధారణను నిరంతరాయంగా అందుకోవడానికి మిమ్మల్ని అనుమతిస్తుంది.","This will enhance your interaction with health care providers and allow you to receive your digital lab reports, transcripts and medical evidence from certified health care providers."
Know More,మరిన్ని తెలుసుకోండి,Learn More
×,×,x
Frequently Asked Questions,తరచుగా అడిగే ప్రశ్నలు,Questions From Readers
ALL,అందరు,All
BENEFICIARY REGISTRATION,లబ్ధిదారుడి రిజిస్ట్రేషన్,_Other Organiser
Take Home Ration,టేక్ హోమ్ రేషన్,Tic Home Reaction
Hot Cooked Meal,హాట్ కూకేడ్ మిల్,Hat Code Mail
What is Poshan Abhiyaan?,పోషన్ అభియాన్ అంటే ఏమిటి?,What's Posun Abion?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","సాంకేతిక పరిజ్ఞానం, లక్ష్యంగా ఉన్న విధానం మరియు కలయిక ద్వారా పిల్లలు, కౌమారదశలు, గర్భిణీ స్త్రీలు మరియు పాలిచ్చే తల్లులకు పోషక ఫలితాలను మెరుగుపరిచేందుకు భారతదేశం యొక్క ప్రధాన కార్యక్రమం పోషన్ అభియాన్.","The country's main program for improving food performance for children, pregnant women and pregnant women and pregnant mothers by means of physical knowledge, targeted method and practice."
What is the purpose of Launching Poshan Tracker?,పోషన్ ట్రాకర్‌ను ప్రారంభించడం యొక్క ఉద్దేశ్యం ఏమిటి?,What is the purpose of starting a mail transporter?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","పోషన్ ట్రాకర్ అప్లికేషన్ యొక్క ఉద్దేశ్యం అంగన్వాడీ సెంటర్ (ఎడబ్ల్యుసి), అంగన్వాడీ వర్కర్స్ (ఎడబ్ల్యుడబ్ల్యు) యొక్క సర్వీస్ డెలివరీలు మరియు గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు మరియు పిల్లలకు పూర్తి లబ్ధిదారుల నిర్వహణ గురించి 360 డిగ్రీల వీక్షణను అందించడం. ప్రతిపాదిత వ్యవస్థ నిర్వచించిన సూచికలపై అన్ని (ఎడబ్ల్యుసి), (ఎడబ్ల్యుడబ్ల్యు) మరియు లబ్ధిదారుల యొక్క రియల్ -టైమ్ పర్యవేక్షణ మరియు ట్రాకింగ్‌ను ప్రారంభించాలి.","The purpose of the post-tracker application is to provide 360 degrees view of the management of the services of Anguady Center (Edblus), Anguady Works (EdBL) and the services of women and pregnant women, mothers and children. All (ADBBBB), and the real-time monitoring and tracking of drivers should be started on the instructions provided by the appropriate system."
How can one Download Poshan Tracker App?,పోషన్ ట్రాకర్ యాప్ ని ఎలా డౌన్‌లోడ్ చేసుకోవచ్చు?,How can you download the mailbox tracker app?
Poshan Tracker App is available over Google playstore,పోషాన్ ట్రాకర్ అనువర్తనం గూగుల్ ప్లేస్టోర్ ద్వారా అందుబాటులో ఉంది,The application Pashon Tracker is available by Google Player
Is poshan trackers app available over Apple I Store also?,ఆపిల్ ఐ స్టోర్ ద్వారా పోషన్ ట్రాక్ యాప్ అందుబాటులో ఉందా?,Is it available via Apple I Store?
"No, Poshan Tracker is available only for Android version",ఆండ్రాయిడ్ వెర్షన్ కోసం మాత్రమే పోషన్ ట్రాకర్ అందుబాటులో ఉంది.,Android version is only available for post-tracker.
What is the minimum requirement to install Poshan Tracker App in mobile?,మొబైల్‌లో పోషన్ ట్రాకర్ యాప్‌ను ఇన్‌స్టాల్ చేయడానికి కనీస అవసరం ఏమిటి?,What is needed in order to install a mobile mail transporter?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,పోషన్ ట్రాకర్ యాప్‌ను ఆండ్రాయిడ్ ఫోన్‌లో ఆండ్రాయిడ్ వెర్షన్ 6.0 మరియు అంతకంటే ఎక్కువ ఉంటే ఇన్‌స్టాల్ చేయవచ్చు.,You can install the Android version 6.0 and more if you have more than one.
View All FAQs,అన్ని తరచుగా అడిగే ప్రశ్నలను వీక్షించండి,"See the Questions Young People Ask — Answers That Work, Volume 2, published by the Watchtower Bible and Tract Society of New York, Inc."
Can a beneficiary register directly using application.,లబ్ధిదారుడు అప్లికేషన్ ఉపయోగించి నేరుగా రిజిస్టర్ చేసుకోవచ్చా.,Whether the main application should be able to register directly.
Currently a beneficiary can register by the help of an AWW,ప్రస్తుతం ఒక లబ్ధిదారుడు AWW యొక్క సాయంతో రిజిస్టర్ చేసుకోవచ్చు,AWW can now be registered by an agent at the time of AWW
Who is a beneficiary?,లబ్ధిదారుడు ఎవరు?,Who Is the Master of the harvest?
There are 6 categories for beneficiaries,లబ్ధిదారుల కొరకు 6 కేటగిరీలు ఉన్నాయి,There are 6 categories for drivers
Pregnant Women,గర్భిణీ స్త్రీలు,BABYLONIAN WOMANS
Lactating Mother,పాలిచ్చే తల్లి,A Mother Who Died
Children from 0 to 6 months,0 నుంచి 6 నెలల పిల్లలు,Children from 0 to 6 months of age
Children from 6 months to 3 years,6 నెలల నుంచి 3 సంవత్సరాల పిల్లలు,From 6 months to 3 years of age
Children from 3 years to 6 years,3 సంవత్సరాల నుండి 6 సంవత్సరాల వరకు పిల్లలు,Children 3 From 3 to 6
Adolescent girls,కౌమార బాలికలు,Children’s Picture Search
Can a beneficiary change his/her AWC?,లబ్ధిదారుడు అతడి/ఆమె AWC ని మార్చవచ్చా?,Could the master change him/her AWC?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ఒక AWC నుంచి మరో AWCకి వారి ఆధార్ నెంబరు ఆధారంగా లబ్ధిదారుడిని మైగ్రేట్ చేయడం కొరకు 'మైగ్రేట్ బెనిఫిషియరీ' ఆప్షన్ ని AWW ఉపయోగించుకోవచ్చు.,"From one AWC to another AWC, the 'Migrate Beneficiary' option can be used to migrate their base number to another AWC."
What is the eligibility of a beneficiary?,లబ్ధిదారుని యొక్క అర్హత ఏమిటి?,What is the role of the commander?
A beneficiary is eligible for THR for at least 21 days in a month.,లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు THR పొందడానికి అర్హులు.,At least 21 days a month is worth getting THR.
Who is eligible for Take Home Ration?,టేక్ హోమ్ రేషన్ కు ఎవరు అర్హులు?,Who's entitled to the Teck Home Reaction?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు, 6 నెలల నుండి 3 సంవత్సరాల వరకు పిల్లలు మరియు కౌమార బాలికలు.","Pregnant women, pregnant mothers, children from 6 months to 3 years of age and pregnant children."
Where can I enquire about take home ration?,టేక్ హోమ్ రేషన్ గురించి నేను ఎక్కడ విచారించగలను?,Where can I ask about the Teck Home Reaction?
Please contact your respective Anganwadi worker.,దయచేసి మీ సంబంధిత అంగన్ వాడీ వర్కర్ ని సంప్రదించండి.,Please contact the Angwady Worker for your related work.
Who is eligible for additional supplementary food.,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు.,Who is worthy of more than one loaf of bread?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,పోషకాహార లోపంగా గుర్తించిన పిల్లలు అదనపు ఆహార అనుబంధాలకు అర్హులు.,Children who are well - known for their diet are entitled to more food.
A beneficiary is eligible for HCM for at least 21 days in a month.,లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు HCMకు అర్హత కలిగి ఉంటాడు.,"For at least 21 days a month, the master is entitled to HCM."
Who is eligible for Hot Cooked Meal?,హాట్ కూకేడ్ మిల్ ఎవరు అర్హులు?,Who are the hot code miles?
Children in the age group of 3 years to 6 years,3 సంవత్సరాల నుంచి 6 సంవత్సరాల వయస్సు గల పిల్లలు,Children aged 3 to 6
Where can I enquire about Hot Cooked Meal?,హాట్ కూకేడ్ మిల్ గురించి నేను ఎక్కడ విచారించగలను?,Where can I ask about hot code miles?
Please contact your respective Anganwadi Centre.,దయచేసి మీ సంబంధిత అంగన్ వాడీ కేంద్రాన్ని సంప్రదించండి.,Please contact your related Angwadi Unit.
Who is eligible for additional supplementary food?,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు?,Who Is Qualified to Partake?
We are now available on Video Conference,మేము ఇప్పుడు వీడియో కాన్ఫరెన్స్ లో అందుబాటులో ఉన్నాము,We are now available at video conferences
State Video Conference,రాష్ట్ర వీడియో కాన్ఫరెన్స్,National Video Conferences
Monday to Friday,సోమవారం నుండి శుక్రవారం వరకు,From Monday to Friday
Join Now,ఇప్పుడు చేరండి,Come on in now
Anganwadi Worker Training,అంగన్‌వాడీ కార్యకర్త శిక్షణ,Angawadi Manager Training
Support,సహాయంగా,Help
support-poshantrackr@gov.in,support-poshantrackr@gov.in,support-posthantrackr@gov.in
Download Mobile App,మొబైల్ యాప్ డౌన్ లోడ్ చేసుకోండి,Download Mobile Apps
Terms of Service,సేవా నిబంధనలు,Could not close temporary folder: %s
Privacy Policy,గోప్యతా విధానం,Privacy Policy
Careers,కెరీర్ లు,Kerryla
About Poshan Tracker,పోషణ్ ట్రాకర్ గురించి,About Cannot initialise Evolution's mail component.
Poshan Tracker App,పోషణ్ ట్రాకర్ యాప్,Cannot initialise Evolution's mail component.
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","'పోషణ్ ట్రాకర్' అనేది ఒక మొబైల్ ఆధారిత అప్లికేషన్, ఇది భారత ప్రభుత్వ మహిళా మరియు శిశు అభివృద్ధి మంత్రిత్వ శాఖ, నేషనల్ ఇ-గవర్నెన్స్ డివిజన్ (ఎన్ఇజిడి), మైగోవ్ ద్వారా 2021 మార్చి 1 న ఒక ముఖ్యమైన పరిపాలనా సాధనంగా విడుదల చేసింది. పోషణ్ ట్రాకర్ కింద సాంకేతిక పరిజ్ఞానం పిల్లలలో ఎదుగుదల, వృధా, తక్కువ బరువు ప్రాబల్యం యొక్క సరైన గుర్తింపు మరియు న్యూట్రిషన్ సర్వీస్ డెలివరీ యొక్క లాస్ట్ మైల్ ట్రాకింగ్ కొరకు పరపతి చేయబడుతోంది.","A mobile-based application, it's a mandatory government woman and child development agency, the National In-Governments Division (NJD), released as a major government tool on March 1, 2021 by Maygov."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,"పోషణ్ ట్రాకర్ అనేది అంగన్ వాడీ వర్కర్ యొక్క ప్రయత్నాలను ప్రతిబింబించడంతో పాటుగా సేవలను సమర్థవంతంగా అందించడం కొరకు ఉద్యోగ సాయంగా పనిచేస్తుంది. ఇది పోషణ్ అభియాన్ కింద ఒక క్లిష్టమైన మరియు లబ్ధి కేంద్రిత సర్వీస్ డెలివరీ అప్లికేషన్, ఇది విశ్లేషణలతో రియల్ టైమ్ డేటాను ప్రోత్సహిస్తుంది.",The mailbox trucker works as a tool to effectively provide services along with the efforts of an Angway Woody Workser. It is a client-based and multi central service delivery application under the post office. It promotes real-time data with analysis.
WHAT ARE,అంటే ఏమిటి,What does it mean?
Poshan Tracker Features,పోషణ్ ట్రాకర్ ఫీచర్లు,Cannot initialise Evolution's mail component.
Real time recording and Monitoring,రియల్ టైమ్ రికార్డింగ్ మరియు మానిటరింగ్,Real time recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","పోషణ్ ట్రాకర్, నిర్వచిత సూచికలపై అన్ని అంగన్ వాడీ కేంద్రాలు మరియు లబ్ధిదారుల యొక్క రియల్ టైమ్ మానిటరింగ్ మరియు ట్రాకింగ్ కు దోహదపడుతుంది. ఇది సెంట్రలైజ్డ్ డేటా ఆర్కిటెక్చర్ ఉపయోగించి నిర్మించబడింది, ఇది ఇతర మంత్రిత్వ శాఖలు మరియు కార్యక్రమాల యొక్క డిజిటల్ టెక్నాలజీ వ్యవస్థలతో సమలేఖనం చేస్తుంది. అంగన్ వాడీ కేంద్రం (AWC) యొక్క కార్యకలాపాలు, అంగన్ వాడీ వర్కర్ ల (AWWs) యొక్క సేవా డెలివరీలు మరియు గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు మరియు పిల్లలకు పూర్తి లబ్ధిదారుని యాజమాన్యం యొక్క 360 డిగ్రీల వీక్షణను అందించడం దీని లక్ష్యం. లబ్ధిదారులకు అందించే సేవలపై పారదర్శకతను అందించడానికి పబ్లిక్ డ్యాష్ బోర్డ్ సహాయపడుతుంది.","The mailbox trucker, all Afghan Wady Centres and Heads' real time monitoring and tracking. It is built using centralised data architecture, which combines the digital technology systems of the programs' digital lines and systems. The functions of the AWC are of the AWWs Service Department's departments, the Department's departments and agencies, and the staff of the 3rd class."
Services Delivered,డెలివరీ చేయబడ్డ సేవలు,Could not close temporary folder: %s
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ఒక బటన్ క్లిక్ చేయడం ద్వారా తుది లబ్ధిదారునికి సేవలను ట్రాక్ చేయడం. టేక్ హోమ్ రేషన్ (THR) మరియు హాట్ వండిన భోజనం (HCM), శిశువులు మరియు గర్భిణీ స్త్రీలకు వ్యాక్సినేషన్ వంటి సేవలు.","Tracking services for third-party managers by clicking on a button. Tech Home Reaction (THR) and Hot food (HCM), services such as vaccination for children and pregnant women."
Growth Measurement,ఎదుగుదల కొలత,The degree of enlargment
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","విభిన్న వయస్సు గ్రూపుల పిల్లలు AWWల ద్వారా నెలవారీగా పర్యవేక్షించబడతారు. స్టంటింగ్, వేస్టింగ్ మరియు తక్కువ బరువు ప్రాబల్యం వంటి ఆరోగ్య సూచికలు WHO ప్రమాణాలకు అనుగుణంగా లెక్కించబడతాయి. క్రమం తప్పకుండా ఎదుగుదలను పరీక్షించడం వల్ల AWWలు పిల్లలకు సరైన మరియు సకాలంలో సాయం అందించడం కొరకుసాయపడతాయి.","The children of different age groups are monitored monthly by AWW. Health indicators such as stressing, westing and low weight prevalence are calculated according to WHO standards. AWWL is intended to provide children with the right and the right evening."
Home Visit Alerts,హోమ్ విజిట్ అలర్ట్ లు,Home Widgets Alert
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","పోషణ్ ట్రాకర్ కీలకమైన చివరి మైలు లబ్ధిదారులకు ఆటోమేటెడ్ అలర్ట్ లను జనరేట్ చేస్తుంది. లబ్ధిదారులు మరియు డ్యూటీ బేరర్ ల యొక్క రియల్ టైమ్ హాజరును డాక్యుమెంట్ చేయడం ద్వారా డెలివరీ సిస్టమ్ యొక్క సమర్థవంతమైన ఆడిట్ ని కూడా ఇది ధృవీకరిస్తుంది. ఈ మేనేజ్ మెంట్ ఇన్ఫర్మేషన్ సిస్టమ్ న్యూట్రిషన్ ప్రోగ్రామ్ ని సమర్థవంతంగా స్కేల్ చేయడానికి సహాయపడుతుంది, తద్వారా సానుకూల ప్రభావాన్ని జనరేట్ చేస్తుంది మరియు డాక్యుమెంట్ చేస్తుంది.","The mailbox trackr generates automated alerts for the last mail recipients. It also confirms the effective audio of the delivery system by documenting the actual time attender of the key. This menu allows you to successfully scale the system information program, thereby generating and documenting the effect of the software."
Learning Videos,అభ్యసన వీడియోలు,Favorite Videos
❮,❮,I'm sorry. I'm sorry.
How to take care of weak newborn with the help of Kangaroo Mother Care,కంగారూ మదర్ కేర్ సహాయంతో బలహీనమైన నవజాత శిశువును ఎలా సంరక్షించాలి,How to protect a weak newborn child by using the help of a caring nurse
Preventing illnesses to avert Malnutrition and Death,పోషకాహార లోపం మరియు మరణాన్ని నివారించడానికి అస్వస్థతలను నిరోధించడం,Preventing Diseases to Avoid Food Intolerance and Death
Prevention of Anemia in children and adolescents girls,పిల్లలు మరియు కౌమారదశలో ఉన్న బాలికలలో రక్తహీనత నివారణ,Bloodless Restraints in Children and Infirmary
Birth Preparedness- For Institutional and Home Delivery,జనన సంసిద్ధత- సంస్థాగత మరియు హోమ్ డెలివరీ కొరకు,For Birthdays & Anniversaries
Care of the weak newborn baby - How many weak babies are we missing?,బలహీనంగా ఉన్న నవజాత శిశువు యొక్క సంరక్షణ - మనం ఎంతమంది బలహీనమైన శిశువులను కోల్పోతున్నాం?,The protection of a weak newborn child - how many of us are losing weak children?
Feeding During Illness,అస్వస్థత సమయంలో ఆహారం,Food in Times of Distress
Preparation During Pregnancy - For NewBorn Care & Family Planning,గర్భధారణ సమయంలో తయారీ - నవజాత శిశువుల సంరక్షణ మరియు కుటుంబ నియంత్రణ,Child protection and family control during pregnancy
Ensuring Exclusive Breastfeeding,ప్రత్యేకంగా స్తన్యం ధృవీకరించడం,Confirming Especially the Column
Assessment of growth in children,పిల్లల్లో ఎదుగుదలను మదింపు చేయడం,Raising Children With Obesity
Preventing anemia in women,మహిళల్లో రక్తహీనత నివారణ,Inflammation in Women
Complementary Feeding - Diet Diversity,కాంప్లిమెంటరీ ఫీడింగ్ - డైట్ వైవిధ్యం,Complementary Feeding - Day Variation
Identification and care of a Weak Newborn baby,బలహీనమైన నవజాత శిశువును గుర్తించడం మరియు సంరక్షించడం,Recognizing and protecting a weak newborn child
Observing Breastfeeding In Newborn Babies,నవజాత శిశువులలో స్తన్యం ఇవ్వడం గమనించడం,Noting the Teaching of Newborn Children
Planning And Organising Community Based Events At AWC,ఎడబ్ల్యుసి వద్ద కమ్యూనిటీ ఆధారిత ఈవెంట్ లను నిర్వహించడం,Manage this community based on Edbulcy
Making or Updating Home Visit Planner and Initiating home visits,హోమ్ విజిట్ ప్లానర్ చేయడం లేదా అప్ డేట్ చేయడం మరియు ఇంటి సందర్శనలను ప్రారంభించడం,Schedule or update home Widget and start home visits
Ensuring that complementary feeding improves over time,కాంప్లిమెంటరీ ఫీడింగ్ కాలక్రమేణా మెరుగుపడేలా ధృవీకరించడం,Verifying to Improve Complementary Feeding Time
How to ensure timely initiation of complementary feeding,కాంప్లిమెంటరీ ఫీడింగ్ ని సకాలంలో ప్రారంభించేవిధంగా ఏవిధంగా ధృవీకరించాలి,How the Complementary Feeding should be started in time
Identifying and preventing Severe Acute Malnutrition,తీవ్రమైన పోషకాహార లోపాన్ని గుర్తించడం మరియు నిరోధించడం,Recognizing and Resisting Serious Food Disorders
Identification & Referral of Sick Newborn,అస్వస్థతగా ఉన్న నవజాత శిశువును గుర్తించడం మరియు రీఫరల్ చేయడం,Recognizing and Rehabilitation of the Infancy Newborn Child
Supporting mothers with issues in Breastfeeding,స్తన్యం ఇవ్వడంలో సమస్యలతో ఉన్న తల్లులకు మద్దతు ఇవ్వడం,Supporting Mothers With Problems
Why this Monthly Meeting?,ఈ నెలవారీ సమావేశం ఎ౦దుకు?,What is the purpose of this weekly convention?
❯,❯,I'm sorry. I'm sorry.
Awareness,అవగాహన,Enlightenment
GENERAL,సాధారణంగా,Normal
Lactating Mothers,పాలిచ్చే తల్లులు,Mothers Who Died
CHILD CARE,చైల్డ్ కేర్,Child Care
Download PDF,PDF డౌన్ లోడ్ చేసుకోండి,Download PDF
General Awareness about Growth Monitoring of Children,పిల్లల ఎదుగుదల పర్యవేక్షణ గురించి సాధారణ అవగాహన,A Common Understanding of Children’s Growth
General Awareness about preventing illness in Children,పిల్లల్లో అస్వస్థతను నిరోధించడం గురించి సాధారణ అవగాహన,A common understanding of children’s immune system
General Awareness for Pregnancy,గర్భధారణ కొరకు సాధారణ అవగాహన,General understanding for pregnant women
General Awareness on Module,మాడ్యూల్ పై సాధారణ అవగాహన,A common understanding of modules
General Awareness on Anaemia,రక్తహీనతపై సాధారణ అవగాహన,A Common Understanding of Bloodlessness
General Awareness on SAM and MAM,ఎస్.ఎ.ఎం మరియు ఎం.ఎ.ఎం పై సాధారణ అవగాహన,General understanding of MM and MM
