en,hi,translated_helsinki
General Awareness for Pregnancy,गर्भावस्था पर सामान्य जागरूकता,A common wake - up attitude toward pregnancy
General Awareness on Module,मॉड्यूल पर सामान्य जागरूकता,The normal opacity of the module
General Awareness on Anaemia,एनीमिया पर सामान्य जागरूकता,A common wakefulness on an animation
General Awareness on SAM and MAM,SAM और MAM पर सामान्य जागरूकता,Common Look at SAM and MAM
General Awareness on Mother Care,मातृत्व देखभाल पर सामान्य जागरूकता,A mother’s common alertness in caring for her baby is not surprising.
General Awareness on the Delivery of the child,बच्चे के प्रसव पर सामान्य जागरूकता,A common awareness of a child’s upbringing
Pregnant Women,गर्भवती महिलाएं,pregnant women
Awareness for Pregnancy in Preventing Anemia,गर्भावस्था के दौरान एनीमिया से बचाव पर जागरूकता,Protection From Anonymity During Pregnancy
Lactating Mothers,स्तनपान कराने वाली महिलाएँ,Women Who Stood Up
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चों को स्तनपान कराने वाली महिलाओं के पूरक आहार के बारे में जागरूकता,Watching the Food Supplies of Children
Awareness to Lactating Mother,स्तनपान कराने वाली माताओं में जागरूकता,Awake! of Awake!
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चों में कुपोषण को रोकने के लिए स्टंटिंग, वेस्टिंग के प्रति जागरुकता",Stands up against the Westing to prevent exposure to children
Growth Monitoring Assessment Charts,विकास निगरानी मूल्यांकन तालिका,Cannot initialise Evolution's mail component.
Stunted Assessment Parameters,स्टंटेड मूल्यांकन मापदंड,Standard Depreciation
Wasted Assessment Parameters,वेस्टेड मूल्यांकन मापदंड,Westted Valued Scale
Underweight Assessment Parameters,कम वजन वाले मूल्यांकन मापदंड,Lowest Rating Rating
Manuals,नियमावली,Can not initialise the Ximian Evolution shell.
Poshan Tracker Process Flow,पोषण ट्रैकर प्रक्रिया प्रवाह,Ongoing blanking process
Circulars/Notifications,परिपत्र/अधिसूचनाएँ,Forms/Notifications
03 June,03 जून,June 03
Clarification regarding Cost of Smart phones,स्मार्ट फोन की लागत के संदर्भ में स्पष्टीकरण,Explanation of Smart Phones
24 May,24 मई,24 May
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रैकर में आँगनवाड़ी सेवा योजनाओं के आँकड़े को अपलोड करना,Uploading data to junk service schemes in junk tracer
01 March,03 जून,June 03
Data Plan for Mobile Application,मोबाइल एप्लिकेशन के लिए डेटा प्लान,Data plan for mobile applications
02 February,02 फरवरी,February 02
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन के विनिर्देश और तकनीकी संगतता परीक्षण,Smart phone instruction and technical compatibility test
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियान के तहत ICT प्लैटफ़ार्म पर प्रशिक्षण,Training on ICT platforms at the bottom of the polling process
New Poshan Tracker App - CSC-SPV Nodal Person,नया पोषण ट्रैकर एप्प-CSC-SPV नोडल व्यक्ति,New query tracker app-CSC-SPV node
13 January,13 जनवरी,13 JANUARY
New Poshan Tracker App,नया पोषण ट्रैकर एप्प,New Query Tracker Up
