en,gu,translated_helsinki
Where can I enquire about take home ration?,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?,Where can I ask questions about going home?
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.,Please contact your provider.
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.,Who is the source of the food for the hungry?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,Children who are known as the offspring of the human race are a source of increased support for their needs.
A beneficiary is eligible for HCM for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.,"For at least 21 days a month, Lazarus ’ bed is for HCM."
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?,Who is the rider of the white horse? Who is the rider of the white horse?
Children in the age group of 3 years to 6 years,3 વર્ષથી 6 વર્ષની વયના બાળકો,Children aged 3 to 6
Where can I enquire about Hot Cooked Meal?,હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?,Where can I ask you about a hot meal?
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.,Please contact your related centre of interest.
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?,Who is the bread for the hungry hungry ones?
We are now available on Video Conference,અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ,We are now available at the video conference
State Video Conference,સ્ટેટ વીડિયો કોન્ફરન્સ,State Video Conferences
Monday to Friday ,સોમવાર થી શુક્રવાર ,Monday to Friday
Join Now,હવે જોડાઓ,Connect Now
Anganwadi Worker Training,આંગણવાડી કાર્યકર્તા તાલીમ,Adequate Officer Training
Support,મદદ,Help
 14408, 14408,14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,support-posthantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો,Download Mobile App
Terms of Service,સેવાની શરતો,Service Conditions
Privacy Policy,પ્રાઇવસી પોલિસી,Privacy Policy
Careers,કારકિર્દ,Carcard
About Poshan Tracker,પોશન ટ્રેકર વિશે,About Poster
Poshan Tracker App,પોશન ટ્રેકર એપ,Pashon Tracker App
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘પોશન ટ્રેકર’ એ મોબાઈલ આધારિત એપ્લિકેશન છે જે 1લી માર્ચ 2021ના રોજ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા નેશનલ ઈ-ગવર્નન્સ ડિવિઝન (NeGD), MyGov દ્વારા એક મહત્વપૂર્ણ ગવર્નન્સ ટૂલ તરીકે બહાર પાડવામાં આવી છે. પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે.","The 'Possion Tracker' is a mobile-based application that has been issued as an important government tool by the National E-Governmental Division (NeGD) of the Indian Government on March 1, 2021. The use of technology under the Poshan Trailer is made for staging, Weding, the latest musical recognition and postage service release for children."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે. પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે.,The post-tracker works to distribute services with the exception of his or her efforts. Under the post-sentence it is an important and Lazarus-centred service distribution application that will promote real-time data with analysis.
WHAT ARE,શું છે,What's up?
Poshan Tracker Features,પોશન ટ્રેકરની વિશેષતાઓ,Puzzle Tracker Details
Real time recording and Monitoring,રીઅલ ટાઇમ રેકોર્ડિંગ અને મોનીટરીંગ,Real time recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","પોશન ટ્રેકર નિર્ધારિત સૂચકાંકો પર તમામ AWC અને લાભાર્થીઓનું રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગ સક્ષમ કરે છે. તે કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ ટેક્નોલોજી સિસ્ટમ્સ સાથે પણ ગોઠવે છે. ઉદ્દેશ્ય આંગણવાડી કેન્દ્ર (AWC) ની પ્રવૃત્તિઓ, આંગણવાડી કાર્યકરો (AWWs) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી વ્યવસ્થાપનનો 360-ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે. સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે.","Your AWC and Labrates enable real-time monitoring and tracking. It has been created using the central data architecture, which is also used by other agencies and the program's digital technology systems. Justice judges are judges of the Supreme Court (AWC). Justices of the Supreme Court (AWWs) are judges, judges and prosecutors (AWWs) service women, judges who are responsible for the trial of justice and justice."
Services Delivered,સેવાઓ વિતરિત,_Other Organiser
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","એક બટનના ક્લિક પર અંતિમ લાભાર્થી સુધીની સેવાઓનું ટ્રેકિંગ. ટેક હોમ રાશન (THR) અને હોટ કૂક મીલ(HCM), શિશુઓ અને સગર્ભા સ્ત્રીઓ માટે રસીકરણ જેવી સેવાઓ.","Tracking services until the end of February by clicking on a button. Check Home Rating (THR) and Hot Cook Mail (HCM), services such as childcare and emergency women."
Growth Measurement,વૃદ્ધિ માપન,Size Estimation
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWWs દ્વારા વિવિધ વય જૂથોના બાળકોનું માસિક ધોરણે નિરીક્ષણ કરવામાં આવે છે. સ્વાસ્થ્ય સૂચકાંકો જેમ કે સ્ટંટિંગ, વેસ્ટિંગ અને ઓછા વજનનો વ્યાપ WHO ના ધોરણો મુજબ માપવામાં આવે છે. નિયમિત વૃદ્ધિની દેખરેખ AWW ને બાળકોને સંબંધિત અને સમયસર સહાય પૂરી પાડવામાં મદદ કરે છે.","AWWs monitors the mass of children in different age groups. Self-responsive indicators such as stating, weasting and low-density ratios are measured by WHO. AWW appears to be a regular age to help provide children with relative and time-consuming support."
Home Visit Alerts,હોમ વિઝિટ એલર્ટ,Home Widgets Alert
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","પોશન ટ્રેકર છેલ્લા માઈલના મહત્ત્વના લાભાર્થીઓને સ્વયંસંચાલિત ચેતવણીઓ જનરેટ કરે છે. તે લાભાર્થીઓ અને ફરજ ધારકોની વાસ્તવિક સમયની હાજરીનું દસ્તાવેજીકરણ કરીને ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ઓડિટ પણ સુનિશ્ચિત કરે છે. આ વ્યવસ્થાપન માહિતી પ્રણાલી પોષણ કાર્યક્રમને કાર્યક્ષમ રીતે માપવામાં મદદ કરશે, જેનાથી હકારાત્મક અસર પેદા થશે અને તેનું દસ્તાવેજીકરણ થશે.",The post-tracker generates automated warnings for the last important mail delivery. It also provides documentation for the presence of suppliers and suppliers by providing the functionality of the distribution system. This program will help to measure the data provided by the application in order to make it more efficient and documentation.
Learning Videos,શીખવાના વિડિયો,Video to learn
❮,❮,I'm sorry. I'm sorry.
How to take care of weak newborn with the help of Kangaroo Mother Care,કાંગારુ મધર કેરની મદદથી નબળા નવજાતની સંભાળ કેવી રીતે રાખવી,How to Maintain the Spirit of Self - Sacrifice
Preventing illnesses to avert Malnutrition and Death,કુપોષણ અને મૃત્યુને ટાળવા માટે બિમારીઓને અટકાવવી,Prevent accidental moves that result in getting killed.
Prevention of Anemia in children and adolescents girls,બાળકો અને કિશોરીઓમાં એનિમિયાનું નિવારણ,Disappearance of animation in Children and Cessorians
Birth Preparedness- For Institutional and Home Delivery,જન્મની તૈયારી- સંસ્થાકીય અને ઘરે પ્રસૂતિ માટે,Birthdays & Anniversaries
Care of the weak newborn baby - How many weak babies are we missing?,નબળા નવજાત બાળકની સંભાળ - આપણાથી કેટલા નબળા બાળકો છુટી જાય છે?,"How many of us have lost loved ones in death, and how many of us have lost loved ones in death?"
Feeding During Illness,માંદગી દરમિયાન ખોરાક આપવો,Feeding through the breast
Preparation During Pregnancy - For NewBorn Care & Family Planning,ગર્ભાવસ્થા દરમિયાન તૈયારી - નવજાત શિશુની સંભાળ અને કુટુંબ નિયોજન માટે,"During pregnancy, prepare for the care of the newborn and the family"
Ensuring Exclusive Breastfeeding,માત્ર ને માત્ર સ્તનપાનની ખાત્રી કરવી,Only crossfade columns
Assessment of growth in children,બાળકોમાં વૃદ્ધિનું મૂલ્યાંકન,The age value in children
Preventing anemia in women,સ્ત્રીઓમાં એનિમિયા અટકાયત,In women an animation is stopped
Complementary Feeding - Diet Diversity,પૂરક ખોરાક - આહારલક્ષી વિવિધતા,Enough Food - Protein Variety
Identification and care of a Weak Newborn baby,નબળા નવજાત શિશુની ઓળખ અને સંભાળ,The identity and management of the weak newborn child
Observing Breastfeeding In Newborn Babies,નવજાત શિશુમાં સ્તનપાનનું અવલોકન,A look at the column on a new child
Planning And Organising Community Based Events At AWC,AWC ખાતે સમુદાય આધારિત કાર્યક્રમોનું આયોજન,Organise AWC-based applications based on the AWC account
Making or Updating Home Visit Planner and Initiating home visits,ગૃહ મુલાકાતનું આયોજન બનાવવું અથવા અપડેટ કરવું અને ગૃહ મુલાકાત શરૂ કરવી,Create or update an appointment in the selected calendar
Ensuring that complementary feeding improves over time,સુનિશ્ચિત કરવું કે પૂરક ખોરાકની માત્રા સમયની સાથે સુધરે છે,To make sure that sufficient food is available only on time
How to ensure timely initiation of complementary feeding,સમયસર પૂરક ખોરાક શરૂઆત કર્યાની ખાત્રી કેવી રીતે કરવી,How to make sure that we do not have enough time to eat
Identifying and preventing Severe Acute Malnutrition,ગંભીર તીવ્ર કુપોષણની ઓળખ અને અટકાયત,Immediate and protracted acute blood pressure
Identification & Referral of Sick Newborn,બિમાર નવજાત શિશુની ઓળખ અને રેફરલ સેવા,Bimar New Child’s Identity and Refurbishment Service
Supporting mothers with issues in Breastfeeding,સ્તનપાનને લગતી સમસ્યાઓ ધરાવતી માતાઓને મદદ કરવી,Help Parents With Stephany Problems
Why this Monthly Meeting?,આ માસિક મિટિંગ શા માટે?,Why this massive meeting?
❯,❯,I'm sorry. I'm sorry.
Awareness,જાગૃતિ,Publisher
ALL ,બધા ,All
GENERAL ,સામાન્ય ,General
Pregnant Women ,સ્ત્રીઓ નોંધણી ,Women's Note
Lactating Mothers ,સ્તનપાન કરાવતી માતાઓ ,Mothers who are breast - feeding
CHILD CARE ,બાળ સંભાળ ,Child Management
Download PDF,PDF ડાઉનલોડ કરો,Download PDF
General Awareness about Growth Monitoring of Children,બાળકોના વૃધ્ધિ-વિકાસ વિશે સામાન્ય જાગૃતિ,General Information on the Growth and Growth of Children
General Awareness about preventing illness in Children,બાળકોમાં બિમારી અટકાવવા અંગે સામાન્ય જાગૃતિ,A common publication on children’s health care
General Awareness for Pregnancy,ગર્ભાવસ્થા માટે સામાન્ય જાગૃતિ,Common Advertisement for greyscale
General Awareness on Module,મોડ્યુલ પર સામાન્ય જાગૃતિ,Common Publisher on Module
General Awareness on Anaemia,એનિમિયા પર સામાન્ય જાગૃતિ,A Common Publisher on an Animia
General Awareness on SAM and MAM,SAM અને MAM પર સામાન્ય જાગૃતિ,General Journal on SAM and MAM
General Awareness on Mother Care,માતાની સંભાળ અંગે સામાન્ય જાગૃતિ,A common publication on mother - in - law’s care
General Awareness on the Delivery of the child,બાળકના જન્મ અંગે સામાન્ય જાગૃતિ,A common publication at a child’s birth
Pregnant Women,સ્ત્રીઓ નોંધણી,Women's Note
Awareness for Pregnancy in Preventing Anemia,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ,Advertise for stopped animations in a fast-paced state
Lactating Mothers,સ્તનપાન કરાવતી માતાઓ,Mothers who are breast - feeding
Awareness for Lactating Mother Complimentary Feeding for Children,સ્તનપાન કરાવતી માતાઓ માટે બાળકોના ઉપરી આહાર અંગે જાગૃતિ,Children’s Picture Search For Deserving Parents
Awareness to Lactating Mother,સ્તનપાન કરાવતી માતા માટે જાગૃતિ,A publication for the benefit of the mother who gave birth to a baby.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ","The children’s standing, Westing, magazine to prevent exposure to children"
Growth Monitoring Assessment Charts,ગ્રોથ મોનિટરિંગ એસેસમેન્ટ ચાર્ટ,Groth monitoring assetment chart
Stunted Assessment Parameters,સ્ટંટીંગ નક્કી કરવા માટેના માપદંડો ,The size of the layout to determine
