en,gu
Beneficiary migration from one AWC to another AWC,લાભાર્થી એક AWCથી અન્ય AWCમાં સ્થળાંતરણ
Beneficiary deletion by AWW,AWW દ્વારા લાભાર્થી મિટાવવા
Default language selection,ડિફોલ્ટ ભાષાની પસંદગી
"Beneficiary concerns accessibility to AWW, along with status update once resolved","આંગણવાડી કાર્યકર્તા (AWW) સુધી લાભાર્થીની પહોંચ સંબંધિત, એક વખત ઉકેલ મેળવી લેવામાં આવે એટલે સ્ટેટસ અપડેટેડ"
Growth monitoring report for all health indicators,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ
Application downloaded status by AWW,AWW દ્વારા અરજી ડાઉનલોડ કરવામાં આવી તેને લગતી સ્થિતિ
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,લાભાર્થી ગણતરી અહેવાલ : સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે
Resources for growth monitoring and general awareness,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો
Growth monitoring charts,વૃદ્ધિના નિરીક્ષણને લગતા કોષ્ટકો
New beneficiary addition with skip OTP option,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા
Mobile number need to be validated within a week,એક સપ્તાહમાં માન્યતા આપવા મોબાઈલ નંબરની જરૂર છે
Anganwadi Worker profile page,આંગણવાડી કાર્યકર્તાનું પ્રોફાઈલ પેજ
Stunting and Underweight Growth Parameters,વૃદ્ધિ અટકી જવી અને ઓછા વજન સાથે વૃદ્ધિને લગતા માપદંડો
Beneficiaries status change notifications,લાભાર્થીઓને લગતા દરજ્જામાં ફેરફાર અંગે નોટિફિકેશન્સ
Migrated from one category to another,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ
Beneficiary record becoming inactive,લાભાર્થીને લગતો રેકોર્ડ નિષ્ક્રીય બની રહ્યો છે
Beneficiary migration from one AWC to another AWC,લાભાર્થી એક AWCથી અન્ય AWCમાં સ્થળાંતરણ
Beneficiary deletion by AWW,AWW દ્વારા લાભાર્થી મિટાવવા
Default language selection,ડિફોલ્ટ ભાષાની પસંદગી
"Beneficiary concerns accessibility to AWW, along with status update once resolved","આંગણવાડી કાર્યકર્તા (AWW) સુધી લાભાર્થીની પહોંચ સંબંધિત, એક વખત ઉકેલ મેળવી લેવામાં આવે એટલે સ્ટેટસ અપડેટેડ"
Growth monitoring report for all health indicators,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ
Application downloaded status by AWW,AWW દ્વારા અરજી ડાઉનલોડ કરવામાં આવી તેને લગતી સ્થિતિ
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,લાભાર્થી ગણતરી અહેવાલ : સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે
Resources for growth monitoring and general awareness,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો
Growth monitoring charts,વૃદ્ધિના નિરીક્ષણને લગતા કોષ્ટકો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે.
How to use Poshan Calculator?,પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?
Select Gender,જાતિ પસંદ કરો
Enter Date of Birth,જન્મ તારીખ દાખલ કરો
Enter Height in centimeter,સેન્ટીમીટરમાં ઊંચાઈ દાખલ કરો
Enter Weight in kilogram,કિલોગ્રામમાં વજન દાખલ કરો
Click on Show Results,પરિણામો બતાવો પર ક્લિક કરો
Gender ,લિંગ 
*,*
Boy,છોકરો
Girl,છોકરી
Date of Birth ,જન્મ તારીખ 
*,*
Height (CM) ,ઊંચાઈ (સે.મી) 
*,*
*Height should be between 38 to 150,*ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ
CM,સે.મી
Weight (KG) ,વજન (કિલો) 
*,*
*Weight should be between 0.90 to 58,*વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ
KG,કિલો
Show Results,પરિણામો દર્શાવો
ABHA (Health ID) and its Benefits,ABHA (હેલ્થ ID) અને તેના ફાયદા
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (અગાઉ હેલ્થ ID તરીકે ઓળખાતું) એ આયુષ્માન ભારત હેલ્થ એકાઉન્ટનું ટૂંકું નામ છે.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (હેલ્થ ID) નો ઉપયોગ કરવો એ તમારા અને તમારા પરિવાર માટે સુરક્ષિત અને કાર્યક્ષમ ડિજિટલ હેલ્થ રેકોર્ડ બનાવવા તરફનું પ્રથમ પગલું છે.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે."
Know More,વધુ જાણો
×,×
Frequently Asked Questions,વારંવાર પૂછાતા પ્રશ્નો
ALL,બધા
BENEFICIARY REGISTRATION,લાભાર્થી નોંધણી
Take Home Ration,ઘરે રાશન લો
Hot Cooked Meal,ગરમ રાંધેલું ભોજન
What is Poshan Abhiyaan?,પોશણ અભિયાન એટલે શું?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે."
What is the purpose of Launching Poshan Tracker?,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે. સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ."
How can one Download Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?
Poshan Tracker App is available over Google playstore ,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?, પર ઉપલબ્ધ છે.
"No, Poshan Tracker is available only for Android version","ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે."
What is the minimum requirement to install Poshan Tracker App in mobile?,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.
View All FAQs,તમામ FAQs જુઓ
Can a beneficiary register directly using application.,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.
Currently a beneficiary can register by the help of an AWW,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે
Who is a beneficiary?,લાભાર્થી કોણ છે?
There are 6 categories for beneficiaries,લાભાર્થીઓ માટે 6 શ્રેણીઓ છે
Pregnant Women,સગર્ભા સ્ત્રીઓ
Lactating Mother,સ્તનપાન કરાવતી માતા
Children from 0 to 6 months,0 થી 6 મહિનાના બાળકો
Children from 6 months to 3 years,6 મહિનાથી 3 વર્ષ સુધીના બાળકો
Children from 3 years to 6 years,3 વર્ષથી 6 વર્ષ સુધીના બાળકો
Adolescent girls,કિશોરવયની છોકરીઓ
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.
Who is eligible for Take Home Ration?,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ."
Where can I enquire about take home ration?,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
A beneficiary is eligible for HCM for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?
Children in the age group of 3 years to 6 years,3 વર્ષથી 6 વર્ષની વયના બાળકો
Where can I enquire about Hot Cooked Meal?,હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
We are now available on Video Conference,અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ
State Video Conference,સ્ટેટ વીડિયો કોન્ફરન્સ
Monday to Friday ,સોમવાર થી શુક્રવાર 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,હવે જોડાઓ
Anganwadi Worker Training,આંગણવાડી કાર્યકર્તા તાલીમ
Monday to Friday ,સોમવાર થી શુક્રવાર 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,હવે જોડાઓ
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
About Poshan Tracker,પોશન ટ્રેકર વિશે
About,About
Poshan Tracker App,પોશન ટ્રેકર એપ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘પોશન ટ્રેકર’ એ મોબાઈલ આધારિત એપ્લિકેશન છે જે 1લી માર્ચ 2021ના રોજ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા નેશનલ ઈ-ગવર્નન્સ ડિવિઝન (NeGD), MyGov દ્વારા એક મહત્વપૂર્ણ ગવર્નન્સ ટૂલ તરીકે બહાર પાડવામાં આવી છે. પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે. પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,ઘરે રાશન લો
Hot Cooked Meal,ગરમ રાંધેલું ભોજન
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,શું છે
Poshan Tracker Features,પોશન ટ્રેકરની વિશેષતાઓ
Real time recording and Monitoring,રીઅલ ટાઇમ રેકોર્ડિંગ અને મોનીટરીંગ
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","પોશન ટ્રેકર નિર્ધારિત સૂચકાંકો પર તમામ AWC અને લાભાર્થીઓનું રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગ સક્ષમ કરે છે. તે કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ ટેક્નોલોજી સિસ્ટમ્સ સાથે પણ ગોઠવે છે. ઉદ્દેશ્ય આંગણવાડી કેન્દ્ર (AWC) ની પ્રવૃત્તિઓ, આંગણવાડી કાર્યકરો (AWWs) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી વ્યવસ્થાપનનો 360-ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે. સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે."
Services Delivered,સેવાઓ વિતરિત
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","એક બટનના ક્લિક પર અંતિમ લાભાર્થી સુધીની સેવાઓનું ટ્રેકિંગ. ટેક હોમ રાશન (THR) અને હોટ કૂક મીલ(HCM), શિશુઓ અને સગર્ભા સ્ત્રીઓ માટે રસીકરણ જેવી સેવાઓ."
Growth Measurement,વૃદ્ધિ માપન
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWWs દ્વારા વિવિધ વય જૂથોના બાળકોનું માસિક ધોરણે નિરીક્ષણ કરવામાં આવે છે. સ્વાસ્થ્ય સૂચકાંકો જેમ કે સ્ટંટિંગ, વેસ્ટિંગ અને ઓછા વજનનો વ્યાપ WHO ના ધોરણો મુજબ માપવામાં આવે છે. નિયમિત વૃદ્ધિની દેખરેખ AWW ને બાળકોને સંબંધિત અને સમયસર સહાય પૂરી પાડવામાં મદદ કરે છે."
Home Visit Alerts,હોમ વિઝિટ એલર્ટ
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","પોશન ટ્રેકર છેલ્લા માઈલના મહત્ત્વના લાભાર્થીઓને સ્વયંસંચાલિત ચેતવણીઓ જનરેટ કરે છે. તે લાભાર્થીઓ અને ફરજ ધારકોની વાસ્તવિક સમયની હાજરીનું દસ્તાવેજીકરણ કરીને ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ઓડિટ પણ સુનિશ્ચિત કરે છે. આ વ્યવસ્થાપન માહિતી પ્રણાલી પોષણ કાર્યક્રમને કાર્યક્ષમ રીતે માપવામાં મદદ કરશે, જેનાથી હકારાત્મક અસર પેદા થશે અને તેનું દસ્તાવેજીકરણ થશે."
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
Resources,સંસાધનો
Learning Videos,શીખવાના વિડિયો
❮,❮
How to take care of weak newborn with the help of Kangaroo Mother Care,કાંગારુ મધર કેરની મદદથી નબળા નવજાતની સંભાળ કેવી રીતે રાખવી
Preventing illnesses to avert Malnutrition and Death,કુપોષણ અને મૃત્યુને ટાળવા માટે બિમારીઓને અટકાવવી
Prevention of Anemia in children and adolescents girls,બાળકો અને કિશોરીઓમાં એનિમિયાનું નિવારણ
Birth Preparedness- For Institutional and Home Delivery,જન્મની તૈયારી- સંસ્થાકીય અને ઘરે પ્રસૂતિ માટે
Care of the weak newborn baby - How many weak babies are we missing?,નબળા નવજાત બાળકની સંભાળ - આપણાથી કેટલા નબળા બાળકો છુટી જાય છે?
Feeding During Illness,માંદગી દરમિયાન ખોરાક આપવો
Preparation During Pregnancy - For NewBorn Care & Family Planning,ગર્ભાવસ્થા દરમિયાન તૈયારી - નવજાત શિશુની સંભાળ અને કુટુંબ નિયોજન માટે
Ensuring Exclusive Breastfeeding,માત્ર ને માત્ર સ્તનપાનની ખાત્રી કરવી
Assessment of growth in children,બાળકોમાં વૃદ્ધિનું મૂલ્યાંકન
Preventing anemia in women,સ્ત્રીઓમાં એનિમિયા અટકાયત
Complementary Feeding - Diet Diversity,પૂરક ખોરાક - આહારલક્ષી વિવિધતા
Identification and care of a Weak Newborn baby,નબળા નવજાત શિશુની ઓળખ અને સંભાળ
Observing Breastfeeding In Newborn Babies,નવજાત શિશુમાં સ્તનપાનનું અવલોકન
Planning And Organising Community Based Events At AWC,AWC ખાતે સમુદાય આધારિત કાર્યક્રમોનું આયોજન
Making or Updating Home Visit Planner and Initiating home visits,ગૃહ મુલાકાતનું આયોજન બનાવવું અથવા અપડેટ કરવું અને ગૃહ મુલાકાત શરૂ કરવી
Ensuring that complementary feeding improves over time,સુનિશ્ચિત કરવું કે પૂરક ખોરાકની માત્રા સમયની સાથે સુધરે છે
How to ensure timely initiation of complementary feeding,સમયસર પૂરક ખોરાક શરૂઆત કર્યાની ખાત્રી કેવી રીતે કરવી
Identifying and preventing Severe Acute Malnutrition,ગંભીર તીવ્ર કુપોષણની ઓળખ અને અટકાયત
Identification & Referral of Sick Newborn,બિમાર નવજાત શિશુની ઓળખ અને રેફરલ સેવા
Supporting mothers with issues in Breastfeeding,સ્તનપાનને લગતી સમસ્યાઓ ધરાવતી માતાઓને મદદ કરવી
Why this Monthly Meeting?,આ માસિક મિટિંગ શા માટે?
❯,❯
Awareness,જાગૃતિ
ALL ,બધા 
13,13
 , 
GENERAL ,સામાન્ય 
9,9
 , 
Pregnant Women ,સ્ત્રીઓ નોંધણી 
1,1
 , 
Lactating Mothers ,સ્તનપાન કરાવતી માતાઓ 
2,2
 , 
CHILD CARE ,બાળ સંભાળ 
1,1
 , 
❮,❮
General,General
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness about Growth Monitoring of Children,બાળકોના વૃધ્ધિ-વિકાસ વિશે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness about preventing illness in Children,બાળકોમાં બિમારી અટકાવવા અંગે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness for Pregnancy,ગર્ભાવસ્થા માટે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness on Module,મોડ્યુલ પર સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness on Anaemia,એનિમિયા પર સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness on SAM and MAM,SAM અને MAM પર સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness on Mother Care,માતાની સંભાળ અંગે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General,General
General Awareness on the Delivery of the child,બાળકના જન્મ અંગે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
Pregnant Women,સ્ત્રીઓ નોંધણી
