en,bn
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,সুবিধাভোগীর সংখ্যা গণনার রিপোর্ট : নিষ্ক্রিয় হওয়া রেকর্ডের সংখ্যা এবং এক বিভাগ থেকে অন্য বিভাগে স্থানান্তরিত রেকর্ডের সংখ্যা
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ
Growth monitoring charts,বৃদ্ধি পর্যবেক্ষণ চার্ট
Poshan Calculator,পোশান ক্যালকুলেটর
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থা (WHO) দ্বারা সংজ্ঞায়িত মানগুলির উপর ভিত্তি করে শিশুদের বৃদ্ধি পরিমাপ করার জন্য ডিজাইন করা হয়েছে।.
How to use Poshan Calculator?,পোষান ক্যালকুলেটর কিভাবে ব্যবহার করবেন?
Select Gender,লিংগ নির্বাচন করুন
Enter Date of Birth,জন্মের তারিখ লিখুন
Enter Height in centimeter,সেন্টিমিটারে উচ্চতা লিখুন
Enter Weight in kilogram,কিলোগ্রামে ওজন লিখুন
Click on Show Results,রেজাল্ট দেখান-এ ক্লিক করুন
Gender ,লিঙ্গ 
Boy,ছেলে
Girl,মেয়ে
Date of Birth ,জন্ম তারিখ 
Height (CM) ,উচ্চতা (সেমি) 
*Height should be between 38 to 150,*উচ্চতা 38 থেকে 150-এর মধ্যে হওয়া উচিত
CM,সেন্টিমিটার
Weight (KG) ,ওজন (কেজি) 
*Weight should be between 0.90 to 58,*ওজন 0.90 থেকে 58-এর মধ্যে হওয়া উচিত
KG,কেজি
Show Results,ফলাফল প্রদর্শন করুন
ABHA (Health ID) and its Benefits,ABHA (স্বাস্থ্য আইডি) এবং এর সুবিধা
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (যা আগে স্বাস্থ্য আইডি নামে পরিচিত ছিল) হল আয়ুষ্মান ভারত স্বাস্থ্য অ্যাকাউন্টের সংক্ষিপ্ত রূপ।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (স্বাস্থ্য আইডি) ব্যবহার করা আপনার এবং আপনার পরিবারের জন্য নিরাপদ এবং এটি দক্ষ ডিজিটাল স্বাস্থ্য রেকর্ড তৈরি করার জন্য প্রথম পদক্ষেপ।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","এটি অংশগ্রহণকারী স্বাস্থ্যসেবা প্রদানকারীদের সাথে আপনার মিথস্ক্রিয়াকে সক্ষম করে এবং আপনাকে আপনার ডিজিটাল ল্যাব রিপোর্ট, প্রেসক্রিপশন এবং নির্ণয়ের যাচাইকৃত স্বাস্থ্যসেবা পেশাদার এবং স্বাস্থ্য পরিষেবা প্রদানকারীদের কাছ থেকে নির্বিঘ্নে পেতে অনুমতি দেয়।"
Know More,আরও জানুন
Frequently Asked Questions,সচরাচর জিজ্ঞাস্য প্রশ্ন
ALL,সব
BENEFICIARY REGISTRATION,সুবিধাভোগীর নিবন্ধন
Take Home Ration,বাড়িতে নিয়ে যাওয়ার জন্য রেশন
Hot Cooked Meal,গরম রান্না করা খাবার
What is Poshan Abhiyaan?,পশান অভিযান কি?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পশান অভিযান হ'ল শিশু, কিশোর, গর্ভবতীদের পুষ্টির ফলাফল উন্নত করার জন্য ভারতের এক নিজস্ব কর্মসূচি।"
What is the purpose of Launching Poshan Tracker?,পশান ট্র্যাকার চালু করার উদ্দেশ্য কী?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","পশান ট্র্যাকার অ্যাপ্লিকেশনটির উদ্দেশ্য হ'ল অঙ্গনবাদী কেন্দ্রের (AWC) কার্যক্রমের ৩৬০ ডিগ্রি ভিউ, অঙ্গনওয়াড়ি কর্মীদের সেবা সরবরাহ এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা ও শিশুদের জন্য সম্পূর্ণ উপকারভোগী ব্যবস্থাপনার ব্যবস্থা করা। প্রস্তাবিত সিস্টেমে নির্ধারিত সূচকগুলিতে সমস্ত AWC, AWW এবং সুবিধাভোগীদের রিয়েল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।"
How can one Download Poshan Tracker App?,কীভাবে একজন পশান ট্র্যাকার অ্যাপ্লিকেশন ডাউনলোড করতে পারেন?
Poshan Tracker App is available over Google playstore ,পশান ট্র্যাকার অ্যাপ্লিকেশন গুগল প্লেস্টোর 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,অ্যাপল আই স্টোরের উপরেও কি পশান ট্র্যাকস অ্যাপ পাওয়া যায়?
"No, Poshan Tracker is available only for Android version","না , পশান ট্র্যাকারস অ্যাপটি শুধুমাত্র অ্যান্ড্রয়েড ভার্সানের জন্য উপলব্ধ।"
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলে পশান ট্র্যাকার অ্যাপটি ইনস্টল করার জন্য ন্যূনতম প্রয়োজনীয়তা কী?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পশান ট্র্যাকার অ্যাপটি কেবল ৬.০ এবং তারপরের অ্যান্ড্রয়েড ভার্সানের অ্যান্ড্রয়েড ফোনে ইনস্টল করা যেতে পারে।
View All FAQs,সব প্রায়শ জিজ্ঞাসিত প্রশ্ন (FAQ) দেখুন
Can a beneficiary register directly using application.,একজন সুবিধাভোগী কি অ্যাপ্লিকেশনটি ব্যবহার করে সরাসরি নিবন্ধন করতে পারেন।
Currently a beneficiary can register by the help of an AWW,বর্তমানে একজন সুবিধাভোগী AWW এর সাহায্যে নিবন্ধন করতে পারেন
Who is a beneficiary?,একজন সুবিধাভোগী কে?
There are 6 categories for beneficiaries,সুবিধাভোগীদের 6টি বিভাগ রয়েছে
Pregnant Women,গর্ভবতী মহিলা
Lactating Mother,স্তন্যদানকারী মা
Children from 0 to 6 months,0 থেকে 6 মাস পর্যন্ত বয়সী শিশুরা
Children from 6 months to 3 years,6 মাস থেকে 3 বছর পর্যন্ত বয়সী শিশুরা
Children from 3 years to 6 years,3 বছর থেকে 6 বছর পর্যন্ত বয়সী শিশুরা
Adolescent girls,কিশোরী মেয়েরা
Can a beneficiary change his/her AWC?,একজন সুবিধাভোগী কি তার AWC পরিবর্তন করতে পারেন?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,একটি AWW একটি AWC থেকে অন্য AWC-তে তাদের আধার নম্বরের ভিত্তিতে স্থানান্তর করতে 'মাইগ্রেট বেনিফিশিয়ারি' বিকল্প ব্যবহার করতে পারেন।
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?
A beneficiary is eligible for THR for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য THR পাওয়ার যোগ্য।
Who is eligible for Take Home Ration?,কে বাড়িতে নিয়ে যাওয়ার জন্য রেশনের পাওয়ার যোগ্য?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গর্ভবতী মহিলা, স্তন্যদানকারী মা, 6 মাস থেকে 3 বছর বয়সী শিশু এবং কিশোরী মেয়েরা।"
Where can I enquire about take home ration?,বাড়িতে নিয়ে যাওয়ার জন্য রেশনের ব্যাপারে আমি কোথায় জিজ্ঞাসা করতে পারি?
Please contact your respective Anganwadi worker.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কর্মীর সাথে যোগাযোগ করুন।
Who is eligible for additional supplementary food.,কারা অতিরিক্ত সম্পূরক খাদ্য পাওয়ার জন্য যোগ্য।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হয়েছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওয়ার যোগ্য।
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?
A beneficiary is eligible for HCM for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওয়ার যোগ্য।
Who is eligible for Hot Cooked Meal?,কারা গরম রান্না করা খাবারের জন্য যোগ্য?
Children in the age group of 3 years to 6 years,3 বছর থেকে 6 বছর বয়সী শিশুরা
Where can I enquire about Hot Cooked Meal?,আমি কোথায় গরম রান্না করা খাবার সম্পর্কে জিজ্ঞাসা করতে পারি?
Please contact your respective Anganwadi Centre.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কেন্দ্রে যোগাযোগ করুন।
Who is eligible for additional supplementary food?,কে অতিরিক্ত সম্পূরক খাদ্য পাওয়ার যোগ্য?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হয়েছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওয়ার যোগ্য।
We are now available on Video Conference,আমরা এখন ভিডিও কনফারেন্সে উপলব্ধ
State Video Conference,রাজ্য ভিডিও কনফারেন্স
Monday to Friday ,সোম থেকে শুক্র 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,এখনি যোগদান করুন
Anganwadi Worker Training,অঙ্গনওয়াড়ি কর্মীদের প্রশিক্ষণ
Monday to Friday ,সোম থেকে শুক্র 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,এখনি যোগদান করুন
×,×
Support,সহায়তা
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Powered By,Powered By
About,বিষয়
Resources,সংস্থান
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Terms of Service,পরিষেবা পাওয়ার শর্ত
Privacy Policy,গোপনীয়তা নীতি
Careers,কেরিয়ার
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
About Poshan Tracker,পোশান ট্র্যাকার সম্পর্কে
About,About
Poshan Tracker App,পোশান ট্র্যাকার অ্যাপ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘পোশান ট্র্যাকার’ হল একটি মোবাইল ভিত্তিক অ্যাপ্লিকেশন, যা ভারত সরকারের মহিলা ও শিশু উন্নয়ন মন্ত্রক, 1লা মার্চ 2021 থেকে ন্যাশনাল ই-গভর্নেন্স ডিভিশন (NeGD), MyGov-এর মাধ্যমে একটি গুরুত্বপূর্ণ গভর্নেন্স টুল হিসাবে চালু করেছে। পোশান ট্র্যাকারের অধীনে প্রযুক্তিটি বৃদ্ধিতে বাধা, অপুষ্টি, শিশুদের মধ্যে কম ওজনের প্রাদুর্ভাব এবং পুষ্টি পরিষেবা সরবরাহের শেষ মাইল ট্র্যাকিংয়ের গতিশীল সনাক্তকরণের জন্য ব্যবহার করা হচ্ছে."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,পোশান ট্র্যাকার হল অঙ্গনওয়াড়ি কর্মীদের তাদের প্রচেষ্টার প্রতিফলন সহ দক্ষতার সাথে পরিষেবা প্রদানের জন্য একটি জব এড। এটি পোশান অভিযানের অধীনে একটি গুরুত্বপূর্ণ এবং সুবিধাভোগী-কেন্দ্রিক পরিষেবা সরবরাহের অ্যাপ্লিকেশন যা বিশ্লেষণ করে রিয়েল টাইম ডেটা প্রোমোট করবে.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,বাড়িতে নিয়ে যাওয়ার জন্য রেশন
Hot Cooked Meal,গরম রান্না করা খাবার
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,গুলি কি
Poshan Tracker Features,পোশান ট্র্যাকার বৈশিষ্ট্য
Real time recording and Monitoring,রিয়েল টাইম রেকর্ডিং এবং মনিটরিং
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","পোশান ট্র্যাকার সমস্ত AWC এবং সংজ্ঞায়িত সূচকে সুবিধাভোগীদের রিয়েল-টাইম পর্যবেক্ষণ এবং ট্র্যাকিং সক্ষম করে। এটি কেন্দ্রীভূত ডেটা আর্কিটেকচার ব্যবহার করে তৈরি করা হয়েছে যা অন্যান্য মন্ত্রণালয় এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমের সাথে সারিবদ্ধ। উদ্দেশ্য হল অঙ্গনওয়াড়ি কেন্দ্রের (AWC), অঙ্গনওয়াড়ি কর্মীদের (AWWs) পরিষেবা প্রদান এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা এবং শিশুদের জন্য সম্পূর্ণ সুবিধাভোগী ব্যবস্থাপনার 360-ডিগ্রি ভিউ প্রদান করা। পাবলিক ড্যাশবোর্ড সুবিধাভোগীদের প্রদান করা পরিষেবাগুলিতে স্বচ্ছতা প্রদানে সহায়তা করে."
Services Delivered,সেবা প্রদান করা হয়েছে
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ব্যাস একটি বোতামের ক্লিকেই শেষ সুবিধাভোগী পর্যন্ত পরিষেবার ট্র্যাকিং। টেক হোম রেশন (THR) এবং গরম রান্না করা খাবার (HCM), শিশু এবং গর্ভবতী মহিলাদের জন্য টিকা প্রদানের মতো পরিষেবা."
Growth Measurement,বৃদ্ধির পরিমাপ
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWWs দ্বারা মাসিক ভিত্তিতে বিভিন্ন বয়সের শিশুদের পর্যবেক্ষণ করা হয়। স্বাস্থ্য সূচক যেমন স্টান্টিং, ওয়েস্টিং এবং কম ওজনের প্রাদুর্ভাব WHO-এর মান অনুযায়ী পরিমাপ করা হয়। নিয়মিত বৃদ্ধি পর্যবেক্ষণ AWW-কে শিশুদের প্রাসঙ্গিক এবং সময়মত সহায়তা প্রদান করতে সাহায্য করে."
Home Visit Alerts,হোম ভিজিট সতর্কতা
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","পোশান ট্র্যাকার শেষ-মাইলের গুরুত্বপূর্ণ সুবিধাভোগীদের জন্য স্বয়ংক্রিয় অ্যালার্ট তৈরী করে। এটি সুবিধাভোগী এবং দায়িত্ব বহনকারীদের রিয়েল-টাইম উপস্থিতি নথিভুক্ত করে বিতরণ ব্যবস্থার একটি দক্ষ নিরীক্ষা নিশ্চিত করে। এই ম্যানেজমেন্ট ইনফরমেশন সিস্টেম পুষ্টি প্রোগ্রামকে দক্ষতার সাথে মাপতে সাহায্য করবে, যার ফলে একটি ইতিবাচক প্রভাব তৈরি এবং নথিভুক্ত করবে."
Support,সহায়তা
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Powered By,Powered By
About,বিষয়
Resources,সংস্থান
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Terms of Service,পরিষেবা পাওয়ার শর্ত
Privacy Policy,গোপনীয়তা নীতি
Careers,কেরিয়ার
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
Resources,সংস্থান
Learning Videos,লার্নিং ভিডিও
How to take care of weak newborn with the help of Kangaroo Mother Care,ক্যাঙ্গারু মাদার কেয়ারের সাহায্যে কীভাবে দুর্বল নবজাতকের যত্ন নেওয়া যায়
Preventing illnesses to avert Malnutrition and Death,অপুষ্টি এবং মৃত্যু এড়াতে অসুস্থতা প্রতিরোধ করা
Prevention of Anemia in children and adolescents girls,শিশু এবং কিশোরী মেয়েদের মধ্যে রক্তাল্পতা প্রতিরোধ
Birth Preparedness- For Institutional and Home Delivery,জন্মের প্রস্তুতি- প্রাতিষ্ঠানিক এবং হোম ডেলিভারির জন্য
Care of the weak newborn baby - How many weak babies are we missing?,দুর্বল নবজাতক শিশুর যত্ন - আমরা কতগুলি দুর্বল শিশুকে হারাচ্ছি?
Feeding During Illness,অসুস্থতার সময় খাওয়ানো
Preparation During Pregnancy - For NewBorn Care & Family Planning,গর্ভাবস্থায় প্রস্তুতি - নবজাতকের যত্ন ও পরিবার পরিকল্পনার জন্য
Ensuring Exclusive Breastfeeding,শুধুমাত্র বুকের দুধ খাওয়ানো নিশ্চিত করুন
Assessment of growth in children,শিশুদের বৃদ্ধির মূল্যায়ন
Preventing anemia in women,মহিলাদের মধ্যে অ্যানিমিয়া প্রতিরোধ
Complementary Feeding - Diet Diversity,পরিপূরক খাওয়ানো - খাদ্য বৈচিত্র্য
Identification and care of a Weak Newborn baby,একটি দুর্বল নবজাতক শিশুর সনাক্তকরণ এবং যত্ন
Observing Breastfeeding In Newborn Babies,নবজাতক শিশুদের বুকের দুধ খাওয়ানো পর্যবেক্ষণ করা
Planning And Organising Community Based Events At AWC,AWC-তে কমিউনিটি ভিত্তিক ইভেন্টের পরিকল্পনা ও আয়োজন
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিট প্ল্যানার তৈরি বা আপডেট করা এবং হোম ভিজিট শুরু করা
Ensuring that complementary feeding improves over time,পরিপূরক খাওয়ানো যাতে সময়ের সাথে সাথে উন্নত হয় তা নিশ্চিত করা
How to ensure timely initiation of complementary feeding,কিভাবে পরিপূরক খাওয়ানোর সময়মত সূচনা নিশ্চিত করা যায়
Identifying and preventing Severe Acute Malnutrition,গুরুতর তীব্র অপুষ্টি সনাক্তকরণ এবং প্রতিরোধ করা
Identification & Referral of Sick Newborn,অসুস্থ নবজাতকের সনাক্তকরণ ও রেফারেল
Supporting mothers with issues in Breastfeeding,স্তন্যপান করানোয়ে সমস্যা আছে এমন মায়েদের জন্য সহায়তা
Why this Monthly Meeting?,কেন এই মাসিক মিটিংটি কেন?
Awareness,সচেতনতা
ALL ,সব 
GENERAL ,GENERAL 
Pregnant Women ,গর্ভবতী মহিলাদের 
Lactating Mothers ,স্তন্যদানকারী মায়েরা 
CHILD CARE ,চাইল্ড কেয়ার 
General,সাধারণ
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness about Growth Monitoring of Children,শিশুদের বৃদ্ধি পর্যবেক্ষণ সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness about preventing illness in Children,শিশুদের অসুস্থতা প্রতিরোধ সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness for Pregnancy,গর্ভাবস্থার জন্য সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness on Module,মডিউলে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness on Anaemia,অ্যানিমিয়া সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness on SAM and MAM,SAM এবং MAM সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness on Mother Care,মায়ের তত্ত্বাবধান সম্বন্ধে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General,সাধারণ
General Awareness on the Delivery of the child,সন্তান প্রসবের বিষয়ে সাধারণ সচেতনতা
