data,language
AWW-ന് അവരുടെ ആധാർ നമ്പർ അടിസ്ഥാനമാക്കി ഒരു AWC-യിൽ നിന്ന് മറ്റൊരു AWC-ലേക്ക് ഒരു ഗുണഭോക്താവിനെ മൈഗ്രേറ്റ് ചെയ്യാൻ 'മൈഗ്രേറ്റ് ബെനിഫിഷ്യറി' ഓപ്ഷൻ ഉപയോഗിക്കാം.,ml
ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?,ml
ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് THR-ന് അർഹതയുണ്ട്.,ml
ടേക്ക് ഹോം റേഷൻ ലഭിക്കാൻ അർഹതയുള്ളത് ആരാണ്?,ml
"ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, 6 മാസം മുതൽ 3 വയസ്സ് വരെയുള്ള കുട്ടികൾ, കൗമാരക്കാരായ പെൺകുട്ടികൾ.",ml
റേഷൻ വീട്ടിലേക്ക് കൊണ്ടുപോകുന്നതിനെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?,ml
ദയവായി നിങ്ങളുടെ അംഗൻവാടി വർക്കറുമായി ബന്ധപ്പെടുക.,ml
അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.,ml
പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.,ml
ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് HCM-ന് അർഹതയുണ്ട്.,ml
ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?,ml
ദയവായി നിങ്ങളുടെ അങ്കണവാടി കേന്ദ്രവുമായി ബന്ധപ്പെടുക.,ml
അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് ആർക്കാണ് അർഹത?,ml
"കുട്ടികൾക്കിടയിലെ വളർച്ച മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ ചലനാത്മകമായ തിരിച്ചറിയൽ, പോഷകാഹാര സേവന വിതരണത്തിന്റെ അവസാന മൈൽ ട്രാക്കിംഗ് എന്നിവയ്ക്കായി പോഷൻ ട്രാക്കറിന് കീഴിലുള്ള സാങ്കേതികവിദ്യ പ്രയോജനപ്പെടുത്തുന്നു.",ml
അങ്കണവാടി ജീവനക്കാരുടെ പ്രയത്നത്തിന്റെ പ്രതിഫലനത്തോടൊപ്പം സേവനങ്ങൾ കാര്യക്ഷമമായി എത്തിക്കുന്നതിനുള്ള ഒരു തൊഴിൽ സഹായമാണ് പോഷൻ ട്രാക്കർ.,ml
"പോഷൻ അഭിയാന് കീഴിലുള്ള നിർണായകവും ഗുണഭോക്താക്കളെ കേന്ദ്രീകരിച്ചുള്ളതുമായ സേവന ഡെലിവറി ആപ്ലിക്കേഷനാണിത്, ഇത് അനലിറ്റിക്‌സിനൊപ്പം തത്സമയ ഡാറ്റ പ്രോത്സാഹിപ്പിക്കും.",ml
"കേന്ദ്രീകൃത ഡാറ്റ ആർക്കിടെക്ചർ ഉപയോഗിച്ചാണ് ഇത് നിർമ്മിച്ചിരിക്കുന്നത്, അത് മറ്റ് മന്ത്രാലയങ്ങളുടെയും പ്രോഗ്രാമുകളുടെയും ഡിജിറ്റൽ സാങ്കേതിക സംവിധാനങ്ങളുമായി വിന്യസിക്കുന്നു.",ml
"അങ്കണവാടികളുടെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങളുടെ 360 ഡിഗ്രി വീക്ഷണം, അങ്കണവാടി വർക്കർമാരുടെ (എഡബ്ല്യുഡബ്ല്യു) സേവനങ്ങൾ, ഗർഭിണികൾക്കും മുലയൂട്ടുന്ന അമ്മമാർക്കും കുട്ടികൾക്കും പൂർണ്ണമായ ഗുണഭോക്തൃ മാനേജ്മെന്റ് നൽകുക എന്നിവയാണ് ലക്ഷ്യം.",ml
ഗുണഭോക്താക്കൾക്ക് നൽകുന്ന സേവനങ്ങളിൽ സുതാര്യത നൽകാൻ പൊതു ഡാഷ്ബോർഡ് സഹായിക്കുന്നു.,ml
"ടേക്ക് ഹോം റേഷൻ (THR), ഹോട്ട് കുക്ക്ഡ് മീൽ (HCM), ശിശുക്കൾക്കും ഗർഭിണികൾക്കും വാക്സിനേഷൻ പോലുള്ള സേവനങ്ങൾ.",ml
"ആരോഗ്യ സൂചകങ്ങളായ മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ വ്യാപനം ലോകാരോഗ്യ സംഘടനയുടെ മാനദണ്ഡങ്ങൾക്കനുസരിച്ചാണ് അളക്കുന്നത്.",ml
ക്രമമായ വളർച്ചാ നിരീക്ഷണം കുട്ടികൾക്ക് പ്രസക്തവും സമയബന്ധിതവുമായ സഹായം നൽകാൻ AWW-കളെ സഹായിക്കുന്നു.,ml
"ഗുണഭോക്താക്കളുടെയും ഡ്യൂട്ടി വഹിക്കുന്നവരുടെയും തത്സമയ ഹാജർ രേഖപ്പെടുത്തുന്നതിലൂടെ ഡെലിവറി സംവിധാനത്തിന്റെ കാര്യക്ഷമമായ ഓഡിറ്റും ഇത് ഉറപ്പാക്കുന്നു. . ഈ മാനേജ്മെന്റ് ഇൻഫർമേഷൻ സിസ്റ്റം പോഷകാഹാര പരിപാടിയെ കാര്യക്ഷമമായി സ്കെയിൽ ചെയ്യാൻ സഹായിക്കും, അതുവഴി നല്ല സ്വാധീനം സൃഷ്ടിക്കുകയും രേഖപ്പെടുത്തുകയും ചെയ്യും.",ml
ഇന്റർനെറ്റ് ഇല്ലാതെ എ. പി. പി ആക്സസ് ചെയ്യാൻ കഴിയുമോ?,ml
"ഇല്ല, സാധുവായ ഇന്റർനെറ്റ് കണക്ഷൻ ഇല്ലാതെ അപ്ലിക്കേഷൻ പ്രവർത്തിക്കുന്നില്ല.",ml
പോഷൻ ട്രാക്കർ ആപ്പിന്റെ ടാർഗെറ്റ് യൂസർബേസ് ആരാണ്?,ml
അംഗൻവാടി തൊഴിലാളികൾക്കും അംഗൻവാടി കേന്ദ്രങ്ങൾക്കും ഗുണഭോക്താക്കളുടെ ഡാറ്റ ഫോമുകളിൽ നൽകുന്നതിന് വേണ്ടിയാണ് പോഷൻ ട്രാക്കർ ആപ്പ്.,ml
ഇത് പൊതുജനങ്ങൾക്കായി വികസിപ്പിച്ചതല്ല.,ml
പോഷൻ ട്രാക്കർ അപ്ലിക്കേഷനിൽ എങ്ങനെ ലോഗിൻ ചെയ്യാം?,ml
എഒപ്പംഒപ്പം- കൾ അവരുടെ മൊബൈൽ നമ്പറുകൾ ലോഗിൻ സ്ക്രീനിൽ നൽകാൻ അഭ്യർത്ഥിക്കുന്നു.,ml
"നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിലേക്ക് ഒരു ഒ‌ടി‌പി അയയ്‌ക്കും, നിങ്ങൾ‌ക്കാവശ്യമുള്ള പോസ്റ്റും നിങ്ങളുടെ എം‌പി‌എൻ‌ സജ്ജമാക്കുക.",ml
എന്താണ് എം‌പി‌ൻ?,ml
പോഷൻ ട്രാക്കർ എപിപിയിൽ രജിസ്റ്റർ ചെയ്യുമ്പോൾ ഒരു അംഗൻവാടി പ്രവർത്തകൻ സജ്ജമാക്കിയ 4 അക്ക പാസ്‌കോഡാണ് എം‌പി‌ൻ.,ml
എം‌പി‌ൻ എങ്ങനെ സജ്ജമാക്കാം?,ml
ബന്ധപ്പെട്ട അംഗൻ‌വാടി പ്രവർത്തകന് അവന്റെ / അവളുടെ മൊബൈൽ‌ നമ്പറിനെതിരെ ഒരു ഒ‌ടി‌പി അഭ്യർത്ഥിച്ച് എം‌പി‌എൻ‌ സജ്ജമാക്കാൻ‌ കഴിയും.,ml
"മൊബൈൽ‌ നമ്പർ‌ ഇതിനകം ഡാറ്റാബേസിൽ‌ ഉണ്ടെങ്കിൽ‌, ബന്ധപ്പെട്ട അംഗൻ‌വാഡി വ്യക്തിക്ക് രജിസ്റ്റർ‌ ചെയ്‌ത മൊബൈൽ‌ നമ്പറിൽ‌ 4 അക്ക ഒ‌ടി‌പി ലഭിക്കും.",ml
"ഒ‌ടി‌പിയിൽ‌ പ്രവേശിക്കുന്ന പോസ്റ്റ്, എ‌ഡബ്ല്യുഡബ്ല്യുവിന് ഇച്ഛാനുസൃതമാക്കിയ എം‌പി‌എൻ എളുപ്പത്തിൽ സജ്ജമാക്കാൻ കഴിയും.",ml
"എം‌പി‌ൻ എപ്പോൾ, എങ്ങനെ ഉപയോഗിക്കണം?",ml
"പോഷാൻ ട്രാക്കർ ആപ്പിലേക്ക് ലോഗിൻ ചെയ്യുമ്പോൾ, അവ സജ്ജീകരിച്ചിട്ടുള്ള എംപിഐയിൽ എഡബ്ല്യുഡബ്ല്യുകൾ പ്രവേശിക്കേണ്ടതുണ്ട്.",ml
പോഷൺ ട്രാക്കർ ആപ്പ് പ്രവർത്തിപ്പിക്കുന്നതിനും ഗുണഭോക്താക്കളുടെ ഫോമുകളിൽ വിവരങ്ങൾ എന്റർ ചെയ്യുന്നതിനും ഈ എംപിഐഎൻ ഒരു പാസ് കോഡായി പ്രവർത്തിക്കും.,ml
എം‌പി‌ൻ പുന: സജ്ജമാക്കുന്നതെങ്ങനെ?,ml
ഏത് AWW/ AWC ഉപയോക്താവിനും എളുപ്പത്തിൽ പുന: സജ്ജമാക്കാൻ കഴിയും.,ml
"നിങ്ങൾ മറന്ന പമ്പ്ൽ ക്ലിക്കുചെയ്യേണ്ടതുണ്ട്, കൂടാതെ നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പർ നൽകുക.",ml
"നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിൽ നിങ്ങൾക്ക് OTP ലഭിക്കും, കൂടാതെ നിങ്ങളുടെ എം‌പി‌ൻ എളുപ്പത്തിൽ പുന: സജ്ജമാക്കാനും കഴിയും.",ml
പോഷാൻ ട്രാക്കർ ആപ്പ് എത്ര ഭാഷകളിൽ ലഭ്യമാണ്?,ml
ഇംഗ്ലീഷ് ഭാഷയിൽ മാത്രം ഫോം പൂരിപ്പിക്കൽ എഒപ്പംഒപ്പം ന് ചെയ്യാൻ കഴിയും.,ml
പോഷൻ ട്രാക്കർ ആപ്പിൽ എത്ര വ്യത്യസ്ത ഫോമുകൾ ഉണ്ട്?,ml
ഗുണഭോക്താക്കൾക്കായി 7 വ്യത്യസ്ത തരം ഫോമുകൾ ഉണ്ട്.,ml
ഒരു പ്രത്യേക അംഗൻ‌വാടി കേന്ദ്രത്തിൽ‌ നിലവിലുള്ള അടിസ്ഥാന സ to കര്യങ്ങളുമായി ബന്ധപ്പെട്ട വിശദാംശങ്ങൾ‌ നൽ‌കുന്നതിന് എഒപ്പംഒപ്പം ആവശ്യമാണ്.,ml
"ഘടന, അടിസ്ഥാന സ, കര്യങ്ങൾ, സൗകര്യങ്ങൾ, ശുചിത്വം, കുടിവെള്ളം എന്നിവ ഇതിൽ ഉൾപ്പെടുന്നു.",ml
മൊബൈൽ‌ നമ്പറുകൾ‌ വഴി രജിസ്റ്റർ‌ ചെയ്യാൻ‌ കഴിയുന്നില്ലെങ്കിൽ‌ എഒപ്പംഒപ്പംS അപ്ലിക്കേഷനിൽ‌ എങ്ങനെ സൈൻ‌ അപ്പ് ചെയ്യാൻ‌ കഴിയും?,ml
മേൽപ്പറഞ്ഞ രണ്ട് കേസുകളിലും ഏതെങ്കിലും എഒപ്പംഒപ്പം ചേർക്കാനോ / എഡിറ്റുചെയ്യാനോ / സജീവമാക്കാനോ / നിർജ്ജീവമാക്കാനോ സ്റ്റേറ്റ് നോഡൽ ഓഫീസർമാർക്ക് അധികാരമുണ്ട്.,ml
ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ ഡാഷ്‌ബോർഡ് ആക്‌സസ് ചെയ്യാൻ കഴിയും?,ml
"ദേശീയ, സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ തലങ്ങളിലെ നാമനിർദ്ദേശം ചെയ്യപ്പെട്ട നോഡൽ ലെവൽ ഓഫീസർമാർക്ക് മാത്രമേ ഡാഷ്‌ബോർഡ് ആക്‌സസ് ചെയ്യുന്നതിന് സവിശേഷമായ യോഗ്യതാപത്രങ്ങൾ നൽകിയിട്ടുള്ളൂ.",ml
ഒരാൾക്ക് എങ്ങനെ എഒപ്പംഒപ്പം / എഒപ്പംഒപ്പം ചേർക്കാൻ കഴിയും?,ml
AWW / AWC- കൾ നോഡൽ ലെവൽ ഉദ്യോഗസ്ഥർക്ക് മാത്രമേ ചേർക്കാൻ കഴിയൂ.,ml
ശ്രേണിയിൽ മുകളിലുള്ള റംഗിലുള്ള ആരെങ്കിലും.,ml
"ദേശീയ തലത്തിലുള്ള ഉപയോക്താവിന് സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, മേഖല തലത്തിലുള്ള ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും.",ml
"സംസ്ഥാനതലത്തിലുള്ള ഉപയോക്താവിന് ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും, ജില്ലാതല ഉപയോക്താവിന് പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താവിനെ സൃഷ്ടിക്കാൻ കഴിയും, പ്രോജക്റ്റ് ലെവൽ ഉപയോക്താവിന് സെക്ടർ ലെവൽ യൂസർ.",ml
ക സൃഷ്ടിക്കാൻ കഴിയും.,ml
പോഷൻ ട്രാക്കർ ഡാഷ്‌ബോർഡിൽ എത്ര വ്യത്യസ്ത തരം റിപ്പോർട്ടുകൾ സൃഷ്ടിക്കാൻ കഴിയും?,ml
 support-poshantrackr@gov. in ൽ ഇമെയിലുകൾ അയച്ചുകൊണ്ട് പോഷൻ ട്രാക്കർ ടീമിനെ ബന്ധപ്പെടാം.,ml
ഹാൻഡ്‌ഹോൾഡിംഗിനും പിന്തുണയ്‌ക്കും ഞങ്ങൾ ഓരോ ദിവസവും ഉച്ചകഴിഞ്ഞ് 4:15 മുതൽ 5:15 വരെ വീഡിയോ കോൺഫറൻസിലൂടെ ലഭ്യമാണ്.,ml
ഒരു ഗുണഭോക്താവിന് അപേക്ഷ ഉപയോഗിച്ച് നേരിട്ട് രജിസ്റ്റർ ചെയ്യാം.,ml
"വിവിധ വംശീയ പശ്ചാത്തലങ്ങളിൽ നിന്നും സാംസ്കാരിക പശ്ചാത്തലങ്ങളിൽ നിന്നുമുള്ള (ബ്രസീൽ, ഘാന, ഇന്ത്യ, നോർവേ, ഒമാൻ, യുഎസ്എ) ഏകദേശം 8500 കുട്ടികളിൽ നിന്ന് പ്രാഥമിക വളർച്ചാ വിവരങ്ങളും അനുബന്ധ വിവരങ്ങളും MGRS ശേഖരിച്ചു.",ml
ജനനം മുതൽ അഞ്ച് വയസ്സുവരെയുള്ള എല്ലാ കുട്ടികൾക്കും ശാരീരിക വളർച്ചയുടെ ഏറ്റവും മികച്ച വിവരണവും വളർച്ചയ്ക്കും വികാസത്തിനുമുള്ള മാതൃകാ മാതൃകയായി മുലയൂട്ടുന്ന ശിശുവിനെ പ്രതിനിധീകരിക്കുന്ന ഒരൊറ്റ അന്താരാഷ്ട്ര നിലവാരം പുതിയ വളർച്ചാ വളവുകൾ നൽകുമെന്ന് പ്രതീക്ഷിക്കുന്നു.,ml
നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം?,ml
"സൈറ്റ് സന്ദർശിക്കുകയോ ഉപയോഗിക്കുകയോ ചെയ്യുന്നതിലൂടെ, കാലാകാലങ്ങളിൽ അപ്ഡേറ്റ് ചെയ്യുന്ന ഈ നിബന്ധനകൾ നിങ്ങൾ വ്യക്തമായി അംഗീകരിക്കുന്നു.",ml
"ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ഭാഗം നിങ്ങൾ അംഗീകരിക്കുന്നില്ലെങ്കിൽ, സൈറ്റ് ഉപയോഗിക്കരുത്.",ml
എന്തെങ്കിലും മാറ്റങ്ങളോ അപ്‌ഡേറ്റുകളോ ഉടനടി പ്രാബല്യത്തിൽ വരും.,ml
മാറ്റങ്ങൾക്കായി കാലാകാലങ്ങളിൽ ഈ ഉപയോഗ നിബന്ധനകൾ പരിശോധിക്കുന്നതിനുള്ള ഉത്തരവാദിത്തം നിങ്ങൾ ഏറ്റെടുക്കുന്നു.,ml
"സൈറ്റ് വാഗ്ദാനം ചെയ്യുന്ന ചില സവിശേഷതകളോ സേവനങ്ങളോ ഉപയോഗിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുവെങ്കിൽ, നിങ്ങളുടെ മൊബൈൽ നമ്പർ ഉപയോഗിച്ച് ഒരു അക്കൗണ്ടിനായി നിങ്ങൾ രജിസ്റ്റർ ചെയ്യേണ്ടതുണ്ട്.",ml
"ഈ നിബന്ധനകൾ അംഗീകരിച്ചുകൊണ്ട്, നിങ്ങളുടെ ഐഡന്റിറ്റി വിവരങ്ങളും (ആധാർ വിശദാംശങ്ങൾ ഉൾപ്പെടെ) നിങ്ങളുടെ അക്കൗണ്ടിൽ രജിസ്റ്റർ ചെയ്തിട്ടുള്ള മറ്റെല്ലാ അംഗങ്ങളുടെയും വിവരങ്ങൾ ഉപയോഗിക്കുന്നതിന് ഞങ്ങളെ അധികാരപ്പെടുത്താൻ നിങ്ങൾ വ്യക്തമായി സമ്മതിക്കുന്നു.",ml
നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങളുടെയും രജിസ്ട്രേഷന്റെയും രഹസ്യസ്വഭാവം കാത്തുസൂക്ഷിക്കുന്നതിനും ഈ വിവരങ്ങൾ സുരക്ഷിതമായി സൂക്ഷിക്കുന്നതിൽ നിങ്ങൾ പരാജയപ്പെടുന്നതിന്റെ ഫലമായുണ്ടാകുന്ന എല്ലാ പ്രവർത്തനങ്ങളുടെയും ഉത്തരവാദിത്തം നിങ്ങൾക്കാണ്.,ml
നിങ്ങളുടെ അക്കൗണ്ടിലോ മൊബൈൽ നമ്പറിലോ ആ വ്യക്തിയായി ആൾമാറാട്ടം നടത്തുക എന്ന ഉദ്ദേശ്യത്തോടെ മറ്റൊരു വ്യക്തിയുടെ പേര് ഉൾപ്പെടുത്തരുത്.,ml
മറ്റൊരു ഉപയോക്താവിന്റെ അനുമതി കൂടാതെ അവരുടെ അക്കൗണ്ട് നിങ്ങൾ ഉപയോഗിക്കരുത്.,ml
"നിങ്ങളുടെ അക്കൗണ്ടിന്റെ ഏതെങ്കിലും അനധികൃത ഉപയോഗമോ അക്കൗണ്ടുമായി ബന്ധപ്പെട്ട മറ്റ് സുരക്ഷാ ലംഘനമോ കണ്ടെത്തിയാൽ, നിങ്ങൾ ഉടൻ ഞങ്ങളെ രേഖാമൂലം അറിയിക്കും.",ml
നിങ്ങളുടെ അക്കൗണ്ട് മറ്റൊരാളുടെ അവകാശങ്ങൾ ലംഘിക്കുകയോ ഞങ്ങളുടെ നയങ്ങൾ ലംഘിക്കുകയോ ചെയ്യുന്നതായി ഞങ്ങൾക്ക് പരാതി ലഭിച്ചാൽ ഞങ്ങൾ നിങ്ങളുടെ അക്കൗണ്ട് റദ്ദാക്കുകയോ ബ്ലോക്ക് ചെയ്യുകയോ ചെയ്യാം.,ml
ഞങ്ങൾ എപ്പോൾ വേണമെങ്കിലും സൈറ്റിന്റെ ഉള്ളടക്കവും സവിശേഷതകളും മാറ്റിയേക്കാം.,ml
"സൈറ്റിൽ പ്രദർശിപ്പിച്ചിരിക്കുന്ന രജിസ്റ്റർ ചെയ്തതും രജിസ്റ്റർ ചെയ്യാത്തതുമായ വ്യാപാരമുദ്രകൾ, ലോഗോകൾ, സേവന മാർക്കുകൾ എന്നിവ ഞങ്ങളുടെ അല്ലെങ്കിൽ ഞങ്ങളുടെ ലൈസൻസർമാരുടെ ഉടമസ്ഥതയിലുള്ളതാണ്.",ml
ഞങ്ങളുടെ മുൻകൂർ രേഖാമൂലമുള്ള അനുമതിയില്ലാതെ നിങ്ങളുടെ വ്യാപാരമുദ്രയും ലോഗോയും സേവന അടയാളങ്ങളും ഒരു തരത്തിലും ഉപയോഗിക്കരുത്.,ml
ഈ വെബ്‌സൈറ്റിൽ ഫീച്ചർ ചെയ്‌തിരിക്കുന്ന മെറ്റീരിയൽ സൗജന്യമായി പുനർനിർമ്മിച്ചേക്കാം.,ml
"എന്നിരുന്നാലും, സൈറ്റിന്റെ ഒരു ഭാഗവും ഉള്ളടക്കവും പകർത്താനോ പുനഃപ്രസിദ്ധീകരിക്കാനോ പുനർനിർമ്മിക്കാനോ അപ്‌ലോഡ് ചെയ്യാനോ പോസ്റ്റുചെയ്യാനോ പൊതുവായി പ്രദർശിപ്പിക്കാനോ എൻകോഡ് ചെയ്യാനോ വിവർത്തനം ചെയ്യാനോ പ്രക്ഷേപണം ചെയ്യാനോ മറ്റേതെങ്കിലും വിധത്തിൽ മറ്റേതെങ്കിലും കമ്പ്യൂട്ടറിലേക്കോ സെർവറിലേക്കോ വെബ്‌സൈറ്റിലേക്കോ മറ്റ് മാധ്യമങ്ങളിലേക്കോ പ്രസിദ്ധീകരണത്തിനായി വിതരണം ചെയ്യാനോ പാടില്ല.",ml
അപകീർത്തികരമായ രീതിയിൽ അല്ലെങ്കിൽ തെറ്റിദ്ധരിപ്പിക്കുന്ന സന്ദർഭത്തിൽ.,ml
"നിങ്ങൾ (1) അത്തരം വിവരങ്ങൾ നിങ്ങളുടെ സ്വകാര്യ, വാണിജ്യേതര വിവര ആവശ്യങ്ങൾക്കായി മാത്രം ഉപയോഗിക്കുകയാണെങ്കിൽ, അത്തരം വിവരങ്ങൾ ഏതെങ്കിലും നെറ്റ്‌വർക്കുചെയ്‌ത കമ്പ്യൂട്ടറിൽ പകർത്തുകയോ പോസ്റ്റ് ചെയ്യുകയോ ഏതെങ്കിലും മീഡിയയിൽ പ്രക്ഷേപണം ചെയ്യുകയോ ചെയ്യുകയാണെങ്കിൽ, നിങ്ങൾക്ക് സൈറ്റിൽ ലഭ്യമായ വിവരങ്ങൾ ഉപയോഗിക്കാം, (2 ) അത്തരം വിവരങ്ങളിൽ എന്തെങ്കിലും മാറ്റങ്ങൾ വരുത്തരുത്, അത്തരം രേഖകളും ഉള്ളടക്കവുമായി ബന്ധപ്പെട്ട ഏതെങ്കിലും അധിക പ്രാതിനിധ്യങ്ങളോ വാറന്റികളോ ഉണ്ടാകരുത്.",ml
"മെറ്റീരിയൽ പ്രസിദ്ധീകരിക്കുകയോ മറ്റുള്ളവർക്ക് നൽകുകയോ ചെയ്യുന്നിടത്തെല്ലാം, ഉറവിടം പ്രാധാന്യത്തോടെ അംഗീകരിച്ചിരിക്കണം.",ml
"വിവർത്തനങ്ങൾ മികച്ച പ്രയത്നത്തിന്റെ അടിസ്ഥാനത്തിലാണെങ്കിലും, ചില ഭാഗങ്ങൾ തെറ്റായിരിക്കാം.",ml
വെബ്‌സൈറ്റിലെ ചില ഫയലുകളും മറ്റ് ഇനങ്ങളും വിവർത്തനം ചെയ്യാൻ കഴിയില്ല.,ml
"കൂടാതെ, പരിഭാഷയിൽ, ഭാഷാ തടസ്സങ്ങൾ കാരണം ചില ആപ്ലിക്കേഷനുകളും കൂടാതെ/അല്ലെങ്കിൽ സേവനങ്ങളും പ്രതീക്ഷിച്ച പോലെ പ്രവർത്തിച്ചേക്കില്ല.",ml
"ഈ വെബ്‌സൈറ്റുകൾ ലിങ്ക് ചെയ്‌തിരിക്കുന്നു എന്ന വസ്തുത ഞങ്ങളിൽ നിന്നുള്ള ഈ വെബ്‌സൈറ്റുകളുടെ ഏതെങ്കിലും അംഗീകാരത്തെ സൂചിപ്പിക്കുന്നില്ല, കാരണം ഈ വെബ്‌സൈറ്റുകളിൽ ഞങ്ങൾക്ക് എന്തെങ്കിലും നിയന്ത്രണമുണ്ട്.",ml
