data,language
"ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନଙ୍କୁ ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରରେ ଉପସ୍ଥିତ ଭିତ୍ତିଭୂମି ସମ୍ବନ୍ଧୀୟ ବିବରଣୀ ପ୍ରବେଶ କରିବାକୁ ପଡ଼ିବ ଏଥିରେ ସଂରଚନା, ମୌଳିକ ସୁବିଧା, ସୁବିଧା, ପରିମଳ ବ୍ୟବସ୍ଥା, ପାନୀୟ ଜଳ ଇତ୍ୟାଦି ଅନ୍ତର୍ଭୁକ୍ତ ।",or
ଯଦି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ମୋବାଇଲ୍ ନମ୍ବର ମାଧ୍ୟମରେ ପଞ୍ଜୀକରଣ କରିବାରେ ଅସମର୍ଥ ତେବେ ସେମାନେ ଆପରେ କିପରି ଭାବେ ସାଇନ୍ ଅପ୍ କରିପାରିବେ?,or
ସେଗୁଡିକୁ ସିଷ୍ଟମରେ ନୂତନ ଭାବରେ ଯୋଡା ଯାଇଛି ଏବଂ ସେମାନଙ୍କର ମୋବାଇଲ୍‌ ନମ୍ୱର ଏମ୍‌ଓଡବ୍ଲ୍ୟୁସିଡିକୁ ରାଜ୍ୟ ସେଲ୍‌ ଦ୍ୱାରା ପ୍ରଦାନ କରାଯାଇ ନାହିଁ।,or
ଉପରୋକ୍ତ ଉଭୟ ମାମଲାଗୁଡ଼ିକରେ ରାଜ୍ୟ ନୋଡାଲ ଅଧିକାରୀମାନଙ୍କୁ ଯେକୌଣସି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁଙ୍କୁ ଯୋଗ କରିବା / ସଂଶୋଧନ / ସକ୍ରିୟ / ନିଷ୍କ୍ରିୟ କରିବାକୁ କ୍ଷମତା ପ୍ରଦାନ କରାଯାଇଛି ।,or
ଜଣେ କିପରି ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରିପାରିବେ?,or
ଦାସବୋର୍ଡରେ ସାଇନ୍ ଇନ୍‌ କରି ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରାଯାଇପାରିବ ।,or
"କେବଳ ଜାତୀୟ, ରାଜ୍ୟ, ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରରେ ମନୋନୀତ ନୋଡାଲ ସ୍ତରର ଅଧିକାରୀମାନଙ୍କୁ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରିବା ପାଇଁ ଏକ ସ୍ୱତନ୍ତ୍ର ପ୍ରମାଣପତ୍ର ପ୍ରଦାନ କରାଯାଇଥାଏ ।",or
ଜଣେ କିପରି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସିଙ୍କୁ ଯୋଡ଼ିପାରିବେ?,or
ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସିଙ୍କୁ କେବଳ ନୋଡାଲ୍ ସ୍ତରର ଅଧିକାରୀଙ୍କ ଦ୍ୱାରା ଯୋଡ଼ାଯାଇପାରିବ ।,or
ଉପରୋକ୍ତ ପଦାନୁକ୍ରମରେ ଯେକୌଣସି ବ୍ୟକ୍ତି ।,or
"ଯେପରିକି ଜାତୀୟ ସ୍ତରର ବ୍ୟବହାରକାରୀ ରାଜ୍ୟ, ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରର ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ ।",or
"ରାଜ୍ୟ ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ, ଜିଲ୍ଲା ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ, ପ୍ରକଳ୍ପ ସ୍ତରର ବ୍ୟବହାରକାରୀ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ ।",or
ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡରେ କେତେ ପ୍ରକାରର ରିପୋର୍ଟ ପ୍ରସ୍ତୁତ କରାଯାଇପାରିବ?,or
ପୋଷଣ ଟ୍ରାକର ହେଉଛି ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟର ଏକ ପ୍ରକଳ୍ପ ।,or
ଡିଜିଟାଲ ଇଣ୍ଡିଆ କର୍ପୋରେସନ ହେଉଛି MoWCDର ବୈଷୟିକ ଅଂଶୀଦାର ।,or
ପୋଷଣ ଟ୍ରାକର ଭାରତରୁ ପୁଷ୍ଟିହୀନତା ନିରାକରଣ ଉପରେ ଧ୍ୟାନ ଦେଇଥାଏ ।,or
