en,or
Mobile number need to be validated within a week,ଏକ ସପ୍ତାହ ମଧ୍ୟରେ ମୋବାଇଲ୍ ନମ୍ଵର୍ ବୈଧ ହେବା ଆବଶ୍ୟକ
Anganwadi Worker profile page,ଅଙ୍ଗନୱାଡି ୱାର୍କର ପ୍ରୋଫାଇଲ୍ ପୃଷ୍ଠା
Stunting and Underweight Growth Parameters,ଷ୍ଟଣ୍ଟିଂ ଏବଂ କମ୍ ଓଜନ ଅଭିବୃଦ୍ଧି ପାରାମିଟର୍
Beneficiaries status change notifications,ହିତାଧିକାରୀଙ୍କ ସ୍ଥିତି ପରିବର୍ତ୍ତନ ବିଜ୍ଞପ୍ତିଗୁଡିକ
Migrated from one category to another,ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ହୋଇଛି
Beneficiary record becoming inactive,ହିତାଧିକାରୀ ରେକର୍ଡ ନିଷ୍କ୍ରିୟ ହେବା
Beneficiary migration from one AWC to another AWC,ହିତାଧିକାରୀ ଗୋଟିଏ ଏଡବ୍ଲୁସିରୁ ଅନ୍ୟ ଏକ ଏଡବ୍ଲୁସିକୁ ସ୍ଥାନାନ୍ତର
Beneficiary deletion by AWW,ଏଡବ୍ଲୁଡବ୍ଲୁ ଦ୍ୱାରା ହିତାଧିକାରୀ ବିଲୋପ
Default language selection,ଡିଫଲ୍ଟ ଭାଷା ଚୟନ
"Beneficiary concerns accessibility to AWW, along with status update once resolved","ହିତାଧିକାରୀ ଏଡବ୍ଲୁଡବ୍ଲୁକୁ ପ୍ରବେଶଯୋଗ୍ୟତା ବିଷୟରେ ଚିନ୍ତା କରନ୍ତି, ଥରେ ସମାଧାନ ହେବା ପରେ ସ୍ଥିତି ଅପଡେଟ୍ ସହ"
Growth monitoring report for all health indicators,ସମସ୍ତ ସ୍ୱାସ୍ଥ୍ୟ ସୂଚକ ପାଇଁ ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ରିପୋର୍ଟ
Application downloaded status by AWW,ଏଡବ୍ଲୁଡବ୍ଲୁ ଦ୍ୱାରା ଆପ୍ଲିକେସନ୍ ଡାଉନଲୋଡ୍ ସ୍ଥିତି
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,ହିତାଧିକାରୀ ଗଣନା ରିପୋର୍ଟ : ରେକର୍ଡଗୁଡିକର ସଂଖ୍ୟା ନିଷ୍କ୍ରିୟ ହେବା ଏବଂ ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ରେକର୍ଡ୍ ସଂଖ୍ୟା
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ଦ୍ୱାରା ବ୍ୟାଖ୍ୟା କରାଯାଇଥିବା ମାନାଙ୍କ ଉପରେ ଆଧାର କରି ଶିଶୁର ଅଭିବୃଦ୍ଧି ମାପିବା ପାଇଁ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଡିଜାଇନ୍ କରାଯାଇଛି.
How to use Poshan Calculator?,ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର କିପରି ବ୍ୟବହାର କରିବେ?
Select Gender,ଲିଙ୍ଗ ଚୟନ କରନ୍ତୁ |
Enter Date of Birth,ଜନ୍ମ ତାରିଖ ପ୍ରବେଶ କରନ୍ତୁ |
Enter Height in centimeter,ସେଣ୍ଟିମିଟରରେ ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |
Enter Weight in kilogram,କିଲୋଗ୍ରାମରେ ଓଜନ ପ୍ରବେଶ କରନ୍ତୁ |
Click on Show Results,ଶୋ' ଫଳାଫଳ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ |
Gender,ଲିଙ୍ଗ
Boy,ବାଳକ
Girl,ବାଳିକା
Date of Birth,ଜନ୍ମ ତାରିଖ
Height (CM),ଉଚ୍ଚତା (ସେମି)
*Height should be between 38 to 150,*ଉଚ୍ଚତା 38 ରୁ 150 ମଧ୍ୟରେ ହେବା ଉଚିତ୍
CM,ସେମି
Weight (KG),ଓଜନ (କେଜି)
*Weight should be between 0.90 to 58,*ଓଜନ 0.90 ରୁ 58 ମଧ୍ୟରେ ହେବା ଉଚିତ୍
KG,କେଜି
Show Results,ଫଳାଫଳଗୁଡିକ ଦେଖାନ୍ତୁ
ABHA (Health ID) and its Benefits,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ଏବଂ ଏହାର ଉପକାରିତା
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ପୂର୍ବରୁ ସ୍ୱାସ୍ଥ୍ୟ ID ଭାବରେ ଜଣାଶୁଣା) ଆୟୁଷ୍ମାନ ଭାରତ ସ୍ବାସ୍ଥ୍ୟ ଖାତା ପାଇଁ ଏକ ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ |
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ବ୍ୟବହାର କରିବା ଆପଣଙ୍କ ଏବଂ ଆପଣଙ୍କ ପରିବାର ପାଇଁ ନିରାପଦ ଏବଂ ଦକ୍ଷ ଡିଜିଟାଲ୍ ସ୍ୱାସ୍ଥ୍ୟ ରେକର୍ଡ ସୃଷ୍ଟି କରିବାର ପ୍ରଥମ ପଦକ୍ଷେପ |
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ଏହା ଅଂଶଗ୍ରହଣକାରୀ ସ୍ୱାସ୍ଥ୍ୟସେବା ପ୍ରଦାନକାରୀଙ୍କ ସହିତ ଆପଣଙ୍କର ପାରସ୍ପରିକ କ୍ରିୟାକୁ ସକ୍ଷମ କରିଥାଏ ଏବଂ ଯାଞ୍ଚ ହୋଇଥିବା ସ୍ୱାସ୍ଥ୍ୟ ସେବା ବୃତ୍ତିଗତ ଏବଂ ସ୍ୱାସ୍ଥ୍ୟ ସେବା ପ୍ରଦାନକାରୀଙ୍କ ଠାରୁ ଆପଣଙ୍କର ଡିଜିଟାଲ୍ ଲ୍ୟାବ୍ ରିପୋର୍ଟ, ପ୍ରେସକ୍ରିପସନ୍ ଏବଂ ନିରାକରଣକୁ ନିରନ୍ତର ଭାବରେ ଗ୍ରହଣ କରିବାକୁ ଅନୁମତି ଦେଇଥାଏ |"
Know More,ଅଧିକ ଜାଣନ୍ତୁ
Frequently Asked Questions,ପ୍ରାୟତଃ ପଚରାଯାଇଥିବା ପ୍ରଶ୍ନ
ALL,ସମସ୍ତ
BENEFICIARY REGISTRATION,ହିତାଧିକାରୀ ପଞ୍ଜିକରଣ
Take Home Ration,ଘର ରାସନ ନିଅନ୍ତୁ
Hot Cooked Meal,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ
What is Poshan Abhiyaan?,ପୋଷନ୍ ଅଭିଯାନ କଣ ଅଟେ?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀମାନଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ପରିଣାମକୁ ସୁଦୃଢ଼ କରିବା ପାଇଁ ପୋଷନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ଏକ ପ୍ରମୂଖ କାର୍ଯ୍ୟକ୍ରମ ।"
What is the purpose of Launching Poshan Tracker?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆରମ୍ଭ କରିବାର ଉଦ୍ଦେଶ୍ୟ କଣ?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର (ଏଡବ୍ଲ୍ୟୁସି)ର କାର୍ଯ୍ୟକଳାପ, ଅଙ୍ଗନୱାଡି କର୍ମୀ (ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ)ର ସେବା ବିତରଣ ଏବଂ ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନପାନ କରାଉଥିବା ମାଆ ଏବଂ ଶିଶୁମାନଙ୍କ ପାଇଁ ସମ୍ପୂର୍ଣ୍ଣ ହିତାଧିକାରୀ ପରିଚାଳନା ବିଷୟରେ 360-ଡିଗ୍ରୀ ଦୃଶ୍ୟ ପ୍ରଦାନ କରିବା ହେୁଛି ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ଲିକେସନ୍‌ର ଉଦ୍ଦେଶ୍ୟ । ପ୍ରସ୍ତାବିତ ପ୍ରଣାଳୀ ନିର୍ଦ୍ଦିଷ୍ଟ ସଙ୍କେତ ଉପରେ ସମସ୍ତ ଏଡବ୍ଲ୍ୟୁସି, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ ଏବଂ ହିତାଧିକାରୀଙ୍କ ପ୍ରକୃତ ନୀରିକ୍ଷଣ ଏବଂ ଟ୍ରାକିଂକୁ ସକ୍ଷମ କରିବା ଉଚିତ ।"
How can one Download Poshan Tracker App?,ଜଣେ କିପରି ଭାବେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ ଡାଉନଲୋଡ୍ କରିପାରିବେ?
Poshan Tracker App is available over Google playstore,ଗୁଗଲ୍ ପ୍ଲେ ଷ୍ଟୋର
Is poshan trackers app available over Apple I Store also?,ଆପଲ୍ ଆଇ ଷ୍ଟୋରରେ ପୋଷନ୍ ଟ୍ରାକ୍ ଆପ୍ ମଧ୍ୟ ଉପଲବ୍ଧ ରହିଛି କି?
"No, Poshan Tracker is available only for Android version","ନା, କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍‌ ପାଇଁ ପୋଷନ୍ ଟ୍ରାକର୍ ଉପଲବ୍ଧ ।"
What is the minimum requirement to install Poshan Tracker App in mobile?,ମୋବାଇଲରେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଇନଷ୍ଟଲ୍‌ କରିବାର ସର୍ବନିମ୍ନ ଆବଶ୍ୟକତା କଣ କଣ ରହିଛି?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌କୁ କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍ 6.0 ଏବଂ ତଦୁର୍ଦ୍ଧ ସହିତ ଆଣ୍ଡ୍ରଏଡ୍ ଫୋନରେ ଇନ୍‌ଷ୍ଟଲ୍‌ ହୋଇପାରିବ ।
View All FAQs,ସମସ୍ତ ଏଫଏକ୍ୟୁଗୁଡ଼ିକୁ ଦେଖନ୍ତୁ
Can a beneficiary register directly using application.,ଆପ୍ଲିକେସନ୍ ବ୍ୟବହାର କରି ଜଣେ ହିତାଧିକାରୀ ସିଧାସଳଖ ପଞ୍ଜିକରଣ କରିପାରିବେ କି|
Currently a beneficiary can register by the help of an AWW,ବର୍ତ୍ତମାନ ଜଣେ ହିତାଧିକାରୀ AWW ସାହାଯ୍ୟରେ ପଞ୍ଜିକରଣ କରିପାରିବେ
Who is a beneficiary?,ହିତାଧିକାରୀ କିଏ?
There are 6 categories for beneficiaries,ହିତାଧିକାରୀଙ୍କ ପାଇଁ 6 ଟି ବର୍ଗ ଅଛି
Pregnant Women,ଗର୍ଭବତୀ ମହିଳା
Lactating Mother,ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତା
Children from 0 to 6 months,0 ରୁ 6 ମାସ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ
Children from 6 months to 3 years,6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ
Children from 3 years to 6 years,3 ବର୍ଷରୁ 6 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ
Adolescent girls,କିଶୋର ଝିଅମାନେ
Can a beneficiary change his/her AWC?,ଜଣେ ହିତାଧିକାରୀ ତାଙ୍କର AWC ପରିବର୍ତ୍ତନ କରିପାରିବେ କି?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ଜଣେ AWW ଏକ ହିତାଧିକାରୀଙ୍କୁ ଗୋଟିଏ AWC ରୁ ଅନ୍ୟ AWC ଆଧାର ନମ୍ବର ଆଧାରରେ ସ୍ଥାନାନ୍ତର କରିବା ପାଇଁ ‘ସ୍ଥାନାନ୍ତର ହିତାଧିକାରୀ’ ବିକଳ୍ପ ବ୍ୟବହାର କରିପାରିବ |
What is the eligibility of a beneficiary?,ଜଣେ ହିତାଧିକାରୀଙ୍କ ଯୋଗ୍ୟତା କ’ଣ?
A beneficiary is eligible for THR for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ THR ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |
Who is eligible for Take Home Ration?,ଘର ରାସନ ପାଇଁ କିଏ ଯୋଗ୍ୟ?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା, 6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲା ଏବଂ କିଶୋର ବାଳିକା |"
Where can I enquire about take home ration?,ଘରର ରାସନ ନେବା ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?
Please contact your respective Anganwadi worker.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କର୍ମୀ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |
Who is eligible for additional supplementary food.,କିଏ ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ ଯୋଗ୍ୟ ଅଟେ |
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |
A beneficiary is eligible for HCM for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ ପାଇଁ HCM ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |
Who is eligible for Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?
Children in the age group of 3 years to 6 years,3 ବର୍ଷରୁ 6 ବର୍ଷ ବୟସର ପିଲାମାନେ
Where can I enquire about Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?
Please contact your respective Anganwadi Centre.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |
Who is eligible for additional supplementary food?,ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?
We are now available on Video Conference,ଆମେ ବର୍ତ୍ତମାନ ଭିଡିଓ କନଫରେନ୍ସରେ ଉପଲବ୍ଧ
State Video Conference,ରାଜ୍ୟ ଭିଡିଓ ସମ୍ମିଳନୀ
Monday to Friday,ସୋମବାରରୁ ଶୁକ୍ରବାର
Join Now,ଏବେ ଯୋଗଦିଅ
Anganwadi Worker Training,ଅଙ୍ଗନୱାଡି କର୍ମୀ ତାଲିମ
Support,ସମର୍ଥନ କର
support-poshantrackr@gov.in,support-poshantrackr@gov.in
Download Mobile App,ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ
Terms of Service,ସେବାର ସର୍ତ୍ତାବଳୀ
Privacy Policy,ଗୋପନୀୟତା ନୀତି
Careers,ବୃତ୍ତି
About Poshan Tracker,ପୁଷ୍ଟିକର ଟ୍ରାକର୍ ବିଷୟରେ
Poshan Tracker App,ପୁଷ୍ଟିକର ଟ୍ରାକର୍ ଆପ୍
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘ପୋଶାନ୍ ଟ୍ରାକର୍’ ହେଉଛି ଏକ ମୋବାଇଲ୍ ଆଧାରିତ ପ୍ରୟୋଗ ଯାହାକି ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ, ଭାରତ ସରକାରଙ୍କ ଦ୍ବାରା 1 ମାର୍ଚ୍ଚ 2021 ରେ ନ୍ୟାସନାଲ ଇ-ଗଭର୍ନାନ୍ସ ଡିଭିଜନ୍ (ନେଜିଡି) ମାଧ୍ୟମରେ ମାଇଗୋଭ୍ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଶାସନ ଉପକରଣ ଭାବରେ ଗଡ଼ାଯାଇଛି। ପୋଶାନ୍ ଟ୍ରାକର୍ ଅନ୍ତର୍ଗତ ଟେକ୍ନୋଲୋଜିକୁ ଷ୍ଟଣ୍ଟିଂ, ଅପଚୟ, ପିଲାମାନଙ୍କ ମଧ୍ୟରେ କମ୍ ଓଜନ ପ୍ରାଦୁର୍ଭାବ ଏବଂ ପୁଷ୍ଟିକର ସେବା ବିତରଣର ଶେଷ ମାଇଲ୍ ଟ୍ରାକିଂର ଗତିଶୀଳ ଚିହ୍ନଟ ପାଇଁ ବ୍ୟବହାର କରାଯାଉଛି |."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,ସେମାନଙ୍କ ଉଦ୍ୟମର ପ୍ରତିଫଳନ ସହିତ ସେବାଗୁଡିକର ଦକ୍ଷତାର ସହିତ ବିତରଣ ପାଇଁ ପୋଶାନ୍ ଟ୍ରାକର୍ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କୁ ଏକ ଚାକିରି-ସାହାଯ୍ୟ | ଏହା ପୁଷ୍ଟିକର ଅଭିଯାନ ଅଧୀନରେ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଏବଂ ହିତାଧିକାରୀ-କେନ୍ଦ୍ରିକ ସେବା ବିତରଣ ପ୍ରୟୋଗ ଯାହାକି ଆନାଲିଟିକ୍ସ ସହିତ ପ୍ରକୃତ ସମୟ ତଥ୍ୟକୁ ପ୍ରୋତ୍ସାହନ ଦେବ |.
WHAT ARE,କ'ଣ
Poshan Tracker Features,ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ |
Real time recording and Monitoring,ପ୍ରକୃତ ସମୟ ରେକର୍ଡିଂ ଏବଂ ମନିଟରିଂ |
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ନିର୍ଦ୍ଦିଷ୍ଟ ସୂଚକାଙ୍କରେ ସମସ୍ତ AWC ଏବଂ ହିତାଧିକାରୀଙ୍କ ପ୍ରକୃତ-ସମୟ ମନିଟରିଂ ଏବଂ ଟ୍ରାକିଂକୁ ସକ୍ଷମ କରିଥାଏ | ଏହା କେନ୍ଦ୍ରୀଭୂତ ଡାଟା ସ୍ଥାପତ୍ୟ ବ୍ୟବହାର କରି ନିର୍ମିତ ଯାହାକି ଅନ୍ୟ ମନ୍ତ୍ରଣାଳୟ ଏବଂ ପ୍ରୋଗ୍ରାମର ଡିଜିଟାଲ୍ ଟେକ୍ନୋଲୋଜି ସିଷ୍ଟମ ସହିତ ସମାନ୍ତରାଳ | ଏହାର ଉଦ୍ଦେଶ୍ୟ ହେଉଛି ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର (AWC) ର କାର୍ଯ୍ୟକଳାପ, ଅଙ୍ଗନୱାଡି କର୍ମୀ (AWWs) ର ସେବା ବିତରଣ ଏବଂ ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା ଏବଂ ଶିଶୁମାନଙ୍କ ପାଇଁ ହିତାଧିକାରୀ ପରିଚାଳନା ପାଇଁ 360-ଡ଼ିଗ୍ରୀ ଦୃଶ୍ୟ ପ୍ରଦାନ କରିବା | ଜନସାଧାରଣ ଡ୍ୟାସବୋର୍ଡ ହିତାଧିକାରୀଙ୍କୁ ପ୍ରଦାନ କରାଯାଇଥିବା ସେବା ଉପରେ ସ୍ୱଚ୍ଛତା ପ୍ରଦାନ କରିବାରେ ସାହାଯ୍ୟ କରେ |."
Services Delivered,ସେବା ବିତରଣ
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ଏକ ବଟନ୍ କ୍ଲିକ୍ କରି ଶେଷ ହିତାଧିକାରୀଙ୍କୁ ସେବାଗୁଡିକର ଟ୍ରାକିଂ କର। ଘରର ରାସନ ନିଅ (THR) ଏବଂ ରନ୍ଧା ଖାଦ୍ୟ (HCM), ଶିଶୁ ଏବଂ ଗର୍ଭବତୀ ମହିଳାଙ୍କ ପାଇଁ ଟୀକାକରଣ ପରି ସେବାଗୁଡିକ |."
Growth Measurement,ଅଭିବୃଦ୍ଧି ମାପ
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","ବିଭିନ୍ନ ବୟସ ବର୍ଗର ପିଲାମାନଙ୍କୁ ମାସିକ AWW ଦ୍ୱାରା ତଦାରଖ କରାଯାଏ | WHO ମାନାଙ୍କ ଅନୁଯାୟୀ ଚମତ୍କାର, ଅପଚୟ ଏବଂ ଓଜନ କମ୍ ପ୍ରାଦୁର୍ଭାବ ପରି ସ୍ୱାସ୍ଥ୍ୟ ସୂଚକ ମାପ କରାଯାଏ | ନିୟମିତ ଅଭିବୃଦ୍ଧି ମନିଟରିଂ AWW ପିଲାମାନଙ୍କୁ ପ୍ରାସଙ୍ଗିକ ଏବଂ ସମୟାନୁବର୍ତ୍ତୀ ସହାୟତା ଯୋଗାଇବାରେ ସାହାଯ୍ୟ କରେ |."
Home Visit Alerts,ଗୃହ ପରିଦର୍ଶନ ଆଲର୍ଟ |
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଜଟିଳ ଶେଷ ମାଇଲ୍ ହିତାଧିକାରୀଙ୍କ ପାଇଁ ସ୍ୱୟଂଚାଳିତ ଆଲର୍ଟ ସୃଷ୍ଟି କରେ | ଏହା ହିତାଧିକାରୀ ଏବଂ ଡ୍ୟୁଟି ବହନକାରୀଙ୍କ ପ୍ରକୃତ ସମୟ ଉପସ୍ଥାନକୁ ଦଲିଲ କରି ବିତରଣ ପ୍ରଣାଳୀର ଦକ୍ଷ ଅଡିଟ୍ ସୁନିଶ୍ଚିତ କରେ | ଏହି ପରିଚାଳନା ସୂଚନା ପ୍ରଣାଳୀ ପୁଷ୍ଟିକର ପ୍ରୋଗ୍ରାମକୁ ଦକ୍ଷତାର ସହିତ ମାପିବାରେ ସାହାଯ୍ୟ କରିବ, ଯାହାଦ୍ୱାରା ସକରାତ୍ମକ ପ୍ରଭାବ ସୃଷ୍ଟି ଏବଂ ଡକ୍ୟୁମେଣ୍ଟ୍ ହେବ |."
