en,hi
Growth monitoring report for all health indicators,सभी स्वास्थ्य संकेतकों के लिए विकास निगरानी रिपोर्ट
Application downloaded status by AWW,आंगनवाड़ी कार्यकर्ता द्वारा एप्लीकेशन डाउनलोड की स्थिति
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणना रिपोर्ट : निष्क्रिय होने वाले रिकॉर्डों  की संख्या और एक श्रेणी से दूसरी श्रेणी में जाने वाले रिकॉर्डों  की संख्या
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन
Growth monitoring charts,विकास पर्यवेक्षण चार्ट
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है
Anganwadi Worker profile page,आंगनवाड़ी कार्यकर्ता प्रोफाइल पेज
Stunting and Underweight Growth Parameters,बौनापन और सामान्य से कम वजन के विकास मानक
Beneficiaries status change notifications,लाभार्थियों की स्थिति परिवर्तन सूचनाएं
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण
Beneficiary record becoming inactive,निष्क्रिय हो रहा लाभार्थी का रिकॉर्ड
Beneficiary migration from one AWC to another AWC,एक AWC से दूसरे AWC में लाभार्थी का स्थानांतरण
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी का विलोपन
Default language selection,डिफ़ॉल्ट भाषा चयन
"Beneficiary concerns accessibility to AWW, along with status update once resolved","लाभार्थी AWW चिंता अभिगम्यता, एक बार हल हो जाने पर स्थिति अपडेट के साथ"
Growth monitoring report for all health indicators,सभी स्वास्थ्य संकेतकों के लिए विकास निगरानी रिपोर्ट
Application downloaded status by AWW,आंगनवाड़ी कार्यकर्ता द्वारा एप्लीकेशन डाउनलोड की स्थिति
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणना रिपोर्ट : निष्क्रिय होने वाले रिकॉर्डों  की संख्या और एक श्रेणी से दूसरी श्रेणी में जाने वाले रिकॉर्डों  की संख्या
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन
Growth monitoring charts,विकास पर्यवेक्षण चार्ट
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,विश्व स्वास्थ्य संगठन द्वारा परिभाषित मानकों के आधार पर बच्चों के विकास को मापने के लिए पोषण मापक का निर्माण किया गया।.
How to use Poshan Calculator?,पोषण मापक का उपयोग कैसे करें?
Select Gender,लिंग का चयन करें
Enter Date of Birth,जन्म तिथि दर्ज करें
Enter Height in centimeter,सेंटीमीटर में ऊँचाई दर्ज करें
Enter Weight in kilogram,किलोग्राम में वजन दर्ज करें
Click on Show Results,परिणाम दिखाएँ पर क्लिक करें
Gender ,लिंग 
*,*
Boy,लड़का
Girl,लड़की
Date of Birth ,जन्म तिथि 
*,*
Height (CM) ,ऊँचाई (सें.मी.) 
*,*
*Height should be between 38 to 150,*ऊँचाई 38 सँ 150 केर बीच होयबाक चाही
CM,सें.मी.
Weight (KG) ,वजन (कि.ग्रा.) 
*,*
*Weight should be between 0.90 to 58,*वजन 0.90 सँ 58 केर बीच होयबाक चाही
KG,कि.ग्रा.
Show Results,परिणाम सभ देखाउ
ABHA (Health ID) and its Benefits,ABHA (स्वास्थ्य पहचान पत्र) और इसके लाभ
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पहले स्वास्थ्य पहचान पत्र के नाम से जाना जाता था) आयुष्मान भारत का संक्षिप्त रूप है।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA के उपयोग द्वारा आपके और आपके परिवार के लिए (स्वास्थ्य पहचान पत्र) सुरक्षित और सक्षम डिजिटल स्वास्थ्य और अभिलेखों को संरक्षित करने की दिशा में उठाया गया पहला कदम है।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","यह आपके स्वास्थ्य प्रदाता के साथ आपको व्यवहार्य कुशल बनाता है, और आपको सत्यापित स्वास्थ्य पेशवरों और स्वास्थ्य प्रदाताओं से मूल रूप से डिजिटल स्वास्थ्य अभिलेखों, पर्चियों एवं निदानों को प्राप्त करने की अनुमति प्रदान करता है।"
Know More,अधिक जानें
×,×
Frequently Asked Questions,अक्सर पूछे जाने वाले प्रश्न
ALL,सभी
BENEFICIARY REGISTRATION,लाभार्थी का पंजीकरण
Take Home Ration,घर ले जाने वाला राशन
Hot Cooked Meal,हॉट कूक्ड मील
What is Poshan Abhiyaan?,पोषण अभियान क्या है?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान, एक लक्षित दृष्टिकोण और अभिसरण द्वारा बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए पोषण संबंधी परिणामों में सुधार करने के लिए भारत का प्रमुख कार्यक्रम है।"
What is the purpose of Launching Poshan Tracker?,पोषण ट्रैकर लॉन्च करने का उद्देश्य क्या है?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्रैकर एप्लिकेशन का उद्देश्य आंगनवाड़ी केंद्र (एडब्ल्यूसी), आंगनवाड़ी कर्मचारी (एडब्ल्यूडब्ल्यू) की सेवा प्रदान करने वाली गतिविधियों और गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों के लिए पूर्ण लाभार्थी प्रबंधन की गतिविधियों का 360 डिग्री दृश्य प्रदान करना है। प्रस्तावित प्रणाली को सभी एडब्ल्यूसी, एडब्ल्यू डब्ल्यू और लाभार्थियों को परिभाषित संकेतक पर वास्तविक समय की निगरानी और समझना सक्षम करना चाहिए।"
How can one Download Poshan Tracker App?,पोषण ट्रैकर ऐप को कैसे डाउनलोड किया जा सकता है?
Poshan Tracker App is available over Google playstore ,पोषण ट्रैकर ऐप गूगल प्ले स्टोर 
https://play.google.com/store/apps/details?id=com.poshantracker, https://play.google.com/store/apps/details?id=com.poshantracker 
Is poshan trackers app available over Apple I Store also?, पर उपलब्ध है।
"No, Poshan Tracker is available only for Android version",कोई पोषण ट्रैकर केवल एंड्रॉइड संस्करण के लिए उपलब्ध नहीं है।
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइल में पोषण ट्रैकर ऐप इंस्टॉल करने के लिए न्यूनतम आवश्यकता क्या है?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रैकर ऐप केवल एंड्रॉइड फोन में एंड्रॉइड संस्करण 6.0 और इसके बाद के संस्करण में स्थापित किया जा सकता है।
View All FAQs,सभी FAQs देखें
Can a beneficiary register directly using application.,क्या कोई लाभार्थी आवेदन के उपयोग द्वारा सीधे पंजीकरण कर सकता है।
Currently a beneficiary can register by the help of an AWW,"वर्तमान में, एक लाभार्थी आँगनवाड़ी कार्यकर्ता की सहायता से पंजीकरण करा सकता है"
Who is a beneficiary?,लाभार्थी कौन है?
There are 6 categories for beneficiaries,यहाँ लाभार्थियों की 6 श्रेणियाँ हैं
Pregnant Women,गर्भवती महिला
Lactating Mother,स्तनपान कराने वाली माता
Children from 0 to 6 months,0-6 माह तक के बच्चे
Children from 6 months to 3 years,6 माह - 3 वर्ष तक के बच्चे
Children from 3 years to 6 years,6 वर्ष - 3 वर्ष तक के बच्चे
Adolescent girls,किशोरी लड़कियाँ/बालिकाएँ
Can a beneficiary change his/her AWC?,क्या कोई लाभार्थी अपना आँगनवाड़ी केंद्र परिवर्तित कर सकता है?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एक आँगनवाड़ी कार्यकर्ता अपनी आधार संख्या के आधार पर किसी लाभार्थी को एक आँगनवाड़ी केंद्र से दूसरे आँगनवाड़ी केंद्र में स्थानांतरित करने के लिए 'माइग्रेट लाभार्थी' के विकल्प का उपयोग कर सकता है।
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?
A beneficiary is eligible for THR for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए THR के लिए पात्र है।
Who is eligible for Take Home Ration?,टेक होम राशन के लिए कौन पात्र है?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिलाएँ, स्तनपान कराने वाली माताएँ, 6 महीने से 3 वर्ष तक के बच्चे और किशोर लड़कियाँ।"
Where can I enquire about take home ration?,मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?
Please contact your respective Anganwadi worker.,"कृपया, अपने संबंधित आँगनवाड़ी कार्यकर्ता से संपर्क करें।"
Who is eligible for additional supplementary food.,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?
A beneficiary is eligible for HCM for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।
Who is eligible for Hot Cooked Meal?,गर्म पके हुए भोजन के लिए कौन पात्र है?
Children in the age group of 3 years to 6 years,3-6 वर्ष तक की आयु वाले बच्चे
Where can I enquire about Hot Cooked Meal?,मैं गर्म पके हुए भोजन के बारे में कहाँ से पूछताछ कर सकता हूँ?
Please contact your respective Anganwadi Centre.,"कृपया, अपने संबंधित आँगनवाड़ी केंद्र से संपर्क करें।"
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहार के लिए कौन पात्र है?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
We are now available on Video Conference,अब हम वीडियो कॉन्फ्रेंस पर उपलब्ध हैं
State Video Conference,राज्य वीडियो सम्मेलन
Monday to Friday ,सोमवार से शुक्रवार 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,अभी जुड़ें
Anganwadi Worker Training,आंगनबाडी कार्यकर्ता प्रशिक्षण
Monday to Friday ,सोमवार से शुक्रवार 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,अभी जुड़ें
×,×
Support,सहायता
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल एप्प डाउनलोड करें
Powered By,Powered By
About,के बारे में
Resources,स्रोत
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,अक्सर पूछे जाने वाले प्रश्न
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Terms of Service,सेवा की शर्तें
Privacy Policy,गोपनियता नीति
Careers,अवसर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र)
Language,भाषा
About,के बारे में
Resources,स्रोत
Resources,स्रोत
Vaccination Schedule,टीकाकरण सूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण/उपाय
State Helpdesk,राज्य सहायता केंद्र
FAQ,अक्सर पूछे जाने वाले प्रश्न
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Login,लॉगिन
About Poshan Tracker,पोषण ट्रैकर के बारे में
About,के बारे में
Poshan Tracker App,पोषण ट्रैकर एप्प
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","1 मार्च 2021 को राष्ट्रीय e-शासन विभाग के महिल एवं बाल विकास मंत्रालय, भारत द्वारा सरकार एप्प एक मोबाइल आधारित आवेदन ""पोषण ट्रैकर"" का पदार्पण मेरी सरकार नामक एक महत्वपूर्ण टूल के माध्यम से किया गया। पोषण ट्रैकर के तहत प्रौद्यौगिकी का उपयोग स्टंटिंग, वेस्टिंग, कम वजन वाले बच्चों की पहचान और पोषण सेवा के वितरण को गतिशील पहचान देने में किया जा सकता है।."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,पोषण ट्रैकर को आँगनवाड़ी कार्यकर्ताओं के उत्तम सेवा वितरण के साथ कार्यों के बेहतर प्रदर्शन के लिए प्रदान किया गया है। यह पोषण अभियान के तहत महत्वपूर्ण और लाभार्थी केन्द्रित सेवा वितरण एप्लिकेशन है जो वास्तविक समयावधि के साथ विश्लेषण को भी प्रोत्साहित करेगा।.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,घर ले जाने वाला राशन
Hot Cooked Meal,हॉट कूक्ड मील
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,क्या हैं
Poshan Tracker Features,पोषण ट्रैकर की विशेषताएँ
Real time recording and Monitoring,वास्तविक समयावधि की रिकॉर्डिंग और निगरानी
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","यह पोषण ट्रैकर परिभाषित संकेतकों के आधार पर वास्तविक समयावधि और सभी आँगनवाड़ी कार्यकर्ताओं के साथ-साथ लाभार्थियों की ट्रैकिंग और निगरानी सक्षम बनाता है। इसका निर्माण केंद्रीकृत आँकड़ों के ढाँचों का उपयोग करके किया जाता है जिसमें अन्य मंत्रालय और उनके कार्यक्रम डिजिटल प्रणाली द्वारा एक संरेखित होते हैं। इसका उद्देश आँगनवाड़ी केन्द्रों की गतिविधियों, आँगनवाड़ी कार्यकर्ताओं की सेवा वितरण, और गर्भवती महिलाओं, स्तनपान कराने वाली महिलाओं और बच्चों के सम्पूर्ण लाभार्थी प्रबंधन का 360 डिग्री अर्थात चौतरफा दृष्टिकोण प्रदान करना है। पब्लिक डैसबोर्ड का प्रमुख कार्य लाभार्थी को प्रदत सेवा में पारदर्शिता को बनाए रखने में सहायता प्रदान करना है।."
Services Delivered,प्रदत सेवा
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","एक बटन के क्लिक द्वारा लाभार्थी के साथ-साथ सेवाओं की अंतिम रूप से ट्रैकिंग करना। टेक होम राशन, हॉट कुक्ड मील, गर्भवती महिलाओं और बच्चों के टीकाकरण जैसी सेवाएँ-."
Growth Measurement,वृद्धि/विकास माप
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWW द्वारा मासिक आधार पर विभिन्न आयु वाले बच्चों की निगरानी करना। स्वास्थ्य संकेतक जैसे-स्टंटिंग, वेस्टिंगऔर कम वजन से संबंधित मामलों को विश्व स्वास्थ्य संगठन के मानक के अनुसार मापा जाता है। बच्चों को प्रासंगिक और आवधिक सहायता प्रदान करने में नियमित विकास निगरानी आँगनवाड़ी कार्यकर्ताओं को सक्षम बनाता है।."
Home Visit Alerts,गृह-यात्रा संकेतक
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.",पोषण ट्रैकर लाभार्थियों के महत्वपूर्ण स्व-चालित संकेतकों का निर्माण करता है। यह लाभार्थियों और कर्तव्य धारकों की वास्तविक सामयिक उपस्थिति का दस्तावेजीकरण करके वितरण प्रणाली की कुशल लेखा परीक्षा की भी सुनिश्चितता करता है। यह प्रबंधन सूचना प्रणाली पोषण कार्यक्रम और उससे संबंधित दस्तावेजीकरण की कुशलता से वृद्धि करते हुए सकारात्मक प्रभाव को उत्पन्न करने में सहायता करेगी।.
Support,सहायता
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल एप्प डाउनलोड करें
Powered By,Powered By
About,के बारे में
Resources,स्रोत
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,अक्सर पूछे जाने वाले प्रश्न
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Terms of Service,सेवा की शर्तें
Privacy Policy,गोपनियता नीति
Careers,अवसर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र)
Language,भाषा
About,के बारे में
Resources,स्रोत
Resources,स्रोत
Vaccination Schedule,टीकाकरण सूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण/उपाय
State Helpdesk,राज्य सहायता केंद्र
FAQ,अक्सर पूछे जाने वाले प्रश्न
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Login,लॉगिन
Resources,स्रोत
Learning Videos,विडियो से सीखना
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारु मदर केयर के साथ अपने कमजोर नवजात बच्चों की देखभाल कैसे करें
Preventing illnesses to avert Malnutrition and Death,कुपोषण और मृत्यु पर रोक के संदर्भ में बीमारियों से बचाव
Prevention of Anemia in children and adolescents girls,बच्चों और किशोरियों में होने वाली रक्त की कमी से बचाव
Birth Preparedness- For Institutional and Home Delivery,जन्म से पूर्व तैयारी-नैदानिकों और गृह प्रसव के संदर्भ में
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशु की देखभाल- हमारे द्वारा कितने कमजोर शिशुओं की अनदेखी हुई है?
Feeding During Illness,बीमारी के दौरान स्तनपान
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्था के दौरान की जाने वाली तैयारी- नवजातों की देखभाल और परिवार नियोजन के संदर्भ में
Ensuring Exclusive Breastfeeding,त्वरित रूप से स्तनपान को सुनिश्चित करना
Assessment of growth in children,बच्चों में विकास का मूल्यांकन
Preventing anemia in women,महिलाओं का एनीमिया से बचाव
Complementary Feeding - Diet Diversity,पूरक स्तनपान-विविधता पूर्ण आहार
Identification and care of a Weak Newborn baby,कमजोर नवजात शिशु की पहचान और देखभाल
Observing Breastfeeding In Newborn Babies,नवजात शिशुओं के स्तनपान संबंधी मामलों पर ध्यान देना
Planning And Organising Community Based Events At AWC,आँगनवाड़ी केंद्र पर सामुदायिक आधार पर कार्यक्रमों की योजना बनाना एवं उसे व्यवस्थित करना
Making or Updating Home Visit Planner and Initiating home visits,देखभाल कर्ता की गृह यात्रा संबंधी योजनाओं का निर्माण करना और उन्हें अद्यतित करते रहना
Ensuring that complementary feeding improves over time,समय के साथ पूरक आधार की सुनिश्चिता करना
How to ensure timely initiation of complementary feeding,पूरक पोषण की आवधिक सुनिश्चितता कैसे करें
Identifying and preventing Severe Acute Malnutrition,गंभीर कुपोषण की पहचान और बचाव
Identification & Referral of Sick Newborn,संदर्भित बीमार नवजात की पहचान
Supporting mothers with issues in Breastfeeding,स्तनपान कराने में अक्षम महिलाओं के लिए सहायता प्रदान करने वाली माताएँ
Why this Monthly Meeting?,मासिक बैठक की अनिवार्यता? (इस मासिक बैठक की आवश्यकता क्यों हैं?)
Awareness,जागरूकता
ALL ,सभी 
GENERAL ,सामान्य 
Pregnant Women ,गर्भवती महिलाएं 
Lactating Mothers ,स्तनपान कराने वाली महिलाएँ 
CHILD CARE ,बाल देखभाल 
General,आम
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness about Growth Monitoring of Children,बच्चों के विकास से संबंधित निगरानी के बारे में सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness about preventing illness in Children,बच्चों में बीमारियों से बचाव के बारे में सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness for Pregnancy,गर्भावस्था पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness on Module,मॉड्यूल पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness on Anaemia,एनीमिया पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness on SAM and MAM,SAM और MAM पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness on Mother Care,मातृत्व देखभाल पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General,आम
General Awareness on the Delivery of the child,बच्चे के प्रसव पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
Pregnant Women,गर्भवती महिलाएं
Awareness for Pregnancy in Preventing Anemia,गर्भावस्था के दौरान एनीमिया से बचाव पर जागरूकता
Download PDF,PDF डाउनलोड करें
Lactating Mothers,स्तनपान कराने वाली महिलाएँ
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चों को स्तनपान कराने वाली महिलाओं के पूरक आहार के बारे में जागरूकता
Download PDF,PDF डाउनलोड करें
Lactating Mothers,स्तनपान कराने वाली महिलाएँ
Awareness to Lactating Mother,स्तनपान कराने वाली माताओं में जागरूकता
Download PDF,PDF डाउनलोड करें
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चों में कुपोषण को रोकने के लिए स्टंटिंग, वेस्टिंग के प्रति जागरुकता"
Download PDF,PDF डाउनलोड करें
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF डाउनलोड करें
General Awareness about Growth Monitoring of Children,बच्चों के विकास से संबंधित निगरानी के बारे में सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General Awareness about preventing illness in Children,बच्चों में बीमारियों से बचाव के बारे में सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General Awareness for Pregnancy,गर्भावस्था पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General Awareness on Module,मॉड्यूल पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General Awareness on Anaemia,एनीमिया पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General Awareness on SAM and MAM,SAM और MAM पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General Awareness on Mother Care,मातृत्व देखभाल पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
General Awareness on the Delivery of the child,बच्चे के प्रसव पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करें
Awareness for Pregnancy in Preventing Anemia,गर्भावस्था के दौरान एनीमिया से बचाव पर जागरूकता
Download PDF,PDF डाउनलोड करें
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चों को स्तनपान कराने वाली महिलाओं के पूरक आहार के बारे में जागरूकता
Download PDF,PDF डाउनलोड करें
Awareness to Lactating Mother,स्तनपान कराने वाली माताओं में जागरूकता
Download PDF,PDF डाउनलोड करें
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चों में कुपोषण को रोकने के लिए स्टंटिंग, वेस्टिंग के प्रति जागरुकता"
Download PDF,PDF डाउनलोड करें
Growth Monitoring Assessment Charts,विकास निगरानी मूल्यांकन तालिका
Stunted Assessment Parameters,स्टंटेड मूल्यांकन मापदंड
Download PDF,PDF डाउनलोड करें
Wasted Assessment Parameters,वेस्टेड मूल्यांकन मापदंड
Download PDF,PDF डाउनलोड करें
Underweight Assessment Parameters,कम वजन वाले मूल्यांकन मापदंड
Download PDF,PDF डाउनलोड करें
Manuals,नियमावली
Poshan Tracker Process Flow,पोषण ट्रैकर प्रक्रिया प्रवाह
Download PDF,PDF डाउनलोड करें
Circulars/Notifications,परिपत्र/अधिसूचनाएँ
03 June,03 जून
2021,2021
Clarification regarding Cost of Smart phones,स्मार्ट फोन की लागत के संदर्भ में स्पष्टीकरण
Download PDF,PDF डाउनलोड करें
24 May,24 मई
2021,2021
