en,pa
Resources for growth monitoring and general awareness,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਅਤੇ ਆਮ ਜਾਗਰੂਕਤਾ ਲਈ ਸ੍ਰੋਤ
Growth monitoring charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਚਾਰਟ
New beneficiary addition with skip OTP option,OTP ਛੱਡੋ ਵਿਕਲਪ ਦੇ ਨਾਲ ਨਵਾਂ ਲਾਭਪਾਤਰੀ ਐਡੀਸ਼ਨ
Mobile number need to be validated within a week,ਮੋਬਾਇਲ ਨੰਬਰ ਦਾ ਹਫਤੇ ਵਿੱਚ ਵੈਧ ਕਰਾਉਣ ਦੀ ਲੋੜ ਹੈ
Anganwadi Worker profile page,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਪ੍ਰੋਫ਼ਾਈਲ ਪੇਜ
Stunting and Underweight Growth Parameters,ਸਟੰਟਿੰਗ ਅਤੇ ਘੱਟ ਭਾਰ ਵਿਕਾਸ ਮਾਪਦੰਡ
Beneficiaries status change notifications,ਲਾਭਪਾਤਰੀਆਂ ਦਾ ਸਟੇਟਸ ਨੋਟੀਫਿਕੇਸ਼ਨਾਂ ਬਦਲਦਾ ਹੈ
Migrated from one category to another,ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ
Beneficiary record becoming inactive,ਲਾਭਪਾਤਰੀ ਰਿਕਾਰਡ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ
Beneficiary migration from one AWC to another AWC,ਇੱਕ AWC ਤੋਂ ਦੂਸਰੇ AWC ਤੱਕ ਲਾਭਪਾਤਰੀ ਮਾਈਗ੍ਰੇਸ਼ਨ
Beneficiary deletion by AWW,AWW ਦੁਆਰਾ ਲਾਭਪਾਤਰੀ ਮਿਟਾਉਣਾ
Default language selection,ਮੂਲ ਭਾਸ਼ਾ ਚੋਣ
"Beneficiary concerns accessibility to AWW, along with status update once resolved","ਲਾਭਪਾਤਰੀ AWW ਤੋਂ ਪਹੁੰਚ ਦੀ ਚਿੰਤਾ ਵਿਅਕਤ ਕਰਦਾ ਹੈ, ਸਮੇਤ ਸਟੇਟਸ ਅਪਡੇਟ ਜਦੋਂ ਪ੍ਰਵਾਨਿਤ ਹੁੰਦਾ ਹੈ"
Growth monitoring report for all health indicators,ਸਾਰੇ ਸਿਹਤ ਸੰਕੇਤਕਾਂ ਲਈ ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਰਿਪੋਰਟ
Application downloaded status by AWW,AWW ਦੁਆਰਾ ਐਪਲੀਕੇਸ਼ਨ ਡਾਊਨਲੋਡ ਕੀਤੀ
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,ਲਾਭਪਾਤਰੀ ਗਿਣਤੀ ਰਿਪੋਰਟ : ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ ਅਤੇ ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ
Resources for growth monitoring and general awareness,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਅਤੇ ਆਮ ਜਾਗਰੂਕਤਾ ਲਈ ਸ੍ਰੋਤ
Growth monitoring charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਚਾਰਟ
New beneficiary addition with skip OTP option,OTP ਛੱਡੋ ਵਿਕਲਪ ਦੇ ਨਾਲ ਨਵਾਂ ਲਾਭਪਾਤਰੀ ਐਡੀਸ਼ਨ
Mobile number need to be validated within a week,ਮੋਬਾਇਲ ਨੰਬਰ ਦਾ ਹਫਤੇ ਵਿੱਚ ਵੈਧ ਕਰਾਉਣ ਦੀ ਲੋੜ ਹੈ
Anganwadi Worker profile page,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਪ੍ਰੋਫ਼ਾਈਲ ਪੇਜ
Stunting and Underweight Growth Parameters,ਸਟੰਟਿੰਗ ਅਤੇ ਘੱਟ ਭਾਰ ਵਿਕਾਸ ਮਾਪਦੰਡ
Beneficiaries status change notifications,ਲਾਭਪਾਤਰੀਆਂ ਦਾ ਸਟੇਟਸ ਨੋਟੀਫਿਕੇਸ਼ਨਾਂ ਬਦਲਦਾ ਹੈ
Migrated from one category to another,ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ
Beneficiary record becoming inactive,ਲਾਭਪਾਤਰੀ ਰਿਕਾਰਡ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ
Beneficiary migration from one AWC to another AWC,ਇੱਕ AWC ਤੋਂ ਦੂਸਰੇ AWC ਤੱਕ ਲਾਭਪਾਤਰੀ ਮਾਈਗ੍ਰੇਸ਼ਨ
Beneficiary deletion by AWW,AWW ਦੁਆਰਾ ਲਾਭਪਾਤਰੀ ਮਿਟਾਉਣਾ
Default language selection,ਮੂਲ ਭਾਸ਼ਾ ਚੋਣ
"Beneficiary concerns accessibility to AWW, along with status update once resolved","ਲਾਭਪਾਤਰੀ AWW ਤੋਂ ਪਹੁੰਚ ਦੀ ਚਿੰਤਾ ਵਿਅਕਤ ਕਰਦਾ ਹੈ, ਸਮੇਤ ਸਟੇਟਸ ਅਪਡੇਟ ਜਦੋਂ ਪ੍ਰਵਾਨਿਤ ਹੁੰਦਾ ਹੈ"
Growth monitoring report for all health indicators,ਸਾਰੇ ਸਿਹਤ ਸੰਕੇਤਕਾਂ ਲਈ ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਰਿਪੋਰਟ
Application downloaded status by AWW,AWW ਦੁਆਰਾ ਐਪਲੀਕੇਸ਼ਨ ਡਾਊਨਲੋਡ ਕੀਤੀ
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,ਲਾਭਪਾਤਰੀ ਗਿਣਤੀ ਰਿਪੋਰਟ : ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ ਅਤੇ ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ
Resources for growth monitoring and general awareness,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਅਤੇ ਆਮ ਜਾਗਰੂਕਤਾ ਲਈ ਸ੍ਰੋਤ
Growth monitoring charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਚਾਰਟ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ ਵਿਸ਼ਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਿਊ ਐਚ ਓ) ਦੁਆਰਾ ਪਰਿਭਾਸ਼ਿਤ ਮਾਪਦੰਡਾਂ ਦੇ ਅਧਾਰ ਤੇ ਬੱਚੇ ਦੇ ਵਿਕਾਸ ਨੂੰ ਮਾਪਣ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ।.
How to use Poshan Calculator?,ਪੋਸ਼ਨ ਕੈਲਕੁਲੇਟਰ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰੀਏ?
Select Gender,ਲਿੰਗ ਚੁਣੋ
Enter Date of Birth,ਜਨਮ ਮਿਤੀ ਦਰਜ ਕਰੋ
Enter Height in centimeter,ਸੈਂਟੀਮੀਟਰ ਵਿੱਚ ਉਚਾਈ ਦਰਜ ਕਰੋ
Enter Weight in kilogram,ਕਿਲੋਗ੍ਰਾਮ ਵਿੱਚ ਵਜ਼ਨ ਦਰਜ ਕਰੋ
Click on Show Results,ਨਤੀਜਾ ਦਿਖਾਓ 'ਤੇ ਕਲਿੱਕ ਕਰੋ
Gender ,ਲਿੰਗ 
Boy,ਮੁੰਡਾ
Girl,ਕੁੜੀ
Date of Birth ,ਜਨਮ ਤਾਰੀਖ 
Height (CM) ,ਕੱਦ (ਸੈਮੀ) 
*Height should be between 38 to 150,*ਕੱਦ 38 ਤੋਂ 150 ਦੇ ਵਿਚਕਾਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ
CM,ਸੈਮੀ
Weight (KG) ,ਭਾਰ (ਕਿਗ੍ਰਾ) 
*Weight should be between 0.90 to 58,*ਭਾਰ 0.90 ਤੋਂ 58 ਦੇ ਵਿਚਕਾਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ
KG,ਕਿਗ੍ਰਾ
Show Results,ਨਤੀਜੇ ਦਿਖਾਓ
ABHA (Health ID) and its Benefits,ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ) ਅਤੇ ਇਸਦੇ ਲਾਭ
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ਪਹਿਲਾਂ ਸਵਾਸਥ ਆਈ ਡੀ ਵਜੋਂ ਜਾਣਿਆ ਜਾਂਦਾ ਸੀ) ਆਯੁਸ਼ਮਾਨ ਭਾਰਤ ਹੈਲਥ ਅਕਾਉਂਟ ਦਾ ਸੰਖੇਪ ਰੂਪ ਹੈ।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (ਸਵਾਸਥ ਆਈ ਡੀ) ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਪਰਿਵਾਰ ਲਈ ਸੁਰੱਖਿਅਤ ਅਤੇ ਕੁਸ਼ਲ ਡਿਜੀਟਲ ਸਿਹਤ ਰਿਕਾਰਡ ਬਣਾਉਣ ਵੱਲ ਪਹਿਲਾ ਕਦਮ ਹੈ।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ਇਹ ਸਵਾਸਥ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਭਾਗ ਲੈਣ ਵਾਲਿਆਂ ਨਾਲ ਤੁਹਾਡੀ ਗੱਲਬਾਤ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ, ਅਤੇ ਤੁਹਾਨੂੰ ਪ੍ਰਮਾਣਿਤ ਸਵਾਸਥ ਸੇਵਾ ਪੇਸ਼ੇਵਰਾਂ ਅਤੇ ਸਿਹਤ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਤੋਂ ਤੁਹਾਡੀਆਂ ਡਿਜੀਟਲ ਲੈਬ ਰਿਪੋਰਟਾਂ, ਨੁਸਖ਼ੇ ਅਤੇ ਨਿਰਵਿਘਨ ਰੋਗ ਡੀ ਪਛਾਣ ਕਰਨ ਦੀ ਸਹੁਲਤ ਦਿੰਦਾ ਹੈ।"
Know More,ਹੋਰ ਜਾਣੋ
Frequently Asked Questions,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
ALL,ਸਾਰੇ
BENEFICIARY REGISTRATION,ਲਾਭਪਾਤਰੀ ਰਜਿਸਟ੍ਰੇਸ਼ਨ
Take Home Ration,ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਉ
Hot Cooked Meal,ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ
What is Poshan Abhiyaan?,ਪੋਸ਼ਣ ਅਭਿਆਨ ਕੀ ਹੈ?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸ਼ਣ ਅਭਿਆਨ, ਬੱਚਿਆਂ, ਕਿਸ਼ੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਨਿਸ਼ਾਨਾ ਪਹੁੰਚ ਅਤੇ ਇਕਸਾਰਤਾ ਦੁਆਰਾ ਲਾਭ ਪ੍ਰਾਪਤ ਕਰਨ ਦੇ ਪੋਸ਼ਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਵਿੱਚ ਸੁਧਾਰ ਲਿਆਉਣ ਲਈ ਭਾਰਤ ਦਾ ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ |"
What is the purpose of Launching Poshan Tracker?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਨੂੰ ਸ਼ੁਰੂ ਕਰਨ ਦਾ ਉਦੇਸ਼ ਕੀ ਹੈ?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ਪੋਸ਼ਣ ਟਰੈਕਰ ਐਪਲੀਕੇਸ਼ਨ ਦਾ ਉਦੇਸ਼ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ) ਦੀ ਸੇਵਾ ਸਪੁਰਦਗੀ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਪੂਰਨ ਲਾਭਪਾਤਰੀ ਪ੍ਰਬੰਧਨ ਦੇ ਕੰਮਾਂ ਦਾ ਇੱਕ 360 ਡਿਗਰੀ ਦ੍ਰਿਸ਼ ਪ੍ਰਦਾਨ ਕਰਨਾ ਹੈ| ਪ੍ਰਸਤਾਵਿਤ ਪ੍ਰਣਾਲੀ ਨੂੰ ਪਰਿਭਾਸ਼ਤ ਸੂਚਕਾਂ ਤੇ ਸਾਰੇ ਏਡਬਲਯੂਸੀ, ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ|"
How can one Download Poshan Tracker App?,ਕੋਈ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿਵੇਂ ਡਾਊਨਲੋਡ ਕਰ ਸਕਦਾ ਹੈ?
Poshan Tracker App is available over Google playstore ,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਗੂਗਲ ਪਲੇਸਟੋਰ 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com /store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?, ਤੇ ਉਪਲਬਧ ਹੈ|
"No, Poshan Tracker is available only for Android version",ਕੋਈ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਕੇਵਲ ਐਂਡਰਾਇਡ ਸੰਸਕਰਣ ਲਈ ਉਪਲਬਧ ਨਹੀਂ ਹੈ|
What is the minimum requirement to install Poshan Tracker App in mobile?,ਮੋਬਾਈਲ ਵਿੱਚ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਨੂੰ ਸਥਾਪਤ ਕਰਨ ਲਈ ਘੱਟੋ ਘੱਟ ਲੋੜ ਕੀ ਹੈ?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਸਿਰਫ ਐਂਡਰਾਇਡ ਫੋਨ ਵਿੱਚ ਐਂਡਰਾਇਡ ਵਰਜ਼ਨ 6.0 ਅਤੇ ਇਸਤੋਂ ਵੱਧ ਦੇ ਨਾਲ ਇੰਸਟੌਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ|
View All FAQs,ਸਾਰੇ ਅਕਸਰ ਪੁੱਛੇ ਜਾਂਦੇ ਪ੍ਰਸ਼ਨ ਦੇਖੋ
Can a beneficiary register directly using application.,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਐਪਲੀਕੇਸ਼ਨ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਸਿੱਧਾ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ।
Currently a beneficiary can register by the help of an AWW,ਵਰਤਮਾਨ ਵਿੱਚ ਇੱਕ ਲਾਭਪਾਤਰੀ ਆਂਗਨਵਾੜੀ ਵਰਕਰ ਦੀ ਮਦਦ ਨਾਲ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ
Who is a beneficiary?,ਲਾਭਪਾਤਰੀ ਕੌਣ ਹੈ?
There are 6 categories for beneficiaries,ਲਾਭਪਾਤਰੀਆਂ ਲਈ 6 ਸ਼੍ਰੇਣੀਆਂ ਹਨ
Pregnant Women,ਗਰਭਵਤੀ ਔਰਤਾਂ
Lactating Mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ
Children from 0 to 6 months,0 ਤੋਂ 6 ਮਹੀਨੇ ਤੱਕ ਦੇ ਬੱਚੇ
Children from 6 months to 3 years,6 ਮਹੀਨਿਆਂ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ
Children from 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ
Adolescent girls,ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ
Can a beneficiary change his/her AWC?,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਆਪਣਾ ਆਂਗਨਵਾੜੀ ਸੈਂਟਰ ਬਦਲ ਸਕਦਾ ਹੈ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ਇੱਕ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਇੱਕ ਲਾਭਪਾਤਰੀ ਨੂੰ ਇੱਕ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਤੋਂ ਦੂਜੇ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਆਧਾਰ ਨੰਬਰ ਦੇ ਆਧਾਰ 'ਤੇ ਮਾਈਗ੍ਰੇਟ ਕਰਨ ਲਈ 'ਮਾਈਗ੍ਰੇਟ ਲਾਭਪਾਤਰੀ' ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦਾ ਹੈ।
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?
A beneficiary is eligible for THR for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ THR ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।
Who is eligible for Take Home Ration?,ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਣ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ, 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ ਅਤੇ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ।"
Where can I enquire about take home ration?,ਮੈਂ ਘਰ ਰਾਸ਼ਨ ਲਿਜਾਣ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?
Please contact your respective Anganwadi worker.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।
Who is eligible for additional supplementary food.,ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।"
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?
A beneficiary is eligible for HCM for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ ਐਚਸੀਐਮ ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।
Who is eligible for Hot Cooked Meal?,ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
Children in the age group of 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚੇ
Where can I enquire about Hot Cooked Meal?,ਮੈਂ ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?
Please contact your respective Anganwadi Centre.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।
Who is eligible for additional supplementary food?,ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।"
We are now available on Video Conference,ਅਸੀਂ ਹੁਣ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਉਪਲਬਧ ਹਾਂ
State Video Conference,ਰਾਜਸੀ ਵੀਡਿਓ ਕਾਨਫਰੰਸ
Monday to Friday ,ਸੋਮਵਾਰ ਤੋਂ ਸ਼ੁੱਕਰਵਾਰ 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,ਹੁਣੇ ਸ਼ਾਮਲ ਹੋਵੋ
Anganwadi Worker Training,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਸਿਖਲਾਈ
Monday to Friday ,ਸੋਮਵਾਰ ਤੋਂ ਸ਼ੁੱਕਰਵਾਰ 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,ਹੁਣੇ ਸ਼ਾਮਲ ਹੋਵੋ
×,×
Support,ਸਹਿਯੋਗ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
