en,ml
Anganwadi Worker profile page,അംഗന്‍വാടി പ്രവര്‍ത്തകയുടെ പ്രൊഫൈല്‍ പേജ്
Stunting and Underweight Growth Parameters,മുരടിപ്പിന്‍റേയും ഭാരക്കുറവിന്‍റേയും വളര്‍ച്ചാ മാനദണ്ഡങ്ങള്‍
Beneficiaries status change notifications,ഗുണഭോക്താവിന്‍റെ മാറ്റത്തെകുറിച്ചുള്ള അറിയിപ്പുകള്‍
Migrated from one category to another,ഒരു വിഭാഗത്തില്‍ നിന്നും മറ്റൊന്നിലേക്ക് മാറി
Beneficiary record becoming inactive,ഗുണഭോക്താവിന്‍റെ വിവരങ്ങള്‍ പ്രവര്‍ത്തനരഹിതമാകുന്നു
Beneficiary migration from one AWC to another AWC,ഗുണഭോക്താവ് ഒരു AWC ല്‍ നിന്നും മറ്റൊരു AWC ലേക്ക് കുടിയേറി
Beneficiary deletion by AWW,AWW ഗുണഭോക്താവിനെ ഇല്ലാതാക്കുന്നു
Default language selection,ഡിഫോള്‍ട്ട് ഭാഷ തിരഞ്ഞെടുക്കല്‍
"Beneficiary concerns accessibility to AWW, along with status update once resolved","AWW ലേക്കുള്ള മാറ്റത്തില്‍ ഗുണഭോക്താവിന്‍റെ ആശങ്കകള്‍, പരിഹരിച്ചു കഴിഞ്ഞാല്‍ സ്റ്റാറ്റസ് അപ്ഡേറ്റ് ചെയ്യണം"
Growth monitoring report for all health indicators,എല്ലാ ആരോഗ്യ സൂചകങ്ങള്‍ക്കുമുള്ള വളര്‍ച്ചാ നിരീക്ഷണ റിപ്പോര്‍ട്ട്
Application downloaded status by AWW,AWW അപേക്ഷ ഡൌണ്‍ലോഡ് ചെയ്ത നില
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,"ഗുണഭോക്താക്കളുടെ എണ്ണത്തിന്‍റെ റിപ്പോര്‍ട്ട് : പ്രവര്‍ത്തനരഹിതമാകുന്ന റെക്കോര്‍ഡുകളുടെ എണ്ണം, ഒരു വിഭാഗത്തില്‍ നിന്നും മറ്റൊന്നിലേക്ക് മാറുന്ന റെക്കോര്‍ഡുകളുടെ എണ്ണം"
Resources for growth monitoring and general awareness,വളര്‍ച്ചാ നിരീക്ഷണത്തിനും പൊതുഅവബോധത്തിനുമുള്ള വിഭവങ്ങള്‍
Growth monitoring charts,വളര്‍ച്ചാ നിരീക്ഷണ ചാര്‍ട്ടുകള്‍
New beneficiary addition with skip OTP option,OTP ഒഴിവാക്കിക്കൊണ്ടുള്ള പുതിയ ഗുണഭോക്താക്കളെ കൂട്ടിച്ചേര്‍ക്കല്‍
Mobile number need to be validated within a week,മൊബൈല്‍ നമ്പര്‍ ഒരാഴ്ചക്കുള്ളില്‍ സാധൂകരിക്കണം
Anganwadi Worker profile page,അംഗന്‍വാടി പ്രവര്‍ത്തകയുടെ പ്രൊഫൈല്‍ പേജ്
Stunting and Underweight Growth Parameters,മുരടിപ്പിന്‍റേയും ഭാരക്കുറവിന്‍റേയും വളര്‍ച്ചാ മാനദണ്ഡങ്ങള്‍
Beneficiaries status change notifications,ഗുണഭോക്താവിന്‍റെ മാറ്റത്തെകുറിച്ചുള്ള അറിയിപ്പുകള്‍
Migrated from one category to another,ഒരു വിഭാഗത്തില്‍ നിന്നും മറ്റൊന്നിലേക്ക് മാറി
Beneficiary record becoming inactive,ഗുണഭോക്താവിന്‍റെ വിവരങ്ങള്‍ പ്രവര്‍ത്തനരഹിതമാകുന്നു
Beneficiary migration from one AWC to another AWC,ഗുണഭോക്താവ് ഒരു AWC ല്‍ നിന്നും മറ്റൊരു AWC ലേക്ക് കുടിയേറി
Beneficiary deletion by AWW,AWW ഗുണഭോക്താവിനെ ഇല്ലാതാക്കുന്നു
Default language selection,ഡിഫോള്‍ട്ട് ഭാഷ തിരഞ്ഞെടുക്കല്‍
"Beneficiary concerns accessibility to AWW, along with status update once resolved","AWW ലേക്കുള്ള മാറ്റത്തില്‍ ഗുണഭോക്താവിന്‍റെ ആശങ്കകള്‍, പരിഹരിച്ചു കഴിഞ്ഞാല്‍ സ്റ്റാറ്റസ് അപ്ഡേറ്റ് ചെയ്യണം"
Growth monitoring report for all health indicators,എല്ലാ ആരോഗ്യ സൂചകങ്ങള്‍ക്കുമുള്ള വളര്‍ച്ചാ നിരീക്ഷണ റിപ്പോര്‍ട്ട്
Application downloaded status by AWW,AWW അപേക്ഷ ഡൌണ്‍ലോഡ് ചെയ്ത നില
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,"ഗുണഭോക്താക്കളുടെ എണ്ണത്തിന്‍റെ റിപ്പോര്‍ട്ട് : പ്രവര്‍ത്തനരഹിതമാകുന്ന റെക്കോര്‍ഡുകളുടെ എണ്ണം, ഒരു വിഭാഗത്തില്‍ നിന്നും മറ്റൊന്നിലേക്ക് മാറുന്ന റെക്കോര്‍ഡുകളുടെ എണ്ണം"
Resources for growth monitoring and general awareness,വളര്‍ച്ചാ നിരീക്ഷണത്തിനും പൊതുഅവബോധത്തിനുമുള്ള വിഭവങ്ങള്‍
Growth monitoring charts,വളര്‍ച്ചാ നിരീക്ഷണ ചാര്‍ട്ടുകള്‍
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ലോകാരോഗ്യ സംഘടന (ഡബ്ല്യുഎച്ച്ഒ) നിർവചിച്ചിരിക്കുന്ന മാനദണ്ഡങ്ങളെ അടിസ്ഥാനമാക്കി കുട്ടിയുടെ വളർച്ച അളക്കുന്നതിനാണ് പോഷൻ കാൽക്കുലേറ്റർ രൂപകൽപ്പന ചെയ്തിരിക്കുന്നത്.
How to use Poshan Calculator?,പോഷൻ കാൽക്കുലേറ്റർ എങ്ങനെ ഉപയോഗിക്കാം?
Select Gender,ലിംഗഭേദം തിരഞ്ഞെടുക്കുക
Enter Date of Birth,ജനനത്തീയതി നൽകുക
Enter Height in centimeter,സെന്റിമീറ്ററിൽ ഉയരം നൽകുക
Enter Weight in kilogram,ഭാരം കിലോഗ്രാമിൽ രേഖപ്പെടുത്തുക
Click on Show Results,ഫലങ്ങൾ കാണിക്കുക എന്നതിൽ ക്ലിക്ക് ചെയ്യുക
Gender ,ലിംഗഭേദം 
*,*
Boy,ആൺകുട്ടി
Girl,പെൺകുട്ടി
Date of Birth ,ജനനതീയതി 
*,*
Height (CM) ,ഉയരം (സെന്‍റിമീറ്റര്‍) 
*,*
*Height should be between 38 to 150,*ഉയരം 38 നും 150 നും ഇടയില്‍ ആയിരിക്കണം
CM,സെമി
Weight (KG) ,ഭാരം (സെന്‍റിമീറ്റര്‍) 
*,*
*Weight should be between 0.90 to 58,*ഭാരം 0.90 ത്തിനും 58 നും ഇടയില്‍ ആയിരിക്കണം
KG,കെജി
Show Results,ഫലങ്ങള്‍ കാണിക്കുക
ABHA (Health ID) and its Benefits,ABHA (ഹെൽത്ത് ഐഡി) അതിന്റെ ഗുണങ്ങളും
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ആയുഷ്മാൻ ഭാരത് ഹെൽത്ത് അക്കൗണ്ടിന്റെ ചുരുക്കപ്പേരാണ് ABHA (നേരത്തെ ഹെൽത്ത് ഐഡി എന്നറിയപ്പെട്ടിരുന്നത്).
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,നിങ്ങൾക്കും നിങ്ങളുടെ കുടുംബത്തിനും സുരക്ഷിതവും കാര്യക്ഷമവുമായ ഡിജിറ്റൽ ഹെൽത്ത് റെക്കോർഡുകൾ സൃഷ്‌ടിക്കുന്നതിനുള്ള ആദ്യപടിയാണ് ABHA (ഹെൽത്ത് ഐഡി) ഉപയോഗിക്കുന്നത്.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","പങ്കെടുക്കുന്ന ഹെൽത്ത് കെയർ പ്രൊവൈഡർമാരുമായുള്ള നിങ്ങളുടെ ആശയവിനിമയം ഇത് പ്രാപ്തമാക്കുന്നു, കൂടാതെ നിങ്ങളുടെ ഡിജിറ്റൽ ലാബ് റിപ്പോർട്ടുകൾ, കുറിപ്പടികൾ, രോഗനിർണയം എന്നിവ പരിശോധിച്ചുറപ്പിച്ച ഹെൽത്ത് കെയർ പ്രൊഫഷണലുകളിൽ നിന്നും ആരോഗ്യ സേവന ദാതാക്കളിൽ നിന്നും പരിധികളില്ലാതെ സ്വീകരിക്കാനും നിങ്ങളെ അനുവദിക്കുന്നു."
Know More,കൂടുതൽ അറിയുക
×,×
Frequently Asked Questions,പതിവായി ചോദിക്കുന്ന ചോദ്യങ്ങൾ
ALL,എല്ലാം
BENEFICIARY REGISTRATION,ഗുണഭോക്തൃ രജിസ്ട്രേഷൻ
Take Home Ration,ഹോം റേഷൻ എടുക്കുക
Hot Cooked Meal,ചൂടുള്ള പാകം ചെയ്ത ഭക്ഷണം
What is Poshan Abhiyaan?,എന്താണ് പോഷൻ അഭിയാൻ?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",കുട്ടികൾ‌ക്കും ക o മാരക്കാർ‌ക്കും മുൻ‌ഗണനകൾ‌ക്കുമുള്ള പോഷക ഫലങ്ങൾ‌ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യയുടെ മുൻ‌നിര പദ്ധതിയാണ് പോഷൻ‌ അഭിയാൻ.‌
What is the purpose of Launching Poshan Tracker?,പോഷൻ ട്രാക്കർ സമാരംഭിക്കുന്നതിന്റെ ഉദ്ദേശ്യം എന്താണ്?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","അംഗൻവാടി സെന്ററിന്റെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങൾ, അംഗൻവാടി വർക്കേഴ്സിന്റെ (എഡബ്ല്യുഡബ്ല്യു) സേവന ഡെലിവറികൾ, ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, കുട്ടികൾ എന്നിവരുടെ സമ്പൂർണ്ണ ഗുണഭോക്തൃ മാനേജുമെന്റ് എന്നിവയെക്കുറിച്ച് 360 ഡിഗ്രി കാഴ്ച നൽകുക എന്നതാണ് പോഷാൻ ട്രാക്കർ ആപ്ലിക്കേഷന്റെ ലക്ഷ്യം. നിർ‌ദ്ദിഷ്‌ട സൂചകങ്ങളിൽ‌ എല്ലാ എ‌ഡബ്ല്യുസി, എ‌ഡബ്ല്യുഡബ്ല്യു, ഗുണഭോക്താക്കൾ എന്നിവരുടെ തത്സമയ നിരീക്ഷണവും ട്രാക്കുചെയ്യലും നിർദ്ദിഷ്ട സംവിധാനം പ്രാപ്തമാക്കണം."
How can one Download Poshan Tracker App?,ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ എ.പി.പി ഡൗൺലോഡുചെയ്യാനാകും?
Poshan Tracker App is available over Google playstore ,ഗൂഗിൾ പ്ലേസ്റ്റോറിൽ പോഷാൻ ട്രാക്കർ ആപ്പ് ലഭ്യമാണ് 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,ആപ്പിൾ ഐ സ്റ്റോറിലും പോഷൻ ട്രാക്ക് ആപ്ലിക്കേഷൻ ലഭ്യമാണോ?
"No, Poshan Tracker is available only for Android version","ഇല്ല, പോഷൻ ട്രാക്കർ പതിപ്പിന് മാത്രം ലഭ്യമാണ്."
What is the minimum requirement to install Poshan Tracker App in mobile?,മൊബൈലിൽ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യുന്നതിനുള്ള ഏറ്റവും കുറഞ്ഞ ആവശ്യകത എന്താണ്?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ആൻഡ്രോയിഡ് പതിപ്പ് 6.0 ഉം അതിന് മുകളിലുള്ളതുമായ ആൻഡ്രോയിഡ് ഫോണിൽ മാത്രമേ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യാൻ കഴിയൂ.
View All FAQs,എല്ലാ FAQs ഉം കാണുക
Can a beneficiary register directly using application.,ഒരു ഗുണഭോക്താവിന് അപേക്ഷ ഉപയോഗിച്ച് നേരിട്ട് രജിസ്റ്റർ ചെയ്യാം.
Currently a beneficiary can register by the help of an AWW,നിലവിൽ ഒരു ഗുണഭോക്താവിന് AWW-ന്റെ സഹായത്തോടെ രജിസ്റ്റർ ചെയ്യാം
Who is a beneficiary?,ആരാണ് ഒരു ഗുണഭോക്താവ്?
There are 6 categories for beneficiaries,ഗുണഭോക്താക്കൾക്ക് 6 വിഭാഗങ്ങളുണ്ട്
Pregnant Women,ഗർഭിണികൾ
Lactating Mother,മുലയൂട്ടുന്ന അമ്മ
Children from 0 to 6 months,0 മുതൽ 6 മാസം വരെയുള്ള കുട്ടികൾ
Children from 6 months to 3 years,6 മാസം മുതൽ 3 വർഷം വരെയുള്ള കുട്ടികൾ
Children from 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെയുള്ള കുട്ടികൾ
Adolescent girls,കൗമാരക്കാരായ പെൺകുട്ടികൾ
Can a beneficiary change his/her AWC?,ഒരു ഗുണഭോക്താവിന് അവന്റെ/അവളുടെ AWC മാറ്റാൻ കഴിയുമോ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW-ന് അവരുടെ ആധാർ നമ്പർ അടിസ്ഥാനമാക്കി ഒരു AWC-യിൽ നിന്ന് മറ്റൊരു AWC-ലേക്ക് ഒരു ഗുണഭോക്താവിനെ മൈഗ്രേറ്റ് ചെയ്യാൻ 'മൈഗ്രേറ്റ് ബെനിഫിഷ്യറി' ഓപ്ഷൻ ഉപയോഗിക്കാം.
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
A beneficiary is eligible for THR for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് THR-ന് അർഹതയുണ്ട്.
Who is eligible for Take Home Ration?,ടേക്ക് ഹോം റേഷൻ ലഭിക്കാൻ അർഹതയുള്ളത് ആരാണ്?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, 6 മാസം മുതൽ 3 വയസ്സ് വരെയുള്ള കുട്ടികൾ, കൗമാരക്കാരായ പെൺകുട്ടികൾ."
Where can I enquire about take home ration?,റേഷൻ വീട്ടിലേക്ക് കൊണ്ടുപോകുന്നതിനെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?
Please contact your respective Anganwadi worker.,ദയവായി നിങ്ങളുടെ അംഗൻവാടി വർക്കറുമായി ബന്ധപ്പെടുക.
Who is eligible for additional supplementary food.,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
A beneficiary is eligible for HCM for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് HCM-ന് അർഹതയുണ്ട്.
Who is eligible for Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?
Children in the age group of 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വിഭാഗം കുട്ടികളുടെ വിഭാഗം
Where can I enquire about Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?
Please contact your respective Anganwadi Centre.,ദയവായി നിങ്ങളുടെ അങ്കണവാടി കേന്ദ്രവുമായി ബന്ധപ്പെടുക.
Who is eligible for additional supplementary food?,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് ആർക്കാണ് അർഹത?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.
We are now available on Video Conference,ഞങ്ങൾ ഇപ്പോൾ വീഡിയോ കോൺഫറൻസിലാണ്
State Video Conference,സംസ്ഥാന വീഡിയോ കോണ്‍ഫറന്‍സ്
Monday to Friday ,തിങ്കളാഴ്ച മുതൽ വെള്ളിയാഴ്ച വരെ 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,ഇപ്പോൾ ചേരുക
Anganwadi Worker Training,അംഗന്‍വാടി പ്രവര്‍ത്തകരുടെ പരീശീലനം
Monday to Friday ,തിങ്കളാഴ്ച മുതൽ വെള്ളിയാഴ്ച വരെ 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,ഇപ്പോൾ ചേരുക
Support,പിന്തുണ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,മൊബൈൽ ആപ്പ് ഡൗൺലോഡ് ചെയ്യുക
Powered By,Powered By
About,കുറിച്
Resources,വിഭവങ്ങൾ
Dashboard,ഡാഷ്ബോർഡ്
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Terms of Service,സേവന നിബന്ധനകൾ
Privacy Policy,സ്വകാര്യതാനയം
Careers,തൊഴിലവസരങ്ങൾ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (ഹെൽത്ത് ഐഡി)
Language,ഭാഷ
About,കുറിച്
Resources,വിഭവങ്ങൾ
Resources,വിഭവങ്ങൾ
Vaccination Schedule,വാക്സിനേഷൻ ഷെഡ്യൂൾ
Dashboard,ഡാഷ്ബോർഡ്
Dashboard,ഡാഷ്ബോർഡ്
Mission Utkarsh,Mission Utkarsh
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
Beneficiary Redressal,ഗുണഭോക്താക്കളുടെ പരിഹാരം
State Helpdesk,സംസ്ഥാന സഹായകേന്ദ്രം
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Login,ലോഗിൻ
About Poshan Tracker,പോഷൻ ട്രാക്കറിനെക്കുറിച്ച്
About,About
Poshan Tracker App,പോഷൻ ട്രാക്കർ ആപ്പ്
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","2021 മാർച്ച് 1-ന് ഇന്ത്യൻ ഗവൺമെന്റിന്റെ വനിതാ-ശിശു വികസന മന്ത്രാലയം, MyGov എന്ന നാഷണൽ ഇ-ഗവേണൻസ് ഡിവിഷൻ വഴി ഒരു പ്രധാന ഭരണ ഉപകരണമായി പുറത്തിറക്കിയ മൊബൈൽ അധിഷ്‌ഠിത ആപ്ലിക്കേഷനാണ് 'പോഷൻ ട്രാക്കർ' (NeGD). കുട്ടികൾക്കിടയിലെ വളർച്ച മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ ചലനാത്മകമായ തിരിച്ചറിയൽ, പോഷകാഹാര സേവന വിതരണത്തിന്റെ അവസാന മൈൽ ട്രാക്കിംഗ് എന്നിവയ്ക്കായി പോഷൻ ട്രാക്കറിന് കീഴിലുള്ള സാങ്കേതികവിദ്യ പ്രയോജനപ്പെടുത്തുന്നു."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,"അങ്കണവാടി ജീവനക്കാരുടെ പ്രയത്നത്തിന്റെ പ്രതിഫലനത്തോടൊപ്പം സേവനങ്ങൾ കാര്യക്ഷമമായി എത്തിക്കുന്നതിനുള്ള ഒരു തൊഴിൽ സഹായമാണ് പോഷൻ ട്രാക്കർ. പോഷൻ അഭിയാന് കീഴിലുള്ള നിർണായകവും ഗുണഭോക്താക്കളെ കേന്ദ്രീകരിച്ചുള്ളതുമായ സേവന ഡെലിവറി ആപ്ലിക്കേഷനാണിത്, ഇത് അനലിറ്റിക്‌സിനൊപ്പം തത്സമയ ഡാറ്റ പ്രോത്സാഹിപ്പിക്കും."
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,ഹോം റേഷൻ എടുക്കുക
Hot Cooked Meal,ചൂടുള്ള പാകം ചെയ്ത ഭക്ഷണം
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,എന്തൊക്കെയാണ്
Poshan Tracker Features,പോഷൻ ട്രാക്കർ സവിശേഷതകൾ
Real time recording and Monitoring,തത്സമയ റെക്കോർഡിംഗും നിരീക്ഷണവും
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","നിർവചിക്കപ്പെട്ട സൂചകങ്ങളിൽ എല്ലാ AWC-കളുടെയും ഗുണഭോക്താക്കളുടെയും തത്സമയ നിരീക്ഷണവും ട്രാക്കിംഗും പോഷൻ ട്രാക്കർ പ്രാപ്തമാക്കുന്നു. കേന്ദ്രീകൃത ഡാറ്റ ആർക്കിടെക്ചർ ഉപയോഗിച്ചാണ് ഇത് നിർമ്മിച്ചിരിക്കുന്നത്, അത് മറ്റ് മന്ത്രാലയങ്ങളുടെയും പ്രോഗ്രാമുകളുടെയും ഡിജിറ്റൽ സാങ്കേതിക സംവിധാനങ്ങളുമായി വിന്യസിക്കുന്നു. അങ്കണവാടികളുടെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങളുടെ 360 ഡിഗ്രി വീക്ഷണം, അങ്കണവാടി വർക്കർമാരുടെ (എഡബ്ല്യുഡബ്ല്യു) സേവനങ്ങൾ, ഗർഭിണികൾക്കും മുലയൂട്ടുന്ന അമ്മമാർക്കും കുട്ടികൾക്കും പൂർണ്ണമായ ഗുണഭോക്തൃ മാനേജ്മെന്റ് നൽകുക എന്നിവയാണ് ലക്ഷ്യം. ഗുണഭോക്താക്കൾക്ക് നൽകുന്ന സേവനങ്ങളിൽ സുതാര്യത നൽകാൻ പൊതു ഡാഷ്ബോർഡ് സഹായിക്കുന്നു."
Services Delivered,സേവനങ്ങൾ വിതരണം ചെയ്തു
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ഒരു ബട്ടണിന്റെ ഒരു ക്ലിക്കിലൂടെ അന്തിമ ഗുണഭോക്താവിലേക്കുള്ള സേവനങ്ങളുടെ ട്രാക്കിംഗ്. ടേക്ക് ഹോം റേഷൻ (THR), ഹോട്ട് കുക്ക്ഡ് മീൽ (HCM), ശിശുക്കൾക്കും ഗർഭിണികൾക്കും വാക്സിനേഷൻ പോലുള്ള സേവനങ്ങൾ."
Growth Measurement,വളർച്ച അളക്കൽ
