en,as
Mobile number need to be validated within a week,ম'বাইল এসপ্তাহৰ ভিতৰত বৈধ কৰিব লাগিব
Anganwadi Worker profile page,অংগনৱাড়ী কৰ্মী প্ৰ'ফাইল পৃষ্ঠা
Stunting and Underweight Growth Parameters,ষ্টান্টিং আৰু কম ওজন বিকাশৰ মাপকাঠি
Beneficiaries status change notifications,বেনিফিচাৰীৰ স্থিতি পৰিৱৰ্তনৰ জাননী
Migrated from one category to another,এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা হৈছে
Beneficiary record becoming inactive,বেনিফিচাৰীৰ ৰেকৰ্ড নিষ্ক্ৰিয় হোৱা
Beneficiary migration from one AWC to another AWC,বেনিফিচাৰীৰ প্ৰব্ৰজন এটা  AWC ৰ পৰা আন  AWC লৈ
Beneficiary deletion by AWW,AWC ৰ দ্বাৰা বেনিফিচাৰী বিলোপ
Default language selection,অবিকল্পিত ভাষা নিৰ্বাচন
"Beneficiary concerns accessibility to AWW, along with status update once resolved","বেনিফিচাৰীয়ে  AWC লৈ প্ৰৱেশাধিকাৰৰ বিষয়ে চিন্তা কৰে, সমাধান কৰা হৈ পিছত স্থিতি আপডেট"
Growth monitoring report for all health indicators,সকলো স্বাস্থ্য সূচকৰ বাবে বিকাশ নিৰীক্ষণ প্ৰতিবেদন
Application downloaded status by AWW,AWC ৰ দ্বাৰা এপ্লিকেচন ডাউনলোড কৰাৰ স্থিতি
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,বেনিফিচাৰী গণনা প্ৰতিবেদন : নিষ্ক্ৰিয় হৈ পৰা ৰেকৰ্ডৰ সংখ্যা আৰু এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা ৰেকৰ্ডৰ সংখ্যা
Resources for growth monitoring and general awareness,বিকাশ নিৰীক্ষণ আৰু সাধাৰণ সজাগতাৰ বাবে সম্পদ
Growth monitoring charts,বিকাশ নিৰীক্ষণ চাৰ্ট
New beneficiary addition with skip OTP option,স্কিপ OTP  বিকল্পৰ সৈতে নতুন বেনিফিচাৰীৰ সংযোজন
Mobile number need to be validated within a week,ম'বাইল এসপ্তাহৰ ভিতৰত বৈধ কৰিব লাগিব
Anganwadi Worker profile page,অংগনৱাড়ী কৰ্মী প্ৰ'ফাইল পৃষ্ঠা
Stunting and Underweight Growth Parameters,ষ্টান্টিং আৰু কম ওজন বিকাশৰ মাপকাঠি
Beneficiaries status change notifications,বেনিফিচাৰীৰ স্থিতি পৰিৱৰ্তনৰ জাননী
Migrated from one category to another,এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা হৈছে
Beneficiary record becoming inactive,বেনিফিচাৰীৰ ৰেকৰ্ড নিষ্ক্ৰিয় হোৱা
Beneficiary migration from one AWC to another AWC,বেনিফিচাৰীৰ প্ৰব্ৰজন এটা  AWC ৰ পৰা আন  AWC লৈ
Beneficiary deletion by AWW,AWC ৰ দ্বাৰা বেনিফিচাৰী বিলোপ
Default language selection,অবিকল্পিত ভাষা নিৰ্বাচন
"Beneficiary concerns accessibility to AWW, along with status update once resolved","বেনিফিচাৰীয়ে  AWC লৈ প্ৰৱেশাধিকাৰৰ বিষয়ে চিন্তা কৰে, সমাধান কৰা হৈ পিছত স্থিতি আপডেট"
Growth monitoring report for all health indicators,সকলো স্বাস্থ্য সূচকৰ বাবে বিকাশ নিৰীক্ষণ প্ৰতিবেদন
Application downloaded status by AWW,AWC ৰ দ্বাৰা এপ্লিকেচন ডাউনলোড কৰাৰ স্থিতি
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,বেনিফিচাৰী গণনা প্ৰতিবেদন : নিষ্ক্ৰিয় হৈ পৰা ৰেকৰ্ডৰ সংখ্যা আৰু এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা ৰেকৰ্ডৰ সংখ্যা
Resources for growth monitoring and general awareness,বিকাশ নিৰীক্ষণ আৰু সাধাৰণ সজাগতাৰ বাবে সম্পদ
Growth monitoring charts,বিকাশ নিৰীক্ষণ চাৰ্ট
Poshan Calculator,পোষণ কেলকুলেটৰ
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,পোষণ কেলকুলেটৰ বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ দ্বাৰা নিৰ্ধাৰিত মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ সাজি উলিওৱা হৈছে.
How to use Poshan Calculator?,পোষণ কেলকুলেটৰ কেনেদৰে ব্যৱহাৰ কৰিব লাগে?
Select Gender,লিংগ বাচনি কৰক
Enter Date of Birth,জন্মৰ তাৰিখ প্ৰদান কৰক
Enter Height in centimeter,উচ্চতা চেন্টিমিটাৰত প্ৰদান কৰক
Enter Weight in kilogram,ওজন কিলোগ্ৰামত প্ৰদান কৰক
Click on Show Results,ৰিজাল্ট দেখুৱাওকত ক্লিক কৰক
Gender ,লিঙ্গ 
*,*
Boy,ল’ৰা
Girl,ছোৱালী
Date of Birth ,জন্মৰ তাৰিখ 
*,*
Height (CM) ,উচ্চতা (CM) 
*,*
*Height should be between 38 to 150,*উচ্চতা 38 ৰ পৰা 150 ৰ ভিতৰত হ'ব লাগে
CM,CM
Weight (KG) ,ওজন (KG) 
*,*
*Weight should be between 0.90 to 58,*ওজন 0.90 ৰ পৰা 58 ৰ ভিতৰত হ'ব লাগে
KG,KG
Show Results,ফলাফল দেখুৱাওক
ABHA (Health ID) and its Benefits,ABHA (হেল্থ আইডি) আৰু ইয়াৰ সুবিধা
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (আগতে হেল্থ আইডি হিচাপে জনা গৈছিল) হৈছে আয়ুষ্মান ভাৰত হেল্থ একাউন্টৰ সংক্ষিপ্ত ৰূপ।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (হেল্থ আইডি) ব্যৱহাৰ কৰাটো হৈছে আপোনাৰ আৰু আপোনাৰ পৰিয়ালৰ বাবে অধিক সুৰক্ষিত আৰু নিপুণ ডিজিটেল হেল্থ ৰেকৰ্ড প্ৰস্তুত কৰিবলৈ প্ৰথম পদক্ষেপ৷।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ই অংশগ্ৰহণকাৰী স্বাস্থ্যসেৱা যোগানকাৰী সকলৰ সৈতে আপোনাৰ ভাৱ-বিনিময় সক্ষম কৰি তোলে, আৰু আপোনাৰ ডিজিটেল লেব ৰিপোৰ্ট, প্ৰেচক্ৰিপচন আৰু ডায়েগনচিছ পৰীক্ষিত স্বাস্থ্যসেৱাৰ লোক আৰু স্বাস্থ্য সেৱা যোগানকাৰীৰ পৰা সুন্দৰভাৱে লাভ কৰিবলৈ সক্ষম কৰি তোলে৷।"
Know More,অধিক জানিব
×,×
Frequently Asked Questions,সঘনাই সোধা প্ৰশ্ন সমূহ
ALL,সকলো
BENEFICIARY REGISTRATION,হিতাধিকাৰীৰ পঞ্জীয়ন
Take Home Ration,টেক-হোম ৰেচন
Hot Cooked Meal,গৰম ৰন্ধা খাদ্য
What is Poshan Abhiyaan?,পোষণ অভিযান কি?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","শিশু, বয়ঃসন্ধিকাল, গৰ্ভাৱস্থাৰ বাবে পুষ্টিৰ ফলাফল উন্নত কৰাৰ বাবে পোষণ অভিযান হৈছে ভাৰতৰ মুখ্য কাৰ্যসূচী।"
What is the purpose of Launching Poshan Tracker?,পোষণ ট্ৰেকাৰ আৰম্ভ কৰা উদ্দেশ্যে কি?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","পোষণ ট্ৰেকাৰ আবেদনৰ উদ্দেশ্য হৈছে অংগনৱাড়ী কেন্দ্ৰৰ (AWC) কাৰ্যকলাপৰ ৩৬০ ডিগ্ৰী দৰ্শন, অংগনৱাড়ী কৰ্মীসকলৰ সেৱা প্ৰদান আৰু গৰ্ভৱতী মহিলা, স্তন্যপান কৰাই থকা মাতৃ আৰু শিশুৰ বাবে সম্পূৰ্ণ হিতাধিকাৰী ব্যৱস্থাপনা। প্ৰস্তাৱিত প্ৰণালীটোৱে নিৰ্ধাৰিত অভিযুক্তসকলৰ ওপৰত সকলো AWC, AWW আৰু হিতাধিকাৰীৰ বাস্তৱ-সময় নিৰীক্ষণ আৰু ট্ৰেকিং সক্ষম কৰিব লাগে।"
How can one Download Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপ কেনেকৈ ডাউনলোড কৰিব পাৰি?
Poshan Tracker App is available over Google playstore ,পোচন ট্ৰেকাৰ এপ্প গুগল প্লেষ্ট'ৰত উপলব্ধ 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,।
"No, Poshan Tracker is available only for Android version",পোচান ট্ৰেকএপটো এপল আই ষ্টোৰত উপলব্ধ নেকি?
What is the minimum requirement to install Poshan Tracker App in mobile?,"নাই, পোষণ ট্ৰেকাৰ কেৱল এণ্ড্ৰইড সংস্কৰণৰ বাবে উপলব্ধ।"
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ম'বাইলত পোষণ ট্ৰেকাৰ এপ ইনষ্টল কৰাৰ নিম্নতম প্ৰয়োজনীয়তা কি?
View All FAQs,পোষণ ট্ৰেকাৰ এপ কেৱল এণ্ড্ৰইড ফোনত এণ্ড্ৰইড সংস্কৰণ ৬.০ আৰু ততোধিকৰ সৈতে ইনষ্টল কৰিব পাৰি।
Can a beneficiary register directly using application.,সকলো FAQ সমূহ দৰ্শন কৰক
Currently a beneficiary can register by the help of an AWW,এগৰাকী হিতাধিকাৰীয়ে পোনপটীয়াকৈ এপ্লিকেচন ব্যৱহাৰ কৰি পঞ্জীয়ন কৰিব পাৰিব নে৷।
Who is a beneficiary?,বৰ্তমান এগৰাকী হিতাধিকাৰীয়ে এটা AWW-ৰ সহায়ত পঞ্জীয়ন কৰিব পাৰে
There are 6 categories for beneficiaries,এগৰাকী হিতাধিকাৰী কোন হয়?
Pregnant Women,হিতাধিকাৰীসকলৰ বাবে 6 টা শ্ৰেণী থাকে
Lactating Mother,গৰ্ভৱতী মহিলা
Children from 0 to 6 months,স্তন্যপান কৰোৱা মহিলা
Children from 6 months to 3 years,0 ৰ পৰা 6 মাহৰ শিশু
Children from 3 years to 6 years,6 মাহৰ পৰা 3 বছৰৰ শিশু
Adolescent girls,3 বছৰৰ পৰা 6 বছৰৰ শিশু
Can a beneficiary change his/her AWC?,কিশোৰী
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,এগৰাকী হিতাধিকাৰীয়ে তেওঁৰ AWC সলনি কৰিব পাৰে নে?
What is the eligibility of a beneficiary?,এগৰাকী AWW-য়ে তেওঁলোকৰ আধাৰ নম্বৰৰ ভিত্তিত এটা AWC-ৰ পৰা আন এটা AWC-লৈ এগৰাকী হিতাধিকাৰীক মাইগ্ৰেট কৰিবলৈ ’মাইগ্ৰেট বেনিফিচিয়েৰী’ বিকল্পটো ব্যৱহাৰ কৰিব পাৰে৷।
A beneficiary is eligible for THR for at least 21 days in a month.,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Who is eligible for Take Home Ration?,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে THR-ৰ বাবে যোগ্যতা অৰ্জন কৰে৷।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",টেক হোম ৰেচনৰ বাবে কোনে যোগ্যতা অৰ্জন কৰে?
Where can I enquire about take home ration?,"গৰ্ভৱতী মহিলা, স্তন্যপান কৰোৱা মহিলা, 6 মাহৰ পৰা 3 বছৰৰ শিশু আৰু কিশোৰী।"
Please contact your respective Anganwadi worker.,টেক হোম ৰেচনৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?
Who is eligible for additional supplementary food.,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কৰ্মীক যোগাযোগ কৰক৷।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য।
What is the eligibility of a beneficiary?,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য৷
A beneficiary is eligible for HCM for at least 21 days in a month.,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Who is eligible for Hot Cooked Meal?,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে HCM-ৰ বাবে যোগ্যতা অৰ্জন কৰে৷
Children in the age group of 3 years to 6 years,হ’ট কুকড মীলৰ বাবে কোন যোগ্য?
Where can I enquire about Hot Cooked Meal?,3 বছৰৰ পৰা 6 বছৰ সময় সীমাৰ ভিতৰত শিশুসকল
Please contact your respective Anganwadi Centre.,হ’ট কুকড মীলৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?
Who is eligible for additional supplementary food?,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কেন্দ্ৰত যোগাযোগ কৰক৷
Children who are identified as deficit on nutrition are eligible for additional food supplements.,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য?
We are now available on Video Conference,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য৷
State Video Conference,আমি এতিয়া ভিডিঅ' কনফাৰেন্সত উপলব্ধ
Monday to Friday ,ৰাজ্যিক ভিডিঅ' সন্মিলন
4:15 PM to 5:15 PM,মানডে তো ফ্রাইডে 
Join Now,4:15 PM to 5:15 PM
Anganwadi Worker Training,এতিয়াই যোগদান কৰক
Monday to Friday ,অংগনৱাড়ী কৰ্মী প্ৰশিক্ষণ
3:00 PM to 4:00 PM,মানডে তো ফ্রাইডে 
Join Now,3:00 PM to 4:00 PM
×,এতিয়াই যোগদান কৰক
Support,×
 14408,পৃষ্ঠপোষকতা
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,মোবাইল এপ ডাউনলোড কৰক
About,Powered By
Resources,ইয়াৰ বিষয়ে
Dashboard,সমল
Helpdesk,ডেশ্ববৰ্ড
FAQ,হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Terms of Service,পোষণ কেলকুলেটৰ
Privacy Policy,Terms of Service
Careers,Privacy Policy
Copyright@2023  Poshan Tracker. All rights reserved,কেৰিয়াৰ
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,ABHA (হেল্থ আইডি)
English,ল্যাঙ্গুয়েজে
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,ইয়াৰ বিষয়ে
Resources,সমল
Vaccination Schedule,সমল
Dashboard,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,ডেশ্ববৰ্ড
Helpdesk,Mission Utkarsh
Beneficiary Redressal,হেল্পডেস্ক
State Helpdesk,হিতাধিকাৰীৰ প্ৰতিবিধান
FAQ,ৰাজ্যিক হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Login,পোষণ কেলকুলেটৰ
About Poshan Tracker,লগইন কৰক
About,পোষণ ট্ৰেকাৰৰ বিষয়ে
Poshan Tracker App,About
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.",পোষণ ট্ৰেকাৰ এপ
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,"’পোষণ ট্ৰেকাৰ’ হৈছে 1 মাৰ্চ 2021 তাৰিখে মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয়, ভাৰত চৰকাৰৰ দ্বাৰা, ৰাষ্ট্ৰীয় ই-শাসন ডিভিজন (NeGD), MyGov ৰ জৰিয়তে এটা গুৰুত্বপূৰ্ণ শাসনৰ সঁজুলি হিচাপে প্ৰচলিত কৰা এটা মোবাইল ভিত্তিক এপ্লিকেচন। পোষণ ট্ৰেকাৰৰ অধীনত প্ৰযুক্তি শিশুসকলৰ মাজত বাওনা হোৱা, পুষ্টিহীনতাত ভোগা, কম ওজনৰ বিস্তাৰ আৰু পুষ্টি সেৱা ডেলিভাৰীৰ অন্তিম পৰ্যায়ৰ ট্ৰেকিংৰ চিনাক্তকৰণৰ ডাইনেমিক চিনাক্তকৰণৰ বাবে ব্যৱহাৰ কৰা হয়."
Services availed by,পোষণ ট্ৰেকাৰ হৈছে অংগনৱাড়ী কৰ্মীসকললৈ তেওঁলোকৰ প্ৰয়াসৰ প্ৰতিফলনৰ সৈতে সেৱাৰ খৰতকীয়া আৰু নিখুঁত ডেলিভাৰীৰ বাবে এটা কৰ্ম-আহিলা। ই পোষণ অভিযানৰ অধীনত এটা গুৰুত্বপূৰ্ণ আৰু হিতাধিকাৰী কেন্দ্ৰিক সেৱা ডেলিভাৰী এপ্লিকেচন যি বিশ্লেষণৰ সৈতে বাস্তৱ সময়ৰ তথ্য প্ৰচাৰ কৰে.
Beneficiaries at Anaganwadi Center,Services availed by
Take Home Ration,Beneficiaries at Anaganwadi Center
Hot Cooked Meal,টেক-হোম ৰেচন
Morning Snacks,গৰম ৰন্ধা খাদ্য
Nutrition and,Morning Snacks
 Health checkup,Nutrition and
WHAT ARE, Health checkup
Poshan Tracker Features,কি হয়
Real time recording and Monitoring,পোষণ ট্ৰেকাৰৰ বিশেষত্ব
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.",বাস্তৱ সময় ৰেকৰ্ডিং আৰু নিৰীক্ষণ
Services Delivered,"পোষণ ট্ৰেকাৰে সংজ্ঞায়িত ইণ্ডিকেটৰৰ ওপৰত সকলো AWC আৰু হিতাধিকাৰীসকলৰ বাস্তৱ-সময়ত নিৰীক্ষণ আৰু ট্ৰেকিং সক্ৰিয় কৰি তোলে। ইয়াক কেন্দ্ৰীকৃত ডাটা আৰ্কিটেকচাৰ ব্যৱহাৰ কৰি সাজি উলিওৱা হয় যি আন মন্ত্ৰালয় আৰু প্ৰগ্ৰাম সমূহৰ ডিজিটেল প্ৰযুক্তি চিষ্টেমৰ সৈতে সমৰৈখিক হয়৷ উদ্দেশ্য হৈছে অংগনৱাড়ী কেন্দ্ৰ সমূহৰ (AWC) কাৰ্য-কলাপ, অংগনৱাড়ী কৰ্মী (AWW) সকলে আগবঢ়োৱা সেৱা আৰু গৰ্ভৱতী মহলা, দুগ্ধপান কৰোৱা মাতৃ আৰু শিশুসকলৰ বাবে সম্পূৰ্ণ হিতাধিকাৰী ব্যৱস্থাপনাৰ এটা 360-ডিগ্ৰী অৱলোকন আগবঢ়োৱা৷ ৰাজহুৱা ডেশ্ববোৰ্ডে হিতাধিকাৰীসকললৈ আগবঢ়োৱা সেৱা সমূহৰ ওপৰত স্বচ্চতা প্ৰদান কৰাত সহায় কৰে."
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.",আগবঢ়োৱা সেৱা সমূহ
Growth Measurement,"এটা বুটামৰ এটা ক্লিকত অন্তিম হিতাধিকাৰীসকললৈ সেৱাসমূহৰ ট্ৰেকিং৷ টেক হোম ৰেচন (THR) আৰু হ’ট কুকড মীল (HCM), নৱজাতক আৰু গৰ্ভৱতী মহিলাৰ বাবে টীকাকৰণৰ দৰে সেৱা সমূহ."
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.",বৃদ্ধিৰ জোখ
Home Visit Alerts,"বিভিন্ন বয়সৰ শিশু সকল মাহেকীয়া ভিত্তিত AWW সকলৰ দ্বাৰা নিৰীক্ষিত হয়৷ বাওনা হোৱা, পুষ্টিহীনতাত ভোগা আৰু কম ওজনৰ বিস্তাৰৰ দৰে স্বাস্থ্যজনিত সূচক সমূহ WHO মান অনুসৰি জোখা হয়৷ নিয়মীয়া বৃদ্ধিৰ নিৰীক্ষণে AWW সকলক শিশুসকললৈ প্ৰাসংগিক আৰু সময়মতে সহযোগিতা আগবঢ়োৱাত সহায় কৰে."
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.",হোম ভিজিটৰ এলাৰ্ট
Support,"পোষণ ট্ৰেকাৰে গুৰুত্বপূৰ্ণ অন্তিম পৰ্যায়ৰ হিতাধিকাৰীসকললৈ অটোমেটেড এলাৰ্ট উৎপাদন কৰে৷ ই হিতাধিকাৰী আৰু ডিউটি কৰা সকলৰ বাস্তৱ সময়ৰ উপস্থিতি নথিভুক্ত কৰাৰ দ্বাৰা ডেলিভাৰী চিষ্টেমৰ নিপুণ অডিট সুনিশ্চিত কৰে৷ এই মেনেজমেন্ট ইনফৰ্মেচন চিষ্টেমে নিপুণভাৱে জোখ লোৱাত, এনেদৰে ধনাত্মক প্ৰভাৱ উৎপন্ন কৰি আৰু নথিভুক্ত কৰি পৰিপুষ্টিৰ অনুষ্ঠানক সহায় কৰিব."
 14408,পৃষ্ঠপোষকতা
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,মোবাইল এপ ডাউনলোড কৰক
About,Powered By
Resources,ইয়াৰ বিষয়ে
Dashboard,সমল
Helpdesk,ডেশ্ববৰ্ড
FAQ,হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Terms of Service,পোষণ কেলকুলেটৰ
Privacy Policy,Terms of Service
Careers,Privacy Policy
Copyright@2023  Poshan Tracker. All rights reserved,কেৰিয়াৰ
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,ABHA (হেল্থ আইডি)
English,ল্যাঙ্গুয়েজে
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,ইয়াৰ বিষয়ে
Resources,সমল
Vaccination Schedule,সমল
Dashboard,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,ডেশ্ববৰ্ড
Helpdesk,Mission Utkarsh
Beneficiary Redressal,হেল্পডেস্ক
State Helpdesk,হিতাধিকাৰীৰ প্ৰতিবিধান
