en,kok
Stunting and Underweight Growth Parameters,मोटवें आनी कमी वजनाच्या विकासाचे पॅरामिटर्स
Beneficiaries status change notifications,लाभार्थी स्थिती बदल अधिसुचोवण्यो
Migrated from one category to another,एके वर्गातल्यान दुसरे वर्गांत स्थलांतरण केलां
Beneficiary record becoming inactive,लाभार्थी नोंद निश्क्रीय जाता
Beneficiary migration from one AWC to another AWC,लाभार्थ्याचें एके आंगणवाडीतल्यान दुसरे आंगणवाडीत स्थलांतरण
Beneficiary deletion by AWW,आंगणवाडी कर्मचा-याकडल्यान लाभार्थ्याची वगळावणी
Default language selection,डिफॉल्ट भास विभाग
"Beneficiary concerns accessibility to AWW, along with status update once resolved","आंगणवाडी कर्मचा-याक लाभार्थ्याची चवकशीखातीर वासपूस, सुटावी जातकच स्थिती अपडेटी सयत"
Growth monitoring report for all health indicators,सगल्या भलायकी दर्शकां खातीर वाड टेळणी अहवाल
Application downloaded status by AWW,आंगणवाडी कर्मचा-या कडल्यान डावनलोड केल्ली ऍप्लिकेशन स्थिती
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी मेजणी अहवाल : निश्क्रीय जावप्यांची नोंदींची संख्या आनी एके वर्गातल्यान दुसरे वर्गात वचपींच्या नोंदीची संख्या
Resources for growth monitoring and general awareness,वाड टेळणी आनी सामान्य जागृतायेखातीर संसाधनां
Growth monitoring charts,वाड टेळणी तकटे
New beneficiary addition with skip OTP option,OTP गाळचो पर्याया सयत नवी लाभार्थी पुरवणी
Mobile number need to be validated within a week,एके सप्तका भितर मोबायल नंबर सत्यापित करपाची गरज आसतली
Anganwadi Worker profile page,आंगणवाडी कामगाराचें प्रोफायल पान
Stunting and Underweight Growth Parameters,मोटवें आनी कमी वजनाच्या विकासाचे पॅरामिटर्स
Beneficiaries status change notifications,लाभार्थी स्थिती बदल अधिसुचोवण्यो
Migrated from one category to another,एके वर्गातल्यान दुसरे वर्गांत स्थलांतरण केलां
Beneficiary record becoming inactive,लाभार्थी नोंद निश्क्रीय जाता
Beneficiary migration from one AWC to another AWC,लाभार्थ्याचें एके आंगणवाडीतल्यान दुसरे आंगणवाडीत स्थलांतरण
Beneficiary deletion by AWW,आंगणवाडी कर्मचा-याकडल्यान लाभार्थ्याची वगळावणी
Default language selection,डिफॉल्ट भास विभाग
"Beneficiary concerns accessibility to AWW, along with status update once resolved","आंगणवाडी कर्मचा-याक लाभार्थ्याची चवकशीखातीर वासपूस, सुटावी जातकच स्थिती अपडेटी सयत"
Growth monitoring report for all health indicators,सगल्या भलायकी दर्शकां खातीर वाड टेळणी अहवाल
Application downloaded status by AWW,आंगणवाडी कर्मचा-या कडल्यान डावनलोड केल्ली ऍप्लिकेशन स्थिती
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी मेजणी अहवाल : निश्क्रीय जावप्यांची नोंदींची संख्या आनी एके वर्गातल्यान दुसरे वर्गात वचपींच्या नोंदीची संख्या
Resources for growth monitoring and general awareness,वाड टेळणी आनी सामान्य जागृतायेखातीर संसाधनां
Growth monitoring charts,वाड टेळणी तकटे
Poshan Calculator,पोशण कॅल्क्यूटर
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,विश्व भलायकी संघटनेन (WHO) परिभाशीत केल्ल्या मानकां प्रमाण भुरग्याची वाड मापपा खातीर पोशन ट्रॅकर डिजायन केला.
How to use Poshan Calculator?,पोशण ट्रॅकर कसो वापरचो?
Select Gender,लिंग निवडात
Enter Date of Birth,जल्म तारीख प्रवेश करात
Enter Height in centimeter,उंचाय सेंटीमिटरांत प्रवेश करची
Enter Weight in kilogram,वजन किलोग्रामांत प्रवेश करचें
Click on Show Results,परिणाम दाखयात हाचेर क्लिक करात
Gender ,लिंग 
*,*
Boy,चलो
Girl,चली
Date of Birth ,जल्म तारीख 
*,*
Height (CM) ,उंची (सेमी) (CM) 
*,*
*Height should be between 38 to 150,*उंची 38 ते 150 मजगतीं आसूंक जाय
CM,सेमी
Weight (KG) ,वजन (किलो) (KG) 
*,*
*Weight should be between 0.90 to 58,*वजन 0.90 ते 58 मजगतीं आसूंक जाय
KG,किलो
Show Results,निकाल दाखोवचे
ABHA (Health ID) and its Benefits,ABHA (एभीएचए आभा) (हॅल्थ आय डी) आनी ताचे लाभ
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (जाका आदीं हॅल्थ आय डी म्हणटालें) हें आयुश्मान भारत हॅल्थ खातें हाचें परिवर्णी उतर.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (हॅल्थ आयडी) वापरप हें तुमकां आनी तुमच्या कुटुंबाक सुरक्षीत आनी कार्यक्षम डिजिटल भलायकी रेकॉर्ड तयार करपाचे दिकेन पयलें पावल.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","तो सहभागी भलायकी सेवा पुरवणदारां कडेन तुमची परस्परक्रिया सक्षम करता, आनी तुमकां सत्यापीत भलायकी जतनाय वेवसायीक आनी भलायकी सेवा पुरवणदारांकडल्यान तुमचे डिजिटल लॅब अहवाल, नुस्खे आनी निदान रोगपारखणी मेळोवपाक परवानगी दिता."
Know More,अदीक जाणून घेयात
×,×
Frequently Asked Questions,नित्यान विचारिल्ले प्रस्न
ALL,सगळें
BENEFICIARY REGISTRATION,लावार्थी नोंदणीकरण
Take Home Ration,घरांत रेशन घेवचें
Hot Cooked Meal,गरम शिजयल्लें जेवण
What is Poshan Abhiyaan?,पोशन अभियान म्हळ्यार कितें?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोशन अभियान हो भारताचो प्रमुख कार्यक्रम जो भुरग्यांक, किशोऱ्यांक आनी गुरवार बायलांच्या पोशण संबंदीत परिणामांत सुधारणा हाडपाचें कार्य करता."
What is the purpose of Launching Poshan Tracker?,पोशन ट्रॅकर स्थापीत करपाचो उद्देश कितें?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोशन ट्रॅकर अॅपलीकेशनाचो उद्देश आंगनवाडी (आंगनवाडी केंद्र) केंद्राचे कार्यांचो, आंगनवाडी कार्यकर्त्यांची (आंगनवाडी कर्मचारी) डिलिवरी सेवा आनी गुरवार बायलां खातीर, दुग्धधारण करपी आवयां खातीर आनी भुरग्यां खातीर पूर्ण लाभार्थी वेवस्थेचो 360-डिग्री दृश्य दिवपाचो आसा. प्रस्थापीत वेवस्था परिभाशीत संकेतकाचेर सगळ्या आंगनवाडी केंद्र, आंगनवाडी कर्मचारी आनी लाभार्थीची ट्रॅकींग आनी मोनिटरींग करपाक समर्थ आसूंक जाय."
How can one Download Poshan Tracker App?,पोशन ट्रॅकर अॅप कशें डावनलोड करतले?
Poshan Tracker App is available over Google playstore ,पोशन ट्रॅकर अॅप गुगल प्लॅस्टोरार उपलब्ध आसा 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,अॅप्पल आय स्टोरांत पोशन ट्रॅकर अॅप उपलब्ध आसा?
"No, Poshan Tracker is available only for Android version","ना, पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड यूजरां खातीर उपलबध्द आसा."
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबायलार पोशन ट्रॅकर अॅप इंस्टॉल करपा खातीर किमान आवश्यकता कितें?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड वर्जन 6.0 आनी ताच्या उपरांतच्या वर्जन आशिल्ल्या एन्ड्रॉयड फोनाचेर इंस्टॉल करूं येता.
View All FAQs,सगले एफएक्युएस दृश्य करचे
Can a beneficiary register directly using application.,अर्ज वापरून लावार्थी थेट नोंदणी करूंक शकता.
Currently a beneficiary can register by the help of an AWW,सद्या लावार्थी एडब्ल्यूडब्ल्यूच्या आदारान नोंदणी करूंक शकता
Who is a beneficiary?,लावार्थी म्हळ्यार कोण?
There are 6 categories for beneficiaries,लावार्थ्यां खातीर 6 वर्ग आसात
Pregnant Women,गुरवार बायलो
Lactating Mother,दुदाक धरपी आवय
Children from 0 to 6 months,0 ते 6 म्हयन्यांचीं भुरगीं
Children from 6 months to 3 years,6 म्हयन्यां सावन 3 वर्सां मेरेनचीं भुरगीं
Children from 3 years to 6 years,3 वर्सां ते 6 वर्सां मेरेनचीं भुरगीं
Adolescent girls,किशोरवयीन चलयो
Can a beneficiary change his/her AWC?,लावार्थी आपलो/आपलें एडब्ल्यूसी बदलूंक शकता?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एक एडब्ल्यूडब्ल्यू तांच्या आधार क्रमांकाचेर आदारून एका एडब्ल्यूसींतल्यान दुसऱ्या एडब्ल्यूसींत लावार्थी स्थलांतरीत करपाक ‘लावार्थी स्थलांतरीत करचो’ पर्याय वापरूं येता.
What is the eligibility of a beneficiary?,लावार्थ्याची पात्रताय कितें?
A beneficiary is eligible for THR for at least 21 days in a month.,लावार्थी एका म्हयन्यांत उण्यांत उणे 21 दीस टीएचआर मेळोवपाक पात्र आसता.
Who is eligible for Take Home Ration?,टेक होम रेशन खातीर कोण पात्र आसा?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गुरवार बायलो, दुदाक धरपी आवयो, 6 म्हयने ते 3 वर्सां पिरायेचीं भुरगीं आनी किशोरवयीन चलयो."
Where can I enquire about take home ration?,टेक होम रेशन विशीं खंय चवकशी करूं येता?
Please contact your respective Anganwadi worker.,तुमच्या संबंदीत आंगनवाडी कार्यकर्त्या कडेन संपर्क सादचो.
Who is eligible for additional supplementary food.,अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोशणाचो उणाव आसा अशें वळखून घेतिल्लीं भुरगीं अतिरिक्त अन्न पूरक आहारां खातीर पात्र थारतात.
What is the eligibility of a beneficiary?,लावार्थ्याची पात्रताय कितें?
A beneficiary is eligible for HCM for at least 21 days in a month.,लावार्थी म्हयन्यांत उण्यांत उणे 21 दीस एचसीएम मेळोवपाक पात्र आसता.
Who is eligible for Hot Cooked Meal?,गरम शिजयल्लें जेवणा खातीर पात्र आसा?
Children in the age group of 3 years to 6 years,3 वर्सां ते 6 वर्सां पिरायेच्या गटांतलीं भुरगीं
Where can I enquire about Hot Cooked Meal?,गरम शिजयल्ल्या जेवणाची खंय चवकशी करूं येता?
Please contact your respective Anganwadi Centre.,उपकार करून तुमच्या संबंदीत आंगनवाडी केंद्रा कडेन संपर्क सादचो.
Who is eligible for additional supplementary food?,अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोशणाचो उणाव आसा अशें वळखून घेतिल्लीं भुरगीं अतिरिक्त अन्न पूरक आहारां खातीर पात्र थारतात.
We are now available on Video Conference,आमी व्हिडियो परिशदे वरवीं उपलब्ध आसात.
State Video Conference,राज्य व्हिडियो कॉन्फरन्स
Monday to Friday ,सोमार ते शुक्रार 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,आतां सामील जावचें
Anganwadi Worker Training,आंगणवाडी कर्मचा-याक प्रशिक्षण
Monday to Friday ,सोमार ते शुक्रार 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,आतां सामील जावचें
×,×
Support,तेंको
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबायल ऍप्लिकेशन डावनलोड करचें
Powered By,Powered By
About,ताचे विशीं
Resources,संसाधन
Dashboard,डॅशबोर्ड
Helpdesk,मदत डेस्क
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Terms of Service,सेवा अटी
Privacy Policy,गुप्तताय धोरण
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
About Poshan Tracker,पोशान ट्रॅकर विशीं
About,ताचे विशीं
Poshan Tracker App,पोशण ट्रॅकर अॅप
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘पोशण ट्रॅकर’ हो एक मोबायल आदारीत ऍप्लिकेशन आसा जो भारत सरकाराच्या बायलां आनी भुरगीं उदरगत मंत्रालयान 1 मार्च 2021 दिसा राष्ट्रीय ई-गवर्नन्स विभाग (NeGD), मायगव (MyGov) वरवीं एक म्हत्वाचें शासन साधन म्हणून सुरू केला. पोशण ट्रॅकर खाला तंत्रगिन्यानाचो वापर भुरग्यां मदीं स्टंटींग, वॅस्टींग, उणें वजन स्थिती आनी पोशण सेवा दिवपाच्या निमाण्या मैलाचेर मागोवपाची गतिशील वळख करपा खातीर सुरू केलां."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,पोशण ट्रॅकर ही आंगनवाडी कर्मचाऱ्यांक तांच्या यत्नांचे प्रतिबिंबीत करपा वांगडाच सेवा कार्यक्षम रितीन वितरीत करपा खातीर एक नोकरी-मदत आसा. हें POSHAN अभियाना खाला एक गंभीर आनी लावार्थी केंद्रीत सेवा वितरण ऍप्लिकेशन आसा जें विश्लेशणा वांगडा रियल टायम डेटाचो प्रचार करतले.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,घरांत रेशन घेवचें
Hot Cooked Meal,गरम शिजयल्लें जेवण
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,कितें आसात
Poshan Tracker Features,पोशण ट्रॅकराची वैशिश्ट्यां
Real time recording and Monitoring,रियल टायम रेकॉर्डिंग आनी निरिक्षण
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","पोशण ट्रॅकर व्याख्या केल्ल्या निर्देशकांचेर सगळ्या एडब्ल्यूसी आनी लावार्थ्यांचेर रियल-टायम निरिक्षण आनी ट्रॅकिंग सक्षम करता. हेर मंत्रालयां आनी कार्यावळींच्या डिजिटल तंत्रज्ञान प्रणालीं कडेन जुळपी केंद्रीकृत डेटा आर्किटेक्चर वापरून हें तयार केलां. आंगनवाडी केंद्र (एडब्ल्यूसी), आंगनवाडी कर्माचारी (एडब्ल्यूडब्ल्यू) हांची सेवा प्रदान करप आनी गुरवार बायलां, दुदाक धरपी आवयो आनी भुरग्यां खातीर पुराय लावार्थी वेवस्थापन हांचे विशीं 360 अंश दृश्य प्रदान करपाचो हाचो हेतू आसा. भौशीक डॅशबोर्ड लावार्थ्यांक फावो जावपी सेवांचेर पारदर्शकता दिवपाक मदत करता."
Services Delivered,सेवा दिल्या
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","एका बटणाच्या क्लिकाचेर निमाण्या लावार्थ्या मेरेन सेवांचे ट्रॅकींग. टेक होम रेशन (टीएचआर) आनी हॉट कुक्ड मील (एचसीएम), अर्भक आनी गुरवार बायलां खातीर लस दिवप सारकेल्यो सेवा."
Growth Measurement,वाडीचें मापन
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","वेगवेगळ्या पिरायेच्या गटांतल्या भुरग्यांचेर एडब्ल्यूडब्ल्यू कडल्यान म्हयन्याच्या आदारान निरिक्षण. स्टंटिंग, वेस्टिंग आनी अंडरवेट प्रसार सारकेले भलायकी निर्देशक डब्ल्यूएचओच्या मानकां प्रमाण मेजतात. नेमान वाड निरिक्षण केल्यार एडब्ल्यूडब्ल्यूंक भुरग्यांक संबंदीत आनी वेळार मदत दिवपाक मदत जाता."
Home Visit Alerts,घरांनी भेट दिवपाचे अलर्ट
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","पोशण ट्रॅकर गंभीर निमाण्या मैल लावार्थ्यांक स्वयंचलीत सावधानताय निर्माण करता. तशेंच लावार्थी आनी कर्तव्यधारकांच्या रियल टायम हाजीरीचें दस्तावेजीकरण करून डिलिवरी वेवस्थेचें कार्यक्षम ऑडिट सुनिश्चीत करता. हें वेवस्थापन म्हायती पद्दत पोशण कार्यावळीक कार्यक्षमतेन प्रमाणीत करपाक मदत करतली, जाका लागून सकारात्मक परिणाम निर्माण जातलो आनी दस्तावेजीकरण करतले."
Support,तेंको
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबायल ऍप्लिकेशन डावनलोड करचें
Powered By,Powered By
About,ताचे विशीं
Resources,संसाधन
Dashboard,डॅशबोर्ड
Helpdesk,मदत डेस्क
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Terms of Service,सेवा अटी
Privacy Policy,गुप्तताय धोरण
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
Resources,संसाधन
Learning Videos,शिकपाचे व्हिडियो
❮,❮
How to take care of weak newborn with the help of Kangaroo Mother Care,कांगरू मदर कॅर हाचो आदार घेवन दुबळें नवजात शिशूची जतनाय कशी घेवप
Preventing illnesses to avert Malnutrition and Death,कुपोशन आनी मरण सारकेल्यो गजाली टाळचे खातीर दुयेंसा आडावप
Prevention of Anemia in children and adolescents girls,भुरग्यां मदीं आनी किशोरवयीन चलयां मदीं अॅनीमिया आडावप
Birth Preparedness- For Institutional and Home Delivery,जल्म दिवपाची तयारी - संस्थांनी आनी घरांत प्रसुती खातीर
Care of the weak newborn baby - How many weak babies are we missing?,दुबळें नवजात शिशूची काळजी - कितलीं दुबळीं नवजात शिशू
Feeding During Illness,दुयेंत आसतना खावड दिवप
Preparation During Pregnancy - For NewBorn Care & Family Planning,गुरवारचारा वेळार तयारी - नवजात शिशू जतनाय आनी कुटुंब नियोजन
Ensuring Exclusive Breastfeeding,विशिश्ट स्तनपानाची खात्री करप
Assessment of growth in children,भुरग्यांचे वाडीचें मुल्यांकन
Preventing anemia in women,बायलां मदीं अॅनीमिया आडावप
Complementary Feeding - Diet Diversity,पूरक आहार - आहारांत विविधताय
Identification and care of a Weak Newborn baby,दुबळें नवजात भुरग्यांची वळख पटोवप आनी ताची काळजी घेवप
Observing Breastfeeding In Newborn Babies,नवजात भुरग्याची स्तनपान प्रक्रियेचें निरिक्षण करप
Planning And Organising Community Based Events At AWC,आंगनवाडी केंद्रांनी समुदाय आदारीत कार्यावळींचें नियोजन आनी आयोजन
Making or Updating Home Visit Planner and Initiating home visits,घर भेट नियोजक तयार करप वा अद्ययावत करप आनी घर भेटी सुरू करप
Ensuring that complementary feeding improves over time,काळाप्रमाण पूरक आहारांत सुदारणा जाता हाची खात्री करप
How to ensure timely initiation of complementary feeding,पूरक आहाराची वेळाच्या वेळार सुरवात करपाची खात्री कशी करची
Identifying and preventing Severe Acute Malnutrition,गंभीर खर कुपोशण वळखुवप आनी आडावप
Identification & Referral of Sick Newborn,दुयेंत नवजात शिशूची वळख आनी संदर्भ
Supporting mothers with issues in Breastfeeding,स्तनपानांत समस्या आशिल्ल्या आवयांक आदार दिवप
Why this Monthly Meeting?,ही म्हयन्याळी बसका कित्याक?
❯,❯
Awareness,जागृताय
ALL ,सगळें 
13,13
 , 
GENERAL ,सामान्य 
9,9
 , 
Pregnant Women ,गुरवार बायल 
1,1
 , 
Lactating Mothers ,दुदाक धरपी आवय 
2,2
 , 
CHILD CARE ,बाळ जतनाय 
1,1
 , 
❮,❮
General,General
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF डावनलोड करचें
General,General
General Awareness about Growth Monitoring of Children,भुरग्यांच्या वाडीचेर नियंत्रण दवरपा विशीं सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
General,General
General Awareness about preventing illness in Children,भुरग्यां मदीं दुयेंस आडावपा विशीं सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
General,General
General Awareness for Pregnancy,गुरवारपणाची सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
General,General
General Awareness on Module,मॉड्यूलाचेर सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
General,General
General Awareness on Anaemia,अॅनीमिया विशीं सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
General,General
General Awareness on SAM and MAM,सॅम (SAM) आनी मॅम (MAM) हांचे विशीं सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
General,General
General Awareness on Mother Care,आवय काळजी विशीं सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
General,General
General Awareness on the Delivery of the child,भुरग्याचे प्रसुती विशीं सामान्य जागृताय
Download PDF,PDF डावनलोड करचें
Pregnant Women,गुरवार बायल
Awareness for Pregnancy in Preventing Anemia,अॅनीमिया आडावपांत गुरवारपणा खातीर जागृताय
Download PDF,PDF डावनलोड करचें
Lactating Mothers,दुदाक धरपी आवय
Awareness for Lactating Mother Complimentary Feeding for Children,दुदाक धरपी आवय खातीर जागृताय भुरग्यां खातीर स्तुती आहार
Download PDF,PDF डावनलोड करचें
Lactating Mothers,दुदाक धरपी आवय
Awareness to Lactating Mother,दुदाक धरपी आवय कडेन जागृताय
Download PDF,PDF डावनलोड करचें
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","भुरग्यांक कुपोशण जावचें न्हय म्हूण भुरग्यां खातीर जागृताय स्टंटिंग, वास्टिंग"
Download PDF,PDF डावनलोड करचें
❯,❯
❮,❮
