en,gu
"Frequently Used Features available for Beneficiary Registration, Aadhar Verification, Beneficiary  Migration","Frequently Used Features available for Beneficiary Registration, Aadhar Verification, Beneficiary  Migration"
"Dashboard Shortcuts available for Daily Tracking, Home Visits and Growth Monitoring in Real Time","Dashboard Shortcuts available for Daily Tracking, Home Visits and Growth Monitoring in Real Time"
SAM and Underweight Children Report available as of Previous Month,SAM and Underweight Children Report available as of Previous Month
Available in 22 Different Languages,Available in 22 Different Languages
Option to select whether the Beneficiaries in 3-6 Years Category are School Going or not,Option to select whether the Beneficiaries in 3-6 Years Category are School Going or not
Option to select Category and Religious Minority(if any) for all Beneficiaries,Option to select Category and Religious Minority(if any) for all Beneficiaries
Update AWC Location in Online Mode,Update AWC Location in Online Mode
Registration of Beneficiaries and Daily Tracking available in Offline Mode that can store data for 3 days,Registration of Beneficiaries and Daily Tracking available in Offline Mode that can store data for 3 days
Expected Date of Delivery is available in Profile Card of Pregnant Women Category,Expected Date of Delivery is available in Profile Card of Pregnant Women Category
Reproductive and Child Health (RCH) Profile visible for Pregnant Women and Lactating Mother Categories,Reproductive and Child Health (RCH) Profile visible for Pregnant Women and Lactating Mother Categories
Three Dots Option available in all Beneficiary categories-,Three Dots Option available in all Beneficiary categories-
Update Profile,Update Profile
Migrate to Lactating Mother (for Pregnant Women Category),Migrate to Lactating Mother (for Pregnant Women Category)
Add Growth and Nutritional Details,Add Growth and Nutritional Details
Growth Monitoring (for all categories related to Children between 0 month to 6 years),Growth Monitoring (for all categories related to Children between 0 month to 6 years)
Add Vaccination Details,Add Vaccination Details
Beneficiary Dead,Beneficiary Dead
"Time Stamp available for  Newly Registered Beneficiaries, Profile Updation/ Growth Monitoring of Beneficiaries","Time Stamp available for  Newly Registered Beneficiaries, Profile Updation/ Growth Monitoring of Beneficiaries"
Beneficiaries status change notification in the bell icon-,Beneficiaries status change notification in the bell icon-
Migrated from one category to another,Migrated from one category to another
Beneficiary record becoming inactive,Beneficiary record becoming inactive
AWC Infra removed from Application and added to Master List of the Poshan Tracker Dashboard,AWC Infra removed from Application and added to Master List of the Poshan Tracker Dashboard
Current Month and Monthly Reports available for download in CSV and/or PDF Format,Current Month and Monthly Reports available for download in CSV and/or PDF Format
59pm) as well as Day minus 3 (to let offline data sync).,59pm) as well as Day minus 3 (to let offline data sync).
Beneficiaries,Beneficiaries
Measuring Efficiency,કાર્યક્ષમતા માપવી
AWC Daily Monitoring,AWC Daily Monitoring
AWC Operational Status,AWC Operational Status
"Home Visit, and","Home Visit, and"
Supplementary Nutrition (THR),Supplementary Nutrition (THR)
"Monthly Reports of Supplementary Nutrition provided for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years available with Hyperlinks accessible till AWC level","Monthly Reports of Supplementary Nutrition provided for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years available with Hyperlinks accessible till AWC level"
Anaemia Report available for Pregnant Women and Lactating Mothers on a Monthly basis,Anaemia Report available for Pregnant Women and Lactating Mothers on a Monthly basis
Adolescent Girls Report accessible for Aspirational Districts with Hyperlinks accessible till AWC level,Adolescent Girls Report accessible for Aspirational Districts with Hyperlinks accessible till AWC level
"AWC details on Workers, Helpers and their Incentives, Infrastructure, Events, Home Visits and Measuring Efficiency available on a Monthly basis","AWC details on Workers, Helpers and their Incentives, Infrastructure, Events, Home Visits and Measuring Efficiency available on a Monthly basis"
"Supplementary Nutrition Projection available for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years as well as SAM Children (6 months to 5 years)","Supplementary Nutrition Projection available for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years as well as SAM Children (6 months to 5 years)"
"Detailed Growth Monitoring Report available for all health indicators with Hyperlinks accessible till AWC level- Stunting, Wasting and Underweight (for 0-5 Years Category Children) and, Stunting and Underweight (5-6 Years Category Children)","Detailed Growth Monitoring Report available for all health indicators with Hyperlinks accessible till AWC level- Stunting, Wasting and Underweight (for 0-5 Years Category Children) and, Stunting and Underweight (5-6 Years Category Children)"
Children Count available till-,Children Count available till-
Low Birth Weight of Children between 0-6 months,Low Birth Weight of Children between 0-6 months
Measuring Efficiency for Children between 0-6 years and Health Status of Children between 0-5 years,Measuring Efficiency for Children between 0-6 years and Health Status of Children between 0-5 years
Beneficiary details available about their Issue Redressal and Activity (till AWC level) as well as Total Registered Active Beneficiary Count (State level),Beneficiary details available about their Issue Redressal and Activity (till AWC level) as well as Total Registered Active Beneficiary Count (State level)
Status of AWCs registered with Poshan Tracker Application and their reporting status available at State level,Status of AWCs registered with Poshan Tracker Application and their reporting status available at State level
Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness
Growth Monitoring Charts,Growth Monitoring Charts
Learning Videos available for all Categories,Learning Videos available for all Categories
"New User Interface on Home Page for Beneficiary List, Daily Tracking, Home Visits and Notifications","New User Interface on Home Page for Beneficiary List, Daily Tracking, Home Visits and Notifications"
"Frequently Used Features available for Beneficiary Registration, Aadhar Verification, Beneficiary  Migration","Frequently Used Features available for Beneficiary Registration, Aadhar Verification, Beneficiary  Migration"
"Dashboard Shortcuts available for Daily Tracking, Home Visits and Growth Monitoring in Real Time","Dashboard Shortcuts available for Daily Tracking, Home Visits and Growth Monitoring in Real Time"
SAM and Underweight Children Report available as of Previous Month,SAM and Underweight Children Report available as of Previous Month
Available in 22 Different Languages,Available in 22 Different Languages
Option to select whether the Beneficiaries in 3-6 Years Category are School Going or not,Option to select whether the Beneficiaries in 3-6 Years Category are School Going or not
Option to select Category and Religious Minority(if any) for all Beneficiaries,Option to select Category and Religious Minority(if any) for all Beneficiaries
Update AWC Location in Online Mode,Update AWC Location in Online Mode
Registration of Beneficiaries and Daily Tracking available in Offline Mode that can store data for 3 days,Registration of Beneficiaries and Daily Tracking available in Offline Mode that can store data for 3 days
Expected Date of Delivery is available in Profile Card of Pregnant Women Category,Expected Date of Delivery is available in Profile Card of Pregnant Women Category
Reproductive and Child Health (RCH) Profile visible for Pregnant Women and Lactating Mother Categories,Reproductive and Child Health (RCH) Profile visible for Pregnant Women and Lactating Mother Categories
Three Dots Option available in all Beneficiary categories-,Three Dots Option available in all Beneficiary categories-
Update Profile,Update Profile
Migrate to Lactating Mother (for Pregnant Women Category),Migrate to Lactating Mother (for Pregnant Women Category)
Add Growth and Nutritional Details,Add Growth and Nutritional Details
Growth Monitoring (for all categories related to Children between 0 month to 6 years),Growth Monitoring (for all categories related to Children between 0 month to 6 years)
Add Vaccination Details,Add Vaccination Details
Beneficiary Dead,Beneficiary Dead
"Time Stamp available for  Newly Registered Beneficiaries, Profile Updation/ Growth Monitoring of Beneficiaries","Time Stamp available for  Newly Registered Beneficiaries, Profile Updation/ Growth Monitoring of Beneficiaries"
Beneficiaries status change notification in the bell icon-,Beneficiaries status change notification in the bell icon-
Migrated from one category to another,Migrated from one category to another
Beneficiary record becoming inactive,Beneficiary record becoming inactive
AWC Infra removed from Application and added to Master List of the Poshan Tracker Dashboard,AWC Infra removed from Application and added to Master List of the Poshan Tracker Dashboard
Current Month and Monthly Reports available for download in CSV and/or PDF Format,Current Month and Monthly Reports available for download in CSV and/or PDF Format
59pm) as well as Day minus 3 (to let offline data sync).,59pm) as well as Day minus 3 (to let offline data sync).
Beneficiaries,Beneficiaries
Measuring Efficiency,કાર્યક્ષમતા માપવી
AWC Daily Monitoring,AWC Daily Monitoring
AWC Operational Status,AWC Operational Status
"Home Visit, and","Home Visit, and"
Supplementary Nutrition (THR),Supplementary Nutrition (THR)
"Monthly Reports of Supplementary Nutrition provided for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years available with Hyperlinks accessible till AWC level","Monthly Reports of Supplementary Nutrition provided for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years available with Hyperlinks accessible till AWC level"
Anaemia Report available for Pregnant Women and Lactating Mothers on a Monthly basis,Anaemia Report available for Pregnant Women and Lactating Mothers on a Monthly basis
Adolescent Girls Report accessible for Aspirational Districts with Hyperlinks accessible till AWC level,Adolescent Girls Report accessible for Aspirational Districts with Hyperlinks accessible till AWC level
"AWC details on Workers, Helpers and their Incentives, Infrastructure, Events, Home Visits and Measuring Efficiency available on a Monthly basis","AWC details on Workers, Helpers and their Incentives, Infrastructure, Events, Home Visits and Measuring Efficiency available on a Monthly basis"
"Supplementary Nutrition Projection available for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years as well as SAM Children (6 months to 5 years)","Supplementary Nutrition Projection available for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years as well as SAM Children (6 months to 5 years)"
"Detailed Growth Monitoring Report available for all health indicators with Hyperlinks accessible till AWC level- Stunting, Wasting and Underweight (for 0-5 Years Category Children) and, Stunting and Underweight (5-6 Years Category Children)","Detailed Growth Monitoring Report available for all health indicators with Hyperlinks accessible till AWC level- Stunting, Wasting and Underweight (for 0-5 Years Category Children) and, Stunting and Underweight (5-6 Years Category Children)"
Children Count available till-,Children Count available till-
Low Birth Weight of Children between 0-6 months,Low Birth Weight of Children between 0-6 months
Measuring Efficiency for Children between 0-6 years and Health Status of Children between 0-5 years,Measuring Efficiency for Children between 0-6 years and Health Status of Children between 0-5 years
Beneficiary details available about their Issue Redressal and Activity (till AWC level) as well as Total Registered Active Beneficiary Count (State level),Beneficiary details available about their Issue Redressal and Activity (till AWC level) as well as Total Registered Active Beneficiary Count (State level)
Status of AWCs registered with Poshan Tracker Application and their reporting status available at State level,Status of AWCs registered with Poshan Tracker Application and their reporting status available at State level
Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness
Growth Monitoring Charts,Growth Monitoring Charts
Learning Videos available for all Categories,Learning Videos available for all Categories
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે.
How to use Poshan Calculator?,પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?
Select Gender,જાતિ પસંદ કરો
Enter Date of Birth,જન્મ તારીખ દાખલ કરો
Enter Height in centimeter,સેન્ટીમીટરમાં ઊંચાઈ દાખલ કરો
Enter Weight in kilogram,કિલોગ્રામમાં વજન દાખલ કરો
Click on Show Results,પરિણામો બતાવો પર ક્લિક કરો
Gender,લિંગ
*,*
Boy,છોકરો
Girl,છોકરી
Date of Birth,જન્મ તારીખ
*,*
Height (CM),ઊંચાઈ (સે.
*,મી)
*Height should be between 38 to 150,*
CM,*ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ
Weight (KG),સે.
*,મી
*Weight should be between 0.90 to 58,વજન (કિલો)
KG,*
Show Results,*વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ
ABHA (Health ID) and its Benefits,કિલો
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,પરિણામો દર્શાવો
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (હેલ્થ ID) અને તેના ફાયદા
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.",ABHA (અગાઉ હેલ્થ ID તરીકે ઓળખાતું) એ આયુષ્માન ભારત હેલ્થ એકાઉન્ટનું ટૂંકું નામ છે.
Know More,ABHA (હેલ્થ ID) નો ઉપયોગ કરવો એ તમારા અને તમારા પરિવાર માટે સુરક્ષિત અને કાર્યક્ષમ ડિજિટલ હેલ્થ રેકોર્ડ બનાવવા તરફનું પ્રથમ પગલું છે.
×,"તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે."
Frequently Asked Questions,વધુ જાણો
ALL,×
BENEFICIARY REGISTRATION,વારંવાર પૂછાતા પ્રશ્નો
Take Home Ration,બધા
Hot Cooked Meal,લાભાર્થી નોંધણી
What is Poshan Abhiyaan?,ઘરે રાશન લો
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",ગરમ રાંધેલું ભોજન
What is the purpose of Launching Poshan Tracker?,પોશણ અભિયાન એટલે શું?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?
How can one Download Poshan Tracker App?,"પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે."
Poshan Tracker App is available over Google playstore,"સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ."
https://play. google. com/store/apps/details?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?
id=com. poshantracker,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર
Is poshan trackers app available over Apple I Store also?,https://play. google. com/store/apps/details?
"No, Poshan Tracker is available only for Android version",id=com. poshantracker
What is the minimum requirement to install Poshan Tracker App in mobile?,પર ઉપલબ્ધ છે.
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?
View All FAQs,"ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે."
Can a beneficiary register directly using application.,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?
Currently a beneficiary can register by the help of an AWW,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.
Who is a beneficiary?,તમામ FAQs જુઓ
There are 6 categories for beneficiaries,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.
Pregnant Women,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે
Lactating Mother,લાભાર્થી કોણ છે?
Children from 0 to 6 months,લાભાર્થીઓ માટે 6 શ્રેણીઓ છે
Children from 6 months to 3 years,સગર્ભા સ્ત્રીઓ
Children from 3 years to 6 years,સ્તનપાન કરાવતી માતા
Adolescent girls,0 થી 6 મહિનાના બાળકો
Can a beneficiary change his/her AWC?,6 મહિનાથી 3 વર્ષ સુધીના બાળકો
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,3 વર્ષથી 6 વર્ષ સુધીના બાળકો
What is the eligibility of a beneficiary?,કિશોરવયની છોકરીઓ
A beneficiary is eligible for THR for at least 21 days in a month.,શું લાભાર્થી તેનું AWC બદલી શકે છે?
Who is eligible for Take Home Ration?,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",લાભાર્થીની લાયકાત શું છે?
Where can I enquire about take home ration?,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.
Please contact your respective Anganwadi worker.,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?
Who is eligible for additional supplementary food.,"સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ."
Children who are identified as deficit on nutrition are eligible for additional food supplements.,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?
What is the eligibility of a beneficiary?,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.
A beneficiary is eligible for HCM for at least 21 days in a month.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.
Who is eligible for Hot Cooked Meal?,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
Children in the age group of 3 years to 6 years,લાભાર્થીની લાયકાત શું છે?
Where can I enquire about Hot Cooked Meal?,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.
Please contact your respective Anganwadi Centre.,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?
Who is eligible for additional supplementary food?,3 વર્ષથી 6 વર્ષની વયના બાળકો
Children who are identified as deficit on nutrition are eligible for additional food supplements.,હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?
We are now available on Video Conference,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.
State Video Conference,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?
Monday to Friday,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
4:15 PM to 5:15 PM,અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ
Join Now,સ્ટેટ વીડિયો કોન્ફરન્સ
Anganwadi Worker Training,સોમવાર થી શુક્રવાર
Monday to Friday,4:15 PM to 5:15 PM
3:00 PM to 4:00 PM,હવે જોડાઓ
Join Now,આંગણવાડી કાર્યકર્તા તાલીમ
×,સોમવાર થી શુક્રવાર
Support,3:00 PM to 4:00 PM
14408,હવે જોડાઓ
support-poshantrackr@gov.,×
in,મદદ
Download Mobile App,14408
Powered By,support-poshantrackr@gov.
About,in
Resources,મોબાઈલ એપ ડાઉનલોડ કરો
Dashboard,Powered By
Helpdesk,વિશે
FAQ,સંસાધનો
Poshan Calculator,ડેશબોર્ડ
Terms of Service,હેલ્પડેસ્ક
Privacy Policy,વારંવાર પૂછાતા પ્રશ્નો
Careers,પોષણ કેલ્ક્યુલેટર
Copyright@2023  Poshan Tracker.,સેવાની શરતો
All rights reserved,પ્રાઇવસી પોલિસી
You need to enable JavaScript to run this app.,કારકિર્દ
Poshan Helpline:,Copyright@2023  Poshan Tracker.
14408,All rights reserved
JanAndolan,You need to enable JavaScript to run this app.
ABHA (Health ID),Poshan Helpline:
Language,14408
English,JanAndolan
हिंदी,ABHA (હેલ્થ ID)
ગુજરાતી,ભાષા
મરાઠી,English
ಕನ್ನಡ,हिंदी
മലയാളം,ગુજરાતી
தமிழ்,મરાઠી
తెలుగు,ಕನ್ನಡ
বাংলা,മലയാളം
অসমীয়া,தமிழ்
ਪੰਜਾਬੀ,తెలుగు
ଓଡ଼ିଆ,বাংলা
नेपाली,অসমীয়া
डोगरी,ਪੰਜਾਬੀ
कोंकणी,ଓଡ଼ିଆ
सिंधी,नेपाली
बोडो,डोगरी
मैथिली,कोंकणी
মণিপুরী,सिंधी
संथाली,बोडो
اردو,मैथिली
کٲشُر,মণিপুরী
About,संथाली
Resources,اردو
Resources,کٲشُر
Vaccination Schedule,વિશે
Dashboard,સંસાધનો
Dashboard,સંસાધનો
Mission Utkarsh,રસીકરણ શેડ્યૂલ
Helpdesk,ડેશબોર્ડ
Beneficiary Redressal,ડેશબોર્ડ
State Helpdesk,Mission Utkarsh
FAQ,હેલ્પડેસ્ક
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,રાજ્ય હેલ્પડેસ્ક
About Poshan Tracker,વારંવાર પૂછાતા પ્રશ્નો
About,લાભાર્થી અસંતોષ નિવારણ
Poshan Tracker App,પ્રવેશ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.",પોશન ટ્રેકર વિશે
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.",About
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,પોશન ટ્રેકર એપ
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,"‘પોશન ટ્રેકર’ એ મોબાઈલ આધારિત એપ્લિકેશન છે જે 1લી માર્ચ 2021ના રોજ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા નેશનલ ઈ-ગવર્નન્સ ડિવિઝન (NeGD), MyGov દ્વારા એક મહત્વપૂર્ણ ગવર્નન્સ ટૂલ તરીકે બહાર પાડવામાં આવી છે."
Services availed by,"પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે."
Beneficiaries at Anaganwadi Center,પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે.
Take Home Ration,પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે.
Hot Cooked Meal,Services availed by
Morning Snacks,Beneficiaries at Anaganwadi Center
Nutrition and,ઘરે રાશન લો
Health checkup,ગરમ રાંધેલું ભોજન
WHAT ARE,Morning Snacks
Poshan Tracker Features,Nutrition and
Real time recording and Monitoring,Health checkup
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,શું છે
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,પોશન ટ્રેકરની વિશેષતાઓ
"The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.",રીઅલ ટાઇમ રેકોર્ડિંગ અને મોનીટરીંગ
The public dashboard helps to impart transparency on services delivered to beneficiaries.,પોશન ટ્રેકર નિર્ધારિત સૂચકાંકો પર તમામ AWC અને લાભાર્થીઓનું રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગ સક્ષમ કરે છે.
Services Delivered,તે કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ ટેક્નોલોજી સિસ્ટમ્સ સાથે પણ ગોઠવે છે.
Tracking of services to the end beneficiary at a click of a button.,"ઉદ્દેશ્ય આંગણવાડી કેન્દ્ર (AWC) ની પ્રવૃત્તિઓ, આંગણવાડી કાર્યકરો (AWWs) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી વ્યવસ્થાપનનો 360-ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે."
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.",સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે.
Growth Measurement,સેવાઓ વિતરિત
Children of different age groups are monitored on monthly basis by AWWs.,એક બટનના ક્લિક પર અંતિમ લાભાર્થી સુધીની સેવાઓનું ટ્રેકિંગ.
