en,mni
Mobile number need to be validated within a week,মোবাইল নম্বর চয়োল অমগী মনুংদা ভেলিদেট তৌবা মথৌ তাই
Anganwadi Worker profile page,আঙ্গনৱাদী ৱাৰ্করগী প্রোফাইল পেজ
Stunting and Underweight Growth Parameters,চাউজন থীবা অমসুং অরুম্বা শুদবগী গ্রোথ পেরামিটরশিং
Beneficiaries status change notifications,বেনিফিসরীশিংগী ষ্টেটস হোংদোকপগী নোটিফিকেসনশিং
Migrated from one category to another,কেটগোরী অমদগী অতোপ্পা অমদা মফম হোংদোক্লে
Beneficiary record becoming inactive,বেনিফিসরী রেকোর্দ ইনএক্টিব ওইরে
Beneficiary migration from one AWC to another AWC,AWC অমদগী অতোপ্পা AWC অমদা বেনিফিসরী মফম হোংদোকপা
Beneficiary deletion by AWW,AWW না বেনিফিসরী দিলিট তৌবা
Default language selection,দিফোল্ট লোল খনবা
"Beneficiary concerns accessibility to AWW, along with status update once resolved","বেনিফিসরীনা AWW গী এক্সেসিবিলিটীগী মরমদা খল্লী, রিজোল্ব তৌখিবা ষ্টেটস অপদেটকা লোয়ননা"
Growth monitoring report for all health indicators,হেল্থ ইন্দিকেটর পুম্নমক্কী গ্রোথ মোনিটরিং রিপোর্ট
Application downloaded status by AWW,AWW না এপ্লিকেসন দাউনলোদ তৌবগী ষ্টেটস
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,বেনিফিসরী মশীংগী রিপোর্ট : ইনএক্টিব ওইরিবা রেকোর্দশিংগী মশিং অমসুং কেটগোরী অমদগী অতোপ্পা অমদা মফম হোংদোক্লিবা রেকোর্দশিংগী মশিং
Resources for growth monitoring and general awareness,গ্রোথ মোনিটরিং অমসুং জেনরেল এৱারনেসকী ওইবা রিসোর্সশিং
Growth monitoring charts,গ্রোথ মোনিটরিং চার্টশিং
New beneficiary addition with skip OTP option,স্কিপ OTP ওপসনগা লোয়ননা অনৌবা বেনিফিসরী হাপচিনবা
Mobile number need to be validated within a week,মোবাইল নম্বর চয়োল অমগী মনুংদা ভেলিদেট তৌবা মথৌ তাই
Anganwadi Worker profile page,আঙ্গনৱাদী ৱাৰ্করগী প্রোফাইল পেজ
Stunting and Underweight Growth Parameters,চাউজন থীবা অমসুং অরুম্বা শুদবগী গ্রোথ পেরামিটরশিং
Beneficiaries status change notifications,বেনিফিসরীশিংগী ষ্টেটস হোংদোকপগী নোটিফিকেসনশিং
Migrated from one category to another,কেটগোরী অমদগী অতোপ্পা অমদা মফম হোংদোক্লে
Beneficiary record becoming inactive,বেনিফিসরী রেকোর্দ ইনএক্টিব ওইরে
Beneficiary migration from one AWC to another AWC,AWC অমদগী অতোপ্পা AWC অমদা বেনিফিসরী মফম হোংদোকপা
Beneficiary deletion by AWW,AWW না বেনিফিসরী দিলিট তৌবা
Default language selection,দিফোল্ট লোল খনবা
"Beneficiary concerns accessibility to AWW, along with status update once resolved","বেনিফিসরীনা AWW গী এক্সেসিবিলিটীগী মরমদা খল্লী, রিজোল্ব তৌখিবা ষ্টেটস অপদেটকা লোয়ননা"
Growth monitoring report for all health indicators,হেল্থ ইন্দিকেটর পুম্নমক্কী গ্রোথ মোনিটরিং রিপোর্ট
Application downloaded status by AWW,AWW না এপ্লিকেসন দাউনলোদ তৌবগী ষ্টেটস
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,বেনিফিসরী মশীংগী রিপোর্ট : ইনএক্টিব ওইরিবা রেকোর্দশিংগী মশিং অমসুং কেটগোরী অমদগী অতোপ্পা অমদা মফম হোংদোক্লিবা রেকোর্দশিংগী মশিং
Resources for growth monitoring and general awareness,গ্রোথ মোনিটরিং অমসুং জেনরেল এৱারনেসকী ওইবা রিসোর্সশিং
Growth monitoring charts,গ্রোথ মোনিটরিং চার্টশিং
Poshan Calculator,পোশন কেলক্যুলেতর
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,পোশন কেলক্যুলেতর অসি ৱর্ল্দ হেল্থ ওর্গনাইজেসন (দবল্যু.ঐচ.ও.)না পীবা সেন্দর্দশিংদা য়ুম্ফম ওইরগা অঙাংগী শাহৌ ওন্নবা দিজাইন তৌই.
How to use Poshan Calculator?,পোশন কেলক্যুলেতর করম্না শীজিন্নগনি?
Select Gender,জেন্দর খনবীয়ু
Enter Date of Birth,পোকপগী তাং হাপ্পু
Enter Height in centimeter,অৱাংবা অদু সেন্তিমিতরদা হাপ্পু
Enter Weight in kilogram,অরুম্বা অদু কিলোগ্রামদা হাপ্পু
Click on Show Results,শো রিজল্তসতা নম্মু
Gender ,জেন্দর 
*,*
Boy,নুপামচা
Girl,নুপীমচা
Date of Birth ,পোকপগী তাং 
*,*
Height (CM) ,অৱাংবা (সে.মি.) 
*,*
*Height should be between 38 to 150,*অৱাংবা 38 দগী 150 ফাউবগী মনুংদা ওইগদবনি
CM,সে.মি.
Weight (KG) ,অরুম্বা (কে.জি.) 
*,*
*Weight should be between 0.90 to 58,*অরুম্বা 0.98 দগী 58 ফাউবগী মনুংদা ওইগদবনি
KG,কে.জি.
Show Results,ফলশিং উৎপীয়ু
ABHA (Health ID) and its Benefits,এ.বি.ঐচ.এ. (হেল্থ আই.দি.) অমসুং মসিগী কান্নবশিং
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,এ.বি.ঐচ.এ. (মমাংদা হেল্থ আই.দি. হায়না খঙনরম্বা) অসি আয়ুশ্মান ভারত হেল্থ একাউন্তগী ৱাহৈগী অহৌবা শমজিন্দুনা শেম্বা ৱাহৈ অমনি।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,এ.বি.ঐচ.এ. (হেল্থ আই.দি.) শীজিন্নবা অসি অদোম অমদি অদোমগী ইমুং-মনুংগীদমক শাফবা অমসুং কান্নরবা দিজিতেল হেল্থ রেকোর্দশিং শেম্নবা মাইকৈদা চংশিল্লিবা অহানবা খোঙথাংনি।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","মসিনা অদোমগা শরুক য়ারিবা হেল্থক্যের প্রোভাইদরশিংগা ৱারী শাবা ফংহল্লি, অমসুং শকখঙলবা হেল্থক্যের প্রোফেস্নেল অমসুং হেল্থ সর্ভিসেস প্রোভাইদরশিংদগী অদোমগী দিজিতেল লেব রিপোর্তশিং, প্রেস্ক্রিপ্সনশিং অমসুং দাইগনোসিস অপনবা লৈতনা ফংবা য়াহল্লি।"
Know More,অহেনবা খঙবীয়ু
×,×
Frequently Asked Questions,তোয়না হংবা ৱাহংশিং
ALL,পুম্নমক
BENEFICIARY REGISTRATION,বেনিফিসরী রেজিস্ত্রেসন
Take Home Ration,তেক হোম রাসন
Hot Cooked Meal,হোৎ কুক মীল
What is Poshan Abhiyaan?,পোশন অভিয়ান হায়বসি করিনো?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পোশন অভিয়ান হায়বসি অঙাংশিং, ইনখৎলক্লিবশিং, মীরোনবীশিংগী ন্যুত্রিসনেল আউটকমশিং ফগৎহন্নবগী ইন্দিয়াগী ফ্লেগশিপ প্রোগ্রামনি।"
What is the purpose of Launching Poshan Tracker?,পোশন ত্রেক্কর হৌদোকপগী মরম করিনো?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","পোশন ত্রেক্কর এপ্লিকেসনগী পান্দমদি আঙ্গনৱাদি সেন্টরগী (এ.দবলিয়ু.সি) থবক-থৌরমশিং, আঙ্গনৱাদি ৱাৰ্করশিংনা (এ.দবলিয়ু.দবলিয়ুশিং) পীরিবা সর্ভিসশিং অমসুং মীরোনবী নুপীশিং, খোম্লাং ইল্লিবী মমাশিং অমসুং অঙাংশিংগী মপুংফাবা বেনিফিসরি মেনেজমেন্টকী 360-দিগ্রি ভিয়ু অমা পীবনি। পান্দম্লিবা সিষ্টেম অসিনা এ.দবলিয়ু.সি, এ.দবলিয়ু.দবলিয়ু অমসুং বেনিফিসরি পুম্নমকপু, তাক্লিবা ইন্দিকেটরশিংদা রিএল-টাইমদা মোনিটর অমসুং ত্রেক তৌবা ঙমহনগনি।"
How can one Download Poshan Tracker App?,কমদৌনা মীওই অমনা পোশন ত্রেক্কর এপ দাউনলোদ তৌগদগে?
Poshan Tracker App is available over Google playstore ,পোশন ত্ৰেক্কর এপ অসি গুগল প্লেষ্টোরদা ফংবীগনি 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,পোশন ত্রেক্কর এপ অসি এপল আই ষ্টোরদসু ফংব্রা?
"No, Poshan Tracker is available only for Android version","ফংদে, পোশন ত্রেক্কর অসি এন্দ্রোইদ ভর্সনখক্কী ওইনা ফংই।"
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলদা পোশন ত্রেক্কর এপ ইনষ্টোল তৌনবগী তঙাইফদবা মথৌ তাবশিংদু করিনো?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পোশন ত্রেক্কর এপ অসি এন্দ্রোইদ ভর্সন 6.0 অমদি মসিগী মথক্কী এন্দ্রোইদ ফোনখক্তদা ইনষ্টোল তৌবা য়াই।
View All FAQs,FAQ পুম্নমক য়েংবীয়ু
Can a beneficiary register directly using application.,এপ্লিকেসন শীজিন্নদুনা বেনিফিসরী অমনা হকথেংননা রেজিস্তর তৌবা য়াবরা।
Currently a beneficiary can register by the help of an AWW,এ.দবল্যু.দবল্যু. অমগী মতেং লৌদুনা হৌজিক্কী ওইনা বেনিফিসরী অমনা রেজিস্তর তৌবা য়াই
Who is a beneficiary?,বেনিফিসরী অমা হায়বা অসি কনানো?
There are 6 categories for beneficiaries,বেনিফিসরীশিংগী কেতগোরী 6 লৈ
Pregnant Women,মীরোনবী নুপী
Lactating Mother,খোমজিংলিবী মমা
Children from 0 to 6 months,থা 0 দগী 6 কী অঙাংশিং
Children from 6 months to 3 years,থা 6 তগী চহি 3 গী অঙাংশিং
Children from 3 years to 6 years,চহি 3 দগী চহি 6 কী অঙাংশিং
Adolescent girls,এদোলেস্সেন্ত নুপীমচাশিং
Can a beneficiary change his/her AWC?,বেনিফিসরী অমনা মহাক্কী এ.দবল্যু.সি. শিন্দোকপা য়াবরা?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,এ.দবল্যু.দবল্যু. অমনা বেনিফিসরী অমবু মখোয়গী আধার নম্বরদা য়ুম্ফম ওইরগা এ.দবল্যু.সি. অমদগী এ.দবল্যু.সি. অমদা মাইগ্রেৎ তৌনবা ‘মাইগ্রেৎ বেনিফিসরী’ ওপ্সন শীজিন্নবা য়াই।
What is the eligibility of a beneficiary?,বেনিফিসরী অমগী ইলিজিবিলিতী অসি করিনো?
A beneficiary is eligible for THR for at least 21 days in a month.,বেনিফিসরী অমনা থা অমদা য়ামদ্রবদা নুমিৎ 21গী তি.ঐচ.আর.গীদমক ইলিজিবল ওই।
Who is eligible for Take Home Ration?,তেক হোম রাসনগীদমক কনা ইলিজিবল ওইবগে?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","মীরোনবী নুপীশিং, খোমজিংলিবী মমাশিং, থা 6 তগী চহি 3 গী অঙাংশিং অমসুং এদোলেস্সেন্ত নুপীমচাশিং।"
Where can I enquire about take home ration?,তাক হোম রাসনগী মতাংদা ঐহাক্না কনাদা হংগনি?
Please contact your respective Anganwadi worker.,অদোমগী মরী লৈনবা অঙ্গনৱাদী ৱার্করদা পাউ ফাওবীয়ু।
Who is eligible for additional supplementary food.,অহেনবা সপ্লিমেন্তরী ফুদকীদমক কনা ইলিজিবল ওইবগে।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ন্যুত্রিসনগী অৱাৎপা লৈ হায়না মশক খঙদোক্লবা অঙাংশিংনা অহেনবা ফুদ সপ্লিমেন্তশিং ফংনবগীদমক ইলিজিবল ওই।
What is the eligibility of a beneficiary?,বেনিফিসরী অমগী ইলিজিবিলিতী অসি করিনো?
A beneficiary is eligible for HCM for at least 21 days in a month.,বেনিফিসরী অমনা থা অমদা য়ামদ্রবদা নুমিৎ 21গী ঐচ.সি.এম.গীদমক ইলিজিবল ওই।
Who is eligible for Hot Cooked Meal?,হোৎ কুক মীলগীদমক কনা ইলিজিবল ওইবগে?
Children in the age group of 3 years to 6 years,চহি 3 দগী চহি 6 কী চহি কাংলুপকী অঙাংশিং।
Where can I enquire about Hot Cooked Meal?,হোৎ কুক মীলগী মতাংদা ঐহাক্না কনাদা হংগনি?
Please contact your respective Anganwadi Centre.,অদোমগী মরী লৈনবা অঙ্গনৱাদী সেন্তরদা পাউ ফাওবীয়ু।
Who is eligible for additional supplementary food?,অহেনবা সপ্লিমেন্তরী ফুদকীদমক কনা ইলিজিবল ওইবগে?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ন্যুত্রিসনগী অৱাৎপা লৈ হায়না মশক খঙদোক্লবা অঙাংশিংনা অহেনবা ফুদ সপ্লিমেন্তশিং ফংনবগীদমক ইলিজিবল ওই।
We are now available on Video Conference,হৌজিক্তি ঐখোয় ভিদিও কনফরেন্সতা ফংলগনি
State Video Conference,ষ্টেট ভিদিও কনফরেন্স
Monday to Friday ,নিংথৌকাবদগী ইরাই ফাউবা 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,হৌজিক য়াওশিনবীয়ু
Anganwadi Worker Training,আঙ্গনৱাদী ৱাৰ্কর ত্রেনিং
Monday to Friday ,নিংথৌকাবদগী ইরাই ফাউবা 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,হৌজিক য়াওশিনবীয়ু
×,×
Support,তেংবাং
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল এপ দাউনলোদ তৌ
Powered By,Powered By
About,মরমদা
Resources,রিসোর্সশিং
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Terms of Service,সর্ভিসকী কাংলোনশিং
Privacy Policy,প্রাইবেসী পোলিসী
Careers,কেরিয়রশিং
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
About Poshan Tracker,পোশন ত্রেকরগী মরমদা
About,About
Poshan Tracker App,পোশন ত্রেকর এপ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","‘পোশন ত্রেকর’ অঅসি মরু ওইবা গভর্নান্স তুল অমা ওইনা নেস্নেল ই-গভর্নসন্স দিবিজন (এন.ই.জি.দি.), মাইগোবকী খুত্থাংদা মার্চ 1, 2021দা ভারত সরকারগী নুপী অমসুং অঙাংগী চাউখৎ-থৌরাং মন্ত্রালয়না রোল আউত তৌখিবা মোবাইল বেজ এপ্লিকেসন অমনি। পোশন ত্রেকরগী মখাদা তেক্নোলোজী অসি অঙাংশিংংগী মরক্তা স্তন্তিং, ৱেস্তিং, অন্দর-ৱেথ ওইবশিং দাইনামিক ওইনা মশক খঙদোক্নবা অমসুং ন্যুত্রিসন সর্ভিস দেলিভরীগী লাস্ত মাইল ত্রেকিং তৌনবা শীজিন্নরিবা।."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,পোশন ত্রেকর অসি অঙ্গনৱাদী ৱার্করনা হোৎনরিবশিং অদু তাকপগা লোয়ননা সর্ভিসশিং নীংথিনা দেলিভরী তৌহন্নবা মখোয়গী জোব-এদ অমনি। মসি এনলাইতিক্সকা লোয়ননা রিএল তাইম দেতা প্রোমোৎ তৌগদবা পোশন অভিয়ানগী মখাদা মরু ওইবা অমদি বেনিফিসরী-সেন্ত্রিক সর্ভিস দেলিভরী এপ্লিকেসন অমনি।.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,তেক হোম রাসন
Hot Cooked Meal,হোৎ কুক মীল
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,মসি করিনো
Poshan Tracker Features,পোশন ত্রেকরগী মওং-মতৌশিং
Real time recording and Monitoring,রিএল তাইম রেকোর্দিং অমসুং মোনিতরিং
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","পোশন ত্রেকরনা অপীবা ইন্দিকেতরশিংদা এ.দবল্যু.সি. অমসুং বেনিফিসরী পুম্নমক্কী রিএল-তাইম মোনিতরিং অমসুং ত্রেকিং তৌবা ঙমহল্লি। মসিনা অতোপ্পা মন্ত্রালয় অমসুং প্রোগ্রামশিংগী দিজিতেল তেক্নোলোজী সিস্তেমশিংগা লোয়ননা মান্নবা সেন্ত্রেলাইজ দেতা আর্কিতেকচর শীজিন্নৈ। মসিগী পান্দমদি অঙ্গনৱাদী সেন্তর (এ.দবল্যু.সি.)গী থবক-থৌরমশিং, অঙ্গনৱাদী ৱার্করশিং (এ.দবল্যু.দবল্যু.শিং)গী সর্ভিস দেলিভরীশিং অমসুং মীরোনবী নুপীশিং, খোমজিংলিবী মমাশিং অমসুং অঙাংশিগী মপুং ফাবা বেনিফিসরী মেনেজমেন্তগী 360-দিগ্রী ভ্যু অমা ফংহনবনি। পব্লিক দেশবোর্দনা বেনিফিসরীশিংদা সর্ভিসশিং ফংহনবদা ত্রান্সপরেন্সী লৈহনবদা মতেং পাংলি।."
Services Delivered,ফংহনখিবা সর্ভিসশিং
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","অরোইবা বেনিফিসরী ফাওবদা পীখিবা সর্ভিসশিং বত্তন অমদা নম্বদা ত্রেক তৌবা য়াহল্লি। তেক হোম রাসন (তি.ঐচ.আর.) অমসুং হোৎ কুক মীল (ঐচ.সি.এম.), নৌনা পোকপদা ঙাইরিবা অঙাংশিং অমসুং মীরোনবী মমাশিংগী তীকা থাদোকপা অসিগুম্বা সর্ভিসশিং."
Growth Measurement,গ্রোথ ওনবা
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","তোঙান-তোঙানবা চহি কাংলুপকী অঙাংশিং অসি থা-থাগী ওইনা এ.দবল্যু.দবল্যু,শিংনা য়েংশিল্লি। দবল্যু.ঐচ.ও.গী স্তেন্দর্দশিংগী মতুং ইন্না স্তন্তিং, ৱেস্তিং অমসুং অন্দরৱেথ ওইবা অসিগুম্বা হেল্থ ইন্দিকেতরশিং ওল্লি। চাং নাইনা গ্রোথ য়েংশিনবা অসিনা এ.দবল্যু.দবল্যু.শিংনা অঙাংশিংদা মরী লৈনবা অমসুং মতম চানা তেংবাং পীবদা মতেং পাংই."
Home Visit Alerts,হোম বিজিৎকী এলর্তশিং
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.",পোশন ত্রেকরনা ক্রিতিকেল লাস্ত-মাইল বেনিফিসরীশিংদা ওতোমেতেদ এলর্তশিং থারি। মসিনা বেনিফিসরীশিং অমসুং দ্যুতী বিয়র্রশিংগী রিএল তাইম এতেন্দেন্স দোক্যুমেন্ত তৌদুনা দেলিভরী সিস্তেম নীংথিনা ওদিৎ তৌহল্লি। মসিগী মেনেজমেন্ত ইনফোর্মেসন সিস্তেম অসিনা ন্যুত্রিসন প্রোগ্রাম নীংথিনা স্কেল তৌবদা মতেং পাংদুনা পোজিতিব ইম্পেক্ত জেনরেৎ অমসুং দোক্যুমেন্ত তৌরি।.
Support,তেংবাং
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল এপ দাউনলোদ তৌ
Powered By,Powered By
About,মরমদা
Resources,রিসোর্সশিং
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Terms of Service,সর্ভিসকী কাংলোনশিং
Privacy Policy,প্রাইবেসী পোলিসী
Careers,কেরিয়রশিং
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
Resources,রিসোর্সশিং
Learning Videos,তমশিন্নবা ভিদিওশিং
❮,❮
How to take care of weak newborn with the help of Kangaroo Mother Care,কেঙ্গারু মাদর ক্যেরগী মতেংগা লোয়ননা মশা শোনবা নৌনা পোকপা অঙাংশিং করম্না য়েংশিনগনি
Preventing illnesses to avert Malnutrition and Death,মালন্যুত্রিসন অমসুং শীবা-নাবা থোক্তনবা লাইনা-তিন্না ঙাকথোকপা
Prevention of Anemia in children and adolescents girls,অঙাংশিং অমসুং এদোলেস্সেন্ত নুপীমচাশিংদা এনেমিয়া ঙাকথোকপা
Birth Preparedness- For Institutional and Home Delivery,অঙাং উন্নবা শেম-শাবা – লোইশঙ অমসুং য়ুমদা অঙাং উন্নবগী
Care of the weak newborn baby - How many weak babies are we missing?,মশা শোনবা পোকপদা ঙাইরিবা অঙাং য়েংশিনবা – ঐখোয়না মশা শোনবা অঙাং কয়া য়েংশিনবা ঙমহৌদবগে?
Feeding During Illness,নারিঙৈদা মপুক পীথকপা
Preparation During Pregnancy - For NewBorn Care & Family Planning,মীরোল্লিঙৈ মনুংদা শেম-শাবা – নৌনা পোকপা অঙাং য়েংশিনবা অমসুং ফেমিলী প্লান্নিংগীদমক
