en,ur
Anganwadi Worker profile page,آنگن واڑی ورکر پروفائل پیج
Stunting and Underweight Growth Parameters,سٹنٹنگ اور کم وزن میں اضافے کے پیرامیٹرز
Beneficiaries status change notifications,فائدہ اٹھانے والوں کی حیثیت میں تبدیلی کی اطلاعات
Migrated from one category to another,ایک زمرے سے دوسرے زمرے میں منتقل ہوئے۔
Beneficiary record becoming inactive,فائدہ اٹھانے والوں کا ریکارڈ غیر فعال ہو رہا ہے۔
Beneficiary migration from one AWC to another AWC,فائدہ اٹھانے والوں کی ایک AWC سے دوسری AWC میں منتقلی
Beneficiary deletion by AWW,AWW کے ذریعے فائدہ اٹھانے والے کو حذف کرنا
Default language selection,پہلے سے طے شدہ زبان کا انتخاب
"Beneficiary concerns accessibility to AWW, along with status update once resolved","فائدہ اٹھانے والے کو AWW تک رسائی کا خدشہ ہے۔, حل ہونے کے بعد اسٹیٹس اپ ڈیٹ کے ساتھ"
Growth monitoring report for all health indicators,صحت کے تمام اشاریوں کے لیے گروتھ مانیٹرنگ رپورٹ
Application downloaded status by AWW,AWW کے ذریعہ ایپلیکیشن ڈاؤن لوڈ کی گئی حیثیت
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,فائدہ اٹھانے والوں کی گنتی کی رپورٹ : غیر فعال ہونے والے ریکارڈز کی تعداد اور ایک زمرے سے دوسرے میں منتقل ہونے والے ریکارڈز کی تعداد
Resources for growth monitoring and general awareness,ترقی کی نگرانی اور عمومی آگاہی کے لیے وسائل
Growth monitoring charts,نمو کی نگرانی کے چارٹس
New beneficiary addition with skip OTP option,لیو ون ٹائم پاس ورڈ آپشن کے ساتھ نیا فائدہ اٹھانے والوں کا اضافہ
Mobile number need to be validated within a week,ایک ہفتے کے اندر موبائل نمبر کی توثیق کرنے کی ضرورت ہے۔
Anganwadi Worker profile page,آنگن واڑی ورکر پروفائل پیج
Stunting and Underweight Growth Parameters,سٹنٹنگ اور کم وزن میں اضافے کے پیرامیٹرز
Beneficiaries status change notifications,فائدہ اٹھانے والوں کی حیثیت میں تبدیلی کی اطلاعات
Migrated from one category to another,ایک زمرے سے دوسرے زمرے میں منتقل ہوئے۔
Beneficiary record becoming inactive,فائدہ اٹھانے والوں کا ریکارڈ غیر فعال ہو رہا ہے۔
Beneficiary migration from one AWC to another AWC,فائدہ اٹھانے والوں کی ایک AWC سے دوسری AWC میں منتقلی
Beneficiary deletion by AWW,AWW کے ذریعے فائدہ اٹھانے والے کو حذف کرنا
Default language selection,پہلے سے طے شدہ زبان کا انتخاب
"Beneficiary concerns accessibility to AWW, along with status update once resolved","فائدہ اٹھانے والے کو AWW تک رسائی کا خدشہ ہے۔, حل ہونے کے بعد اسٹیٹس اپ ڈیٹ کے ساتھ"
Growth monitoring report for all health indicators,صحت کے تمام اشاریوں کے لیے گروتھ مانیٹرنگ رپورٹ
Application downloaded status by AWW,AWW کے ذریعہ ایپلیکیشن ڈاؤن لوڈ کی گئی حیثیت
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,فائدہ اٹھانے والوں کی گنتی کی رپورٹ : غیر فعال ہونے والے ریکارڈز کی تعداد اور ایک زمرے سے دوسرے میں منتقل ہونے والے ریکارڈز کی تعداد
Resources for growth monitoring and general awareness,ترقی کی نگرانی اور عمومی آگاہی کے لیے وسائل
Growth monitoring charts,نمو کی نگرانی کے چارٹس
Poshan Calculator,پوشن کیلکولیٹر
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,پوشن کیلکولیٹر ورلڈ ہیلتھ آرگنائزیشن (ڈبلیو ایچ او) کے بیان کردہ معیارات کی بنیاد پر بچے کی نشوونما کی پیمائش کے لئے ڈیزائن کیا گیا ہے۔.
How to use Poshan Calculator?,پوشن کیلکولیٹر کا استعمال کیسے کریں۔?
Select Gender,صنف منتخب کریں۔
Enter Date of Birth,تاریخ پیدائش درج کریں۔
Enter Height in centimeter,سینٹی میٹر میں اونچائی درج کریں۔
Enter Weight in kilogram,کلوگرام میں وزن درج کریں۔
Click on Show Results,شو کے نتائج پر کلک کریں۔
Gender ,صنف 
*,*
Boy,لڑکا
Girl,لڑکی
Date of Birth ,پیدائش کی تاریخ 
*,*
Height (CM) ,اونچائی (سینٹی میٹر) 
*,*
*Height should be between 38 to 150,*Height should be between 38 to 150
CM,سینٹی میٹر
Weight (KG) ,وزن (کلو) 
*,*
*Weight should be between 0.90 to 58,*Weight should be between 0.90 to 58
KG,کلو
Show Results,نتائج دکھاو
ABHA (Health ID) and its Benefits,ABHA (صحت کا شناختی کارڈ) اور اس کے فوائد
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (پہلے ہیلتھ آئی ڈی کے نام سے جانا جاتا تھا) آیوشمان بھارت ہیلتھ اکاؤنٹ کا مخفف ہے۔
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (شناختی کارڈ) کا استعمال آپ اور آپ کے خاندان کے لیے محفوظ اور موثر ڈیجیٹل ہیلتھ ریکارڈ بنانے کی طرف پہلا قدم ہے۔
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.",یہ شرکت کرنے والے صحت کی دیکھ بھال فراہم کرنے والوں کے ساتھ آپ کے تعامل کو قابل بناتا ہے، اور آپ کو تصدیق شدہ صحت کی دیکھ بھال کے پیشہ ور افراد اور صحت کی خدمات فراہم کرنے والوں سے بغیر کسی رکاوٹ کے اپنی ڈیجیٹل لیب کی رپورٹس، نسخے اور تشخیص حاصل کرنے کی اجازت دیتا ہے۔
Know More,مزید جانیں
×,×
Frequently Asked Questions,اکثر پوچھے گئے سوالات
ALL,تمام
BENEFICIARY REGISTRATION,فائدہ مند رجسٹریشن
Take Home Ration,گھر کا راشن لیں۔
Hot Cooked Meal,گرم پکا ہوا کھانا
What is Poshan Abhiyaan?,پوشن ابھیان کیا ہے ؟
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",پوشن ابھیان بھارت کا ایک اہم منصوبہ ہے جو بچوں نوعمروں کے لئے غذاسے متعلق نتائج کی اصلاح کرتا ہے
What is the purpose of Launching Poshan Tracker?,پوشن ٹریکر کی ابتدا کا مقصد کیا ہے ؟
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",پوشان ٹریکر درخواست کا مقصد آنگن واڑی سنٹر (اے ڈبلیو سی) کی سرگرمیوں کا 360 ڈگری نقطہ نظر ، آنگن واڑی ورکرز (اے ڈبلیو ڈبلیو) کی خدمت کی فراہمی اور حاملہ خواتین ، دودھ پلانے والی ماؤں اور بچوں کے لئے مستفید انتظامیہ کو فراہم کرنا ہے۔ مجوزہ نظام کو طے شدہ اشارے پر تمام AWCs ، AWWs اور مستفید افراد کی اصل وقت کی نگرانی اور ان سے باخبر رہنے کے قابل بنانا چاہئے۔
How can one Download Poshan Tracker App?,کوئی شخص پوشن ٹریکر اپلیکیشن کیسے ڈاون لوڈ کر سکتا ہے ؟
Poshan Tracker App is available over Google playstore ,پوشن ٹریکر اپلیکیشن گوگل پلے استور پر دستیاب ہے 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,کیا پوشن ٹریکر اپلیکیشن اپیل Iاسٹور پر بھی دستئیاب ہے ؟
"No, Poshan Tracker is available only for Android version",جی نہیں، پوشن ٹریکر صرف اینڈروائیڈ کے ورژن میں ہی دستیاب ہے
What is the minimum requirement to install Poshan Tracker App in mobile?,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت کیا ہے ؟
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت اینڈروائیڈ ورژن 6.0 ہونا چاہئے
View All FAQs,تمام اکثر پوچھے گئے سوالات دیکھیں
Can a beneficiary register directly using application.,کیا فائدہ اٹھانے والا درخواست کا استعمال کرکے براہ راست رجسٹر ہوسکتا ہے۔
Currently a beneficiary can register by the help of an AWW,فی الحال ایک مستفید کنندہ AWW کی مدد سے رجسٹر کر سکتا ہے۔
Who is a beneficiary?,فائدہ اٹھانے والا کون ہے؟
There are 6 categories for beneficiaries,فائدہ اٹھانے والوں کے لیے چھ زمرے ہیں۔
Pregnant Women,حاملہ خواتین
Lactating Mother,دودھ پلانے والی ماں
Children from 0 to 6 months,صفر سے چھ ماہ تک کے بچے
Children from 6 months to 3 years,چھ ماہ سے تین سال تک کے بچے
Children from 3 years to 6 years,تین سال سے چھ سال تک کے بچے
Adolescent girls,نوعمر لڑکیاں
Can a beneficiary change his/her AWC?,کیا فائدہ اٹھانے والا اپنا AWC تبدیل کر سکتا ہے؟
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW ایک AWC سے دوسرے AWC میں اس کے آدھار نمبر کی بنیاد پر استفادہ کنندہ کو منتقل کرنے کے لیے 'مائیگریٹ بینیفشری' کا اختیار استعمال کر سکتا ہے۔
What is the eligibility of a beneficiary?,فائدہ اٹھانے والے کی اہلیت کیا ہے؟
A beneficiary is eligible for THR for at least 21 days in a month.,ایک فائدہ اٹھانے والا ایک مہینے میں کم از کم اکیس دن کے لئے ٹی ایچ آر کا اہل ہے۔
Who is eligible for Take Home Ration?,ٹیک ہوم راشن کے لیے کون اہل ہے؟
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",حاملہ خواتین، دودھ پلانے والی مائیں، چھ ماہ سے تین سال تک کے بچے اور نوعمر لڑکیاں۔
Where can I enquire about take home ration?,میں گھر پر راشن لے جانے کے بارے میں کہاں پوچھ سکتا ہوں؟
Please contact your respective Anganwadi worker.,براہ کرم اپنی متعلقہ آنگن واڑی ورکر سے رابطہ کریں۔
Who is eligible for additional supplementary food.,کون اضافی اضافی خوراک کا اہل ہے۔
Children who are identified as deficit on nutrition are eligible for additional food supplements.,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔
What is the eligibility of a beneficiary?,فائدہ اٹھانے والے کی اہلیت کیا ہے؟
A beneficiary is eligible for HCM for at least 21 days in a month.,ایک استفادہ کنندہ مہینے میں کم از کم اکیس دنوں کے لیے HCM کا اہل ہے۔
Who is eligible for Hot Cooked Meal?,گرم پکا ہوا کھانے کے لیے کون اہل ہے؟
Children in the age group of 3 years to 6 years,تین سال سے چھ سال کی عمر کے بچے
Where can I enquire about Hot Cooked Meal?,میں گرم پکے ہوئے کھانے کے بارے میں کہاں پوچھ سکتا ہوں؟
Please contact your respective Anganwadi Centre.,براہ کرم اپنے متعلقہ آنگن واڑی سنٹر سے رابطہ کریں۔
Who is eligible for additional supplementary food?,اضافی اضافی خوراک کے لیے کون اہل ہے؟
Children who are identified as deficit on nutrition are eligible for additional food supplements.,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔
We are now available on Video Conference,اب ہم ویڈیو کانفرنس میں دستیاب ہیں
State Video Conference,ریاستی ویڈیو کانفرنس
Monday to Friday ,پیر سے جمعہ 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,ابھی شامل ہوں
Anganwadi Worker Training,آنگن واڑی ورکرز کی تربیت
Monday to Friday ,پیر سے جمعہ 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,ابھی شامل ہوں
×,×
Support,حمایت
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,موبائل ایپ ڈاؤن لوڈ کریں۔
Powered By,Powered By
About,کے بارے میں
Resources,ذرائع وسائل
Dashboard,ڈیش بورڈ
Helpdesk,ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Terms of Service,خدمت کی شرائط۔
Privacy Policy,رازداری کی پالیسی
Careers,کیریئرز
Copyright@2023  Poshan Tracker. All rights reserved,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
Vaccination Schedule,ویکسینیشن شیڈول
Dashboard,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ہیلپ ڈیسک
Beneficiary Redressal,فائدہ اٹھانے والے کا ازالہ
State Helpdesk,اسٹیٹ ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Login,لاگ ان کریں
About Poshan Tracker,پوشن ٹریکر کے بارے میں
About,پوشن ٹریکر کے بارے میں
Poshan Tracker App,پوشن ٹریکر ایپ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.",’پوشن ٹریکر‘ ایک موبائل پر مبنی ایپلی کیشن ہے جسے خواتین اور بچوں کی ترقی کی وزارت، حکومت ہند نے یکم مارچ 2021 کو نیشنل ای-گورننس ڈویژن (NeGD)، مائی گورنمنٹ کے ذریعے ایک اہم گورننس ٹول کے طور پر شروع کیا ہے۔ پوشن ٹریکر کے تحت ٹکنالوجی کا استعمال بچوں میں سٹنٹنگ، ضائع ہونے، کم وزن کے پھیلاؤ کی متحرک شناخت اور غذائیت کی خدمات کی فراہمی کے آخری میل پر نظر رکھنے کے لیے کیا جا رہا ہے۔.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,پوشن ٹریکر آنگن واڑی ورکر کو خدمات کی موثر فراہمی کے ساتھ ساتھ ان کی کوششوں کی عکاسی کرنے کے لیے ایک جاب ایڈ ہے۔ یہ پوشن ابھیان کے تحت ایک اہم اور فائدہ اٹھانے والے پر مبنی سروس ڈیلیوری ایپلی کیشن ہے جو تجزیات کے ساتھ حقیقی وقت کے ڈیٹا کو فروغ دے گی۔.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,گھر کا راشن لیں۔
Hot Cooked Meal,گرم پکا ہوا کھانا
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,کیا ہیں
Poshan Tracker Features,پوشن ٹریکر کی خصوصیات
Real time recording and Monitoring,حقیقی وقت  ریکارڈنگ اورنگرانی
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.",پوشن ٹریکر تمام AWCs اور استفادہ کنندگان کی متعین اشارے پر حقیقی وقت کی نگرانی اور ٹریکنگ کے قابل بناتا ہے۔ یہ سنٹرلائزڈ ڈیٹا آرکیٹیکچر کا استعمال کرتے ہوئے بنایا گیا ہے جو دوسری وزارتوں اور پروگراموں کے ڈیجیٹل ٹکنالوجی کے نظام کے ساتھ بھی مطابقت رکھتا ہے۔ اس کا مقصد آنگن واڑی سینٹر (AWC) کی سرگرمیوں، آنگن واڑی ورکرز (AWWs) کی خدمات کی فراہمی اور حاملہ خواتین، دودھ پلانے والی ماؤں اور بچوں کے لیے مکمل مستفید ہونے والے انتظامات کا 360 ڈگری منظر فراہم کرنا ہے۔ عوامی ڈیش بورڈ.
Services Delivered,خدمات فراہم کی گئیں۔
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.",ایک بٹن کے ایک کلک پر آخری فائدہ اٹھانے والے تک خدمات کا سراغ لگانا۔ ٹیک ہوم راشن (THR) اور گرم پکا ہوا کھانا (HCM)، شیر خوار بچوں اور حاملہ خواتین کے لیے ویکسینیشن جیسی خدمات.
Growth Measurement,نمو کی پیمائش
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.",AWWs کے ذریعے مختلف عمر کے بچوں کی ماہانہ بنیادوں پر نگرانی کی جاتی ہے۔ صحت کے اشارے جیسے سٹنٹنگ، ویسٹنگ اور کم وزن کا پھیلاؤ ڈبلیو ایچ او کے معیارات کے مطابق ماپا جاتا ہے۔ باقاعدگی سے ترقی کی نگرانی بچوں کو متعلقہ اور بروقت مدد فراہم کرنے میں AWWs کی مدد کرتی ہے۔.
Home Visit Alerts,ہوم وزٹ الرٹس
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.",پوشن ٹریکر آخری میل سے فائدہ اٹھانے والوں کے لیے خودکار الرٹس تیار کرتا ہے۔ یہ مستفید ہونے والوں اور ڈیوٹی بیئررز کی حقیقی وقت میں حاضری کی دستاویز کرکے ترسیل کے نظام کے موثر آڈٹ کو بھی یقینی بناتا ہے۔ یہ مینجمنٹ انفارمیشن سسٹم نیوٹریشن پروگرام کو مؤثر طریقے سے پیمانے میں مدد کرے گا، اس طرح مثبت اثرات پیدا کرنے اور دستاویز کرنے میں.
Support,حمایت
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,موبائل ایپ ڈاؤن لوڈ کریں۔
Powered By,Powered By
About,کے بارے میں
Resources,ذرائع وسائل
Dashboard,ڈیش بورڈ
Helpdesk,ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Terms of Service,خدمت کی شرائط۔
Privacy Policy,رازداری کی پالیسی
Careers,کیریئرز
Copyright@2023  Poshan Tracker. All rights reserved,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
Vaccination Schedule,ویکسینیشن شیڈول
Dashboard,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ہیلپ ڈیسک
Beneficiary Redressal,فائدہ اٹھانے والے کا ازالہ
State Helpdesk,اسٹیٹ ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Login,لاگ ان کریں
Resources,حوالہ جات
Learning Videos,سیکھنے والی ویڈیوز
❮,❮
How to take care of weak newborn with the help of Kangaroo Mother Care,کینگرو مدر کیئر کی مدد سے کمزور نومولود کی دیکھ بھال کیسے کی جائے۔
Preventing illnesses to avert Malnutrition and Death,غذائی قلت اور موت سے بچنے کے لیے بیماریوں سے بچاؤ
Prevention of Anemia in children and adolescents girls,بچوں اور نوعمر لڑکیوں میں خون کی کمی کی روک تھام
Birth Preparedness- For Institutional and Home Delivery,پیدائش کی تیاری- ادارہ جاتی اور گھر کی ترسیل کے لیے
Care of the weak newborn baby - How many weak babies are we missing?,کمزور نوزائیدہ بچے کی دیکھ بھال - ہم کتنے کمزور بچے غائب ہیں؟
Feeding During Illness,بیماری کے دوران کھانا کھلانا
Preparation During Pregnancy - For NewBorn Care & Family Planning,حمل کے دوران تیاری - نوزائیدہ کی دیکھ بھال کے لیے
Ensuring Exclusive Breastfeeding,دودھ پلانا خصوصی کو یقینی بنانا
Assessment of growth in children,بچوں میں نشوونما کا اندازہ
Preventing anemia in women,خواتین میں خون کی کمی کی روک تھام
Complementary Feeding - Diet Diversity,تکمیلی خوراک - خوراک کا تنوع
Identification and care of a Weak Newborn baby,کمزور نوزائیدہ بچے کی شناخت اور دیکھ بھال
Observing Breastfeeding In Newborn Babies,نوزائیدہ بچوں میں دودھ پلانے کا مشاہدہ
Planning And Organising Community Based Events At AWC,AWC میں کمیونٹی کی بنیاد پر تقریبات کی منصوبہ بندی اور انعقاد
Making or Updating Home Visit Planner and Initiating home visits,اور گھر کے دورے شروع کرنا گھر کا دورہمنصوبہ ساز بنانا یا اپ ڈیٹ کرنا
Ensuring that complementary feeding improves over time,اس بات کو یقینی بنانا کہ تکمیلی خوراک وقت کے ساتھ بہتر ہوتی ہے۔
How to ensure timely initiation of complementary feeding,تکمیلی خوراک کی بروقت شروعات کو کیسے یقینی بنایا جائے۔
Identifying and preventing Severe Acute Malnutrition,شدید غذائی قلت کی شناخت اور روک تھام
Identification & Referral of Sick Newborn,بیمار نومولود کی شناخت اور حوالہ
Supporting mothers with issues in Breastfeeding,دودھ پلانے کے مسائل میں مبتلا ماؤں کی مدد کرنا
Why this Monthly Meeting?,یہ ماہانہ اجلاس کیوں؟
Awareness,آگاہی
ALL ,تمام 
GENERAL ,جنرل 
Pregnant Women ,حاملہ خاتون 
Lactating Mothers ,دودھ پلانے والی مائیں 
CHILD CARE ,چائلڈ کیئر 
General,جنرل
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness about Growth Monitoring of Children,بچوں کی گروتھ مانیٹرنگ کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness about preventing illness in Children,بچوں میں بیماری سے بچاؤ کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness for Pregnancy,حمل کے لیے عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness on Module,ماڈیول پر عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness on Anaemia,خون کی کمی پر عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness on SAM and MAM,SAM اور MAM پر عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness on Mother Care,ماں کی دیکھ بھال کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General,جنرل
General Awareness on the Delivery of the child,بچے کی ترسیل کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Pregnant Women,حاملہ خاتون
Awareness for Pregnancy in Preventing Anemia,خون کی کمی کی روک تھام میں حمل کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Lactating Mothers,دودھ پلانے والی مائیں
Awareness for Lactating Mother Complimentary Feeding for Children,دودھ پلانے والی ماں بچوں کے لیے مفت خوراک کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Lactating Mothers,دودھ پلانے والی مائیں
Awareness to Lactating Mother,دودھ پلانے والی ماں کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
