en,ne
Stunting and Underweight Growth Parameters,स्टंटिङ र कम वजन वृद्धिका प्यारामिटरहरू
Beneficiaries status change notifications,लाभार्थीको स्थिति परिवर्तन गर्ने सूचनाहरू
Migrated from one category to another,एक श्रेणीबाट अर्को श्रेणीमा सरेको छ
Beneficiary record becoming inactive,लाभार्थीको रेकर्ड निष्क्रिय हुँदैछ
Beneficiary migration from one AWC to another AWC,एक AWC बाट अर्को AWC मा लाभार्थीको स्थानांतरण
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी हटाउने
Default language selection,पूर्वनिर्धारित भाषाको चयन
"Beneficiary concerns accessibility to AWW, along with status update once resolved","लाभार्थीको AWW को पहुँच नभएको चिन्ता, एक पटक समाधान भएपछि अद्यावधिक स्थितिमा आउने"
Growth monitoring report for all health indicators,सबै स्वास्थ्य सूचकहरूका लागि वृद्धि अनुगमन रिपोर्ट
Application downloaded status by AWW,AWW द्वारा आवेदन डाउनलोड गरिएको स्थिति
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणनाको रिपोर्ट : निष्क्रिय हुने रेकर्डहरूको संख्या र एक श्रेणीबाट अर्को श्रेणीमा सर्ने रेकर्डहरूको संख्या
Resources for growth monitoring and general awareness,वृद्धि अनुगमन र सामान्य जागरूकताका लागि संसाधन
Growth monitoring charts,वृद्धि अनुगमन चार्ट
New beneficiary addition with skip OTP option,नयाँ लाभार्थी थप्दा OTP नलगाई अगाडि जान सकिने विकल्प
Mobile number need to be validated within a week,मोबाइल नम्बर एक हप्ताभित्र प्रमाणीकरण गर्न आवश्यक छ
Anganwadi Worker profile page,आंगनवाडी कार्यकर्ताको प्रोफाइल पेज
Stunting and Underweight Growth Parameters,स्टंटिङ र कम वजन वृद्धिका प्यारामिटरहरू
Beneficiaries status change notifications,लाभार्थीको स्थिति परिवर्तन गर्ने सूचनाहरू
Migrated from one category to another,एक श्रेणीबाट अर्को श्रेणीमा सरेको छ
Beneficiary record becoming inactive,लाभार्थीको रेकर्ड निष्क्रिय हुँदैछ
Beneficiary migration from one AWC to another AWC,एक AWC बाट अर्को AWC मा लाभार्थीको स्थानांतरण
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी हटाउने
Default language selection,पूर्वनिर्धारित भाषाको चयन
"Beneficiary concerns accessibility to AWW, along with status update once resolved","लाभार्थीको AWW को पहुँच नभएको चिन्ता, एक पटक समाधान भएपछि अद्यावधिक स्थितिमा आउने"
Growth monitoring report for all health indicators,सबै स्वास्थ्य सूचकहरूका लागि वृद्धि अनुगमन रिपोर्ट
Application downloaded status by AWW,AWW द्वारा आवेदन डाउनलोड गरिएको स्थिति
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणनाको रिपोर्ट : निष्क्रिय हुने रेकर्डहरूको संख्या र एक श्रेणीबाट अर्को श्रेणीमा सर्ने रेकर्डहरूको संख्या
Resources for growth monitoring and general awareness,वृद्धि अनुगमन र सामान्य जागरूकताका लागि संसाधन
Growth monitoring charts,वृद्धि अनुगमन चार्ट
Poshan Calculator,पोशन क्याल्कुलेटर
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) द्वारा व्याख्या मापदण्ड आधारित बच्चाको वृद्धि मापन गर्न डिजाइन हो।.
How to use Poshan Calculator?,पोशन क्याल्कुलेटर कसरी प्रयोग गर्ने?
Select Gender,लिङ्ग चयन गर्नुहोस्
Enter Date of Birth,जन्म मिति प्रविष्ट गर्नुहोस्
Enter Height in centimeter,सेन्टिमिटर मा उचाई प्रविष्ट गर्नुहोस्
Enter Weight in kilogram,किलोग्राम मा तौल प्रविष्ट गर्नुहोस्
Click on Show Results,नतिजाहरू देखाउने मा क्लिक गर्नुहोस्
Gender ,लिंग 
*,*
Boy,केटा
Girl,केटी
Date of Birth ,जन्ममिति 
*,*
Height (CM) ,उचाई (सेमी) 
*,*
*Height should be between 38 to 150,*उचाई 38 देखि 150 का बीच हुनुपर्छ
CM,सेमी
Weight (KG) ,वजन (केजी) 
*,*
*Weight should be between 0.90 to 58,*वजन 0.90 देखि 58 का बीच हुनुपर्छ
KG,केजी
Show Results,परिणामहरू देखाउनुहोस्
ABHA (Health ID) and its Benefits,एबीएचए (स्वास्थ्य आईडी) र यसका फाइदाहरू
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,एबीएचए (पहिले स्वास्थ्य आईडी भनेर चिनिन्थ्यो) आयुष्मान भारत स्वास्थ्य खाताको संक्षिप्त रूप हो।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,एबीएचए (स्वास्थ्य आईडी) को प्रयोग गर्नु भएको मा तपाईं र तपाईंको परिवारको लागि सुरक्षित र प्रभावकारी डिजिटल स्वास्थ्य अभिलेख सिर्जना गर्ने पहिलो कदम हो।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","यसले सहभागी स्वास्थ्य सेवा प्रदायकहरूसँग तपाइँको अन्तरक्रियालाई सक्षम बनाउँछ, र तपाइँलाई प्रमाणित स्वास्थ्य सेवा पेशेवरहरू र स्वास्थ्य सेवा प्रदायकहरूबाट तपाइँको डिजिटल ल्याब रिपोर्टहरू, नुस्खाहरू र निदान प्राप्त गर्न अनुमति दिन्छ।"
Know More,अधिक जान्नुहोस्
×,×
Frequently Asked Questions,प्रायः सोधिने प्रश्नहरू
ALL,सबै
BENEFICIARY REGISTRATION,लाभार्थी पञ्जीकरण
Take Home Ration,घरको राशन लिनुहोस्
Hot Cooked Meal,तातो पकाएको खाना
What is Poshan Abhiyaan?,पोषण अभियान भनेको के हो?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान भनेको बच्चा, किशोरकिशोरी, गर्भिणीहरूका लागि पोषण परिणामहरू सुधार गर्ने भारतको प्रमुख कार्यक्रम हो।"
What is the purpose of Launching Poshan Tracker?,पोषण ट्र्याकर सुरू गर्नुको उद्देश्य के हो?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्र्याकर एपको उद्देश्य आंगनवाडी केन्द्र (AWC) को गतिविधि र गर्भवती महिला, स्तनपान गराउने आमाहरू र बच्चाहरूका लागि पूर्ण लाभार्थीको व्यवस्थापनलाई ३६० डिग्री दृष्टिकोणमा प्रदान गर्नु हो। प्रस्तावित प्रणालीले परिभाषित संकेतकहरूमा सबै AWCहरू, AWWहरू र लाभार्थीहरूको वास्तविक समयको अनुगमन र ट्र्याकिंग सक्षम पार्नु पर्दछ।"
How can one Download Poshan Tracker App?,कसैले पोषण ट्र्याकर एप कसरी डाउनलोड गर्न सक्छन्?
Poshan Tracker App is available over Google playstore ,पोषण ट्र्याकर अनुप्रयोग गुगल प्लेस्टोर 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?, मा उपलब्ध छ।
"No, Poshan Tracker is available only for Android version",पोषण ट्र्याकर एप एप्पल आई स्टोरमा पनि उपलब्ध छ?
What is the minimum requirement to install Poshan Tracker App in mobile?,"छैन, पोषण ट्र्याकर एन्ड्रोइड संस्करणका लागि मात्र उपलब्ध छ।"
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,मोबाइलमा पोसन ट्र्याकर एप स्थापना गर्न न्यूनतम आवश्यकता के हो?
View All FAQs,पोषण ट्र्याकर एप केवल एन्ड्रोइड फोनमा एन्ड्रोइड संस्करण ६.० र माथिकोसँग मात्र स्थापना गर्न सकिन्छ।
Can a beneficiary register directly using application.,प्रायजसो सोधिने प्रश्नहरू हेर्नुहोस्
Currently a beneficiary can register by the help of an AWW,एउटा लाभार्थी सिधै आवेदन प्रयोग गरेर पंजीकरण गर्न सक्नुहुन्छ।
Who is a beneficiary?,हाल एउटा लाभार्थीले एडब्ल्यूडब्ल्यू को मद्दतले पंजीकरण गर्न सक्छ
There are 6 categories for beneficiaries,लाभार्थी को हो?
Pregnant Women,लाभार्थीहरूको लागि 6 वर्गहरू छन्
Lactating Mother,गर्भवती महिला
Children from 0 to 6 months,स्तनपान गराउने आमा
Children from 6 months to 3 years,0 देखि 6 महिना सम्मका बालबालिका
Children from 3 years to 6 years,6 महिनादेखि 3 वर्षसम्मका बालबालिका
Adolescent girls,3 वर्ष देखि 6 वर्ष सम्मका बालबालिका
Can a beneficiary change his/her AWC?,किशोरी केटीहरु
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,के लाभार्थीले आफ्नो एडब्ल्यूसी परिवर्तन गर्न सक्नुहुन्छ?
What is the eligibility of a beneficiary?,एउटा एडब्ल्यूडब्ल्यू ले आधार संख्याको आधारमा एउटा एडब्ल्यूसी बाट अर्को एडब्ल्यूसी मा लाभार्थी स्थानान्तरण गर्न 'स्थानान्तरण लाभार्थी' विकल्प प्रयोग गर्न सक्छ।
A beneficiary is eligible for THR for at least 21 days in a month.,एउटा लाभार्थीको पात्रता के हो?
Who is eligible for Take Home Ration?,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि टीएचआर को लागि योग्य हुन्छ।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",घरको राशन लिनुको लागि को योग्य छ?
Where can I enquire about take home ration?,"गर्भवती महिला, स्तनपान गराउने आमाहरू, 6 महिनादेखि 3 वर्षसम्मका बालबालिका र किशोरी केटीहरु।"
Please contact your respective Anganwadi worker.,मैले घरमा रासन लैजाने बारेमा कहाँ सोध्न सक्छु?
Who is eligible for additional supplementary food.,कृपया आफ्नो सम्बन्धित आंगनवाडी कार्यकर्तालाई सम्पर्क गर्नुहोस्।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,थप पूरक खाना को लागी को योग्य छ।
What is the eligibility of a beneficiary?,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
A beneficiary is eligible for HCM for at least 21 days in a month.,एउटा लाभार्थीको पात्रता के हो?
Who is eligible for Hot Cooked Meal?,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि एचसीएम को लागी योग्य हुन्छ।
Children in the age group of 3 years to 6 years,तातो पकाएको खानाको लागि को योग्य छ?
Where can I enquire about Hot Cooked Meal?,3 वर्ष देखि 6 वर्ष सम्मको उमेर समूहका बालबालिका
Please contact your respective Anganwadi Centre.,तातो पकाएको खानाको बारेमा मैले कहाँ सोधपुछ गर्न सक्छु?
Who is eligible for additional supplementary food?,कृपया आफ्नो सम्बन्धित आंगनवाडी केन्द्रमा सम्पर्क गर्नुहोस्।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,थप पूरक खानाको लागि को योग्य छ?
We are now available on Video Conference,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
State Video Conference,हामी अब भिडियो कन्फरेन्समा उपलब्ध छौं
Monday to Friday ,राज्यको भिडियो सम्मेलन
4:15 PM to 5:15 PM,सोमबारदेखि शुक्रवार 
Join Now,4:15 PM to 5:15 PM
Anganwadi Worker Training,अहिले सामेल हुनुहोस
Monday to Friday ,आंगनवाडी कार्यकर्ताको प्रशिक्षण
3:00 PM to 4:00 PM,सोमबारदेखि शुक्रवार 
Join Now,3:00 PM to 4:00 PM
×,अहिले सामेल हुनुहोस
Support,×
 14408,समर्थन
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,मोबाइल एप डाउनलोड गर्नुहोस्
About,Powered By
Resources,को बारेमा
Dashboard,संसाधन
Helpdesk,ड्यासबोर्ड
FAQ,सहायता केन्द्र
Poshan Calculator,एफएक्यू
Terms of Service,पोशन क्याल्कुलेटर
Privacy Policy,सेवाका सर्तहरु
Careers,गोपनीयता नीति
Copyright@2023  Poshan Tracker. All rights reserved,पेशाहरु
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,एबीएचए (स्वास्थ्य आईडी)
English,भाषा
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,को बारेमा
Resources,संसाधन
Vaccination Schedule,संसाधन
Dashboard,खोप अनुसूची
Dashboard,ड्यासबोर्ड
Mission Utkarsh,ड्यासबोर्ड
Helpdesk,Mission Utkarsh
Beneficiary Redressal,सहायता केन्द्र
State Helpdesk,हितग्राही निवारण
FAQ,राज्य सहायता डेस्क
Poshan Calculator,एफएक्यू
Login,पोशन क्याल्कुलेटर
About Poshan Tracker,लग-इन
About,पोशन ट्र्याकर को बारेमा
Poshan Tracker App,को बारेमा
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.",पोशन ट्रयाकर एप
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,"‘पोशन ट्र्याकर’ एउटा मोबाइल आधारित एप्लिकेसन हो जुन महिला तथा बाल विकास मन्त्रालय, भारत सरकारको 1 मार्च 2021 मा राष्ट्रिय ई-गभर्नेन्स डिभिजन (एनईजीडी), MyGov मार्फत एउटा महत्त्वपूर्ण शासन उपकरणको रूपमा रोल आउट गरिएको हो। पोशन ट्रयाकर अन्तर्गतको प्रविधिलाई बालबालिकामा स्टन्टिङ, बर्बादी, कम तौलको प्रचलन र पोषण सेवा वितरणको अन्तिम माइल ट्र्याकिङको गतिशील पहिचानको लागि प्रयोग गरिएको छ।."
Services availed by,पोशन ट्र्याकर आंगनवाड़ी कार्यकर्ताहरूलाई उनीहरूको प्रयासको प्रतिबिम्बको साथ सेवाहरूको प्रभावकारी वितरणको लागि एउटा रोजगार सहायता हो। यो पोशन अभियान अन्तर्गत एक महत्वपूर्ण र लाभार्थी-केन्द्रित सेवा वितरण अनुप्रयोग हो जसले विश्लेषणको साथ वास्तविक समय डाटालाई बढावा दिनेछ।.
Beneficiaries at Anaganwadi Center,Services availed by
Take Home Ration,Beneficiaries at Anaganwadi Center
Hot Cooked Meal,घरको राशन लिनुहोस्
Morning Snacks,तातो पकाएको खाना
Nutrition and,Morning Snacks
 Health checkup,Nutrition and
WHAT ARE, Health checkup
Poshan Tracker Features,के हुन्
Real time recording and Monitoring,पोशन ट्रयाकर विशेषताहरु
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.",वास्तविक समय रेकर्डिङ र निगरानी
Services Delivered,"पोशन ट्रयाकरले परिभाषित सूचकहरूमा सबै एडब्ल्यूसीहरु र लाभार्थीहरूको वास्तविक-समय निगरानी र ट्र्याकिङ सक्षम बनाउँछ। यो केन्द्रीकृत डाटा आर्किटेक्चर प्रयोग गरेर बनाइएको हो जुन अन्य मन्त्रालय र कार्यक्रमहरूको डिजिटल प्रविधि प्रणालीहरूसँग पनि पङ्क्तिबद्ध हुन्छ। आंगनवाडी केन्द्र (एडब्ल्यूसी) को गतिविधिहरु को 360-डिग्री दृश्य, आंगनवाड़ी कार्यकर्ताहरु (एडब्ल्यूडब्ल्यूहरु) को सेवा वितरण र गर्भवती महिलाहरु, स्तनपान आमा र बच्चाहरु को लागी पूर्ण लाभार्थी व्यवस्थापन प्रदान गर्ने उद्देश्य। सार्वजनिक ड्यासबोर्डले लाभार्थीहरूलाई प्रदान गरिएका सेवाहरूमा पारदर्शिता प्रदान गर्न मद्दत गर्दछ."
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.",सेवाहरू वितरण गरियो
Growth Measurement,"एक बटनको क्लिकमा अन्तिम लाभार्थीलाई सेवाहरूको ट्र्याकिङ। घरको राशन लिनुहोस् (टीएचआर) र तातो पकाएको खाना (एचसीएम), शिशुहरू र गर्भवती महिलाहरूको लागि खोप जस्ता सेवाहरू."
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.",वृद्धि मापन
Home Visit Alerts,"विभिन्न उमेर समूहका बालबालिकालाई एडब्ल्यूडब्ल्यूहरु द्वारा मासिक रूपमा अनुगमन गरिन्छ। डब्लुएचओको मापदण्ड अनुसार स्वास्थ्य परिसूचकहरू जस्तै स्टन्टिङ, बर्बादी र कम तौलको प्रचलन मापन गरिन्छ। नियमित वृद्धि अनुगमनले एडब्ल्यूडब्ल्यूहरु लाई बच्चाहरूलाई सान्दर्भिक र समयमै सहायता प्रदान गर्न मद्दत गर्छ."
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.",गृह भ्रमण सतर्कहरू
Support,"पोशन ट्र्याकरले महत्वपूर्ण अन्तिम-माइल लाभार्थीहरूलाई स्वचालित सतर्कहरू उत्पन्न गर्दछ। यसले लाभार्थी र कर्तव्य वाहकहरूको वास्तविक समय उपस्थिति कागजात गरेर वितरण प्रणालीको कुशल लेखापरीक्षण पनि सुनिश्चित गर्दछ। यस व्यवस्थापन सूचना प्रणालीले पोषण कार्यक्रमलाई प्रभावकारी रूपमा मापन गर्न मद्दत गर्नेछ, जसले गर्दा सकारात्मक प्रभावहरू उत्पन्न गर्न र दस्तावेजीकरण गर्न।."
 14408,समर्थन
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,मोबाइल एप डाउनलोड गर्नुहोस्
About,Powered By
Resources,को बारेमा
Dashboard,संसाधन
Helpdesk,ड्यासबोर्ड
FAQ,सहायता केन्द्र
Poshan Calculator,एफएक्यू
Terms of Service,पोशन क्याल्कुलेटर
Privacy Policy,सेवाका सर्तहरु
Careers,गोपनीयता नीति
Copyright@2023  Poshan Tracker. All rights reserved,पेशाहरु
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,एबीएचए (स्वास्थ्य आईडी)
English,भाषा
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,को बारेमा
Resources,संसाधन
Vaccination Schedule,संसाधन
Dashboard,खोप अनुसूची
Dashboard,ड्यासबोर्ड
Mission Utkarsh,ड्यासबोर्ड
Helpdesk,Mission Utkarsh
Beneficiary Redressal,सहायता केन्द्र
State Helpdesk,हितग्राही निवारण
FAQ,राज्य सहायता डेस्क
Poshan Calculator,एफएक्यू
Login,पोशन क्याल्कुलेटर
Resources,लग-इन
Learning Videos,संसाधन
❮,सिक्ने भिडियोहरू
How to take care of weak newborn with the help of Kangaroo Mother Care,❮
Preventing illnesses to avert Malnutrition and Death,कंगारु आमाको हेरचाह सहयोगमा कमजोर नवजात शिशुको हेरचाह कसरी गर्न
Prevention of Anemia in children and adolescents girls,कुपोषण र मृत्युबाट बच्नको लागि रोगहरू रोक्न
Birth Preparedness- For Institutional and Home Delivery,बालबालिका र किशोर किशोरीहरूमा रक्तअल्पता रोकथाम
Care of the weak newborn baby - How many weak babies are we missing?,जन्म तयारी - संस्थागत र घर वितरण को लागी
Feeding During Illness,कमजोर नवजात शिशुको हेरचाह - हामी कति कमजोर बच्चाहरू हराउँदै छौं?
Preparation During Pregnancy - For NewBorn Care & Family Planning,रोगको समयमा खुवाउने
Ensuring Exclusive Breastfeeding,गर्भावस्थाको समयमा तयारी - नवजात शिशु हेरचाह र परिवार योजना को लागी
Assessment of growth in children,अनन्य स्तनपान सुनिश्चित गर्दै
Preventing anemia in women,बच्चाहरु मा वृद्धि को मूल्यांकन
Complementary Feeding - Diet Diversity,महिलाहरु मा रक्तअल्पता को रोकथाम
Identification and care of a Weak Newborn baby,पूरक खुवाउने - आहार विविधता
Observing Breastfeeding In Newborn Babies,कमजोर नवजात शिशुको पहिचान र हेरचाह
Planning And Organising Community Based Events At AWC,नवजात शिशुहरूमा स्तनपान अवलोकन गर्दै
Making or Updating Home Visit Planner and Initiating home visits,योजना बनाउँदै र एडब्ल्यूसी मा समुदायमा आधारित घटनाहरू
Ensuring that complementary feeding improves over time,गृह भ्रमण योजनाकार बनाउने वा अद्यावधिक गर्ने र गृह भ्रमणहरू सुरु गर्ने
How to ensure timely initiation of complementary feeding,समयसँगै पूरक आहारमा सुधार हुन्छ भन्ने सुनिश्चित गर्दै
Identifying and preventing Severe Acute Malnutrition,पूरक आहारको समयमै प्रारम्भ कसरी सुनिश्चित गर्ने
Identification & Referral of Sick Newborn,गम्भीर तीव्र कुपोषणको पहिचान र रोकथाम गर्ने
Supporting mothers with issues in Breastfeeding,बिरामी नवजात शिशुको पहिचान र सन्दर्भ
Why this Monthly Meeting?,स्तनपानमा समस्या भएका आमाहरूलाई समर्थन गर्दै
❯,यो मासिक बैठक किन?
Awareness,❯
ALL ,जागरूकता
13,सबै 
 ,13
GENERAL , 
9,साधारण 
 ,9
Pregnant Women , 
1,गर्भवती महिला 
 ,1
Lactating Mothers , 
2,स्तनपान गराउने आमाहरू 
 ,2
CHILD CARE , 
1,बाल हेरचाह 
 ,1
❮, 
General,❮
General Awareness about Home Visit Scheduler,General
Download PDF,General Awareness about Home Visit Scheduler
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness about Growth Monitoring of Children,General
Download PDF,बालबालिकाको बृद्धि अनुगमनको बारेमा सामान्य जागरूकता
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness about preventing illness in Children,General
Download PDF,बालबालिकामा रोगबाट बच्नका लागि सामान्य जागरूकता
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness for Pregnancy,General
Download PDF,गर्भावस्थाको लागि सामान्य जागरूकता
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness on Module,General
Download PDF,मोड्युल मा सामान्य जागरूकता
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness on Anaemia,General
Download PDF,रक्तअल्पता मा सामान्य जागरूकता
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness on SAM and MAM,General
Download PDF,एसएएम र एमएएम सामान्य जागरूकता
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness on Mother Care,General
Download PDF,आमाको हेरचाह सम्बन्धी सामान्य जागरूकता
General,पीडीएफ डाउनलोड गर्नुहोस्
General Awareness on the Delivery of the child,General
Download PDF,बच्चाको डेलिभरीमा सामान्य जागरूकता
Pregnant Women,पीडीएफ डाउनलोड गर्नुहोस्
Awareness for Pregnancy in Preventing Anemia,गर्भवती महिला
Download PDF,रक्तअल्पता रोक्न को लागी गर्भावस्थाको लागी जागरूकता
Lactating Mothers,पीडीएफ डाउनलोड गर्नुहोस्
Awareness for Lactating Mother Complimentary Feeding for Children,स्तनपान गराउने आमाहरू
Download PDF,स्तनपान गराउने आमा को लागि जागरूकता बच्चाहरूको लागि पूरक आहार
Lactating Mothers,पीडीएफ डाउनलोड गर्नुहोस्
