en,sd
Stunting and Underweight Growth Parameters,शंटिंग ऐं घठाईंदी-वजन जे वादारपणे जा मापदंढअ
Beneficiaries status change notifications,फाईदोवठिंदड हालत मटिंदा पधिराईयूं
Migrated from one category to another,बिक विभाग खां बे॒ ते लडणु
Beneficiary record becoming inactive,फाईदोवठिंदड रेकार्डअणसुजाग था थिंदा वञिनि
Beneficiary migration from one AWC to another AWC,फाईदोवठिंदड लडा॒यो वयो हिक AWC खां बे॒ AWC में
Beneficiary deletion by AWW,फाईदोवठिंदड रदायप AWW पारां
Default language selection,मुल बो॒लीअ जी चुंडायप
"Beneficiary concerns accessibility to AWW, along with status update once resolved","फाईदोवठिंद जे गणतीयूं जी मेसारयप AWW ते, हालत जे वादारपणे जे सुधो हेकारे निपटाणे जे बैदि"
Growth monitoring report for all health indicators,वाधारपणो निगरानी रिपोरट समुरे सिहत ड॒सुडिंदड लाई
Application downloaded status by AWW,ऐपलिकेशन जो डाउंलोड जी हालत AWW पारां
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,फाईदोवठिंदड जे गणप जी रिपोर्ट : अणसुजाग थिंदड रेकार्डन जी गणप ऐं हिक विभाग खां बे॒ विभाग लडि॒यलु रेकार्डअ
Resources for growth monitoring and general awareness,विधारे निगरानी ऐं आम जाणि लाई वसिला
Growth monitoring charts,वाधोरो निगरानी कंदड चार्टअ
New beneficiary addition with skip OTP option,नयो फाईदोवठिंदड गंढायप नजपअंदाज कंदड OTP विकल्प सां
Mobile number need to be validated within a week,मोबाईल नम्बर जे साबित करणो पवंदो हिक हफिते में
Anganwadi Worker profile page,आङनवाडी कारुकनु रुपरेखा सुफो
Stunting and Underweight Growth Parameters,शंटिंग ऐं घठाईंदी-वजन जे वादारपणे जा मापदंढअ
Beneficiaries status change notifications,फाईदोवठिंदड हालत मटिंदा पधिराईयूं
Migrated from one category to another,बिक विभाग खां बे॒ ते लडणु
Beneficiary record becoming inactive,फाईदोवठिंदड रेकार्डअणसुजाग था थिंदा वञिनि
Beneficiary migration from one AWC to another AWC,फाईदोवठिंदड लडा॒यो वयो हिक AWC खां बे॒ AWC में
Beneficiary deletion by AWW,फाईदोवठिंदड रदायप AWW पारां
Default language selection,मुल बो॒लीअ जी चुंडायप
"Beneficiary concerns accessibility to AWW, along with status update once resolved","फाईदोवठिंद जे गणतीयूं जी मेसारयप AWW ते, हालत जे वादारपणे जे सुधो हेकारे निपटाणे जे बैदि"
Growth monitoring report for all health indicators,वाधारपणो निगरानी रिपोरट समुरे सिहत ड॒सुडिंदड लाई
Application downloaded status by AWW,ऐपलिकेशन जो डाउंलोड जी हालत AWW पारां
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,फाईदोवठिंदड जे गणप जी रिपोर्ट : अणसुजाग थिंदड रेकार्डन जी गणप ऐं हिक विभाग खां बे॒ विभाग लडि॒यलु रेकार्डअ
Resources for growth monitoring and general awareness,विधारे निगरानी ऐं आम जाणि लाई वसिला
Growth monitoring charts,वाधोरो निगरानी कंदड चार्टअ
Poshan Calculator,पोषण कैलकुलेटर
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,पोषण कैलकुलेटर खे विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) जे सबब सां वस्फ़ पैमाइशअ जी बुनियाद ते बारण जी वाध खे मापण जे लाये डिज़ाइन कायो वयो आहे.
How to use Poshan Calculator?,पोषण कैलकुलेटर जो इस्तेमाल कीयं कयूं?
Select Gender,जेन्डर चुनयो
Enter Date of Birth,जन्म तारीख भ्रमों
Enter Height in centimeter,लम्बाई खे सेंटिमेटर में भरयो
Enter Weight in kilogram,वजन खे किलोग्राम में भरयो
Click on Show Results,डिसण अचण वारे रिजल्ट ते दबायो
Gender ,जंस 
*,*
Boy,अल
Girl,छोकरी
Date of Birth ,जन्म जी तारिख 
*,*
Height (CM) ,ढिघाई(CM) 
*,*
*Height should be between 38 to 150,*ढिगाई 38 खां 150 जे मंझ हुअणी खपे
CM,CM
Weight (KG) ,वजन (KG) 
*,*
*Weight should be between 0.90 to 58,*वजन 0.90 खां 58 जे मंझ हुअणो खपे
KG,KG
Show Results,नतिजा डे॒खारो
ABHA (Health ID) and its Benefits,ABHA (तंदुरुस्ती आईडी) आऊं हुनजा फ़ायदा
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पिहरया जेखे सिहत आईडी चईंदा हुया ) हिंजो पुरो नालो आयुष्मान भारत हेल्थ अकाउंट आहे।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA हिक पेंरयो कदम ता ठांयु जेंखे इस्तेमाल करे असा सुरक्षित अंउ सुठो डिजिटल सिहत खे दाखिल तां कयुं पांजे अंउ पांजे परिवार लाए।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ईयो इनमे भाग वठण सा गड्-गड् सिहत जो ध्यान रखंण वारन सा गालाएणं जे लायक ठाईंदो आ अंउ असांखें डिजिटल लैब रिपोर्ट भी मिलंदी, मर्ज जी सुज्ञाणप करण जो तरीको मिलदो आहे सुठे अंउ काबिल सिहत जो ध्यान रखंण वारन खा।"
Know More,वधिक जा॒णो
×,×
Frequently Asked Questions,बार-बार पुषण वारा सवाल:
ALL,सब
BENEFICIARY REGISTRATION,लाभार्थी पंजीकरण
Take Home Ration,घर जो राशन वठो
Hot Cooked Meal,गरम-गरम रोटी ठायण
What is Poshan Abhiyaan?,पोषण अभियान छा आहे?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","बारनु, नौजवाननु , गर्भ वंतयूनु जे खोराकी नतीजन खे सुधारण जे लाए, पोषण अभियान भारत जो मुख्य प्रोग्राम आहे."
What is the purpose of Launching Poshan Tracker?,पोषण ट्रेकर खे शुरू करण जो मकसद छा आहे?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्रेकर एप जो मकसद आंगनवाड़ी मरकज़ जे मशगुलियुन, आंगनवाड़ी कम कंदडनु जी सेवा जी डिलीवरी एं गर्भ वंती मायुनु, धाराइंदड़ु माउरुं, बा॒रन जे लाये समूरो बेनेफिशरी बंदोबस्त जो 360 डिग्री व्यू दि॒यण आहे. मंज़ूर कयल सिस्टम मुकरर कयल पैमाने ते सभिनी आंगनवाड़ी मरकज़नु, आंगनवाड़ी कम कंदडनु एं बेनेफिशरयुन जी रियल टाइम निगरानी एं ट्रेकिंग करण जी इख़्तियारी दीं॒दो."
How can one Download Poshan Tracker App?,पोषण एप खे कियें डाउनलोड करे सघ॒जे थो?
Poshan Tracker App is available over Google playstore ,पोषण ट्रेकर एप गूगल ते मौजूद आहे.Google playstore 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,छा पोषण ट्रेक्स एप एप्पल आई स्टोर ते मौजूद आहे?
"No, Poshan Tracker is available only for Android version","न, पोषण ट्रेकर फकत ऐन्ड्रॉइड कौल ते मौजूद आहे."
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाईल में पोषण ट्रेकर एप इंस्टाल करण जे लाए घटु में घटु घुरज छा आहे?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रेकर एप खे ऐंड्रोइड 6.0 या उन खां वधिक जे कोल वारे ऐंड्रोइड फोन में इंसटाल करे सघ॒बो आहे.
View All FAQs,समुरा FAQs डि॒सो
Can a beneficiary register directly using application.,छा अप्लिकेशन खे डायरेक्टलि इस्तमाल करें फायदेमंद रजिस्ट्रेशन करे ता सचमुच।
Currently a beneficiary can register by the help of an AWW,हाणे जे लाए लाभकारी रजिस्ट्रेशन करे ता सघयु AWW जी मदद सा
Who is a beneficiary?,केर आ फायदेमंद?
There are 6 categories for beneficiaries,हिते छ: श्रेणियु आएन फायदे जे लाए
Pregnant Women,पेटअ वारी माई
Lactating Mother,ढुक्क डेयन वारी माई
Children from 0 to 6 months,बार 0 खा 6 महिनन जो
Children from 6 months to 3 years,बार 6 महिनन खा 3 सालन जो
Children from 3 years to 6 years,बार 3 सालन खा 6 सालन जो
Adolescent girls,किशोरी छोकरूयु
Can a beneficiary change his/her AWC?,छा लाभकारी बदलाव थी तो सघे उननजे AWC मे?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,छा AWW खे माइग्रेंट लाभकारी आप्शन इस्तमाल करे ता सघयु ताकी माइग्रेंट लाभकारी हिकAWC खा बे AWC खे डई सघयु आधार नंबर जे द्वारा।
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?
A beneficiary is eligible for THR for at least 21 days in a month.,हिक लाभकारी छा योग्य आए THR लाए घट में घट महिने जे 21 डियन जे लाए।
Who is eligible for Take Home Ration?,केर घर जो राशन वठण जे योग्य आ?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","पेटअ वारी माई, ढुक्क डेयन माई, बार 6 महिनन खा 3 साल ताई आऊं किशोरी छोकरूयु।"
Where can I enquire about take home ration?,किथे वनी मा घर जे राशन लाए पुछि ती सिगा?
Please contact your respective Anganwadi worker.,किरपा तांजे आदरणीय आंगनवाड़ी कार्यकर्ता सा सम्पर्क कयो।
Who is eligible for additional supplementary food.,केर अतिरिक्त पूरी रोटी जे योग्य आ।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?
A beneficiary is eligible for HCM for at least 21 days in a month.,हिक लाभकारी योग्य आए HCM लाए घट में घट महिने जे 21 डियन लाए।
Who is eligible for Hot Cooked Meal?,केर गर्म ठयल रोटी जे काबिल आ?
Children in the age group of 3 years to 6 years,बार देखा 3 सल खा 6 सालन जा आएन
Where can I enquire about Hot Cooked Meal?,छा मां पुछि ती सिघा गर्म ठयल रोटी जे बारे मे?
Please contact your respective Anganwadi Centre.,किरपा तांजे आंगनवाड़ी कार्यकर्ता सा सम्पर्क कयो।
Who is eligible for additional supplementary food?,केर अतिरिक्त पूरी रोटी जे योग्य आ?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।
We are now available on Video Conference,असां हाणे विडिओ कान्फ्रन्स ते बि मौजूद आहियूं
State Video Conference,जाणायो विडियो कॉनफरेंस
Monday to Friday ,सूमर खां जुमे ताईं 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,हियर शामिल थयो
Anganwadi Worker Training,आङनवाडी कारुकनु जी सिख्या
Monday to Friday ,सूमर खां जुमे ताईं 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,हियर शामिल थयो
×,×
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
About Poshan Tracker,पोषण टे्कर जे बारे में
About,About
Poshan Tracker App,पोषण टे्कर एप
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","'पोशन ट्रैकर' हिक मोबाईल में हलण वारो एप आहे जेको 1 मार्च 2021 ते राष्ट्रीय ई-गवर्नेंस डिवीजन (NeGD), MyGov जे ज़रिये सां हिक अहिम हुकूमती टूल जे रूप में हिंदुस्तान सरकार जे मिनिस्ट्री ऑफ वुमन आऊं चाईल्ड द्वारा कडयु वयो आहे। पोषण टे्कर एप जी जे कि टेक्नोलॉजी आ उनका इयो पतों पयीन्दो आ कि बार स्टंटेड, घट वजन, वेस्टेड आ या न उनन ताई सही पोषण पहुंचे तो या न."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,पोषण टे्कर हिक एप आ जे को आंगनवाड़ी कार्यकर्ता खे कम भी डिनडो आ ताकी उव पानी मेहनत सा तां ताई सर्विस डे सुठि। हियो हिक फायदेमंद आंगनवाड़ी कार्यकर्ता जी डिलीवरी सर्विस पहुंचाईं दो पोषण अभियान जे तहत.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,घर जो राशन वठो
Hot Cooked Meal,गरम-गरम रोटी ठायण
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,छा आए
Poshan Tracker Features,पोषण टे्कर जा फिचर
Real time recording and Monitoring,रियल टाइम रिकार्डिंग एंड मोनिटरिंग
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","पोषण टे्कर कंदो आ रियल टाइम मानिटरिंग आऊं ट्रेकिंग सभीन AWCs आऊं लाभकारी मनयो वेंदो आ। इयो गायों व्यो आ डेटा खे ईक्कठो करे देखो डिजिटल टेक्नोलॉजी सिस्टम आऊं नये फिचरन मिनिस्टर आऊं प्रोग्राम सा ठयल आ। हिनजो मकसद आंगनवाड़ी केंद्र (AWC) जा कम्मअ, आंगनवाड़ी वरकरन (AWW) जीं सेवा पहुँचायण आऊं पेटवारी माईयूं, दुक्कअ डेयण वारी माऊं आऊं बारन जे लाये मुकम्मल फायदे जो बंदोबस्त करण लाये कम करण जो 360-डिग्री नज़रियो डीअन्दो आहे। पब्लिक डैशबोर्ड हितभागिण खे डी वणन वारी सेवाउण में ट्रांसपेरेंसी खणी अचण में मदद कंदो आहे."
Services Delivered,सर्विस डयण
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","सर्विस डिसण आऊं आखरी में लाभकारी बटण ते क्लिक करण। सर्विस जिंय टैक होम राशन (THR) आऊं हाट कुक मिल (HCM), टिकाकरण बारण आऊं पेटअ वारी माई जो."
Growth Measurement,सिहत मापण
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWW द्वारा अलग अलग उम्र जे बारन जी महीने दर महीने जांच की वेंदी। स्टंटिंग, वेस्टिंग आऊं गट्ठ वजन हुजण, इह सिहत जा लच्छण खे डब्ल्यूएचओ जे मअयारिन जे हीसाब सां माप्यो वेंदो आहे। टाइम टाइम जी जांच AWW जे कम् कंदननङ खे बारन जी सही आऊं सही टाइम ते मदद करण में कम् में ईअन्दी आहे."
Home Visit Alerts,होम विजिट अलर्ट
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.",पोषण टे्कर एप जो अलर्ट डयण बार जे वधण लाए। हिन जो सुखों सिस्टम सा ड्युटी डयण आऊं डिलीवरी सही टाईम ते डयण। हिन जो मेनेजमेंट सिस्टम जो बुधाएण नयुटरीशन प्रोग्राम जे बारे मे जेबा कि वधण में जाम सुठो असर डिसण ईंदो आ.
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
Resources,साधणअ
Learning Videos,सिखण जा वीडियो
❮,❮
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारू मदर केयर जी मदद सां कमज़ोर जायल बार जी देखभाल कीयं कयूं
Preventing illnesses to avert Malnutrition and Death,कुपोषण आऊं मौत खे खत्म करण जे लाये बीमारिन्न जी रोकथाम
Prevention of Anemia in children and adolescents girls,नंडे बारण आऊं जवान छोकरिन में एनीमिया जी रोकथाम
Birth Preparedness- For Institutional and Home Delivery,जन्म जी तैयारी- संस्थायुन आऊं होम डिलीवरी जे लाये
Care of the weak newborn baby - How many weak babies are we missing?,कमज़ोर जायल बार जी देखभाल - अस्सां घणा कमज़ोर जायल बारण जी देखभाल नथ्था करे सगुं?
Feeding During Illness,बीमारी जे दौरान खारायण या ढुक्क डेयन
Preparation During Pregnancy - For NewBorn Care & Family Planning,पेटअ सां हुजैन मैल जी तैयारी - जायल बार जी देखभाल आऊं फॅमिली प्लानिंग जे लाये
Ensuring Exclusive Breastfeeding,ढुक्क डेयन पक्के तौर सां करण
Assessment of growth in children,बारण में वाध जो महसूल
Preventing anemia in women,माइन में एनीमिया जी रोकथाम
Complementary Feeding - Diet Diversity,इज़ाफ़े वारो खादो-मुख्तलिफ खोराक
Identification and care of a Weak Newborn baby,कमज़ोर जायल बार जी पहचान आऊं देखभाल
Observing Breastfeeding In Newborn Babies,जायल बारण खे ढुक्क डेयन जो महसूल
Planning And Organising Community Based Events At AWC,AWC में खल्क जे लाये कार्यक्रमअन जि तजवीज़ आऊं हुननजो बन्दोबस्त करण
Making or Updating Home Visit Planner and Initiating home visits,होम विजिट प्लानर ठायण या अपडेट करण आऊं होम विजिट शुरू करण
Ensuring that complementary feeding improves over time,इहो पक्को करण कि टाइम सां इज़ाफ़े वारे खादे में सुधार थे
How to ensure timely initiation of complementary feeding,इज़ाफ़े वारे खादे खे सही टाइम ते शुरुआत करण कीयं पक्को कयूं
Identifying and preventing Severe Acute Malnutrition,गंभीर आऊं पीडींदड कुपोषण जी पहचान करण आऊं हुनखे रोकण
Identification & Referral of Sick Newborn,बीमार जायल बार जी पहचान आऊं रेफरल
Supporting mothers with issues in Breastfeeding,ढुक्क डेयन में तकलीफ महसूस करण वारी माउन जी मदद करण
Why this Monthly Meeting?,हिन महीने जी सभा छो आ?
❯,❯
Awareness,जागरूकता
ALL ,सब 
13,13
 , 
GENERAL ,वहींवारी 
9,9
 , 
Pregnant Women ,गर्भ वंती माई 
1,1
 , 
Lactating Mothers ,ढुक्क डेयन वारी माऊं 
2,2
 , 
CHILD CARE ,बारण जी देखभाल 
1,1
 , 
❮,❮
General,General
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness about Growth Monitoring of Children,वहींवारी जागरूकता बारण जे वाध निगरानी जी
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness about preventing illness in Children,बारण खे बिमारी खा बचायण जी वहींवारी जागरूकता
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness for Pregnancy,वहींवारी जागरूकता गर्भावस्था जी
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness on Module,वहींवारी जागरूकता मॉड्यूल जी
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness on Anaemia,वहींवारी जागरूकता एनीमिया जी
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness on SAM and MAM,वहींवारी जागरूकता SAM आऊं MAM जी
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness on Mother Care,वहींवारी जागरूकता मां जे देखभाल करण जी
Download PDF,पीडीएफ डाउनलोड कयो
General,General
General Awareness on the Delivery of the child,वहींवारी जागरूकता बार खे पैदा करण जी
Download PDF,पीडीएफ डाउनलोड कयो
Pregnant Women,गर्भ वंती माई
Awareness for Pregnancy in Preventing Anemia,जागरूकता गर्भावस्था मे एनीमिया जी
Download PDF,पीडीएफ डाउनलोड कयो
Lactating Mothers,ढुक्क डेयन वारी माऊं
Awareness for Lactating Mother Complimentary Feeding for Children,जागरूकता हुजे मां मे बार खे छाति मा सुठे सा खिर पियाण जी
Download PDF,पीडीएफ डाउनलोड कयो
Lactating Mothers,ढुक्क डेयन वारी माऊं
Awareness to Lactating Mother,जागरूकता मां मे ढुक्क डेयन जी
Download PDF,पीडीएफ डाउनलोड कयो
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","जागरूकता बारण मे कुपोषण, स्टंट,विनयाण खा बचण लाए"
Download PDF,पीडीएफ डाउनलोड कयो
❯,❯
❮,❮
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness about Growth Monitoring of Children,वहींवारी जागरूकता बारण जे वाध निगरानी जी
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness about preventing illness in Children,बारण खे बिमारी खा बचायण जी वहींवारी जागरूकता
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness for Pregnancy,वहींवारी जागरूकता गर्भावस्था जी
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness on Module,वहींवारी जागरूकता मॉड्यूल जी
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness on Anaemia,वहींवारी जागरूकता एनीमिया जी
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness on SAM and MAM,वहींवारी जागरूकता SAM आऊं MAM जी
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness on Mother Care,वहींवारी जागरूकता मां जे देखभाल करण जी
Download PDF,पीडीएफ डाउनलोड कयो
General Awareness on the Delivery of the child,वहींवारी जागरूकता बार खे पैदा करण जी
