en,mai
Stunting and Underweight Growth Parameters,स्टंटिंग आ कम वजन वृद्धि केर मापदंड
Beneficiaries status change notifications,लाभार्थी सभक स्थिति परिवर्तन अधिसूचना
Migrated from one category to another,एक श्रेणी सँ दोसर श्रेणी मे माइग्रेट कयल गेल
Beneficiary record becoming inactive,लाभार्थीक रिकॉर्ड जे निष्क्रिय भए रहल अछि
Beneficiary migration from one AWC to another AWC,एक AWC सँ दोसर AWC मे लाभार्थीक प्रवास
Beneficiary deletion by AWW,AWW द्वारा लाभार्थीक विलोपन
Default language selection,डिफॉल्ट भाषा चयन
"Beneficiary concerns accessibility to AWW, along with status update once resolved","AWW मे लाभार्थीक मामलाक पहुँच, एक बेर समाधान कयल स्थिति अपडेटक संग"
Growth monitoring report for all health indicators,सभटा स्वास्थ्य संकेतक लेल विकास निगरानी रिपोर्ट
Application downloaded status by AWW,AWW द्वारा एप्लीकेशन डाउनलोड करबाक स्थिति
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थीक गणना रिपोर्ट : रिकॉर्ड सभक संख्या जे निष्क्रिय भए रहल अछि आ रिकॉर्ड सभक संख्या जे एक श्रेणी सँ दोसर श्रेणी मे माइग्रेट भए रहल अछि
Resources for growth monitoring and general awareness,विकास निगरानी आ सामान्य जागरूकता लेल संसाधन सभ
Growth monitoring charts,विकास निगरानी चार्ट सभ
New beneficiary addition with skip OTP option,OTP मुक्त विकल्प सँ नव लाभार्थी जोड़
Mobile number need to be validated within a week,मोबाइल नंबर केँ एक सप्ताहक अंदर सत्यापित करबाक जरूरत अछि
Anganwadi Worker profile page,आँगनबाड़ी कार्यकर्ता प्रोफाइल पेज
Stunting and Underweight Growth Parameters,स्टंटिंग आ कम वजन वृद्धि केर मापदंड
Beneficiaries status change notifications,लाभार्थी सभक स्थिति परिवर्तन अधिसूचना
Migrated from one category to another,एक श्रेणी सँ दोसर श्रेणी मे माइग्रेट कयल गेल
Beneficiary record becoming inactive,लाभार्थीक रिकॉर्ड जे निष्क्रिय भए रहल अछि
Beneficiary migration from one AWC to another AWC,एक AWC सँ दोसर AWC मे लाभार्थीक प्रवास
Beneficiary deletion by AWW,AWW द्वारा लाभार्थीक विलोपन
Default language selection,डिफॉल्ट भाषा चयन
"Beneficiary concerns accessibility to AWW, along with status update once resolved","AWW मे लाभार्थीक मामलाक पहुँच, एक बेर समाधान कयल स्थिति अपडेटक संग"
Growth monitoring report for all health indicators,सभटा स्वास्थ्य संकेतक लेल विकास निगरानी रिपोर्ट
Application downloaded status by AWW,AWW द्वारा एप्लीकेशन डाउनलोड करबाक स्थिति
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थीक गणना रिपोर्ट : रिकॉर्ड सभक संख्या जे निष्क्रिय भए रहल अछि आ रिकॉर्ड सभक संख्या जे एक श्रेणी सँ दोसर श्रेणी मे माइग्रेट भए रहल अछि
Resources for growth monitoring and general awareness,विकास निगरानी आ सामान्य जागरूकता लेल संसाधन सभ
Growth monitoring charts,विकास निगरानी चार्ट सभ
Poshan Calculator,पोषण कैलकुलेटर
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,पोषण कैलकुलेटरकेँ विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) माध्यमसँ परिभाषित मानक केर आधार पर बच्चाक विकासकेँ नापबाक लेल डिज़ाइन केल गएल अछि.
How to use Poshan Calculator?,पोषण कैलकुलेटरक उपयोग केना करिए?
Select Gender,लिंग चुनू
Enter Date of Birth,जन्म् तिथि एंटर करू
Enter Height in centimeter,सेंटीमीटरमे ऊंचाई एंटर करू
Enter Weight in kilogram,किलोग्राममे ओजन एंटर करू
Click on Show Results,परिणाम देखाउ’ पर क्लिक करू
Gender ,लिंग 
*,*
Boy,लड़िका
Girl,लड़िकी
Date of Birth ,जन्म तिथि 
*,*
Height (CM) ,ऊँचाई (सें.मी.) 
*,*
*Height should be between 38 to 150,*ऊँचाई 38 सँ 150 केर बीच होयबाक चाही
CM,सें.मी.
Weight (KG) ,वजन (कि.ग्रा.) 
*,*
*Weight should be between 0.90 to 58,*वजन 0.90 सँ 58 केर बीच होयबाक चाही
KG,कि.ग्रा.
Show Results,परिणाम सभ देखाउ
ABHA (Health ID) and its Benefits,आभा (स्वास्थ्य आईडी) आ एकर लाभ
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,आभा (पहिने हेल्थ आईडीक रूपमे जानल जाएत छल) आयुष्मान भारत स्वास्थ्य खाताक लेल एकटा संक्षिप्त नाम अछि।
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (हेल्थ आईडी) केर उपयोग करबाक अहाँक आ अहाँक परिवारक लेल सुरक्षित आ कुशल डिजिटल स्वास्थ्य रिकॉर्ड बनाबाक दिशामे पहिल डेग अछि।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ई भाग लिए'बला स्वास्थ्य सेवा प्रदातासभक संग अहाँक गप्पकेँ सक्षम बनबैत अछि, आ अहाँक सत्यापित स्वास्थ्य पेशासब आ स्वास्थ्य सेवा प्रदातासभसँ मूल रूपसँ अपन डिजिटल लैब रिपोर्ट, प्रिस्क्रिप्शन आ निदान भेटएत अनुमति दएत छि।"
Know More,आओर जानू
×,×
Frequently Asked Questions,अधिकतर पूछल जाय बला सवाल
ALL,सब
BENEFICIARY REGISTRATION,लाभार्थी पंजीकरण
Take Home Ration,घरक राशन लिओ
Hot Cooked Meal,गर्म पकाओल भोजन
What is Poshan Abhiyaan?,पोषण अभियान की अछि?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान नेना, किशोर-किशोरी आ गभर्वतीक पोषण परिणाम मे सुधार लेल एक टा फ्लैगशिप कार्यक्रम अछि।"
What is the purpose of Launching Poshan Tracker?,पोषण ट्रैकर आरंभ करबाक उद्देश्य की अछि?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्रैकर एप्लिकेशनक उद्देश्य आंगनवाड़ी केंद्रक (AWC) सभक गतिविधि, आंगनवाड़ी केंद्र कें कार्यकर्ता (AWWs) सभक सेवा आपूर्तिक 360-डिग्री अवलोकन प्रदान करनए अछि आओर गर्ववती स्त्री, स्तनपान कराबै वाली माय आ नेना सभक सम्पूर्ण लाभुक प्रबंधन करब अछि। प्रस्तावित सिस्टम AWCs, AWWs आओर परिभाषित संकेतक सभ पर मौजूद लाभुक केर रीयल टाइम निगरानी आ ट्रैकिंंग सुविधा कें सक्षम करत।"
How can one Download Poshan Tracker App?,कोनो व्यक्ति पोषण ट्रैकर एप कोना डाउनलोड क' सकैत छथि?
Poshan Tracker App is available over Google playstore ,पोषण ट्रैकर एप गूगल प्लेस्टोर मे उपलब्ध अछि 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,पोषण ट्रैकर एप एपल आई स्टोर मे सेहो उपलब्ध अछि की?
"No, Poshan Tracker is available only for Android version","नहि, पोषण ट्रैकर एप केवल एंड्रॉयड वर्जन लेल उपलब्ध अछि।"
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइल मे पोषण ट्रैकर एप इंस्टॉल करबाक लेल न्यूनतम आवश्यकता की होइत अछि?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रैकर एप सिर्फ एंड्रॉयड वर्जन 6.0 आ एहि सँ ऊपरक वर्जन वला एंड्रॉयड फोन मे इंस्टॉल कएल जा सकैत अछि।
View All FAQs,सभटा निरंतर पूछल जायवला प्रश्न सभ देखू
Can a beneficiary register directly using application.,की कोनो लाभार्थी आवेदनक उपयोग कएक सीधे पंजीकृत कए सकैछ।
Currently a beneficiary can register by the help of an AWW,वर्तमानमे एकटा लाभार्थी एकटा AWW केर मदतिसँ पंजीकरण कए सकैछ
Who is a beneficiary?,लाभार्थी के अछि?
There are 6 categories for beneficiaries,लाभार्थिसभक लेल 6टा श्रेणी अछि
Pregnant Women,गर्भवती महिलासभ
Lactating Mother,स्तनपान कराय बाली मायसभ
Children from 0 to 6 months,0 सँ 6 महीना धरि क बच्चासभ
Children from 6 months to 3 years,6 महीनासँ 3 बरख धरि क बच्चासभ
Children from 3 years to 6 years,3 बरखसँ 6 बरख धरि क बच्चासभ
Adolescent girls,किशोरी लड़िकीसभ
Can a beneficiary change his/her AWC?,की कोनो लाभार्थी अपन AWC बदल सकैछ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एकटा AWW एकटा लाभार्थीकेँ एकटा AWC से दोसर AWC क आधार पर हुनकर AADHAAR नंबरक आधार पर माइग्रेट करबाक लेल 'माइग्रेट लाभार्थी' विकल्पक उपयोग कए सकैछ।
What is the eligibility of a beneficiary?,एक लाभार्थी की योग्यता क्या है?
A beneficiary is eligible for THR for at least 21 days in a month.,एकटा लाभार्थी एक महीनामे कमसँ कम 21 दिनक लेल THR लेल योग्य अछि।
Who is eligible for Take Home Ration?,के घरक राशनक लेल योग्य छी?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिलासभ, स्तनपान कराय बाली मातासभ, 6 महीनासँ 3 साल तक क बच्चा आ किशोर लड़िकीसभ।"
Where can I enquire about take home ration?,हम घरक राशनक बारेमे पूछताछ कए सकैत छी?
Please contact your respective Anganwadi worker.,कृपया अपनसँ संबंधित आंगनवाड़ी कार्यकर्तासँ संपर्क करू।
Who is eligible for additional supplementary food.,के अतिरिक्त पूरक भोजनक लेल योग्य अछि।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।"
What is the eligibility of a beneficiary?,एक लाभार्थी की योग्यता क्या है?
A beneficiary is eligible for HCM for at least 21 days in a month.,एकटा लाभार्थी एक महीनामे कमसँ कम 21 दिनक लेल एचसीएमक लेल योग्य छी।
Who is eligible for Hot Cooked Meal?,गर्म पाकल भोजनक लेल के योग्य अछि?
Children in the age group of 3 years to 6 years,3 बरखसँ 6 बरखक समूहमे नेनासभ
Where can I enquire about Hot Cooked Meal?,हम गर्म पाकल भोजनक बारेमे कतहसँ पूछताछ कए सकैत छी?
Please contact your respective Anganwadi Centre.,कृपया अपनसँ संबंधित आंगनवाड़ी केंद्रसँ संपर्क करू।
Who is eligible for additional supplementary food?,अतिरिक्त पूरक भोजनक लेल के योग्य अछि?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।"
We are now available on Video Conference,हमरा सभ आब वीडियो कॉन्फ्रेंस पर उपलब्ध छी
State Video Conference,राज्य वीडियो सम्मेलन
Monday to Friday ,सोम सँ शुक्र 
4:15 PM to 5:15 PM,4:15 PM to 5:15 PM
Join Now,आब ज्वाइन करू
Anganwadi Worker Training,आँगनबाड़ी कार्यकर्ता प्रशिक्षण
Monday to Friday ,सोम सँ शुक्र 
3:00 PM to 4:00 PM,3:00 PM to 4:00 PM
Join Now,आब ज्वाइन करू
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
About Poshan Tracker,पोषण ट्रैकरक बारेमे
About,लगभग
Poshan Tracker App,पोषण ट्रैकर ऐप
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","पोशन ट्रैकर' एकटा मोबाइल आधारित एप्लिकेशन अछि जकरा 1 मार्च 2021 केँ राष्ट्रीय ई-गवर्नेंस डिवीजन (एनईजीडी), MyGov के माध्यमसँ एकटा महत्वपूर्ण शासन उपकरणक रूपमे भारत सरकारक महिला एवं बाल विकास मंत्रालय द्वारा चालू केल गेल अछि। पोषण ट्रैकरक तहैत प्रौद्योगिकीक उपयोग बौनापन, निर्बलता, बच्चासभमे कम ओजनक व्यापकता आ पोषण सेवा वितरणक अंतिम मील ट्रैकिंगक गतिशील पहिचानक लेल कएल जा रहल अछि।."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,पोशन ट्रैकर आंगनवाड़ी कार्यकर्ताकेँ हुनकर प्रयासक प्रतिबिंबक संग-संग सेवासभ केर कुशल वितरणक लेल एकटा नौकरी मदति अछि। यह पोषण अभियानक तहैत एकटा महत्वपूर्ण आ लाभार्थी-केंद्रित सेवा वितरण एप्लीकेशन अछि जे विश्लेषणक संग वास्तविक काल डेटाकेँ बढ़ावा दएत.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,घरक राशन लिओ
Hot Cooked Meal,गर्म पकाओल भोजन
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,की अछि
Poshan Tracker Features,पोषण ट्रैकर सुविधासभ
Real time recording and Monitoring,वास्तविक काल रिकॉर्डिंग आ निगरानी
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","पोसन ट्रैकर परिभाषित संकेतकों पर सभी AWCs और लाभार्थियों की वास्तविक समय की निगरानी और ट्रैकिंग को सक्षम करता है। ई केंद्रीकृत डेटा आर्किटेक्चरक उपयोग कएक बनाओल गेल अछि जे अन मंत्रालयसभ आ कार्यक्रमसभक डिजिटल प्रौद्योगिकी प्रणालीसभक संग संरेखित करइत अछि। एकर उद्देश्य आंगनवाड़ी केंद्र (AWC)क गतिविधि, आंगनवाड़ी कार्यकर्तासभ (AWWs) क सेवा वितरण आ गर्भवती महिलासभ, स्तनपान कराय बाली मायसभ आ नेनासभक लेल पूर्ण लाभार्थी प्रबंधनक गतिविधिसभक 360-डिग्री दृश्य भेटनाइ अछि। सार्वजनिक डैशबोर्ड लाभार्थिगनकेँ देल जाय बला सेवासभमे पारदर्शिता देबाकमे मदति करइत अछि."
Services Delivered,देल गेल सेवासभ
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","एकटा बटनक एक क्लिक पर अंतिम लाभार्थीकेँ सेवासभक ट्रैकिंग। टेक होम राशन (टीएचआर) आ हॉट कुक्ड मील (एचसीएम), नेनासभ आ गर्भवती महिलासभक लेल टीकाकरण जेना सेवासभ."
Growth Measurement,वृद्धि माप
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWWs द्वारा भिन्न-भिन्न बएस वर्गक बच्चासभक मासिक आधार पर निगरानी कएल जाइत अछि। बौनापन, निर्बलता आ कम ओजनक व्यापकता जँका स्वास्थ्य संकेतकसभक डब्ल्यूएचओक मानकक अनुसार नापल जाइत अछि। रेगुलर ग्रोथ मोनिटरिंग AWWsकेँ बच्चासभकेँ प्रासंगिक आ समय पर मदति मदति भेटयमे मदति करइत अछि."
Home Visit Alerts,होम विजिट अलर्ट
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","पोषण ट्रैकर महत्वपूर्ण अंतिम-मील लाभार्थिगनक लेल स्वचालित अलर्ट उत्पन्न करइत अछि। ई लाभार्थिगन आ ड्यूटी धारकसभक वास्तविक काल उपस्थितिक दस्तावेजीकरण कएक वितरण प्रणालीक कुशल ऑडिट सेहो सुनिश्चित करइत अछि। ई प्रबंधन सूचना प्रणाली पोषण कार्यक्रमकेँ कुशलतासँ बढ़बाकमे मदति करत, जाहिसँ सकारात्मक प्रभाव उत्पन्न आ दस्तावेजीकरण हएत."
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
Resources,साधन
Learning Videos,सिखबै बला वीडियो
❮,❮
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारू मदर केयरक मदतिसँ कमजोर नवजात नेनाक देखभाल केना करिए
Preventing illnesses to avert Malnutrition and Death,कुपोषण आ मृत्युकेँ रोकबाक लेल बीमारीसभकेँ रोकनाइ
Prevention of Anemia in children and adolescents girls,बच्चासभ आ किशोरसभक लड़कीसभमे एनीमियाक रोकथाम
Birth Preparedness- For Institutional and Home Delivery,जन्म केर तैयारी- संस्थागत आ होम डिलीवरीक लेल
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशुक देखभाल - हम केतना कमजोर नेनाकेँ खो रहल छी?
Feeding During Illness,बीमारीक कालमे खिलानाइ
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्थाक कालमे तैयारी - नवजात देखभाल आ परिवार नियोजनक लेल
Ensuring Exclusive Breastfeeding,ढेर स्तनपान सुनिश्चित करनाइ
Assessment of growth in children,बच्चासभमे वृद्धिक आकलन
Preventing anemia in women,महिलासभमे एनीमियाकेँ रोकनाइ
Complementary Feeding - Diet Diversity,पूरक आहार - आहार विविधता
Identification and care of a Weak Newborn baby,एकटा कमजोर नवजात बच्चाक परिचय आ देखभाल
Observing Breastfeeding In Newborn Babies,नवजात शिशुसभमे स्तनपानक अवलोकन करनाइ
Planning And Organising Community Based Events At AWC,AWC मे सामुदायिक आधारित कार्यक्रमसभ केर योजना आ आयोजन
Making or Updating Home Visit Planner and Initiating home visits,होम विजिट प्लानर बनानाइ वा अपडेट करनाइ आ घरक यात्रा शुरू करनाइ
Ensuring that complementary feeding improves over time,ई सुनिश्चित करनाइ जे कॉम्प्लिमेंटरी फीडिंग कालक संग सुधार करैछ
How to ensure timely initiation of complementary feeding,कॉम्प्लिमेंटरी फीडिंगक कालमे शुरुआत केना सुनिश्चित करब
Identifying and preventing Severe Acute Malnutrition,ढेर बेसी कुपोषणक पहिचान करनाइ आ रोकनाइ
Identification & Referral of Sick Newborn,बीमार नवजात शिशुक पहिचान आ रेफरल
Supporting mothers with issues in Breastfeeding,स्तनपानमे मुद्दाक संग मायसभक समर्थन करनाइ
Why this Monthly Meeting?,इ मासिक बैठक किए?
❯,❯
Awareness,जागरूकता
ALL ,सब 
13,13
 , 
GENERAL ,सामान्य 
9,9
 , 
Pregnant Women ,गर्भवती स्त्री सभ 
1,1
 , 
Lactating Mothers ,स्तनपान कराय बाली मायसभ 
2,2
 , 
CHILD CARE ,बच्चाक देखभाल 
1,1
 , 
❮,❮
General,General
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF डाउनलोड करू
General,General
General Awareness about Growth Monitoring of Children,बच्चासभक ग्रोथ मोनिटरिंगक बारे मे सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General,General
General Awareness about preventing illness in Children,बच्चासभमे बीमारीकेँ रोकएक बारे मे सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General,General
General Awareness for Pregnancy,गर्भावस्थाक लेल सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General,General
General Awareness on Module,मॉड्यूल पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General,General
General Awareness on Anaemia,एनीमिया पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General,General
General Awareness on SAM and MAM,सैम और मैम पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General,General
General Awareness on Mother Care,मदर केयर पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General,General
General Awareness on the Delivery of the child,बच्चाक डिलीवरी पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
Pregnant Women,गर्भवती स्त्री सभ
Awareness for Pregnancy in Preventing Anemia,एनीमियाकेँ रोकबाक मे गर्भावस्थाक लेल जागरूकता
Download PDF,PDF डाउनलोड करू
Lactating Mothers,स्तनपान कराय बाली मायसभ
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चासभक लेल स्तनपान कराय बाली मायक पूरक आहारक लेल जागरूकता
Download PDF,PDF डाउनलोड करू
Lactating Mothers,स्तनपान कराय बाली मायसभ
Awareness to Lactating Mother,स्तनपान कराय बाली मायक प्रति जागरूकता
Download PDF,PDF डाउनलोड करू
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चासभमे कुपोषणकेँ रोकबाक लेल स्टंटिंग, वेस्टिंगक प्रति जागरुकता"
Download PDF,PDF डाउनलोड करू
❯,❯
❮,❮
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF डाउनलोड करू
General Awareness about Growth Monitoring of Children,बच्चासभक ग्रोथ मोनिटरिंगक बारे मे सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General Awareness about preventing illness in Children,बच्चासभमे बीमारीकेँ रोकएक बारे मे सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General Awareness for Pregnancy,गर्भावस्थाक लेल सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General Awareness on Module,मॉड्यूल पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General Awareness on Anaemia,एनीमिया पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General Awareness on SAM and MAM,सैम और मैम पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
General Awareness on Mother Care,मदर केयर पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
